region,economo,mesulam,sa
lh.bankssts,frontal,unimodal,middle
lh.caudalanteriorcingulate,agranular,paralimbic,middle
lh.caudalmiddlefrontal,agranular,unimodal,association
lh.cuneus,parietal,idiotypic,sensorimotor
lh.entorhinal,parietal,paralimbic,middle
lh.fusiform,frontal,unimodal,sensorimotor
lh.inferiorparietal,parietal,heteromodal,middle
lh.inferiortemporal,frontal,unimodal,association
lh.isthmuscingulate,granular,paralimbic,middle
lh.lateraloccipital,parietal,unimodal,sensorimotor
lh.lateralorbitofrontal,polar,paralimbic,association
lh.lingual,parietal,idiotypic,sensorimotor
lh.medialorbitofrontal,polar,paralimbic,association
lh.middletemporal,frontal,heteromodal,association
lh.parahippocampal,parietal,paralimbic,sensorimotor
lh.paracentral,agranular,idiotypic,sensorimotor
lh.parsopercularis,frontal,unimodal,middle
lh.parsorbitalis,polar,heteromodal,association
lh.parstriangularis,frontal,heteromodal,association
lh.pericalcarine,granular,idiotypic,sensorimotor
lh.postcentral,frontal,idiotypic,sensorimotor
lh.posteriorcingulate,agranular,paralimbic,middle
lh.precentral,agranular,idiotypic,sensorimotor
lh.precuneus,frontal,heteromodal,middle
lh.rostralanteriorcingulate,agranular,paralimbic,association
lh.rostralmiddlefrontal,frontal,heteromodal,association
lh.superiorfrontal,frontal,heteromodal,association
lh.superiorparietal,frontal,heteromodal,sensorimotor
lh.superiortemporal,frontal,unimodal,middle
lh.supramarginal,parietal,heteromodal,middle
lh.frontalpole,polar,heteromodal,association
lh.temporalpole,frontal,paralimbic,middle
lh.transversetemporal,granular,unimodal,sensorimotor
lh.insula,frontal,paralimbic,middle
rh.bankssts,frontal,unimodal,middle
rh.caudalanteriorcingulate,agranular,paralimbic,middle
rh.caudalmiddlefrontal,agranular,unimodal,association
rh.cuneus,parietal,idiotypic,sensorimotor
rh.entorhinal,parietal,paralimbic,middle
rh.fusiform,frontal,unimodal,sensorimotor
rh.inferiorparietal,parietal,heteromodal,middle
rh.inferiortemporal,frontal,unimodal,association
rh.isthmuscingulate,granular,paralimbic,middle
rh.lateraloccipital,parietal,unimodal,sensorimotor
rh.lateralorbitofrontal,polar,paralimbic,association
rh.lingual,parietal,idiotypic,sensorimotor
rh.medialorbitofrontal,polar,paralimbic,association
rh.middletemporal,frontal,heteromodal,association
rh.parahippocampal,parietal,paralimbic,sensorimotor
rh.paracentral,agranular,idiotypic,sensorimotor
rh.parsopercularis,frontal,unimodal,middle
rh.parsorbitalis,polar,heteromodal,association
rh.parstriangularis,frontal,heteromodal,association
rh.pericalcarine,granular,idiotypic,sensorimotor
rh.postcentral,frontal,idiotypic,sensorimotor
rh.posteriorcingulate,agranular,paralimbic,middle
rh.precentral,agranular,idiotypic,sensorimotor
rh.precuneus,frontal,heteromodal,middle
rh.rostralanteriorcingulate,agranular,paralimbic,association
rh.rostralmiddlefrontal,frontal,heteromodal,association
rh.superiorfrontal,frontal,heteromodal,association
rh.superiorparietal,frontal,heteromodal,sensorimotor
rh.superiortemporal,frontal,unimodal,middle
rh.supramarginal,parietal,heteromodal,middle
rh.frontalpole,polar,heteromodal,association
rh.temporalpole,frontal,paralimbic,middle
rh.transversetemporal,granular,unimodal,sensorimotor
rh.insula,frontal,paralimbic,middle
