region,economo,mesulam,sa,yeo
V1_L,granular,idiotypic,sensorimotor,visual
MST_L,parietal,unimodal,sensorimotor,visual
V6_L,parietal,unimodal,sensorimotor,visual
V2_L,parietal,idiotypic,sensorimotor,visual
V3_L,parietal,idiotypic,sensorimotor,visual
V4_L,parietal,unimodal,sensorimotor,visual
V8_L,parietal,unimodal,sensorimotor,visual
4_L,agranular,idiotypic,sensorimotor,somatosensory
3b_L,granular,idiotypic,sensorimotor,somatosensory
FEF_L,agranular,idiotypic,middle,dorsal attention
PEF_L,agranular,idiotypic,middle,dorsal attention
55b_L,agranular,idiotypic,middle,ventral attention
V3A_L,parietal,unimodal,sensorimotor,visual
RSC_L,granular,paralimbic,sensorimotor,default mode
POS2_L,frontal,heteromodal,middle,frontoparietal
V7_L,parietal,unimodal,sensorimotor,visual
IPS1_L,frontal,heteromodal,sensorimotor,dorsal attention
FFC_L,frontal,unimodal,middle,visual
V3B_L,parietal,unimodal,sensorimotor,visual
LO1_L,parietal,unimodal,sensorimotor,visual
LO2_L,parietal,unimodal,sensorimotor,visual
PIT_L,parietal,unimodal,sensorimotor,visual
MT_L,parietal,unimodal,sensorimotor,visual
A1_L,granular,unimodal,sensorimotor,somatosensory
PSL_L,parietal,unimodal,middle,ventral attention
SFL_L,agranular,unimodal,association,default mode
PCV_L,frontal,heteromodal,middle,dorsal attention
STV_L,frontal,unimodal,middle,ventral attention
7Pm_L,frontal,heteromodal,sensorimotor,frontoparietal
7m_L,frontal,heteromodal,middle,default mode
POS1_L,frontal,heteromodal,middle,default mode
23d_L,agranular,paralimbic,association,default mode
v23ab_L,frontal,paralimbic,middle,default mode
d23ab_L,agranular,paralimbic,association,default mode
31pv_L,frontal,paralimbic,association,default mode
5m_L,frontal,idiotypic,sensorimotor,somatosensory
5mv_L,frontal,unimodal,sensorimotor,ventral attention
23c_L,frontal,unimodal,middle,ventral attention
5L_L,granular,unimodal,sensorimotor,somatosensory
24dd_L,agranular,idiotypic,sensorimotor,somatosensory
24dv_L,agranular,unimodal,middle,somatosensory
7AL_L,frontal,heteromodal,sensorimotor,dorsal attention
SCEF_L,agranular,unimodal,middle,ventral attention
6ma_L,agranular,unimodal,middle,ventral attention
7Am_L,frontal,heteromodal,sensorimotor,dorsal attention
7Pl_L,frontal,heteromodal,sensorimotor,dorsal attention
7PC_L,frontal,heteromodal,sensorimotor,dorsal attention
LIPv_L,frontal,heteromodal,sensorimotor,dorsal attention
VIP_L,frontal,heteromodal,sensorimotor,dorsal attention
MIP_L,frontal,heteromodal,sensorimotor,dorsal attention
1_L,granular,idiotypic,sensorimotor,somatosensory
2_L,frontal,unimodal,sensorimotor,somatosensory
3a_L,frontal,idiotypic,sensorimotor,somatosensory
6d_L,agranular,idiotypic,sensorimotor,somatosensory
6mp_L,agranular,idiotypic,sensorimotor,somatosensory
6v_L,agranular,idiotypic,sensorimotor,somatosensory
p24pr_L,agranular,paralimbic,middle,ventral attention
33pr_L,agranular,paralimbic,middle,ventral attention
a24pr_L,agranular,paralimbic,middle,ventral attention
p32pr_L,agranular,unimodal,middle,ventral attention
a24_L,agranular,paralimbic,association,default mode
d32_L,frontal,heteromodal,association,default mode
8BM_L,frontal,heteromodal,association,frontoparietal
p32_L,polar,heteromodal,association,default mode
10r_L,polar,heteromodal,association,default mode
47m_L,polar,paralimbic,association,default mode
8Av_L,agranular,unimodal,association,frontoparietal
8Ad_L,frontal,heteromodal,association,default mode
9m_L,frontal,heteromodal,association,default mode
8BL_L,frontal,heteromodal,association,default mode
9p_L,frontal,heteromodal,association,default mode
10d_L,frontal,heteromodal,association,default mode
8C_L,agranular,heteromodal,association,frontoparietal
44_L,frontal,heteromodal,association,frontoparietal
45_L,frontal,heteromodal,association,default mode
47l_L,polar,heteromodal,association,default mode
a47r_L,frontal,heteromodal,association,frontoparietal
6r_L,agranular,idiotypic,middle,ventral attention
IFJa_L,frontal,heteromodal,association,frontoparietal
IFJp_L,agranular,unimodal,association,dorsal attention
IFSp_L,frontal,heteromodal,middle,frontoparietal
IFSa_L,frontal,heteromodal,association,frontoparietal
p9-46v_L,frontal,heteromodal,association,frontoparietal
46_L,frontal,heteromodal,association,frontoparietal
a9-46v_L,frontal,heteromodal,association,frontoparietal
9-46d_L,frontal,heteromodal,association,frontoparietal
9a_L,frontal,heteromodal,association,default mode
10v_L,polar,heteromodal,association,limbic
a10p_L,frontal,heteromodal,association,frontoparietal
10pp_L,polar,heteromodal,association,limbic
11l_L,polar,heteromodal,association,frontoparietal
13l_L,polar,paralimbic,association,limbic
OFC_L,polar,paralimbic,middle,limbic
47s_L,polar,paralimbic,association,default mode
LIPd_L,frontal,heteromodal,middle,dorsal attention
6a_L,agranular,idiotypic,middle,dorsal attention
i6-8_L,agranular,unimodal,association,frontoparietal
s6-8_L,agranular,unimodal,association,frontoparietal
43_L,agranular,unimodal,sensorimotor,somatosensory
OP4_L,parietal,unimodal,sensorimotor,somatosensory
OP1_L,parietal,heteromodal,sensorimotor,somatosensory
OP2-3_L,parietal,heteromodal,sensorimotor,somatosensory
52_L,granular,paralimbic,middle,somatosensory
RI_L,parietal,unimodal,sensorimotor,somatosensory
PFcm_L,parietal,unimodal,middle,somatosensory
PoI2_L,frontal,paralimbic,middle,ventral attention
TA2_L,parietal,unimodal,middle,somatosensory
FOP4_L,frontal,heteromodal,middle,ventral attention
MI_L,frontal,paralimbic,association,ventral attention
Pir_L,frontal,paralimbic,sensorimotor,ventral attention
AVI_L,frontal,paralimbic,association,frontoparietal
AAIC_L,frontal,paralimbic,middle,ventral attention
FOP1_L,agranular,unimodal,middle,ventral attention
FOP3_L,frontal,paralimbic,middle,ventral attention
FOP2_L,agranular,unimodal,sensorimotor,somatosensory
PFt_L,frontal,heteromodal,middle,dorsal attention
AIP_L,frontal,heteromodal,middle,dorsal attention
EC_L,agranular,paralimbic,middle,limbic
PreS_L,parietal,paralimbic,sensorimotor,visual
H_L,granular,paralimbic,middle,limbic
ProS_L,granular,idiotypic,sensorimotor,visual
PeEc_L,frontal,paralimbic,middle,limbic
STGa_L,parietal,paralimbic,association,default mode
PBelt_L,parietal,unimodal,sensorimotor,somatosensory
A5_L,frontal,unimodal,middle,somatosensory
PHA1_L,parietal,paralimbic,middle,visual
PHA3_L,frontal,heteromodal,middle,visual
STSda_L,parietal,unimodal,association,default mode
