,d
lh.bankssts,-0.058
lh.caudalanteriorcingulate,-0.042
lh.caudalmiddlefrontal,-0.014
lh.cuneus,0.047
lh.entorhinal,-0.041
lh.fusiform,-0.117
lh.inferiorparietal,-0.063
lh.inferiortemporal,-0.049
lh.isthmuscingulate,-0.104
lh.lateraloccipital,-0.023
lh.lateralorbitofrontal,-0.046
lh.lingual,0.006
lh.medialorbitofrontal,-0.134
lh.middletemporal,-0.09
lh.parahippocampal,-0.072
lh.paracentral,-0.003
lh.parsopercularis,-0.063
lh.parsorbitalis,-0.073
lh.parstriangularis,-0.054
lh.pericalcarine,0.094
lh.postcentral,0.036
lh.posteriorcingulate,-0.099
lh.precentral,-0.02
lh.precuneus,-0.024
lh.rostralanteriorcingulate,-0.13
lh.rostralmiddlefrontal,-0.037
lh.superiorfrontal,-0.066
lh.superiorparietal,-0.005
lh.superiortemporal,0.012
lh.supramarginal,-0.045
lh.frontalpole,-0.011
lh.temporalpole,0.012
lh.transversetemporal,-0.035
lh.insula,-0.111
rh.bankssts,-0.074
rh.caudalanteriorcingulate,-0.08
rh.caudalmiddlefrontal,0.006
rh.cuneus,0.049
rh.entorhinal,-0.055
rh.fusiform,-0.116
rh.inferiorparietal,-0.041
rh.inferiortemporal,-0.117
rh.isthmuscingulate,-0.071
rh.lateraloccipital,0.005
rh.lateralorbitofrontal,-0.12
rh.lingual,-0.012
rh.medialorbitofrontal,-0.131
rh.middletemporal,-0.088
rh.parahippocampal,-0.061
rh.paracentral,-0.006
rh.parsopercularis,-0.017
rh.parsorbitalis,-0.07
rh.parstriangularis,-0.031
rh.pericalcarine,0.081
rh.postcentral,0.028
rh.posteriorcingulate,-0.093
rh.precentral,-0.022
rh.precuneus,0.005
rh.rostralanteriorcingulate,-0.098
rh.rostralmiddlefrontal,-0.038
rh.superiorfrontal,-0.078
rh.superiorparietal,0.032
rh.superiortemporal,-0.031
rh.supramarginal,-0.053
rh.frontalpole,-0.062
rh.temporalpole,0.013
rh.transversetemporal,-0.051
rh.insula,-0.115
