,d
lh.bankssts,-0.024
lh.caudalanteriorcingulate,0.021
lh.caudalmiddlefrontal,0.045
lh.cuneus,-0.007
lh.entorhinal,0.008
lh.fusiform,0.012
lh.inferiorparietal,-0.005
lh.inferiortemporal,0.046
lh.isthmuscingulate,0.063
lh.lateraloccipital,0.016
lh.lateralorbitofrontal,0.041
lh.lingual,0.028
lh.medialorbitofrontal,0.035
lh.middletemporal,-0.034
lh.parahippocampal,-0.017
lh.paracentral,0.018
lh.parsopercularis,-0.015
lh.parsorbitalis,-0.002
lh.parstriangularis,-0.063
lh.pericalcarine,-0.008
lh.postcentral,0.006
lh.posteriorcingulate,0.006
lh.precentral,0.034
lh.precuneus,0.011
lh.rostralanteriorcingulate,0.04
lh.rostralmiddlefrontal,0.025
lh.superiorfrontal,0.052
lh.superiorparietal,0.017
lh.superiortemporal,0.011
lh.supramarginal,0.04
lh.frontalpole,-0.049
lh.temporalpole,0.066
lh.transversetemporal,0.013
lh.insula,0.014
rh.bankssts,0.01
rh.caudalanteriorcingulate,0.011
rh.caudalmiddlefrontal,0.009
rh.cuneus,0.058
rh.entorhinal,0.036
rh.fusiform,-0.034
rh.inferiorparietal,-0.024
rh.inferiortemporal,0.005
rh.isthmuscingulate,0.04
rh.lateraloccipital,0.067
rh.lateralorbitofrontal,0.026
rh.lingual,0.016
rh.medialorbitofrontal,0.027
rh.middletemporal,0.027
rh.parahippocampal,-0.04
rh.paracentral,0.014
rh.parsopercularis,-0.011
rh.parsorbitalis,0.022
rh.parstriangularis,-0.012
rh.pericalcarine,0.007
rh.postcentral,0.022
rh.posteriorcingulate,0.016
rh.precentral,0.009
rh.precuneus,0.006
rh.rostralanteriorcingulate,0.029
rh.rostralmiddlefrontal,0.054
rh.superiorfrontal,0.028
rh.superiorparietal,-0.008
rh.superiortemporal,0.029
rh.supramarginal,0.004
rh.frontalpole,0.024
rh.temporalpole,0.051
rh.transversetemporal,-0.021
rh.insula,-0.004
