,d
lh.bankssts,-0.06
lh.caudalanteriorcingulate,0.003
lh.caudalmiddlefrontal,-0.09
lh.cuneus,-0.042
lh.entorhinal,-0.062
lh.fusiform,-0.109
lh.inferiorparietal,-0.14
lh.inferiortemporal,-0.087
lh.isthmuscingulate,-0.068
lh.lateraloccipital,-0.074
lh.lateralorbitofrontal,-0.096
lh.lingual,-0.052
lh.medialorbitofrontal,-0.084
lh.middletemporal,-0.093
lh.parahippocampal,-0.059
lh.paracentral,-0.013
lh.parsopercularis,-0.083
lh.parsorbitalis,-0.05
lh.parstriangularis,-0.032
lh.pericalcarine,0.011
lh.postcentral,-0.023
lh.posteriorcingulate,-0.071
lh.precentral,-0.023
lh.precuneus,-0.0969999999999999
lh.rostralanteriorcingulate,-0.074
lh.rostralmiddlefrontal,-0.095
lh.superiorfrontal,-0.069
lh.superiorparietal,-0.062
lh.superiortemporal,-0.0069999999999999
lh.supramarginal,-0.052
lh.frontalpole,-0.048
lh.temporalpole,0.034
lh.transversetemporal,-0.004
lh.insula,-0.065
rh.bankssts,0.005
rh.caudalanteriorcingulate,-0.038
rh.caudalmiddlefrontal,-0.079
rh.cuneus,-0.033
rh.entorhinal,0.0139999999999999
rh.fusiform,-0.089
rh.inferiorparietal,-0.14
rh.inferiortemporal,-0.059
rh.isthmuscingulate,-0.052
rh.lateraloccipital,-0.072
rh.lateralorbitofrontal,-0.108
rh.lingual,-0.044
rh.medialorbitofrontal,-0.102
rh.middletemporal,-0.098
rh.parahippocampal,-0.08
rh.paracentral,0.009
rh.parsopercularis,-0.062
rh.parsorbitalis,-0.069
rh.parstriangularis,-0.0559999999999999
rh.pericalcarine,0.025
rh.postcentral,0.036
rh.posteriorcingulate,-0.057
rh.precentral,-0.037
rh.precuneus,-0.1009999999999999
rh.rostralanteriorcingulate,0.005
rh.rostralmiddlefrontal,-0.091
rh.superiorfrontal,-0.038
rh.superiorparietal,-0.047
rh.superiortemporal,0.0139999999999999
rh.supramarginal,0.003
rh.frontalpole,0.021
rh.temporalpole,0.015
rh.transversetemporal,-0.024
rh.insula,-0.065
