,d
lh.bankssts,-0.178
lh.caudalanteriorcingulate,-0.128
lh.caudalmiddlefrontal,-0.159
lh.cuneus,-0.17
lh.entorhinal,-0.149
lh.fusiform,-0.216
lh.inferiorparietal,-0.185
lh.inferiortemporal,-0.207
lh.isthmuscingulate,-0.066
lh.lateraloccipital,-0.17
lh.lateralorbitofrontal,-0.179
lh.lingual,-0.148
lh.medialorbitofrontal,-0.106
lh.middletemporal,-0.2
lh.parahippocampal,-0.11
lh.paracentral,-0.087
lh.parsopercularis,-0.151
lh.parsorbitalis,-0.192
lh.parstriangularis,-0.1369999999999999
lh.pericalcarine,-0.133
lh.postcentral,-0.191
lh.posteriorcingulate,-0.1169999999999999
lh.precentral,-0.175
lh.precuneus,-0.139
lh.rostralanteriorcingulate,-0.159
lh.rostralmiddlefrontal,-0.196
lh.superiorfrontal,-0.222
lh.superiorparietal,-0.19
lh.superiortemporal,-0.196
lh.supramarginal,-0.12
lh.frontalpole,-0.099
lh.temporalpole,-0.096
lh.transversetemporal,-0.151
lh.insula,-0.122
rh.bankssts,-0.173
rh.caudalanteriorcingulate,-0.156
rh.caudalmiddlefrontal,-0.163
rh.cuneus,-0.155
rh.entorhinal,-0.098
rh.fusiform,-0.22
rh.inferiorparietal,-0.192
rh.inferiortemporal,-0.206
rh.isthmuscingulate,-0.04
rh.lateraloccipital,-0.158
rh.lateralorbitofrontal,-0.15
rh.lingual,-0.168
rh.medialorbitofrontal,-0.182
rh.middletemporal,-0.211
rh.parahippocampal,-0.132
rh.paracentral,-0.1169999999999999
rh.parsopercularis,-0.146
rh.parsorbitalis,-0.175
rh.parstriangularis,-0.135
rh.pericalcarine,-0.107
rh.postcentral,-0.178
rh.posteriorcingulate,-0.125
rh.precentral,-0.206
rh.precuneus,-0.154
rh.rostralanteriorcingulate,-0.156
rh.rostralmiddlefrontal,-0.191
rh.superiorfrontal,-0.222
rh.superiorparietal,-0.17
rh.superiortemporal,-0.195
rh.supramarginal,-0.142
rh.frontalpole,-0.092
rh.temporalpole,-0.103
rh.transversetemporal,-0.168
rh.insula,-0.113
