region,rtap
lh.bankssts,3409.3128552098715
lh.caudalanteriorcingulate,3448.0073471486803
lh.caudalmiddlefrontal,3392.626999015902
lh.cuneus,3423.9590106818887
lh.entorhinal,3667.19217333114
lh.fusiform,3613.858283725058
lh.inferiorparietal,3382.8259469811237
lh.inferiortemporal,3524.8044574986156
lh.isthmuscingulate,3786.5438088208057
lh.lateraloccipital,3524.3169061468748
lh.lateralorbitofrontal,3534.384381382531
lh.lingual,3609.2049213733003
lh.medialorbitofrontal,3707.5842309090863
lh.middletemporal,3273.1785925547388
lh.parahippocampal,3658.63302796024
lh.paracentral,3727.9247892521817
lh.parsopercularis,3410.615733449125
lh.parsorbitalis,3230.643341396388
lh.parstriangularis,3330.2228677875937
lh.pericalcarine,3545.8637328366895
lh.postcentral,3405.1631396673683
lh.posteriorcingulate,3515.741979652973
lh.precentral,3442.0575988679802
lh.precuneus,3566.4196840577547
lh.rostralanteriorcingulate,3442.31049461255
lh.rostralmiddlefrontal,3190.7283218713505
lh.superiorfrontal,3455.0975263751357
lh.superiorparietal,3419.553570786312
lh.superiortemporal,3293.0570355176706
lh.supramarginal,3381.1863140853948
lh.frontalpole,3200.974142694171
lh.temporalpole,3410.6742953367147
lh.transversetemporal,3392.5046144680905
lh.insula,3331.283664062661
rh.bankssts,3449.4809881979522
rh.caudalanteriorcingulate,3319.0074992909026
rh.caudalmiddlefrontal,3492.646505029554
rh.cuneus,3383.5227802771647
rh.entorhinal,3670.1130801185523
rh.fusiform,3664.7222357443584
rh.inferiorparietal,3419.0021168574353
rh.inferiortemporal,3507.622109180488
rh.isthmuscingulate,3691.462821721136
rh.lateraloccipital,3529.671416480029
rh.lateralorbitofrontal,3638.901518700044
rh.lingual,3547.394939961342
rh.medialorbitofrontal,3622.4934009503645
rh.middletemporal,3352.093403776237
rh.parahippocampal,3692.7145966156936
rh.paracentral,3455.152505258907
rh.parsopercularis,3440.8279422532714
rh.parsorbitalis,3304.068338970576
rh.parstriangularis,3369.0180713674613
rh.pericalcarine,3461.3783184056174
rh.postcentral,3438.4421567299737
rh.posteriorcingulate,3425.9906916471828
rh.precentral,3557.8337854524493
rh.precuneus,3430.2914834342782
rh.rostralanteriorcingulate,3347.9852271682266
rh.rostralmiddlefrontal,3272.400214013584
rh.superiorfrontal,3400.949191774386
rh.superiorparietal,3526.4524603824757
rh.superiortemporal,3371.5959102560623
rh.supramarginal,3450.6420035734373
rh.frontalpole,3236.9324874705612
rh.temporalpole,3440.950137773739
rh.transversetemporal,3320.190428992537
rh.insula,3489.8854100212066
