region,qiv
lh.bankssts,5.010860977872051e-09
lh.caudalanteriorcingulate,5.626679929041051e-09
lh.caudalmiddlefrontal,5.1082563051021244e-09
lh.cuneus,4.922045735195226e-09
lh.entorhinal,4.975180623400332e-09
lh.fusiform,4.768113199455261e-09
lh.inferiorparietal,5.022890541889917e-09
lh.inferiortemporal,4.9310341509054854e-09
lh.isthmuscingulate,4.688383780149216e-09
lh.lateraloccipital,4.704099980159258e-09
lh.lateralorbitofrontal,5.047180907557441e-09
lh.lingual,4.7368738096502745e-09
lh.medialorbitofrontal,4.8895819572321635e-09
lh.middletemporal,5.279039449435976e-09
lh.parahippocampal,4.905316702242789e-09
lh.paracentral,4.6344509976038895e-09
lh.parsopercularis,5.234063386114919e-09
lh.parsorbitalis,5.520375071583564e-09
lh.parstriangularis,5.2838680158076875e-09
lh.pericalcarine,4.709011511973805e-09
lh.postcentral,4.913074596709368e-09
lh.posteriorcingulate,5.2001917762896694e-09
lh.precentral,4.970012132466035e-09
lh.precuneus,4.871084419114004e-09
lh.rostralanteriorcingulate,5.7323104465197494e-09
lh.rostralmiddlefrontal,5.555283696883813e-09
lh.superiorfrontal,5.1657058046011635e-09
lh.superiorparietal,4.89214163551588e-09
lh.superiortemporal,5.312074235298769e-09
lh.supramarginal,5.055024543176612e-09
lh.frontalpole,5.705763963185307e-09
lh.temporalpole,5.4378908040539026e-09
lh.transversetemporal,5.062444385103095e-09
lh.insula,5.5040124988643404e-09
rh.bankssts,4.997089603167305e-09
rh.caudalanteriorcingulate,5.66280666631069e-09
rh.caudalmiddlefrontal,5.00913137918844e-09
rh.cuneus,4.921599028532441e-09
rh.entorhinal,4.937732035307745e-09
rh.fusiform,4.782974424904426e-09
rh.inferiorparietal,4.946996629589656e-09
rh.inferiortemporal,4.971982146316893e-09
rh.isthmuscingulate,4.781971558968056e-09
rh.lateraloccipital,4.699300325743159e-09
rh.lateralorbitofrontal,4.9412061978969774e-09
rh.lingual,4.882431069987852e-09
rh.medialorbitofrontal,5.106200193226385e-09
rh.middletemporal,5.230731616254292e-09
rh.parahippocampal,4.876345942801811e-09
rh.paracentral,4.869735405835551e-09
rh.parsopercularis,5.2273160657496075e-09
rh.parsorbitalis,5.385268730089889e-09
rh.parstriangularis,5.267444390373892e-09
rh.pericalcarine,4.770151948876204e-09
rh.postcentral,4.829239334838049e-09
rh.posteriorcingulate,5.230619278932437e-09
rh.precentral,4.828881763480707e-09
rh.precuneus,4.967412496492798e-09
rh.rostralanteriorcingulate,5.838636120977096e-09
rh.rostralmiddlefrontal,5.504952393253742e-09
rh.superiorfrontal,5.236248795551693e-09
rh.superiorparietal,4.78352302827955e-09
rh.superiortemporal,5.253420121194251e-09
rh.supramarginal,4.9714478190801094e-09
rh.frontalpole,5.739581661965563e-09
rh.temporalpole,5.34614616289812e-09
rh.transversetemporal,5.117651935988386e-09
rh.insula,5.4022682342366784e-09
