,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.5014455357961211,0.4822847997127347,0.6883355751339325,0.6162065033961748,0.7864385895908509,0.7177211894775664,0.8210403025081615,0.7203371625558798,0.7965480879999899,0.5602364336922913,0.7900449117065584,0.5347122537831687,0.8584421108491082,0.6542060049200011,0.47512215545221775,0.7034243333566449,0.6124475676090687,0.6694768685118835,0.7429496023446844,0.6734503878552858,0.5923175154265403,0.6189210855202038,0.667815550123301,0.6712228758241697,0.6214392342941975,0.42758749582995587,0.5186654138498719,0.854019538502016,0.7216797373033164,0.5499959980744232,0.6249668420972103,0.7301649417692699,0.7790280213571766,0.6292050062426296,0.4753408148241779,0.39533309427824914,0.6641728662281549,0.571241129999667,0.7349748117317361,0.5204693994447054,0.7061909214474876,0.6101084975199883,0.7683248136172887,0.597231452059103,0.7391433518951083,0.5144985254866603,0.7121639404655553,0.7029861792720858,0.29644642606505844,0.5639321458507579,0.604745473486354,0.632460558204515,0.7056307045390955,0.5068036296992,0.48709433874060487,0.5232259243656174,0.5002331928663448,0.6960115682090167,0.5701764693806947,0.43986431513410285,0.5322883649541064,0.7286709125509914,0.4103715296897751,0.5860020544937302,0.6018566796927892,0.5822858161764769,0.7360830030624564
lh.caudalanteriorcingulate,0.5014455357961211,1.0,0.7436038822265492,0.5891769728602617,0.2632139639315427,0.49145060741054625,0.6727356283983124,0.4191349697798227,0.6785320096308698,0.51409916769234,0.45115471472744867,0.5727521112519879,0.4238196563047159,0.5091158249688978,0.4554214178312787,0.7655107217065835,0.7452876102652398,0.6235499810279984,0.6815733799550047,0.5590446268672631,0.7608807169287942,0.8308760400390213,0.753813189983778,0.7690885452735697,0.754713283690701,0.7200344876500687,0.7934272156892949,0.7295697525542506,0.6441273945189562,0.7152808119578629,0.6057941298077981,0.32902367122583426,0.6153150755179606,0.7541258695146288,0.5930945288298743,0.8709591987279534,0.740988573584532,0.6514341571689445,0.30345782298738555,0.3085211922586396,0.7399038518577676,0.3430951401984525,0.6850385255692414,0.5663252110726957,0.37709131858649253,0.5556700571348204,0.45388218964504873,0.4640897679591981,0.3954905695449745,0.6775206593376988,0.7097944339010844,0.44616050709673893,0.5533991925210537,0.6184034085612874,0.7333603352279534,0.8063099955655516,0.7743935214987313,0.7669271764987704,0.7395494715904689,0.7039764854598134,0.7884035821705943,0.7551766645946698,0.5608097353971923,0.7273886613404629,0.593612353419752,0.3714997575444849,0.6165753188777382,0.6124283900123205
lh.caudalmiddlefrontal,0.4822847997127347,0.7436038822265492,1.0,0.5676187142813488,0.17749038267545977,0.4189662293588365,0.7472610178402356,0.3808525501379635,0.5322851746525583,0.5257188466342462,0.4667907106512504,0.45048971906076357,0.4493825588920001,0.4939360227888485,0.3976067510291319,0.8092826886692063,0.7851115203460293,0.6357192318139305,0.7237375086681226,0.4821621711213086,0.8755968083961031,0.697857119564114,0.9147891971595683,0.7401849268507289,0.667169078444971,0.8163057189924382,0.9079732075757252,0.865970503967072,0.6405265881837249,0.7982839981380393,0.5399863987174185,0.25930210408895066,0.611565448418653,0.6679776524331148,0.6662460499383478,0.7603389516544651,0.8174555450755567,0.6785526615869729,0.18053224297602122,0.24320490390695088,0.8208867159530236,0.2654613285441908,0.6382055595832465,0.6043252551401043,0.3611105233294436,0.5176035218809639,0.47480622475946627,0.41968679733818404,0.2886555808325482,0.7841694368556913,0.721897744614125,0.38057312374476,0.5633977892856346,0.6248009126215112,0.8352859086588473,0.729601664481141,0.860808424853598,0.7942978237955657,0.6383290814152057,0.7354154387890209,0.8559791199210041,0.8444016469310579,0.5184157592222818,0.8029349536376635,0.5076084618210526,0.25365826210123865,0.6747882686634534,0.5293278877401212
lh.cuneus,0.6883355751339325,0.5891769728602617,0.5676187142813488,1.0,0.5407873386443652,0.7091840590298251,0.820185869630415,0.6609544638972791,0.6957300968758211,0.7780845289492424,0.43558615062852013,0.7846507695883236,0.4644126538336416,0.7223652178403568,0.6086029161080172,0.6096059183823148,0.6413088804574785,0.5782712376909065,0.60944129858757,0.8113842775239127,0.7298014961829582,0.6668027130105139,0.6419708864936431,0.804608306233281,0.6667434515296784,0.6244546447839425,0.516451117869865,0.6425915592800351,0.7473662681055372,0.7536065344674864,0.5281469450742666,0.5212260437814011,0.6335050629172682,0.6687636558252704,0.6371738087910308,0.5171622511281908,0.4882235344641956,0.7575393657236905,0.4669128518131806,0.6283601177548366,0.6285253819891324,0.6451675563338608,0.6099778111441936,0.8145828629257625,0.5129928864869598,0.76542073419015,0.4465994520639263,0.6889887709516194,0.6019438298049808,0.37954987219777764,0.62182717741078,0.603953536012743,0.6745769750439932,0.6919017472347326,0.6302988631228088,0.5594524879575177,0.6287213444105236,0.5988875354193828,0.665218845447054,0.6485346061647955,0.5131246787676057,0.6615426166315913,0.7117443193486895,0.5205884650306151,0.613114561426553,0.4947355961728573,0.6394909966859463,0.736212257925422
lh.entorhinal,0.6162065033961748,0.2632139639315428,0.17749038267545977,0.5407873386443652,1.0,0.782450654859671,0.4876538642456695,0.7733662376611545,0.5733014657592537,0.6440542071022272,0.49369888066755996,0.6594524680073308,0.44410322695629584,0.7106830130849627,0.7573882891944392,0.20968924174253362,0.4066194578580369,0.42309993296726345,0.3934897874606348,0.6237939094541656,0.35742011329987944,0.38997509522182744,0.2763018305173778,0.4485133239124524,0.5577996862375113,0.3848720420511276,0.14657722757219566,0.19353771170349865,0.6238359147853775,0.45347971001040616,0.40588326223669097,0.7802210194343532,0.40631243037661,0.5481722835136119,0.42462105724443155,0.21587168811609683,0.10194697225345391,0.3928013346436126,0.7396113536497985,0.7953337421266532,0.18850953448063912,0.7510848293533293,0.3891585388104204,0.6177385119867362,0.6374673550432977,0.6363896200791167,0.3688566684442295,0.6603539627571331,0.7757256127439344,-0.03143816041637701,0.3811258417931327,0.5578386606087765,0.5540596927697324,0.46931528450393634,0.2073045702062948,0.22640653738192779,0.230516437225441,0.18396071592118665,0.5720248669267556,0.4108086367140952,0.1773415754617295,0.2040463211821354,0.6455835056787506,0.07096811671899342,0.4647974619043308,0.671910090975597,0.36003042876959873,0.6932379508328881
lh.fusiform,0.7864385895908509,0.49145060741054625,0.4189662293588365,0.7091840590298251,0.782450654859671,1.0,0.7230358172486234,0.8919255433082629,0.7540024234067114,0.8240848609487796,0.5925378484993312,0.8521026591068511,0.5221395503016487,0.872773525611327,0.8436165930356331,0.45853489335334935,0.6230217695286663,0.5976272327256112,0.5924591994383074,0.7885110934123495,0.6006930891278656,0.611155830041746,0.529864732999095,0.6865823533559954,0.7183612877633295,0.5668200275012418,0.36310389060822057,0.4629806108434724,0.829257874224867,0.6842404300893508,0.537594972020736,0.7620375272674462,0.6379423415595173,0.7652308634392109,0.6349092151023046,0.4522858388759159,0.3170990035129778,0.6160859453571881,0.6947476971590127,0.8623644633443523,0.4610912176940635,0.8066005625794356,0.6306002306718738,0.8098225303884662,0.672823698904467,0.8322839154105299,0.4836727633575185,0.7936587015358788,0.8310790060716019,0.23138654166534808,0.5996647078279419,0.6625781921187675,0.7018683133028979,0.6965961768203472,0.4414233433052623,0.4764886184120174,0.47657669635754585,0.46345793907576216,0.7426823418234483,0.5799412507016771,0.38444982928121474,0.453157045196089,0.7915389682346501,0.3225371539532899,0.5812545167061645,0.710907177008092,0.5793759189315364,0.8322585569124251
lh.inferiorparietal,0.7177211894775664,0.6727356283983124,0.7472610178402357,0.820185869630415,0.4876538642456695,0.7230358172486235,1.0,0.6743315476158266,0.7284989448137618,0.7883395134306557,0.5571583917286036,0.7117244723312575,0.5044381383561368,0.7535472143300062,0.6503162064994923,0.7461963421731328,0.7306980011081827,0.6750463929560457,0.6888000383983439,0.7517224185033184,0.8659112763295898,0.7536666809413607,0.8044438206525469,0.9018911432743844,0.7188562282475752,0.6803232185473788,0.6513789678052694,0.8383911942694303,0.8168031097654561,0.9305060854180791,0.5531867789052413,0.5063248333368988,0.6862461389798721,0.7548335445543355,0.7747511249327919,0.6271286138296159,0.5866299693106926,0.7933772950417247,0.411400209284349,0.6004395938677454,0.7920654651280847,0.5950434874308121,0.7521117157478583,0.8323917492008038,0.5247181640017237,0.802770375953662,0.5131294767595008,0.6965440261035052,0.5865559525110534,0.5968918517994197,0.726360590225656,0.5760473061186183,0.7140728608141687,0.7736070846985799,0.7453955476148648,0.6996970960609267,0.7466669936199084,0.7778556953388472,0.7234513331146133,0.6873692756640719,0.6243416253712837,0.7872734290763913,0.7446301147166734,0.6835437150149611,0.6069619923517184,0.47218642319872317,0.7345878156253134,0.7632457264210157
lh.inferiortemporal,0.8210403025081615,0.4191349697798227,0.3808525501379635,0.6609544638972791,0.7733662376611545,0.8919255433082629,0.6743315476158267,1.0,0.6977457051554912,0.8341879543684817,0.595713997289479,0.804107958372011,0.5349125396655461,0.9077077216321715,0.7472148837480211,0.367830301747226,0.6066662474462517,0.5838858950339131,0.5836390055840153,0.7618564633283741,0.5603474536008561,0.5392517848713951,0.5074825556625903,0.6086454268411102,0.6771704891102734,0.5445520106335856,0.3090503824530634,0.39810117989417676,0.8134940209488127,0.6428382024478442,0.4988676007481673,0.7472306803365825,0.6302997457219145,0.736507928714582,0.5945120866513444,0.374653320920539,0.2666121826671932,0.608807528463622,0.6930926104190985,0.8437123850111821,0.40856271798081767,0.8311020266073869,0.5830290986409641,0.7836294172989059,0.6721480387847242,0.7878124943675983,0.49552163092934715,0.774137969816529,0.793252458288857,0.18039318488320488,0.5215402155670503,0.635728502910572,0.6435582815613831,0.6827018630607402,0.40135669666655976,0.40990093874373873,0.4113088063300403,0.3958287173675341,0.6902063137315889,0.5208499057575343,0.32380521623001085,0.39644231483788583,0.7521426939121609,0.2805894340709248,0.5345837337108801,0.6896403076612092,0.5304148530268494,0.7749355209680555
lh.isthmuscingulate,0.7203371625558798,0.6785320096308698,0.5322851746525583,0.6957300968758211,0.5733014657592537,0.7540024234067114,0.7284989448137619,0.6977457051554911,1.0,0.6591722044903936,0.596435629709291,0.8177825498903533,0.5575784131270441,0.7285651954999351,0.7005359571935569,0.6380668561066904,0.7284958658532357,0.6554003335296616,0.696190781058472,0.7301711285133162,0.6855375003262993,0.7971581300657186,0.6263993349579164,0.8184186722974398,0.7259537439079731,0.6317511419633924,0.5056771179309921,0.5800783153386215,0.7771341126409762,0.741290609261118,0.5995996266435247,0.5785598825145342,0.6789627558522617,0.8122189039761989,0.6232515905355013,0.6399772588531625,0.475290998815072,0.6391735185239226,0.5580108834808478,0.6224539586264359,0.6074758193690508,0.6193823735389564,0.7747728277709087,0.6935434662747547,0.6020880608242674,0.7339522906978944,0.5456194016301648,0.6481319264625761,0.6735829786280277,0.4089164657428645,0.639394063188722,0.6208183312658512,0.6602702446684229,0.6822104571235827,0.5717112163317862,0.6951680866111356,0.6035267410822838,0.6518473719344358,0.750119878051647,0.6269628906210293,0.5229366938762452,0.6179052551241667,0.708167416217411,0.5187648684594682,0.6354938751145951,0.5974483264603135,0.6159889015871077,0.7806339291607013
lh.lateraloccipital,0.79654808799999,0.51409916769234,0.5257188466342462,0.7780845289492424,0.6440542071022273,0.8240848609487796,0.7883395134306557,0.8341879543684818,0.6591722044903936,1.0,0.5453344403209067,0.819731315717391,0.5142977777804753,0.8375108839052481,0.6555316441469216,0.4782935991174247,0.6540738465067442,0.5948567816177459,0.6228461377095682,0.8494422534283386,0.6826504341736266,0.581850809521127,0.6439686127460025,0.6796406366345289,0.7164760974459362,0.644314912798358,0.47696005443153255,0.5550636930659741,0.7871631100092297,0.7226521749774887,0.5355366512226885,0.640104845485654,0.6729874004925124,0.7019578387331086,0.6386582098510057,0.4615445593060717,0.4596039216722527,0.7414747501425434,0.5925594142420714,0.7871131905695872,0.5412120613309471,0.750021149700161,0.5802579240359318,0.9160926535414828,0.6105304195007877,0.8140332525409284,0.49226472599421855,0.7571298450738108,0.7216879371438809,0.3386683857099301,0.6040710030174696,0.6354437415568702,0.6819435449024814,0.779698457341819,0.5625446607374559,0.4607670211126581,0.5723923572664483,0.4877140849115357,0.7220713568747515,0.6461784771953508,0.49626966182816173,0.5468290587270019,0.7550505293240237,0.42036798275070697,0.5904266815763531,0.5951975361948798,0.6129194659537953,0.7440028984012107
