,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.2651071150806085,0.4245660428906796,0.36616920952839105,0.30683221920055803,0.4969226620137907,0.5393139274908513,0.4837132186369274,0.43275093716024154,0.5789216683041206,0.4218734979084774,0.4648924816625228,0.28037152468642085,0.5406013531072814,0.36642147187583657,0.3330369332558592,0.48516131211759916,0.3474750775432223,0.42338854191196035,0.3857025437964314,0.511843914123741,0.31157328017789243,0.5330663260768457,0.47671367359106875,0.274280319454833,0.5201884266954789,0.44663719661308215,0.5106007047988049,0.550948951832832,0.5543016159139346,0.2579121684578981,0.2800136802696222,0.41981678709001113,0.48521407223610946,0.3788258182847619,0.36021648434188,0.43568464891459163,0.4062547087054848,0.2749735688316615,0.44957871012599115,0.549017821852198,0.40215040834553667,0.43549974371928035,0.4860049577961459,0.35995276680587,0.4577132154730261,0.34475347820161345,0.40050381354162273,0.3854771842692016,0.4381903261896928,0.39413238706662695,0.3534261611360791,0.3282851435759421,0.44337375425509473,0.4711254179017996,0.3905582725952622,0.4907821823261028,0.5625347431425646,0.3653375215178676,0.40931247896557876,0.4969469840692764,0.5237167489531286,0.44041374549374196,0.5370974568516205,0.2240030870257773,0.2728623050701977,0.37600787702804606,0.35578103268579103
lh.caudalanteriorcingulate,0.2651071150806085,1.0,0.29825428397617454,0.3413606955573311,0.19935575862113558,0.29811336220533663,0.43879023156594726,0.24471044163763273,0.3368411012679964,0.37192079050265425,0.2616173621255396,0.2993992572893537,0.288197757802531,0.32670147564488744,0.2580062822134324,0.2784992092974019,0.3038007362651652,0.2400734082886693,0.28157935750249874,0.3010063668392277,0.3646044295476197,0.45613095145376736,0.3754916308972001,0.43594098763335803,0.35021957889513455,0.3702553956581362,0.3813598106546055,0.341682469402177,0.39663552792493884,0.41428037532180667,0.24899787749604355,0.2690487228008102,0.2440057312555549,0.28395200433354273,0.2991782104769443,0.35443062239052486,0.3548173272356159,0.3311410354106632,0.17142149683396682,0.33736366855707917,0.37689104083519653,0.28553137243394777,0.25589009670697366,0.36282266745824465,0.23303920813304163,0.35560559169095624,0.17165277793559713,0.35547045304937486,0.2649984567119226,0.28525430470537794,0.3155546866430576,0.29911194413387765,0.2744033809360855,0.31006516572657666,0.3065546151796629,0.39418673120612047,0.4253456291866651,0.39545331785466037,0.2702986816776658,0.37793706318329445,0.4081692608621743,0.3777759011460577,0.377971184116368,0.3456802537896528,0.23603747659419216,0.22154394930003257,0.2720503244385107,0.3594297348981009
lh.caudalmiddlefrontal,0.4245660428906796,0.29825428397617454,1.0,0.44183846902949075,0.3530310454289738,0.5505232562462887,0.6589830173959687,0.5015616727745499,0.3486064690853139,0.608165489745994,0.5091694215010681,0.47316973787262706,0.43092877817009023,0.5666188573832541,0.4610309034789786,0.4683062382776166,0.5337003233886968,0.42205790089386513,0.5022153021404785,0.387806901360202,0.6702778601838674,0.3641292501045802,0.6721532019855666,0.5504893683768292,0.39542071475267815,0.6811108180404715,0.6438344018955293,0.6656862625413349,0.5748785077322337,0.6636502591073744,0.32955030024898363,0.34573224238096195,0.40943561000256345,0.5607682200267029,0.435787386924801,0.3914146659612536,0.5956889913613276,0.4896085639707829,0.31711066408958266,0.4776131782614764,0.6639111162846267,0.45144156204034874,0.4450630915178872,0.5997854836384593,0.45847755608093127,0.5542566372663479,0.4256190815501307,0.4693798690107667,0.4196021703990787,0.6114274443752752,0.5371191812624763,0.39472293894034166,0.4775573118547995,0.4700830090433817,0.6112052000513776,0.46429700848217187,0.6050943410033186,0.5985259422341557,0.4110557817339659,0.5959124109344669,0.6817745905860383,0.5421231147787585,0.49195799965806697,0.6271988030860881,0.36625323498242734,0.27792334738931324,0.42921316974088164,0.5008630955595154
lh.cuneus,0.36616920952839105,0.3413606955573312,0.44183846902949075,1.0,0.3854638075491352,0.40785552467342867,0.5504341445692168,0.3343776638142748,0.4372364841230892,0.5345349760178412,0.3510667090405938,0.41631544842646656,0.3552557486144124,0.4044563924833727,0.34405439062079946,0.5291612952548906,0.37901905676672476,0.2921538726424093,0.355877173458046,0.5906555827365522,0.532263239016915,0.5311722342125194,0.5062471488820647,0.6440343047095077,0.37681435666241575,0.4748665396731115,0.5416589032531123,0.4657590476567163,0.45395347634735206,0.5376897709148037,0.23715385036403894,0.30817287042576585,0.3676981937129734,0.3175834799617961,0.3514122116488625,0.32018033133881396,0.4677995975736962,0.5480214357459247,0.2619637390146818,0.4853309128779,0.4573653338403046,0.4305122384812846,0.23170980919449027,0.6244434171111559,0.38534524750274324,0.43198172370714916,0.2868487203325037,0.48551089383725204,0.2855240098777555,0.31865547495359964,0.370268850301667,0.394607020267074,0.4275098578380423,0.40654558873392005,0.49074111761966444,0.3954527061487074,0.5574443754460063,0.5046109325029982,0.2806908675438855,0.5016803074263394,0.4938982912135856,0.5951655563901963,0.5041524882205389,0.4754694813333449,0.33455848570128915,0.22228908149480062,0.3788515976879856,0.5063567490700084
lh.entorhinal,0.30683221920055803,0.19935575862113558,0.3530310454289738,0.3854638075491352,1.0,0.46074322991294586,0.41887274487971543,0.4657548302563901,0.3701802663253552,0.40593209554600035,0.4060392045088603,0.30004031287211247,0.3615091523275767,0.46035197714525133,0.42851046301134643,0.35747076900552294,0.3716253469774013,0.3430650855119418,0.38890432412443265,0.3614187425915848,0.39633076202530587,0.3966960967796584,0.4078694862355686,0.4406794702952499,0.24094871166382908,0.4114912476945158,0.38343203453942937,0.35880334070465275,0.3764693414795128,0.3937915000597091,0.26915609080253605,0.4345042359944105,0.32343408082754127,0.29183891364138553,0.31220623548906384,0.2234432376662223,0.3331928151030538,0.3279561237355532,0.4952992111749614,0.46176581711178627,0.36992057140754736,0.49198715387437747,0.2954223939650707,0.4347746155610038,0.4191395673126614,0.38584483803830066,0.2851789066815843,0.45352109998523454,0.3050667177108631,0.31795221672756735,0.3529290576168737,0.3772230250822486,0.43960587238063387,0.3535226715109561,0.3584265779610713,0.28962916503891784,0.4269821605434985,0.3868546107537903,0.2127461302024995,0.420894448061157,0.34537276107931775,0.384319744875023,0.3956697594992858,0.350616788470507,0.2530598930191109,0.2932961045119348,0.3092679309002,0.4279499176005864
lh.fusiform,0.4969226620137907,0.29811336220533663,0.5505232562462887,0.40785552467342867,0.46074322991294586,1.0,0.5508498460476814,0.6784967624597433,0.4929234365856165,0.6524763082346517,0.5584100425426961,0.7146324324123541,0.39738492995788477,0.6223478377051204,0.6562310093567391,0.4005561687184668,0.5565939965810868,0.49967460967056554,0.5601564396858142,0.4096638542537274,0.5901989952527936,0.31876331294306215,0.6342808395135363,0.5319231177899637,0.41123389531328736,0.6306149307436205,0.5789177757816438,0.6015377485155106,0.6506509424647463,0.5501666931841303,0.30083398381785553,0.3312154114364855,0.4722971995336694,0.5961312831747201,0.4376380071380629,0.4103211406620254,0.5360665299886714,0.49169637053753074,0.3056041587560077,0.49872882553302533,0.6589702266199321,0.4665009655312883,0.4858970141041056,0.606111825283002,0.47833932781916666,0.6552052756490083,0.386169971471369,0.4431586033083594,0.5001284093442941,0.5366575093972196,0.5177185441273137,0.38421749082431655,0.4068012148362287,0.5134045036254109,0.5588472785528805,0.3714514156229727,0.616829729144792,0.6103162208731343,0.40449862924556873,0.5377907980794732,0.6096019128617179,0.5312119025238884,0.47014604816972866,0.6726296414178474,0.2920790516133521,0.2501605579993105,0.4566201475100213,0.4551558942552385
lh.inferiorparietal,0.5393139274908513,0.43879023156594726,0.6589830173959688,0.5504341445692168,0.41887274487971543,0.5508498460476814,1.0,0.5346241624208622,0.49010142275654467,0.7306353352297639,0.5120304559614433,0.4488993971251592,0.4327547441374542,0.665790052429698,0.48022204220347925,0.5458032451656321,0.6032012622355861,0.43655738868099,0.5117286869557106,0.49675064038654215,0.7373347721548513,0.5319445374998615,0.7287852573207287,0.7261423576282052,0.45617397280965905,0.6810403286389846,0.7043952001972023,0.7177992624560476,0.6458544693998055,0.7982945645240486,0.4003420405717782,0.4146096228383223,0.46733496988420115,0.5712584040138066,0.5562974560763594,0.4374109889725315,0.5820222306911751,0.5926233335889474,0.3926521850955182,0.62716820268635,0.7432080044812049,0.563960495518271,0.5271594745565327,0.709532988061078,0.5060727536461324,0.6252436738339101,0.429883554061392,0.6336119816114265,0.5046397744594591,0.6330097016688939,0.5894339361579346,0.5293579376240454,0.5608661735741522,0.578343815379381,0.6596464168395444,0.5483306420201658,0.6681790073638991,0.7353743911554612,0.46033769085968584,0.6712092686986423,0.7111211815460374,0.6739963087620271,0.6479067590037587,0.6837319977210089,0.40901560390962194,0.39380764139082697,0.4617721863027771,0.6189746278505377
lh.inferiortemporal,0.4837132186369274,0.24471044163763273,0.5015616727745499,0.3343776638142748,0.4657548302563901,0.6784967624597433,0.5346241624208622,1.0,0.4556525291096937,0.6090795482046765,0.5527246377530447,0.5585487022482534,0.3709405156687881,0.6399035572184939,0.5426179565142163,0.2882591047739104,0.5412568576562674,0.45893380280580287,0.4936021315378944,0.3235940172483437,0.5258607317142477,0.3083567608120767,0.5974521624433694,0.46348637443372287,0.33574384350177533,0.5685031909823696,0.4868416631875524,0.554577788100174,0.6112664853011818,0.5575468824278453,0.2867234937309832,0.3569984995444263,0.4315579268172894,0.5839780365820326,0.36008725532762015,0.3622395249555418,0.4193428468727661,0.46445743754223284,0.35753071709644935,0.5152533925657075,0.5817890973373671,0.5824362006295054,0.5394853233696674,0.539347636411413,0.49225847996059807,0.5942208224553335,0.42359745410034105,0.44582380689861983,0.5092657395556233,0.5240534849052455,0.49327909743353227,0.3523697524870707,0.3870327723594911,0.4985733118499639,0.49070361097149096,0.4214645286491288,0.5473969664918444,0.5673402876706867,0.3972580863018206,0.4582660811249815,0.5297392944466105,0.4604697423873369,0.4779393182660369,0.5625403683395739,0.2645731031666511,0.32141880244861165,0.4269882173376708,0.437733708876137
lh.isthmuscingulate,0.43275093716024154,0.3368411012679964,0.3486064690853139,0.4372364841230892,0.3701802663253552,0.4929234365856165,0.49010142275654467,0.4556525291096937,1.0,0.48966030174623804,0.41180079317080026,0.5502364768222144,0.36751799762505866,0.41145220075822514,0.3927325148146722,0.4118319616615694,0.4431387966295703,0.3367525327679529,0.38707275021546117,0.4486849845622089,0.46624579491692597,0.5283409835010923,0.49231172372305193,0.6208603401767541,0.33659510916211705,0.4754963604326155,0.5132049339008554,0.41746863044403815,0.5129398688664425,0.47892373653660886,0.3391503868297032,0.31206873573618615,0.37555808016368647,0.41997476477867596,0.3277664069615599,0.31350191885088086,0.4278025263685799,0.376427897009871,0.25199315248101023,0.439109819181998,0.5293437724254243,0.423327061947957,0.4986616311240506,0.5287383202698512,0.40690303115675736,0.43533786262360746,0.2963982017577098,0.44272271866871393,0.30862866425052593,0.3076282490198904,0.3837893323625921,0.3847820150447229,0.37425373812645607,0.41376345969508416,0.45820022490671547,0.3817691129721764,0.5496068411215843,0.5124537320020014,0.24282545151414353,0.47630292921459794,0.5002857611510698,0.5226256396703703,0.44716702553021537,0.48235540462558346,0.2822479695996913,0.3107621374009193,0.3296703007850991,0.43661118250136977
lh.lateraloccipital,0.5789216683041206,0.37192079050265425,0.608165489745994,0.5345349760178412,0.40593209554600035,0.6524763082346517,0.730635335229764,0.6090795482046765,0.48966030174623804,1.0,0.5516224811465855,0.623933513892234,0.40536921435891976,0.652533438498701,0.5065135583689551,0.4182797395804427,0.6011422728830269,0.47761112747950923,0.5343720891833736,0.505450165723745,0.7010027681762426,0.4351074051991251,0.7493146746685265,0.6448932374410123,0.4405584043716863,0.693495024606029,0.6677183428448635,0.7137633337249274,0.688674162301811,0.6998650681133961,0.36314037154759543,0.3778746914917558,0.5050538460650311,0.6361655527872367,0.48001656065300086,0.465637912465137,0.5896563144616388,0.6603929936325827,0.38343885251691295,0.6128123863226642,0.7260284554396153,0.5591858152926682,0.566807332965428,0.7753462045152719,0.49854300811716556,0.686670178415585,0.4153112315390931,0.580527121436157,0.5315035892243363,0.6436171898680412,0.5655514427576283,0.43781288173852434,0.48973004230877376,0.6530796282910271,0.6367332100712746,0.5234189483482665,0.6758151074805756,0.7380621680397498,0.4495717691932234,0.6080877819140699,0.7048424212050861,0.6577448543284988,0.5962938648480034,0.6916867868077036,0.3800433339347364,0.35125746952126385,0.4635351551147373,0.5388431992790869
