,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.410477666390236,0.5760425763722858,0.56079872559587,0.3875662920447627,0.622308281359268,0.7716089623483312,0.612117694797686,0.5502299285893234,0.7004105701032807,0.4962832668767628,0.5988510828230331,0.44162370303096476,0.7712369645665892,0.4568529751353431,0.5372590516408755,0.5898615557918532,0.46135674973192536,0.5332857228334894,0.511645611223504,0.7211549801955491,0.44699457836836604,0.6872251345091823,0.6500124577022623,0.3371317584359339,0.5109023219118229,0.5439482087754788,0.6545923233618273,0.7974942031498613,0.7962303938198355,0.29547133775101125,0.4175036162561131,0.686655954684252,0.6531334368277805,0.6364074550351615,0.48150965745586083,0.5519113230531879,0.6207304022862623,0.36974129473742606,0.4841849928387974,0.6790840984907467,0.49667836783398905,0.5613761014810726,0.5799390215671388,0.43357935663098923,0.5574884176050428,0.42034889316549073,0.556529621947945,0.4597005221875185,0.6193460830375733,0.5580721600048214,0.4657450218725552,0.4917608245892671,0.5432196945502431,0.6455821494864592,0.5342809163481446,0.6246904489789317,0.6655532812875891,0.38935744231596053,0.48180854416536917,0.5517657932960432,0.6549279084076972,0.6339037602642746,0.6571503381116865,0.2643287686721575,0.39310712046762697,0.5818178310351343,0.5080398385042073
lh.caudalanteriorcingulate,0.410477666390236,1.0,0.6703518279351914,0.37671760994292136,0.5270632988810635,0.5027755379092335,0.3391725750785133,0.44878743535493204,0.5961085272248349,0.3956902803264927,0.5004457776273539,0.5194066973725778,0.47078748526466013,0.5053510125538231,0.4994103284047007,0.5107993943612382,0.722544238910469,0.4181677550640445,0.5858938910261443,0.4201955794606037,0.5554104831606486,0.681482661030018,0.5575666146819674,0.4765857266843028,0.6596959474432409,0.6421380356409834,0.7568224336889068,0.29240681877413577,0.5843827796617495,0.47117345511095604,0.23059206974614005,0.4833185439255212,0.5552928927686779,0.6702287152982119,0.32580292519168946,0.765137304361931,0.6066983156326627,0.35355985359729536,0.4351750986560092,0.5024951115375779,0.23608351232980324,0.48119678688722545,0.5286433782897081,0.37530917562078325,0.5154135509336992,0.4862901692291218,0.4414430584923072,0.5042529996515349,0.5181746160596146,0.42284027399137736,0.6099841688012473,0.5217898670686044,0.5789902547045879,0.41130861326025353,0.47668599129956474,0.5894126842112566,0.5254531757421036,0.3800312716804793,0.6221821542172841,0.6553990622911334,0.7169714763874037,0.31723325716520956,0.5558380446326465,0.3368668661340996,0.2162603782912684,0.46286438594600626,0.37809868699740296,0.6077839221929131
lh.caudalmiddlefrontal,0.5760425763722857,0.6703518279351914,1.0,0.40970284618510133,0.46325571789385966,0.6028922979122224,0.6162315764747103,0.5472594050718428,0.5326397792807662,0.5240913047329528,0.6514755356325839,0.5381565433704093,0.5403998839849228,0.6298537831468803,0.551162221421445,0.6376585975041285,0.8256714422642406,0.5779730382030258,0.7188005944195537,0.3834047989783669,0.7947925865434085,0.5539377244824562,0.8700543101622394,0.5829352157822563,0.5627708122443785,0.7840041859937315,0.8853736604540648,0.6265003177560718,0.7464463206835686,0.7393511089912366,0.3325642246480417,0.4578636774513641,0.669571627212191,0.7649407037896784,0.4770402318224143,0.7606685060453725,0.7231934639930135,0.5199390268298875,0.40325514073761826,0.4819669521693487,0.5052544284020796,0.4966605638600697,0.5947705391776043,0.46075721407636044,0.5513089244376707,0.5186791762519135,0.5510928213002236,0.4860846234739459,0.5220543231720032,0.6949034893387798,0.7186763390859874,0.5107029367592827,0.6357022435727416,0.49460896586884295,0.6546363643698807,0.6801412295911858,0.6931284046341152,0.6126934054899661,0.6281545242400554,0.7048704411486341,0.834639605678168,0.5339036011333196,0.5815243755509564,0.5720211849386483,0.28609387057666696,0.40986131197693026,0.5510843181794871,0.5806441641330651
lh.cuneus,0.56079872559587,0.37671760994292136,0.40970284618510133,1.0,0.43024842537961394,0.6517866905401688,0.6712924828240905,0.5583482218024027,0.66457469654116,0.7985481062992211,0.38669238094080355,0.7449690578581158,0.3921100245329981,0.5967943423787999,0.5255408519536513,0.5832212839168343,0.39348105522664373,0.24351245909625485,0.2912131260532242,0.8135879339186373,0.6041663020147863,0.6097222983529728,0.5521187671995321,0.7909332089943365,0.3079608542984273,0.303168807963903,0.40246498221306265,0.5331890053619955,0.5684356835631795,0.6159776666901267,0.24338189961128817,0.37187886645112617,0.5614001972769027,0.544147434021572,0.585041883896521,0.3801680394881916,0.3958838046740152,0.7976588655671816,0.4156616199002284,0.6686200265113521,0.5742991498017226,0.5944629599284078,0.6730137927049142,0.8197310127672708,0.39573743674344297,0.8033683649301264,0.35699642234555234,0.6493950941826729,0.5709883792641147,0.5455512369229555,0.45142489201031444,0.3439460084343409,0.39232774820143523,0.7703375838080534,0.5911285563765531,0.5988893828810591,0.5568414503885024,0.6629542937556809,0.3463190969271671,0.31691912650173437,0.4044581230620529,0.6176593923593151,0.6282543295081721,0.5014182590786745,0.17734834244477904,0.3979577716195313,0.5467817090299866,0.6229104046140752
lh.entorhinal,0.3875662920447627,0.5270632988810635,0.46325571789385966,0.43024842537961394,1.0,0.7081500611980707,0.332608912947647,0.6464059024123869,0.6798975676874248,0.46943877299001513,0.5867958683826127,0.6505788130867615,0.6369147088917397,0.538766986283501,0.7586144236095905,0.4397366351314851,0.48592611184459383,0.22057176529260258,0.3132692871724239,0.5109074303961103,0.4979807001359261,0.6360056331105908,0.5138053259595649,0.46191508827553934,0.5506747489196971,0.3549212753370912,0.434857868932265,0.30180199406088937,0.553656865257296,0.4142275701351669,0.24132232666199752,0.6907926250582702,0.6168179665568579,0.6685650368872004,0.32251623894316056,0.5815147732775146,0.4074065520540814,0.4055173737646858,0.8264716764764558,0.7028240505168462,0.21458631802192155,0.6023208766312402,0.6607312455089298,0.3984849327370186,0.6483844906350611,0.6267995550175481,0.6115027501312149,0.4787826254694967,0.7629257806218912,0.4640371058881266,0.45599395682549393,0.3091526454139106,0.36973474153979974,0.5017673336622797,0.45994358516475253,0.633974135081483,0.4654078641043103,0.42780801555630504,0.6141158340480148,0.35006225628480886,0.46088521894003426,0.2752573935133417,0.5030879666093919,0.28515633949556013,0.17504511842819748,0.6169971046291823,0.4773865968645476,0.6296205171441297
lh.fusiform,0.6223082813592679,0.5027755379092335,0.6028922979122225,0.6517866905401688,0.7081500611980707,1.0,0.6689768976722131,0.8284471882244876,0.771528715062932,0.7357183796692149,0.6185984043536428,0.8162965368236197,0.6216007516090856,0.7485256034133327,0.8255148944869405,0.6343026220914285,0.5688576969701582,0.3525109611663488,0.4232481229033062,0.6511983327334219,0.7013492028092831,0.6752172126165272,0.6905470940262819,0.7545137182325773,0.5039468533384137,0.4164221630478574,0.5409614199985225,0.5975160677503102,0.76075732246925,0.6986381521501644,0.2886883443482062,0.5893631039856235,0.738676646094849,0.7662951934078033,0.5744722784008678,0.5926616142416604,0.5289125400571069,0.6637309875375359,0.6395576950519293,0.7905308361521008,0.5451460202382611,0.7026246595539988,0.7908014653408851,0.6320746359667045,0.6225982411952906,0.7796969540634693,0.5947147227384723,0.6029106094134984,0.766747394755775,0.6504057686904761,0.5893404575361192,0.3905260965809485,0.4799055858942803,0.6778452044287087,0.6377259348436426,0.7431698149643103,0.6391753419540692,0.7003508010162846,0.5847678158933252,0.415814087380723,0.5496571120744366,0.5825460539872503,0.648453020817773,0.5587156423852623,0.24566669096145966,0.5401352752884138,0.6502330656646022,0.6969597577350345
lh.inferiorparietal,0.7716089623483312,0.3391725750785133,0.6162315764747104,0.6712924828240905,0.33260891294764694,0.6689768976722131,1.0,0.6315417805534045,0.535311115526331,0.7907982997219487,0.5394278572755042,0.5919209105260718,0.4733383181416871,0.769470485394371,0.5033353821055735,0.6428069738189238,0.5113052723371476,0.45924926284121664,0.4645744391638972,0.5217524040668144,0.7633605011687525,0.47155898187435,0.7357933741478376,0.8226475644144171,0.349166597301364,0.440432022521193,0.5523112849659598,0.8333689059077015,0.7598869215661143,0.9001967172558403,0.3380855605776678,0.3792405129684768,0.6295355492139534,0.6122575291689649,0.7433976807764657,0.43306986904182937,0.5315429620689098,0.7719588098270056,0.3424286517476795,0.5064003254714892,0.8477381777773455,0.5227329995013253,0.6341551455849916,0.6812096716788477,0.46469787816521774,0.6265191544226202,0.4582809454584315,0.5986640052123693,0.4797274464032326,0.7206891435041912,0.6022037096411784,0.4648200248640016,0.5380663559223058,0.6399449359658181,0.6939608214096693,0.6199916705556138,0.6744868149238108,0.8318563305217896,0.4161598781605712,0.4707782527730561,0.54289131039317,0.803773238438524,0.6656258843075532,0.7486481434480338,0.3083769551835009,0.39448117724880516,0.6272148528578422,0.5702696703763832
lh.inferiortemporal,0.612117694797686,0.44878743535493204,0.5472594050718428,0.5583482218024026,0.6464059024123869,0.8284471882244877,0.6315417805534045,1.0,0.679380931541487,0.6581873436734037,0.6023643960662125,0.6786253112169987,0.591181454066642,0.8213784145619059,0.7210865421140131,0.5397866668753083,0.5626140644415069,0.38012147418549114,0.46265633919363086,0.5442211584058507,0.6384557308131565,0.6022407730953936,0.6395302000666332,0.6538498746574064,0.49191094477484626,0.4189277297350721,0.49883567195697553,0.5481295219521541,0.7388266522611326,0.6632485272675799,0.2796302752233521,0.6239696304659079,0.6810888743617567,0.7028625708636829,0.5303155963490831,0.5330779337046438,0.4806783277092929,0.5789356907637674,0.5909589030321101,0.6919117158447767,0.5148269849145595,0.76395549072162,0.6853408108872538,0.5566138231887967,0.5832661971668223,0.6472965661085175,0.5542986199913869,0.6223668616343033,0.6757494195571,0.5815878168010364,0.5402462656016583,0.39609791649304027,0.47606875656574604,0.5765603740827615,0.5931043237602924,0.6586984285974721,0.5842200776648487,0.6263375124124073,0.5493566086287477,0.40276124548846454,0.5125318411203175,0.5259025623317974,0.6193496467077232,0.518973492294583,0.23556385532548582,0.5632650537123788,0.5771433081952114,0.6105412072709153
lh.isthmuscingulate,0.5502299285893234,0.5961085272248349,0.5326397792807662,0.66457469654116,0.6798975676874248,0.771528715062932,0.535311115526331,0.6793809315414869,1.0,0.6192419042461254,0.5226227155943912,0.8242150205357335,0.5810670997075796,0.5999573524133085,0.765784340214434,0.6466846996372945,0.5295629310596568,0.22261769435798243,0.34351265693753424,0.7163245570784553,0.6516012355834956,0.7879819042576155,0.6236955477999984,0.7628492949918882,0.5024690163521814,0.36356113197912443,0.537353809408939,0.4969568104606566,0.6529680530214621,0.5949168034157138,0.2500799869465093,0.5009609653387389,0.7113671012994524,0.7289498817791726,0.45069321142428104,0.6421794575728335,0.5429890397982731,0.5972177292074068,0.6211756300137917,0.7371429769241246,0.43774219184566826,0.6710540845196339,0.8720346340772854,0.5753337451808374,0.5881310320645052,0.7644517800819086,0.5720588785441874,0.5811322230731526,0.7503388555348596,0.5985844128610339,0.5543531886886779,0.3496424822772636,0.43022755418410896,0.6917503818739528,0.6378432086615661,0.7595196674874838,0.6202053470954801,0.6496363122652435,0.5725180606411245,0.39689509717842225,0.552728922184322,0.54455455426667,0.6072806503460769,0.489832104988875,0.2194120951872482,0.5331494612822308,0.5843951027856276,0.7075301898389407
lh.lateraloccipital,0.7004105701032806,0.3956902803264927,0.5240913047329527,0.7985481062992211,0.4694387729900151,0.7357183796692149,0.7907982997219487,0.6581873436734037,0.6192419042461254,1.0,0.44068043013269675,0.7549866284371884,0.40237377772626426,0.7382122108258393,0.5415886833007495,0.5423007884161493,0.4975797339630878,0.34866655812947944,0.4047540767239246,0.7425065927386441,0.677317390705695,0.5450333583741583,0.643180618464,0.7350711522430631,0.32374430007383365,0.41343295106199135,0.4779225403393674,0.6143800204240228,0.69391502352225,0.7284812409959561,0.23386537782268169,0.42483464471838817,0.6254470280452922,0.6156889431379272,0.6550995942001007,0.4012084822647575,0.4420324063716881,0.8235993504816883,0.419146728775541,0.6888641429776691,0.64834991802268,0.6158923038585785,0.6669746744641445,0.8741784686739248,0.40611510490050823,0.8105419717677116,0.3655322713650649,0.6614480042605745,0.5813449542536294,0.6021638315959543,0.5041611091460564,0.40673515847552316,0.4595081515399949,0.7908426937612051,0.5940707885137408,0.5894772915345798,0.5806608140364414,0.7027963456352605,0.35427017922545473,0.39140296817897247,0.47001816283746267,0.6113534311422373,0.6619439036769357,0.5553831036092303,0.1846990341601366,0.3909069955618003,0.577136937084199,0.5884177867089253
