,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.45497534416063484,0.6012445281082874,0.5785036882268645,0.3827388445493196,0.5173403661449836,0.6782966443802532,0.5825663039442642,0.4495478179962278,0.692839145060328,0.5515777403301265,0.4419719465166443,0.43647340591789197,0.7216426136225501,0.37231957623415796,0.25200900984742,0.5743945048148563,0.4704247889174706,0.4255054702518724,0.6576474654345711,0.6356782662244197,0.5440390604303169,0.5898376097036436,0.6234945136670451,0.2984017534163,0.5970465432801492,0.5342466001057538,0.569616522363032,0.7467780839365737,0.694937146558269,0.35035826405186754,0.3834539500710029,0.5840539662778353,0.6498830377211248,0.42249863898403267,0.5197014784218886,0.49252996768700275,0.6308123649648671,0.38839983421475144,0.597967229728923,0.5819553474399692,0.5628754825224536,0.6030871585067311,0.5973916609863882,0.5517089054742154,0.5554198809977686,0.5484254136927438,0.596557288020525,0.44748261306499015,0.5460305925473924,0.3796396855708203,0.4901742161343019,0.38241608261474413,0.6470148878017419,0.518513271383299,0.6219817086782757,0.454576583925458,0.6655388231399781,0.4689298910691692,0.5022944264040713,0.5602924685463228,0.6193909244548352,0.6091548876735812,0.4768616996078753,0.4114388153702799,0.35908482463518054,0.4401455460896119,0.4024983874928185
lh.caudalanteriorcingulate,0.45497534416063484,1.0,0.45699669346447735,0.4882067500029529,0.4513913820500817,0.518374524098188,0.4498007315959482,0.5330729005216038,0.5689661536594973,0.4948334911661856,0.5516610592359881,0.48692289968709573,0.5042064862099631,0.5114648620465928,0.38916756288218757,0.4239735197245727,0.5647779124150092,0.3997747452158387,0.4233751067790634,0.5652495298319619,0.5317346558815077,0.6706664266613279,0.5264499673093724,0.6097745049959497,0.5090487200674434,0.5310416050802705,0.5423370114561835,0.4382206350061937,0.5676049141123949,0.44582176338058294,0.3475269203963265,0.4324153226780164,0.5477257161371633,0.6140683670041593,0.331260313529382,0.6326565732566991,0.5219004174746195,0.5294890801248573,0.46481710215874406,0.5153589035030057,0.5091676991819616,0.5134817350375807,0.6209970668314654,0.4666137448175236,0.5298349982761172,0.551203693501019,0.49313056825023366,0.5121108208524157,0.46957106425186335,0.48628135219092855,0.4077266375784933,0.40469875072509637,0.3050612562963244,0.5815222819784598,0.5231505785681758,0.6360743229770782,0.5194233238264472,0.5868024095772888,0.5413635793185404,0.48690672472634816,0.5396452686318511,0.6034066475165892,0.49938250772664844,0.5299542956799824,0.424539788227806,0.4399788466976107,0.3564066684284133,0.44253248946537066
lh.caudalmiddlefrontal,0.6012445281082874,0.4569966934644774,1.0,0.6410134075285477,0.43819126531760366,0.48555261973112607,0.8028517663152415,0.5624671749739761,0.33886542310231615,0.6669335789480327,0.7382669552523646,0.34220877777022407,0.5985522990515076,0.7550003580621718,0.46290229943607636,0.48892815784055665,0.6056664043664919,0.6012927018452888,0.4970083566775676,0.5886847118277119,0.79874660590452,0.6664087912010744,0.8460991044344659,0.7627759266863292,0.45210534774307487,0.8031281214792108,0.8342320847528619,0.7504135008902882,0.780298337389245,0.8572992104887222,0.5423246864075937,0.517580527299454,0.44183823990323867,0.655776807706147,0.5581814994423011,0.7242773157525046,0.6036622173203148,0.6790266719448197,0.29274677544020794,0.6784646231798928,0.5924305897213499,0.5739180923703842,0.5851279712172529,0.6801499250979183,0.598469506689018,0.6238990019037681,0.7151898011315955,0.5942646624088148,0.516335752820043,0.7607006780309022,0.66070595808597,0.4624076726590845,0.6368708226905859,0.6226610570626439,0.6948827836136438,0.7505339061446817,0.6083071789559673,0.752608320933582,0.723190346203123,0.7793848452647435,0.8474124976020992,0.6677065705252543,0.7261400147058185,0.5306436698811339,0.5670751211231898,0.32886184687722586,0.6569025414199274,0.6070972271701606
lh.cuneus,0.5785036882268645,0.4882067500029529,0.6410134075285477,1.0,0.3595464984890538,0.5188654177344909,0.7647815950166641,0.539113070590908,0.4256034123430461,0.7817590101901132,0.6165769723346685,0.5016456701776105,0.5280948117995753,0.6667963638369193,0.33250110972137614,0.44318393438485615,0.5093715048464716,0.472051179326441,0.4045963420865721,0.7042102456651216,0.7240541099135552,0.5710796905548404,0.6945605459793658,0.7545737845385333,0.42193106149456044,0.6060280105287487,0.6592869308067335,0.7487206756762651,0.6779253454703805,0.7130864375843264,0.40731230105933025,0.47742284919663175,0.5472953652231501,0.6207846401272626,0.5227520879028215,0.5679002810104717,0.6048819680126132,0.8121442449657712,0.33898129125529525,0.6286419038640596,0.7323778083492419,0.5754982325645771,0.6337849844550788,0.7421044287361466,0.5531400795815707,0.664569004630113,0.581427854725548,0.6011419118988803,0.5001678432317352,0.6731221744395871,0.5298047022417486,0.4579566898641351,0.4856788487432188,0.7380040120484861,0.7062421706670703,0.653832041910383,0.6077233299109189,0.7911422319479573,0.5404899714627649,0.6080355942858411,0.6461084750267645,0.7632467161762172,0.6349036129533778,0.6227795235990412,0.46699209976549927,0.3829405596300372,0.5367995692325714,0.5348542265825313
lh.entorhinal,0.3827388445493196,0.4513913820500817,0.43819126531760366,0.35954649848905373,1.0,0.6268682307632775,0.44700710873601973,0.6472303051435353,0.4636523704383108,0.40039645427392434,0.5231110767885045,0.4377989488404022,0.4829763354749002,0.5615191890097261,0.6373353366876283,0.42441948108469446,0.40199645944520923,0.404565121363007,0.3285367579842283,0.41120186012322113,0.48957166928755846,0.4693324062983881,0.4963463857440561,0.4861355281627136,0.4270028843924943,0.37438008121517274,0.4675558844559632,0.443855758836959,0.5378336243894812,0.4683316432044093,0.2943335412062612,0.6132489721101329,0.41254770648733785,0.5278618649168528,0.4242659488639697,0.4764909978289004,0.3302414979667599,0.38643310327896,0.683792693587503,0.5923559890883672,0.3838133587990044,0.5509604776382383,0.5367044751729526,0.4341385155560304,0.42208828623878564,0.5514701685161932,0.4650422061248004,0.4797204700025673,0.5680521569812195,0.4566452897840037,0.5044640861770949,0.2120122690864725,0.3553252788211487,0.44045109502813323,0.42553265649478983,0.48031140380775145,0.4009398749266997,0.4716765451114148,0.49922921517566554,0.4529108148130386,0.4284701251888949,0.40035561494952465,0.46179574236585186,0.41074807509881484,0.30742465461818863,0.47813765912954326,0.4264979571721206,0.5508660767885927
lh.fusiform,0.5173403661449836,0.518374524098188,0.48555261973112607,0.5188654177344909,0.6268682307632775,1.0,0.5736443509325143,0.8051871406353475,0.5975722203981689,0.6339608267925343,0.6062337247634073,0.7734157510579236,0.4534525534568948,0.7340951939744705,0.7300444114538355,0.5447000126323764,0.6274538932610353,0.5133830634492735,0.6120044779295118,0.6085384427427286,0.6774923789347638,0.4621489025048393,0.6570735292664232,0.6702405386551471,0.4765001486933849,0.5345725807609412,0.5736716411308727,0.6555184030593199,0.7304374450588659,0.5225176548130954,0.34164213433652824,0.5302263017208542,0.6313773190790138,0.7424285814391767,0.4729765802778232,0.5979335149793951,0.5385906239430408,0.5651661750328393,0.5531245428211482,0.6116643982377277,0.6586686884740841,0.62488652266471,0.663457540066591,0.6066837369948529,0.38080507977576483,0.7549192165253749,0.46316670529997345,0.5247879065933175,0.6198521125755225,0.62814110063969,0.5516400034294355,0.2098808588700642,0.23763640025145702,0.6297056294307797,0.6406250136059892,0.5451605497711903,0.626492119610807,0.6630633421116642,0.536126460999965,0.48614230117674284,0.574879895605841,0.6251000126833703,0.49541274983071587,0.6818846171115146,0.31650819696284116,0.4940617724553618,0.48068479444758244,0.455103015256572
lh.inferiorparietal,0.6782966443802533,0.44980073159594824,0.8028517663152415,0.7647815950166641,0.4470071087360197,0.5736443509325143,1.0,0.622766791331523,0.33500942757163565,0.8546884203156425,0.6920397002947358,0.42034646064139763,0.5769063680268814,0.7879516250049635,0.446417653974409,0.5032873438775074,0.5245988274837767,0.5519091587858417,0.4159679421942883,0.6924116930243871,0.8159448671927474,0.6340396977955653,0.8035372821293897,0.833363772767557,0.4918969607309444,0.6588909954390365,0.7660473633696919,0.8718806031584652,0.7891172844462997,0.9029277146283304,0.4461786055347095,0.5219834313335863,0.4997086473245332,0.643040373888108,0.6518702738342005,0.6299591795563247,0.6038393517643665,0.8200878504429607,0.3494542454093716,0.7284732294491826,0.7654106531363332,0.6275023134169093,0.6191314746322891,0.8139066739312397,0.6147220906875084,0.7026805357898797,0.6749793998907377,0.6579827867444936,0.5580752656985113,0.7904989805378414,0.6319256622221753,0.44762396325292875,0.6016670566362974,0.7266424593692197,0.7287789191689154,0.7223389843735355,0.6143992004829916,0.8575999268760455,0.6258053913381791,0.7183420546139131,0.738987612325662,0.788010290659549,0.7157638486695685,0.6201421387668483,0.5018319376359955,0.35849112819743817,0.6269420835258994,0.6184248383585957
lh.inferiortemporal,0.5825663039442642,0.5330729005216038,0.5624671749739761,0.539113070590908,0.6472303051435352,0.8051871406353474,0.622766791331523,1.0,0.5498940853232734,0.6417834878081443,0.6352113125480313,0.5992319170525418,0.5078630083494279,0.8135054190299763,0.6227888158864382,0.5151101571988045,0.5999886170167512,0.5088011951377687,0.5195351913194025,0.6050813171531854,0.6737290950184486,0.5510801084628721,0.6684044961694664,0.6867487766369532,0.4739548179725621,0.5439687246536931,0.5901440808491702,0.621434610617181,0.7625737856980602,0.589879692387468,0.3865811181213171,0.6051342084111524,0.6227744338252937,0.7092565685603471,0.567642643172852,0.5662293210221286,0.4955570031143378,0.6075400044472663,0.5105896195352123,0.6959300493634796,0.6280192951471528,0.7190288417248462,0.6485933014233355,0.6599254547611563,0.47291840585371764,0.7244419961561083,0.5638981599035594,0.6505587615386551,0.5736862776760222,0.5704832045039112,0.5884624437982107,0.3310255757923835,0.3864308789703568,0.6539281305589666,0.626794877648256,0.5837170462995759,0.5855032151790436,0.6501422434536017,0.5625557013848521,0.5489604406474199,0.5554043424740559,0.6089007776681474,0.6084271430277609,0.6291472896135398,0.36769991665341895,0.48968793053314597,0.5255064742071355,0.5622329371538615
lh.isthmuscingulate,0.4495478179962278,0.5689661536594973,0.33886542310231615,0.4256034123430461,0.4636523704383108,0.5975722203981689,0.33500942757163565,0.5498940853232734,1.0,0.39828367727997643,0.394677995501857,0.7212630195268602,0.37131054168194944,0.4816360244953794,0.49061208359161923,0.45200804254347543,0.6167234211798511,0.2977426461764262,0.474277011209457,0.5714687209269573,0.5177966054252645,0.5030002938150084,0.504698142170634,0.5722202397333552,0.3216837205177365,0.4451474960956374,0.4308187407991695,0.38771238550726916,0.5283937479486719,0.35860630531091814,0.2573050058633981,0.3561629156210403,0.5919458934615692,0.6640512246882687,0.2397522588515316,0.48779774393470166,0.44053164326571365,0.4205950151832561,0.46295403025615045,0.42915097558735554,0.47035001473062094,0.4491976882177916,0.7315617125032247,0.38086109365238024,0.3100385530092231,0.5741212586921912,0.36577078589109324,0.40250636650188343,0.4821383719929203,0.41455794541823876,0.32593949571676895,0.27570200755639945,0.09225670304096431,0.5457844058685026,0.4748855155766962,0.5024456905905305,0.497469756835166,0.5148421904411193,0.3871779824196742,0.29597314804442015,0.42514460161015766,0.55040462286297,0.36630284460216805,0.5337357113776975,0.25645595866179,0.42990075280886875,0.32241225979885174,0.33307335196212773
lh.lateraloccipital,0.692839145060328,0.4948334911661856,0.6669335789480327,0.7817590101901132,0.4003964542739244,0.6339608267925342,0.8546884203156425,0.6417834878081443,0.39828367727997643,1.0,0.6560606741344505,0.5610788294482337,0.5455131512612713,0.7652356624768636,0.3969220900547698,0.45767172102823966,0.5319045041784187,0.5187472214609737,0.44070048038330567,0.783288233338921,0.7508019570622505,0.5634224702166856,0.7148820773335285,0.7836039687822796,0.48738466889853155,0.6230283990889087,0.689791691393993,0.8016483785928225,0.7509328462770428,0.7556209894489894,0.4234041291811554,0.48723797194801083,0.5846986530996969,0.6611063099422483,0.5865860564349109,0.5646739378244381,0.6355837186881554,0.8358283641138677,0.3974119183780834,0.6853790433197234,0.8162716037317285,0.6216163066494956,0.6234950704940366,0.8516700239295962,0.6113926158046769,0.7192343670451259,0.6228388655567598,0.6475490701010531,0.5493360600340674,0.7150907182881138,0.56284842877251,0.4676890523389253,0.4938307085606962,0.786088053705043,0.73585439600195,0.6496346915900775,0.6418394779956418,0.8270182175999752,0.548984338133132,0.6561426599465087,0.6706630049611183,0.8028268017558176,0.6564489872189582,0.6727451000814543,0.48036996773864227,0.40950620591404363,0.5301493771364898,0.5129921603468002
