,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.5894453737321581,0.7254840808138827,0.7618673051397264,0.5629774358411646,0.8121454533680378,0.8466008935983543,0.8254121789020303,0.7231189560882942,0.7843458509450948,0.6258674382959453,0.773807197235533,0.47617236798660095,0.8737458115822121,0.5162216568820809,0.7125715494655125,0.7233921423058687,0.6523584913884694,0.688825855425871,0.7260845988684084,0.7935324090019037,0.6826268582797202,0.7766563192867462,0.7710950949490157,0.5385014949139137,0.6398566310350947,0.656998316555978,0.7652355589538841,0.8618185808433569,0.8612931245517546,0.5019406193883654,0.5706664838240261,0.8199873167638265,0.7461446096919291,0.7053009895559856,0.5714590970010774,0.6337505428980916,0.6993153342963403,0.525747129710302,0.6240457353915002,0.6863383869288125,0.6089897090484975,0.676216601287736,0.6552093503938561,0.5237334756283348,0.6741622238571816,0.4215433017298669,0.6420674356360923,0.5031687074636685,0.673274870928713,0.6110773447137979,0.5476200492270507,0.5817938926415475,0.6618723513290791,0.6749448647511708,0.6510123432791503,0.6679477469653111,0.7044225437164437,0.5329730732374303,0.5542482410430832,0.6108331308363482,0.6843153985142298,0.6744992795305902,0.6910742547435194,0.4513373460211574,0.5169978993928308,0.6578445295651394,0.6020184427440345
lh.caudalanteriorcingulate,0.5894453737321581,1.0,0.8944476338598673,0.6521107795519389,0.5601276501391715,0.55392097013093,0.6949644377979937,0.5836214743123992,0.7337728746169986,0.4906021273642462,0.8150774921865713,0.5862426083524711,0.7257050136088689,0.6614157966883809,0.4534418161345951,0.8285825321835558,0.8650826388082848,0.7932598720838003,0.8386368052581958,0.5839215936312486,0.8096074979497963,0.9019877637416407,0.8420669441830327,0.7819466451551979,0.8618665606425229,0.8779672567180122,0.932540720631417,0.7496562200177133,0.7434045350445457,0.7588411129422986,0.7888844501521062,0.6735382827008805,0.666978349571609,0.845311804696157,0.6933485616600579,0.9390414023963083,0.8893130564675195,0.6703055367230273,0.6218883712952259,0.5840391467148082,0.7523399516852508,0.6333360817465895,0.7769505037796296,0.5457079303537419,0.7620927423372675,0.6222287347412003,0.6796688530807832,0.6902982894824501,0.5524377322443974,0.8511043616981129,0.853173570184496,0.7586825855679822,0.8137219499031306,0.6211432958500247,0.8484780018349447,0.9004940954998989,0.8586490814475234,0.8016278925293587,0.8790600410995838,0.8528829704155146,0.9233597111028523,0.7936073673410698,0.7576942659337605,0.8174632105985309,0.7549365328227733,0.7075224503569788,0.7318048173188458,0.8362967028006766
lh.caudalmiddlefrontal,0.7254840808138828,0.8944476338598673,1.0,0.7497440766474176,0.594634150873108,0.660911531022309,0.8130665869243889,0.7072094758105634,0.7757932345318362,0.6203194168711587,0.8318774614882433,0.6714492852384303,0.6957035341160921,0.7793369704618958,0.4762990898832683,0.9069503346696002,0.9439167629974148,0.8489383034990957,0.9087064057542201,0.6767550393949893,0.9259499965443106,0.8957392996734457,0.9641203708796163,0.859880196637032,0.8146239397128682,0.9254410346607401,0.9657964894521296,0.861711925077647,0.8516505680182586,0.8821580760859447,0.7805785994835908,0.6914587796465111,0.7801090899995796,0.8762539141708054,0.746629290993303,0.868543469147058,0.9167493946848523,0.7480569376075584,0.6094492346264722,0.6270135914654277,0.8251603450435764,0.671199943106755,0.7930207673335685,0.6475486115376696,0.7299531606826085,0.6764991312545349,0.6401639987658024,0.7279462360818416,0.538346960017738,0.904766383701966,0.8469225052571009,0.7497550941571194,0.8063816767957644,0.6911299494671277,0.8986298716528514,0.884491148127529,0.9159834181832267,0.8613940296561929,0.8133710005278085,0.8410830525217176,0.9279045579174847,0.8722402798309555,0.7787479873718678,0.8683872524117359,0.7255914192277498,0.6593233249423406,0.7669993810482172,0.7905311873271131
lh.cuneus,0.7618673051397266,0.6521107795519389,0.7497440766474176,1.0,0.5213930727613071,0.7501906970268485,0.8984313940945466,0.7183483943598161,0.7773636623152571,0.8901012563413058,0.614472809352199,0.8662885877786588,0.48876114441693597,0.7545107055265221,0.47881562416162016,0.8203338442483606,0.7212414294551585,0.6440208915303951,0.68959543772647,0.922116784402574,0.8391631146955753,0.7539071363013505,0.8117495187356446,0.9061371287908101,0.5731647760388844,0.6652780610939458,0.7096186429562301,0.8971029054588165,0.7737543969683913,0.849454486074987,0.5298448212707684,0.5592472064230859,0.7543318455140072,0.7202329508775682,0.7360166366057557,0.6297271810442199,0.6924977934166195,0.9348887567835218,0.5400972129435323,0.6964391174883016,0.8297093658166078,0.6815663955161169,0.7728898683901286,0.8349834665056581,0.5188501826126293,0.8285464705684429,0.42400421771017577,0.703191446255173,0.5388518861636882,0.7849386263373791,0.6489611015644388,0.5458194025925666,0.6039286071110671,0.8880853896632507,0.7790781553442196,0.73224466293529,0.7589726186366282,0.8730583792202947,0.5606636504715234,0.5919095815832321,0.6683443914756023,0.8465248597913259,0.7095616298410096,0.785789207054292,0.48348695719124335,0.5375570939180241,0.7082190765392828,0.6549677497667545
lh.entorhinal,0.5629774358411646,0.5601276501391715,0.594634150873108,0.5213930727613071,1.0,0.7464738261761005,0.5090977624577758,0.7496924882264931,0.5681705795961982,0.5018089462705624,0.6989764514332539,0.5831401557898788,0.5617058374216808,0.7102519950416895,0.6496994964748921,0.5241548402815558,0.6711937713607756,0.668713985967987,0.6637988998769355,0.5048553137668481,0.5569841038998498,0.5411441024512673,0.5907464809753216,0.5201087657721862,0.5936535286869078,0.6264412716934629,0.603372252398673,0.48348925740905435,0.7173990865012224,0.5633699418608563,0.5723047751177702,0.7662248684000972,0.6263445653658293,0.7306626036184697,0.5742618608985391,0.5505278557576855,0.5521751655040672,0.5269935428419582,0.7121122818997826,0.6279193989917822,0.5529357192834303,0.5873357785007097,0.5976552899006304,0.5213568475710979,0.6007687553194679,0.595853117959699,0.5026522633850085,0.5767036138761407,0.5995340895013076,0.5241727532333759,0.5822195134907356,0.5643585115675499,0.5669960202986045,0.5281951972495782,0.5505161094681088,0.5254251375470851,0.5573811841319,0.532205787713489,0.590554992667876,0.5599210494695388,0.5781506685133999,0.5203519018379674,0.6121464015805087,0.5680365222061007,0.5291550290989038,0.6171449742409691,0.5889122130068006,0.6218400691150292
lh.fusiform,0.8121454533680378,0.5539209701309299,0.6609115310223089,0.7501906970268485,0.7464738261761005,1.0,0.7591064623028807,0.9271122909159636,0.7347774801177044,0.8085806764878514,0.6595785893311658,0.870032631828069,0.5103515884330806,0.8756374402839084,0.6920107401948552,0.6492777541841787,0.7068986046194647,0.655737184121859,0.6787977058224989,0.7484639836996617,0.7107039575413281,0.631487374687705,0.7142738440978565,0.7153786963212578,0.5350346513872944,0.6170264721494051,0.6168343665145254,0.6860294332230183,0.8382128634477775,0.7747048542210074,0.5109739478328829,0.6635855024032657,0.7904927588339464,0.7741397150336228,0.6743579637724524,0.5457458622890237,0.5883615261401666,0.6960310558872521,0.637413543941427,0.7550665715535978,0.663581647615054,0.6833433270718198,0.7029471849794162,0.6986580787812504,0.5429380665857805,0.7692118167931074,0.45343372673247656,0.6642843150495841,0.6342906204447163,0.6146215153152695,0.5995942352152613,0.5335073555466893,0.5612138455252695,0.6996410749530164,0.6260065748430603,0.6037854807610196,0.6247262268243132,0.6620310785958683,0.5313189100513799,0.5355781457100599,0.5788769683020025,0.6346602848271322,0.673213426224515,0.6580043299775885,0.4633605899156343,0.5661670172844144,0.6566565053894526,0.6274354971632452
lh.inferiorparietal,0.8466008935983543,0.6949644377979937,0.8130665869243889,0.8984313940945466,0.5090977624577758,0.7591064623028807,1.0,0.766912894191155,0.7976156084654222,0.8637773590732764,0.6400463148515564,0.8096901772110506,0.5106924297129712,0.82482218437006,0.47698833392118034,0.8494427396609081,0.7661961842718085,0.6686474922211365,0.7202614389682683,0.8407158083500414,0.894301371888603,0.8022711680987361,0.863416537120776,0.9292506416183297,0.6085036502599744,0.7063308278742518,0.759039657259625,0.9438034042172184,0.8253962772585755,0.9474526235460541,0.5595208859689982,0.5626208540205185,0.7724338228078593,0.7519397523564662,0.7032321336759959,0.6743981137397792,0.7495761343027059,0.8294487479893229,0.5133380333549843,0.6073509671127424,0.8069161455493444,0.6188164180281219,0.7556219563035613,0.7121209193258089,0.5490308611784867,0.7146313146666948,0.45606663245639084,0.6633586234772126,0.47768358338659633,0.8044604706071219,0.6891226538459153,0.5863844512409787,0.6453529453832869,0.7675526376158707,0.7937829459955863,0.7741206565559542,0.7842855067739943,0.8585417073296105,0.6002596022950855,0.6409851587163031,0.71923203452398,0.8449805513112945,0.6898923969070102,0.7963542757385725,0.511041315638157,0.53534994957433,0.6787933832254333,0.6509453959432172
lh.inferiortemporal,0.8254121789020304,0.5836214743123992,0.7072094758105634,0.7183483943598161,0.7496924882264931,0.9271122909159636,0.7669128941911549,1.0,0.6865384815365161,0.7740701265633746,0.7094961432786138,0.7826884072413237,0.5518032621653371,0.9447234946151329,0.6002841311749153,0.6581193957388671,0.770106023250037,0.7262912236528213,0.7462886977911342,0.7090284332563361,0.7371290820397787,0.6318584840013589,0.7428795775485143,0.7086044661002323,0.5862437090777679,0.6886197545132219,0.6662025822093828,0.6853706427502467,0.8828369782193805,0.8024205883218812,0.5796816187131755,0.7032764740506308,0.7791000232676776,0.7833282207183416,0.6505569666984609,0.5624338285113636,0.6231428804687197,0.6628648446675449,0.6264188910117191,0.6886276124987839,0.6662636674193259,0.6735848513000849,0.6565718382705913,0.6542177234951003,0.5833335366536792,0.6897473894829133,0.49165419021053475,0.6595736796293296,0.542127971363391,0.6297082804193723,0.6269916770168813,0.5864354188904439,0.6034246833759167,0.657005698952104,0.6436014457366799,0.6035554656732771,0.6421101058891485,0.6627277888079989,0.5746643181032567,0.5917502398691341,0.6259656146753305,0.644934855855973,0.6668966675091282,0.6689183416944136,0.5285478972218116,0.5698010637996972,0.6358021580394109,0.6132390342373467
lh.isthmuscingulate,0.7231189560882944,0.7337728746169986,0.7757932345318362,0.7773636623152571,0.5681705795961982,0.7347774801177044,0.7976156084654223,0.6865384815365161,1.0,0.6839983947914368,0.6543198499422325,0.798164894730428,0.5394299869529156,0.722180531654221,0.6607424505417105,0.8118334868198388,0.7463525156240343,0.653990593363764,0.697480835631294,0.7353955389468103,0.8062879745861635,0.8394438396566677,0.8038347048980865,0.8611443827215883,0.6256073998548843,0.6872302214454286,0.7470331750859021,0.8088542806803034,0.7625153492039184,0.8132065459343252,0.5508952751819265,0.5942733817778632,0.749807684261811,0.7879144168669213,0.7123121574676528,0.720588478960799,0.7196020198065194,0.7680730391075414,0.5665292018550838,0.6501022044410536,0.764583468079692,0.6161769125290893,0.9062492971418625,0.6484790102925257,0.5568247440921398,0.7499794246192414,0.4804045609947188,0.6510664268738229,0.6547408197564822,0.802027780036669,0.6796128566853602,0.5354763074851235,0.6081502151368536,0.7267105365090811,0.7695433523420719,0.8311812761179387,0.7607689502311351,0.837267797248344,0.6223189099539064,0.6081138770853397,0.7130298991469796,0.791579620882266,0.687732591733917,0.7788700035980299,0.494481640199662,0.5584293747759084,0.7014896452865145,0.7041218576272372
lh.lateraloccipital,0.7843458509450948,0.4906021273642462,0.6203194168711585,0.8901012563413058,0.5018089462705624,0.8085806764878514,0.8637773590732764,0.7740701265633747,0.6839983947914368,1.0,0.5253392860848972,0.8616687372633213,0.3966529278561657,0.77490631044972,0.48566823928795133,0.6815930467047878,0.6092615188878934,0.5526921961478117,0.5850693845143775,0.8839011122346292,0.7444659717553864,0.5970149530102626,0.7049161284573265,0.7813086798460627,0.4512365501815048,0.5393318383736143,0.566627707571583,0.8027890710443486,0.728641601790639,0.7983855579917896,0.4296782990316481,0.4879254117227132,0.7084358476344629,0.6236926262772988,0.6441574144751963,0.4777849125622864,0.5701458125781478,0.816629922047828,0.496643175337481,0.6667293397487999,0.6964157522265415,0.6322868193966297,0.6420210918156392,0.8152545601143022,0.4535427048087158,0.7633370806596909,0.3574741834453815,0.6305963517541235,0.48832863346011685,0.6258758471506464,0.5532639912135996,0.47954572934983014,0.5229893692289961,0.8015412860946334,0.641403871329676,0.5593565276000992,0.6291414448135474,0.7107772443692488,0.444449170420131,0.49152208592839364,0.5334697707759035,0.6967832595618574,0.6237549973524953,0.6516367081410614,0.39833132896827744,0.4629688097996308,0.6219947586215845,0.5429489908643154
