,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.28053813426342195,0.4584754701533132,0.44686155433760677,0.39800728183641154,0.5471277535023463,0.6345932653435551,0.5613291148696331,0.4395473364579113,0.5996692409751977,0.455575228410976,0.5065502138725855,0.44051122581215674,0.6156466005329257,0.4023998125639211,0.4346328876183236,0.4589453944677025,0.2882661558239232,0.37572765040418354,0.40502473792919286,0.5327146062548626,0.4814866304533148,0.531769330309627,0.505191341680951,0.37839434141228223,0.4325119647143306,0.45316251067234165,0.5375612237151949,0.5852433335818139,0.6385429697570066,0.25884791205636687,0.3579724672411807,0.47783173013470726,0.5515740556300539,0.5199209986146055,0.3438331759794001,0.4361768939992004,0.4407894340575787,0.3415449096233768,0.5192155829270153,0.5629856131737984,0.5056671789100927,0.484130127533602,0.5568032518112284,0.4116233018058685,0.4907737739429285,0.46865449612658794,0.5453508329600578,0.40338753516061293,0.49044290965639026,0.4648120889741595,0.3797789162476922,0.3988012798741577,0.43014844423646487,0.5066569491312969,0.49156992501042224,0.48771615518875616,0.567924647629027,0.44731104980023717,0.437808907060499,0.4741260952867931,0.4876701351795885,0.5398608028480686,0.5542487371299807,0.2670508386392941,0.3320515423560428,0.5104466051612545,0.5003889884607543
lh.caudalanteriorcingulate,0.28053813426342195,1.0,0.4814126366439873,0.376109307153603,0.39607837746149005,0.4527735483086018,0.4269520571765733,0.3673402065127812,0.4692653604405345,0.405435680478129,0.3887953950292449,0.49001492758812093,0.4642601711837371,0.3728329747105909,0.42130919046390125,0.46656233522036444,0.4320698580559334,0.2518771544569324,0.3725086836030484,0.38246715786763996,0.45524447156605014,0.5784975226646284,0.5589162131289824,0.4802837452743538,0.5429370090415441,0.3976248460751413,0.6000539081458787,0.40594636680689417,0.4684027727126567,0.4715736225520642,0.24247311811878264,0.3398117970795835,0.4148468097112533,0.527944078898676,0.37672186852531653,0.5452887486710059,0.5561749866584856,0.3462685275022897,0.3280014421775654,0.4242800585992376,0.43371138848634655,0.37646662171307793,0.4276714827717203,0.40086288353730176,0.4037359932514428,0.47581624791127797,0.4436894013682133,0.4250788031682884,0.40400055047744576,0.4417737300707521,0.47008132993678176,0.3266167955599944,0.37829038781268187,0.37345628100593414,0.4548233354486278,0.5541732106905091,0.5626454322928106,0.4623077588463247,0.4535488664005926,0.4803503653919708,0.5734781475762644,0.426528948047806,0.45730651957265905,0.477360715135608,0.21755247273471098,0.3316696224583108,0.3789860298053557,0.5461349478352332
lh.caudalmiddlefrontal,0.4584754701533132,0.4814126366439873,1.0,0.3998724203903458,0.45512814573344046,0.5074080371435624,0.5506599076884967,0.5124759456429447,0.41614488449007453,0.5462177077501276,0.5310228414563228,0.5080849911221762,0.48111401470001874,0.5649972812112335,0.4428744873666571,0.4475683370955669,0.6829310270152109,0.4317314194157281,0.6419513131255984,0.44255607130328495,0.6637865280437896,0.5242581607106862,0.7361398434076144,0.44185448208921746,0.5744557808379496,0.738564006568679,0.7885680081896884,0.5071613834374806,0.6055657278620098,0.6636334318796947,0.2816443960653172,0.4378909169977593,0.4983080553239728,0.6873118685603268,0.4352307616334298,0.5507887405149662,0.6770521710366018,0.4090023930275836,0.38416056169130774,0.521714088023708,0.47902946677012104,0.4913629800412705,0.4597876738648099,0.5178965507194233,0.4740936643163968,0.5097625847545928,0.5107425406869095,0.5526194989769491,0.41490677591798986,0.5820533852376469,0.6272499101651783,0.5059670515388047,0.5962971434766027,0.44292326343972727,0.5931557114289765,0.5576942251281993,0.580092121429263,0.5075193618291681,0.5668285110504586,0.7012728679419974,0.780446411010902,0.3901988232426786,0.5532352444453132,0.5157001665639331,0.276631112189211,0.39411269129550175,0.48085895040036924,0.5276558785412724
lh.cuneus,0.44686155433760677,0.3761093071536031,0.3998724203903458,1.0,0.4395472181895121,0.5698168248897074,0.6279526078656396,0.4660799755705924,0.5696253856946227,0.6528911310448214,0.42056518950664357,0.657643049811515,0.4714560846280626,0.43331139208539454,0.4733438098696102,0.6039557054673863,0.33334713145548867,0.22510725860897007,0.30112909075048017,0.641830523609515,0.542197229565326,0.6134339001753842,0.5237359178474257,0.7003078886799974,0.4252512356148453,0.3156849223786386,0.46543356151052895,0.6461817945667467,0.4815866197852451,0.5726607658143009,0.2697790346327584,0.346114070664875,0.5022943497331332,0.48865980331957215,0.4799906422520463,0.384203238449959,0.4905684935014986,0.7268585707444746,0.37837279294233606,0.5517733395032265,0.6251642632072113,0.42116379841799906,0.4879802672824831,0.6805684369116075,0.41788789170071156,0.584516678735739,0.48186828162604267,0.4677796860788817,0.44342836963695953,0.4990921571615395,0.4436089516234232,0.32572867348500384,0.330530726331371,0.5518285933703976,0.568209206298432,0.5337480497163899,0.5849098019344662,0.6701655680646055,0.4210711392980614,0.40204602891697333,0.47032175043842805,0.6958048733260453,0.46914417878657816,0.5981156287568455,0.320454613036796,0.3169226748306282,0.4877643331551546,0.5810278713620308
lh.entorhinal,0.39800728183641154,0.3960783774614901,0.45512814573344046,0.4395472181895121,1.0,0.690393368849211,0.4554963336636195,0.6355980292285757,0.542049754852228,0.5429488242972266,0.5585643726937557,0.6005972035279792,0.5626333843746996,0.5454726955495202,0.6398879603852032,0.4539384302322388,0.44728927923551326,0.35113324432454457,0.42057893100538013,0.4782475641439121,0.47350449995605554,0.5406625577470159,0.5033470945699503,0.48372730955995935,0.47922699458310153,0.41757490269147113,0.47310305955789583,0.4150870509071229,0.47951664580204173,0.4782890810637606,0.30002359965377834,0.5775687451110874,0.4923986613115214,0.554884178384813,0.397403149021861,0.4437336150444435,0.46677694738800873,0.42548187826958683,0.7073735416668646,0.6167359605757965,0.4480779186133577,0.5421716363215763,0.5146386923803579,0.5044414086480615,0.5785999982887162,0.561622307650654,0.5413046037592859,0.50858664445527,0.5826311097725212,0.4623175735184676,0.4457123233369109,0.3937918231155876,0.4259992932702753,0.4606755040203841,0.4806276966935459,0.4736977157696379,0.5028249229817727,0.5073873175441029,0.4582462515091645,0.46079934953528023,0.4606648453387769,0.4528487506485974,0.4389117887844483,0.459964638061798,0.28579910668886527,0.4331851026823053,0.46651037891255015,0.5688684346761154
lh.fusiform,0.5471277535023463,0.4527735483086018,0.5074080371435624,0.5698168248897074,0.690393368849211,1.0,0.6206386628431588,0.7570535949287874,0.6302498349527632,0.6896335854970772,0.5519018482666557,0.7596201204400465,0.5795711122274397,0.6422716061791309,0.7361285607205158,0.5351546396013717,0.4848005203811146,0.3534061785842998,0.4179268271644859,0.5493878515498674,0.5813035576342753,0.6321458740848066,0.6075214061416672,0.6347894741031989,0.5074537153275208,0.4204410755641519,0.5415189655837418,0.5606843271289965,0.6497709538476574,0.6428544931585503,0.2793158828536283,0.47786247810143634,0.6042303983696167,0.6609248205331221,0.5338862148394069,0.504185183126902,0.557707186902203,0.5472471837544465,0.5696088579639553,0.7860963745648853,0.596713332434466,0.6453451967083353,0.609038865775878,0.6603871937376019,0.5711280681964771,0.7030203520513747,0.5781185177572629,0.6168940243641708,0.6757441275852141,0.5485561563018178,0.5378798286531737,0.4124939214534,0.44339175364567673,0.5294710693990318,0.5819423939547419,0.5864687346786713,0.6088777390877754,0.6613631522962726,0.5147367433590148,0.4864643616045295,0.5375202154977602,0.5786020588065873,0.5981922903680593,0.6159533480598867,0.2798498973601537,0.4200085438425224,0.5726161769649725,0.6808252196821938
lh.inferiorparietal,0.634593265343555,0.4269520571765733,0.5506599076884968,0.6279526078656396,0.4554963336636195,0.6206386628431588,1.0,0.6069533013946443,0.5539632146785184,0.757559355395047,0.5393429094420773,0.6215759467044111,0.5609976326177293,0.6796719643782475,0.46300281051812925,0.6357379835552965,0.5414146653657174,0.3369133785990344,0.44440610238853834,0.5627906612392198,0.7034229133236908,0.6141546992403079,0.6962169029134004,0.7552274900137181,0.5089959978826919,0.4769518729219804,0.6139887480369399,0.7849329049082107,0.6519804351870542,0.8143145360356225,0.3614662008747111,0.4079032897335748,0.5975912163794163,0.6581046764206518,0.6033904224570907,0.4714239359153635,0.5896406709537815,0.6180727704662637,0.4400262277500074,0.6071700028849095,0.8296271682754529,0.5756623749123019,0.5831760889944111,0.7265852563704445,0.5005686672451372,0.5863409369850502,0.6002000836557141,0.6303013504344902,0.4992880793723508,0.6668566260223613,0.6069030392709065,0.4585984596025652,0.4870843450265708,0.5469363536720978,0.6861040365585671,0.6170085612819521,0.6757696104313096,0.763983676519644,0.5195596735513306,0.5484161043358944,0.6291723693479752,0.7386392040034314,0.6234871709873666,0.764656155187634,0.39139216186668147,0.44941341307255717,0.5638727988455403,0.6599834977085642
lh.inferiortemporal,0.5613291148696331,0.3673402065127812,0.5124759456429447,0.4660799755705924,0.6355980292285757,0.7570535949287874,0.6069533013946443,1.0,0.5049920127443995,0.6347422787526702,0.5968855845987946,0.6157473966670959,0.5648554294319508,0.7147675318500443,0.5635048676376185,0.47885381881875494,0.5290801520852423,0.4284380403622868,0.4936628765426735,0.47513943206336584,0.5806614652467325,0.5299796577839084,0.5899996303570456,0.548724505496352,0.46545503377507824,0.5109931391264573,0.5304938754991216,0.5244397954900311,0.6695064794933576,0.6281347606902566,0.3285685195968067,0.5751592210914215,0.5568065228357921,0.6127595531346843,0.49112803280742856,0.4222388263201206,0.5205119071145277,0.45454353148279963,0.557286729688221,0.6598599694690722,0.5683721823924649,0.7287195013820331,0.49156950356881995,0.5867098412168112,0.5895322925520117,0.5616408055015546,0.5633334928566467,0.6385316466723937,0.5358589617708011,0.5171377773376762,0.545825422230514,0.462956222902573,0.5048307726486052,0.4509721527104997,0.5676573566823084,0.5190798080976431,0.5702665092425805,0.5640723258985237,0.48236870741899246,0.5448537212272765,0.5340130995549471,0.5186155996614786,0.6032739519913279,0.5676861023385429,0.3230003609505169,0.4780035475409933,0.5429507919577976,0.5919630502728833
lh.isthmuscingulate,0.4395473364579113,0.4692653604405345,0.41614488449007453,0.5696253856946227,0.542049754852228,0.6302498349527633,0.5539632146785184,0.5049920127443995,1.0,0.5435251353830451,0.4403246345387131,0.7029052798389849,0.533580421170113,0.4488095689930203,0.6415655333207844,0.5659518533549729,0.39208686864766173,0.3033269493724195,0.31724290350025297,0.521468710220959,0.4749489849135183,0.6966938755910549,0.5634506222096474,0.690131841771608,0.4904760405266832,0.3191169889739798,0.5133072729590507,0.4820751397120556,0.5314725710175991,0.5555431117151518,0.2766258419855038,0.37679197389881164,0.5233378181491993,0.5517375465192216,0.4838285430096877,0.4423566567100275,0.5257608268779936,0.5054184836069191,0.4264901915483942,0.580025157881609,0.5949818517915921,0.47526638975411944,0.6692599928578674,0.5756146613554758,0.48953338085210235,0.6047697793392773,0.5043186479305719,0.5034688337096391,0.5389178515400449,0.4411455245585241,0.4786318824935586,0.37632658565312205,0.38899299157903366,0.4551570822459257,0.5155712596244645,0.5796596060358502,0.6108278987291881,0.6326202727444843,0.4313974547694224,0.44548792938415943,0.4874838670012576,0.585769738888604,0.49895941675080924,0.5919511374453332,0.2559269462363666,0.34160506067042684,0.4975685632230441,0.6538750079392444
lh.lateraloccipital,0.5996692409751977,0.405435680478129,0.5462177077501276,0.6528911310448213,0.5429488242972266,0.6896335854970771,0.7575593553950469,0.6347422787526701,0.5435251353830451,1.0,0.5010842845117471,0.7358225594505202,0.5236805303109725,0.6332079612888946,0.5563432572426398,0.5280985050960768,0.4914700034125553,0.3250395195860969,0.40517830513545,0.5807749882927814,0.6616566655497276,0.5763346814951152,0.6585762335928953,0.6557910023853063,0.4733029546322866,0.4960208856670417,0.566858066333222,0.7044353666776072,0.6439938902612036,0.7163848962209743,0.2997469255774149,0.39183226335264326,0.5888698094342637,0.6671517204803581,0.5818255641384762,0.4801975907291838,0.5335472221417626,0.6893842687331881,0.47655687352543974,0.7002299881561749,0.702075311531912,0.5967150588908384,0.6369904909134727,0.8522233501327228,0.47336394288737116,0.7244920583654878,0.553702655159134,0.6321672679944654,0.5678519970891741,0.6509412631310348,0.5788884718721493,0.39949551963332497,0.45673388629014433,0.6651531302655052,0.6572758659015382,0.6005105390976021,0.6147360682708353,0.7265885097738171,0.5371794118395431,0.5238247383748278,0.596828970937443,0.6586781630139068,0.6164187063564984,0.6494365212465097,0.3249135835035632,0.37638819749161695,0.5878084938112026,0.6389752339716522
