,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.17216615127160168,0.4800647978731948,0.5702380297690979,0.4581690346753966,0.6675989725525127,0.7736486490733832,0.6378628197587556,0.5171133207109166,0.7576990116170574,0.42842466573795096,0.6503969605158152,0.39295632499356686,0.7737596556944962,0.5173590514604304,0.39109713301003146,0.5073791403424214,0.2766845994057668,0.3980590567541501,0.61646266457162,0.658603073540987,0.28769947180704036,0.6199813466623445,0.5644693261393386,0.21840180455092661,0.3831303710102924,0.3288296449778377,0.7126424352819576,0.7660162191838857,0.7655478474105448,0.22975121666641715,0.42115472864995707,0.6994376812534535,0.6194455731515065,0.5746600858947258,0.4163247490490448,0.4530427808424506,0.6211766748933646,0.417413380703926,0.5915785603463908,0.5897796793704109,0.5037861079084403,0.5306271799539037,0.5998367496473698,0.3500871419045658,0.6013288597468438,0.4279479850926942,0.5441967686541243,0.5074174958402798,0.60081492123368,0.4835618215492862,0.2581677698464926,0.3901336076174937,0.6028261162419282,0.5614003648156671,0.441022924117162,0.512233200655014,0.6376039901321284,0.3686774214998584,0.32578273255804546,0.4492005291373098,0.5616559235194547,0.57191130685306,0.5134535593470743,0.2002213695774796,0.3808098534939703,0.5843796360561255,0.4600254667746199
lh.caudalanteriorcingulate,0.1721661512716017,1.0,0.6390274120433898,0.31842231296540385,0.5095556166947985,0.39947712707910327,0.33314250487390623,0.34070144723686124,0.5641023168901389,0.19924571780831032,0.4500905702863651,0.3576162121913725,0.4668085291571077,0.35183062474121385,0.4178472136852552,0.6263179814785035,0.6125881176926083,0.19343394679220632,0.3994977414086247,0.3015682304603578,0.5224884765671549,0.7830295572971236,0.5362349250274046,0.5804995380916999,0.708459990930595,0.5033325142352494,0.7657066362017341,0.3518151542194133,0.4070258582480363,0.427178162663636,0.2091913633586473,0.4645436558699035,0.4506558552306604,0.564801326410556,0.31163364470828575,0.7446746315555788,0.6131954593382801,0.27153901910353695,0.41593657362601777,0.3765850353282516,0.3634639613930194,0.36496738169968806,0.5275060193294753,0.22920526122273735,0.49586570735951535,0.3967943516229542,0.4077758191906455,0.4266330468390273,0.4257809837726796,0.4691166749334149,0.5413207423816564,0.2970951862858794,0.43821986497703047,0.3198227592452628,0.4725055614310109,0.6854225568251723,0.5473791223257728,0.4799248544264878,0.5836237719606259,0.5411427034153141,0.6805034191004974,0.4473614711189678,0.42741156127234475,0.4874923084432825,0.15914343904466094,0.42320517816435477,0.30174866735882494,0.5734253840040425
lh.caudalmiddlefrontal,0.4800647978731948,0.6390274120433898,1.0,0.4536138447086583,0.4987125123390444,0.5090835573198452,0.6445901051387171,0.4908303265823539,0.5171496261605791,0.5031829988501885,0.581386144297074,0.44244594281218236,0.4715498746523511,0.628294505983273,0.4497270989305561,0.6794938894886045,0.8577945537365143,0.4048983322098987,0.7045754031849116,0.42181522500609564,0.8234653318490269,0.5909257852611882,0.883606159704245,0.6289072451769713,0.5421169451634602,0.8193810679841336,0.864130776394231,0.6651035858266138,0.6804616517906604,0.7433891367118172,0.34339670575012254,0.5443778515019173,0.6004320684426337,0.71083002330883,0.44478237236289253,0.7032519271286858,0.703842648472002,0.4822917433293294,0.36135026205334886,0.457700804560553,0.5777516912438676,0.4411237781125783,0.5252273980204846,0.46550298639534593,0.45798197229494897,0.48449632817275023,0.4275578917743524,0.4875773589799818,0.42646915412586556,0.6997179450486003,0.5913044380997295,0.3362387760343794,0.5217512329532451,0.5009692367440901,0.6344663208268608,0.6463243191854305,0.6746390362067834,0.6161990723917903,0.547477278567181,0.6265995024716887,0.836731648753494,0.6120182613684837,0.4948278783945141,0.584253117114575,0.2219158960830085,0.40931523133632614,0.41014850233513606,0.47236230975502913
lh.cuneus,0.5702380297690979,0.3184223129654039,0.4536138447086583,1.0,0.4713590785173546,0.6540084906218645,0.7102439716566366,0.5545652915041978,0.6538449542034541,0.7592496449877394,0.33357660323781196,0.7701989862453961,0.36891936160439587,0.6045614313096123,0.5498855260284522,0.5645476707159264,0.4440284649621095,0.10732948293471883,0.29201718589738895,0.8187641736416903,0.6360524988081416,0.5020123738030594,0.6010213556831818,0.7783831483642983,0.2796593251922837,0.3147452108418086,0.39998454696707175,0.6809103873718154,0.5909291056896112,0.6309406281379997,0.21707225570049693,0.3822032248815436,0.5699569401600372,0.5820265126040765,0.5098678385680341,0.47620107534916234,0.5224362964014899,0.7972510182177406,0.4427516278257433,0.6445465442638982,0.6425674907329764,0.5231362166851318,0.6639106869259462,0.7415795773381069,0.3234151786409256,0.7767091668055804,0.4023635549373601,0.5855704324652442,0.5565980253632039,0.62420163049858,0.5062153374456798,0.18252784609463163,0.36544244156507394,0.7487782436979011,0.6549364505740723,0.5846961977210574,0.6065586925896419,0.7408926897763097,0.3688122342913936,0.32500886447325195,0.48076741558440866,0.6885618822822469,0.5740205774414306,0.5957302892290675,0.1755639610697423,0.3795833518432165,0.5597520138788968,0.5788225038139426
lh.entorhinal,0.4581690346753966,0.5095556166947985,0.4987125123390444,0.4713590785173546,1.0,0.7410486483714875,0.47177514457990544,0.6564966227025947,0.705434403463926,0.48539090788572176,0.6114583693538728,0.6623571528359256,0.6842877583937377,0.5655523377311416,0.786453055650836,0.45294749714423255,0.48522486680502247,0.09271551448274656,0.2236391209242619,0.5522451092336126,0.552652565512385,0.5770511525470873,0.5683362329452968,0.5710388561600812,0.524743409996726,0.2937726123988218,0.4303986469608314,0.5180422754267386,0.5902744380274744,0.54714272326229,0.22227009805538014,0.6822331703224219,0.6335526432761993,0.7253898476099219,0.36422333318325856,0.6662179648410022,0.45000520822629075,0.4715618232547242,0.839173898660042,0.7064910413298195,0.3418397175427602,0.5714025662139866,0.7224208039721044,0.39030924918882465,0.6407025829300044,0.6491631649556381,0.6853020603018941,0.44311847758311873,0.7563853950953128,0.5946958464414975,0.4490862611885956,0.09186111020744472,0.27566673334164843,0.5522965122843081,0.47717127364200423,0.6881764125250301,0.46880832294183683,0.6004415593515334,0.6551440635691649,0.27573994477881214,0.506158590510816,0.3830503778194801,0.4425142828841332,0.3790069480497612,0.1707205667777552,0.6074719842368752,0.49697870113876924,0.5954261933618441
lh.fusiform,0.6675989725525125,0.39947712707910327,0.5090835573198452,0.6540084906218645,0.7410486483714875,1.0,0.6923957632721458,0.819985860751558,0.7612921222182405,0.7389154041684586,0.5480261076524782,0.8445795522650299,0.6175514147703018,0.7372272959452506,0.8362270719765693,0.5157379661821775,0.5313531750230578,0.15417953257857478,0.314676718626533,0.7271861464208446,0.6510331858505797,0.5613020643717652,0.6414788636546205,0.7260382932297438,0.42525497344458446,0.3013183708330127,0.3971028465090204,0.6758762564169045,0.746415613202525,0.7111026258736053,0.244822166248613,0.5404118911382882,0.7349264198439662,0.7634333272204487,0.48737801791253255,0.5918055343758665,0.49484722122805547,0.6553026218495104,0.6761254800485906,0.851139691196415,0.5249003847214307,0.6869759265995127,0.776970015269724,0.6148890162965892,0.5356459471870776,0.8027493439558917,0.626766768942425,0.5712100872550644,0.7757172714744512,0.6615504186762806,0.5244046402927262,0.16503567873121153,0.3559782872601153,0.6976426933135358,0.5749846469544064,0.6801662782083725,0.5583393790329825,0.7326648478454866,0.556882661524245,0.2871887871655924,0.48976281840518043,0.5641213249077793,0.5747116781528752,0.5071455083263015,0.1980079096600671,0.5223827229763969,0.6296840811924386,0.6355419636464547
lh.inferiorparietal,0.7736486490733832,0.33314250487390623,0.644590105138717,0.7102439716566366,0.47177514457990544,0.6923957632721458,1.0,0.668349475853411,0.5785644947608072,0.8467439124788477,0.4344083031254734,0.6867185949972424,0.38789206549675675,0.8140765808287637,0.5439608670122755,0.584777490023937,0.6321659652306388,0.30097742802483307,0.5087545163164723,0.6815629081331024,0.805254769444103,0.4407318161829705,0.7696026924617794,0.7627507744532954,0.337800910046771,0.5321101071445787,0.5401138731376873,0.8745016016916212,0.8032571420826352,0.8963739712396089,0.2928906721203031,0.4625839941510722,0.6866436432290135,0.6707608514365905,0.6166817565786797,0.5178272574931875,0.6194273134000619,0.7424495637153773,0.39981697629644636,0.6308093699105518,0.7909283420159772,0.5688512103300843,0.5956556537934883,0.693428725355299,0.36155215151614445,0.6800079260978367,0.4098035484512962,0.6373083848971203,0.537209211237145,0.719503524908812,0.6003617257574636,0.32916356459338364,0.5067534421457337,0.6935469508315356,0.7081210058932242,0.5611760947225399,0.6707679509152056,0.7858140709180034,0.4249909759389434,0.5029609749872525,0.6300296200609073,0.7634077066806315,0.6430696475527217,0.7029220918525462,0.22569617345538062,0.4128151029299523,0.5840052961838835,0.5305136732676397
lh.inferiortemporal,0.6378628197587556,0.3407014472368613,0.4908303265823539,0.5545652915041978,0.6564966227025947,0.8199858607515581,0.668349475853411,1.0,0.6349790358169223,0.6566499450351223,0.536436841274004,0.68397760825584,0.5568139286953335,0.8020653479865735,0.7185690367598557,0.45161350220717605,0.5196945686371877,0.19566562868722154,0.3511057581935125,0.6155230994777053,0.6073168267225004,0.46930535630084425,0.6035918719659867,0.6214707916290554,0.39217614233548465,0.30963665937301965,0.37308596460898646,0.6206007309955628,0.7310712098219954,0.6862960342075637,0.2089393256244485,0.5733616011023003,0.6788136937812113,0.6890194739657222,0.48553072803977626,0.5111980814331101,0.4626680715790241,0.5632265253729697,0.6091273673831344,0.7431816749201442,0.515435043539594,0.7702741190858376,0.6397380951570076,0.5510565837389672,0.4940136230908168,0.6525979087775969,0.5513195092971587,0.6254271232731481,0.6714892651830678,0.5790642650654888,0.48495683485681956,0.17771730022659213,0.355911583962608,0.5852253391822946,0.5435052051357506,0.5680246372245975,0.513643642113448,0.6396151180001738,0.4970629986107887,0.28763884497773223,0.4527488397248122,0.5095229714819303,0.5535462178071807,0.5079433843688859,0.16508270090402447,0.5285812056779626,0.5594702481110488,0.5486285177299769
lh.isthmuscingulate,0.5171133207109166,0.5641023168901389,0.5171496261605791,0.6538449542034541,0.705434403463926,0.7612921222182405,0.5785644947608072,0.6349790358169223,1.0,0.5618877838299616,0.47989543992249695,0.7953538263331572,0.5773107978537075,0.5881227698116073,0.7717410277212274,0.6361791000732417,0.5099435757764257,0.06810522587084714,0.2217529917523266,0.7018971282352301,0.6166484757089448,0.7896770709168901,0.6131034758971603,0.8253135134573473,0.4763051276109665,0.2621007019005594,0.4620243941515511,0.5918091704740726,0.6492441392529952,0.6203994492657989,0.2054513394236222,0.4631448228811649,0.6872023877629293,0.7553668187039696,0.4319145965120917,0.6858356649787224,0.5166266692431615,0.595079916818122,0.636290121892467,0.7190724857739328,0.4532211687327806,0.5868341962968558,0.9059311218741486,0.502134692857401,0.5426282375629345,0.7802346429885042,0.599780022318941,0.5518905292030029,0.7395451402069686,0.6704365699401126,0.5364048033342951,0.14267759237813374,0.32556552773058417,0.6869043532980027,0.5722409224222622,0.823134404202167,0.5681687666816212,0.7671878772161627,0.5900264997829582,0.25008379178055457,0.5183132339702412,0.5539764182331176,0.5593827461215449,0.5154183067315773,0.1562364314111924,0.4845019773654796,0.5787471429615486,0.7286064993560737
lh.lateraloccipital,0.7576990116170574,0.19924571780831032,0.5031829988501885,0.7592496449877394,0.48539090788572176,0.7389154041684586,0.8467439124788478,0.6566499450351223,0.5618877838299616,1.0,0.40933994556170306,0.7864296347964946,0.39948979514016425,0.7505057065503828,0.569251030683085,0.4966660210719991,0.49092749237181427,0.20822500103407618,0.3766441766824068,0.7680748134689199,0.710961874833901,0.3326056973430865,0.6783850616192179,0.6796445250474811,0.2436019798215818,0.3732614204866078,0.38396293756510247,0.8080750751099851,0.7229730283969735,0.7603716211572434,0.24923357255680284,0.42929941865845067,0.6436173758227995,0.6032936435104999,0.5828304678524968,0.43084316376945475,0.534759981253769,0.8041159995701923,0.44189891458722463,0.6870241867458824,0.7175530212464363,0.5568836332193771,0.6124642475326005,0.8281950392346374,0.3418284430694271,0.7710003336916387,0.4305119717670334,0.5847946985378163,0.5656304346020463,0.6907588107052064,0.5332434173290952,0.23110822375900464,0.42122469479718383,0.770671797002089,0.6859980189448671,0.49466629493280245,0.6313064178610581,0.74384338370375,0.36803672286362327,0.37339969814647705,0.5046670346513367,0.6954439484855298,0.5966255008118491,0.6171554707830824,0.22649350204396262,0.39756629074599886,0.6079719253117722,0.5037932345588837
