,lh.bankssts,lh.caudalanteriorcingulate,lh.caudalmiddlefrontal,lh.cuneus,lh.entorhinal,lh.fusiform,lh.inferiorparietal,lh.inferiortemporal,lh.isthmuscingulate,lh.lateraloccipital,lh.lateralorbitofrontal,lh.lingual,lh.medialorbitofrontal,lh.middletemporal,lh.parahippocampal,lh.paracentral,lh.parsopercularis,lh.parsorbitalis,lh.parstriangularis,lh.pericalcarine,lh.postcentral,lh.posteriorcingulate,lh.precentral,lh.precuneus,lh.rostralanteriorcingulate,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.superiorparietal,lh.superiortemporal,lh.supramarginal,lh.frontalpole,lh.temporalpole,lh.transversetemporal,lh.insula,rh.bankssts,rh.caudalanteriorcingulate,rh.caudalmiddlefrontal,rh.cuneus,rh.entorhinal,rh.fusiform,rh.inferiorparietal,rh.inferiortemporal,rh.isthmuscingulate,rh.lateraloccipital,rh.lateralorbitofrontal,rh.lingual,rh.medialorbitofrontal,rh.middletemporal,rh.parahippocampal,rh.paracentral,rh.parsopercularis,rh.parsorbitalis,rh.parstriangularis,rh.pericalcarine,rh.postcentral,rh.posteriorcingulate,rh.precentral,rh.precuneus,rh.rostralanteriorcingulate,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.superiorparietal,rh.superiortemporal,rh.supramarginal,rh.frontalpole,rh.temporalpole,rh.transversetemporal,rh.insula
lh.bankssts,1.0,0.5081363645163819,0.45290725827687983,0.5203704221872659,0.42156737444010134,0.5424266571563308,0.566348627668561,0.5760559512033907,0.6446292481214407,0.6758800830297134,0.463277540437911,0.5673751888114908,0.4287867017361292,0.6538835644607539,0.38596247888541435,0.45723554977548725,0.6118348174296991,0.36213714319182155,0.47979594200375436,0.6039366219818516,0.6755310102872192,0.39372232054913237,0.647943734075819,0.6031133576377019,0.3348313856523816,0.5492815838981623,0.4982000785138533,0.5297425743099266,0.678652396310378,0.591052846119989,0.313711622768497,0.420821323517633,0.5448411458381074,0.5985648513272236,0.35655371613310993,0.5157439010101668,0.5473852845676281,0.535467264717756,0.4747794241749019,0.5278259403337656,0.5832944562641501,0.5322190470214819,0.5730148979411663,0.5664549482207678,0.5109566527948906,0.6006675986422633,0.448628867968923,0.5000558054414018,0.41844952192083085,0.5467355516631768,0.3793419388238904,0.4521847740990108,0.3232980542815865,0.6157531196264949,0.5560941112672926,0.49179451422328224,0.5955275670898139,0.6499498973677977,0.3368703770908123,0.44564104120035486,0.5592982564655489,0.6360224283605899,0.5287420495071848,0.505030625139004,0.3675868855083284,0.4358301511576159,0.42064965051879993,0.3497946052633992
lh.caudalanteriorcingulate,0.508136364516382,1.0,0.5754182327672183,0.4475104524925505,0.46610262160077426,0.36248561530755136,0.47804193084926205,0.4084096192441785,0.5167928831654681,0.5143992688899237,0.4607932644676174,0.3334082456215329,0.43511893574084887,0.5463795358130065,0.3131680727922102,0.4492546885759383,0.5777450209746255,0.39263891200399254,0.4752385149739377,0.518486944082051,0.5855051752490076,0.5867716339658245,0.6002746373445337,0.5374317398305716,0.49516418220913155,0.6745842805371223,0.6368642325036769,0.40282600663283247,0.6065675287045793,0.5341235940028628,0.3414391177660241,0.4415334352137545,0.49532813325609226,0.47819467195523696,0.330019373016296,0.5752772174550861,0.5155972824019586,0.46975811368848613,0.436511000049641,0.5093920128766432,0.3660574065401746,0.5174319670592388,0.4095030179659439,0.510111647436715,0.5813547030088152,0.44433402908301983,0.3932952047796095,0.5631092988114695,0.3572381168744052,0.4583043196494465,0.4506276346619884,0.5879498292299299,0.4897398376257015,0.48755001411147547,0.47084544931449696,0.5523689450034613,0.5353152152849955,0.5138611985875691,0.43230899047890414,0.6059604008617816,0.6282844554951228,0.4961085720915101,0.6144818045795236,0.30235868086709816,0.35628023387603164,0.4335361522306541,0.38445486017961533,0.48423201566541885
lh.caudalmiddlefrontal,0.45290725827687983,0.5754182327672183,1.0,0.5833209101865308,0.5582687598584404,0.47918729929630643,0.7218665964282674,0.47045367517806,0.5497204668914133,0.636907592049283,0.6251969980217869,0.33260577681987763,0.5762556625689207,0.6048180033927342,0.5387435114849386,0.6819173427906665,0.5880490783333474,0.5263833596420741,0.4897337733888662,0.5445971223458308,0.7445583566913406,0.6731776645627573,0.790960903316903,0.7277404137063771,0.5967186481766455,0.7352595756261319,0.813160238580744,0.6140530952233618,0.6910631753836881,0.7801164081343726,0.4173852490824596,0.49171674994394354,0.5786673285663414,0.4770368425000198,0.5745742427030055,0.5435493896379342,0.5668898650987139,0.5793889045015876,0.40828831697543333,0.667998314770401,0.4758798744383853,0.6269090798549468,0.4769429850991041,0.7251970873490403,0.6531716613136971,0.5777677538536518,0.5337102130977582,0.6811479067846941,0.5183301793578632,0.6407876180456467,0.6762519164961401,0.5868862422284116,0.6933479919321043,0.5944709020738667,0.6559460381375853,0.6466143714982759,0.6993679508437666,0.6637642378432071,0.5339032527232688,0.7550349516873018,0.7443820246924934,0.6151924337521772,0.747768333226907,0.3895028609237056,0.39279832553394545,0.38508335796388715,0.5175767948893343,0.7284990070585372
lh.cuneus,0.5203704221872659,0.4475104524925505,0.5833209101865308,1.0,0.48014997807247306,0.5260830876828729,0.6270037418346972,0.4840518160441598,0.6034411851574916,0.6992264877809599,0.45632454034057435,0.5308506011660215,0.5000372322750822,0.5836284661466661,0.4559472157372714,0.51182340950899,0.5064874044746579,0.38507201450005524,0.44438322720468865,0.6674598553121327,0.6656962063182427,0.522722810079088,0.6781924105682121,0.6634787666332282,0.44604274062692756,0.5742552095521856,0.5793452728073779,0.5558990753740787,0.6333855655833648,0.6351174789602282,0.3702130707779475,0.3611592609202919,0.5738857087276693,0.48695826639432843,0.40607604089888183,0.4494761902014494,0.5203580685713143,0.6793534219370263,0.39465722577693446,0.6191489162658699,0.5175348548512043,0.6252589793266423,0.5010870792450038,0.7184242863750305,0.5530561501042665,0.6312246562110112,0.46163137578667346,0.5907705979155359,0.45928805285790125,0.5850577949801072,0.4671383834099732,0.4878972982112322,0.48766722601202694,0.6283496958617103,0.6008661258849924,0.5396486749167548,0.6260158441671229,0.6735661256376825,0.39739665267358826,0.5484614703482823,0.5659348525571212,0.6243239141187064,0.6106236634147265,0.4163310837262021,0.3927653941174732,0.3359097660282214,0.5092750893512801,0.5252248506513959
lh.entorhinal,0.42156737444010134,0.46610262160077426,0.5582687598584403,0.48014997807247306,1.0,0.4587589329198328,0.4806731878305009,0.48504185291489155,0.5217275323219419,0.4947048102975198,0.4576098828111576,0.2989421642493337,0.479557982517407,0.5695375575034596,0.5455099203131691,0.45126473928621064,0.40254660969276657,0.33853445996369785,0.26974278433833676,0.5039845184333919,0.5186973106789042,0.5728114162091805,0.5421576241962058,0.5566995946268661,0.44238314989887756,0.47799282822103734,0.5151092903667169,0.3833818836114173,0.5493429589535822,0.5287965649190558,0.32378418079394095,0.6357287175769297,0.42601474860515653,0.4109473989308701,0.4691065153093574,0.40893020884495285,0.4171040125122189,0.4279457804613239,0.5401754500885511,0.6402521116751965,0.3579042671775686,0.6169182123033585,0.48013967306085686,0.5863467700872411,0.6198116417191366,0.4913832557951741,0.41846998500836774,0.6111985749543075,0.4346444498052873,0.44004726517380194,0.4752157027284159,0.48900057228954624,0.5642696537643792,0.49767567156046616,0.4607751302272546,0.5163961130928914,0.5229931064084387,0.5033971719086303,0.38226041284181556,0.4997772918286885,0.4762948164710121,0.4509780380922538,0.6357025556513425,0.2712905272730965,0.29627233895770994,0.44438714434621734,0.4033760766823514,0.623254409429798
lh.fusiform,0.5424266571563308,0.36248561530755136,0.47918729929630643,0.5260830876828729,0.4587589329198328,1.0,0.6225089374806809,0.7490368370587067,0.6631693403386217,0.7174103892185989,0.5911369702796649,0.7918115441255329,0.496976952786344,0.6997855899626464,0.7208226041060114,0.6019237610222481,0.5913585109810964,0.4368310618279904,0.5514299261240457,0.5990997741059688,0.679669039080209,0.27782252778498756,0.6798938947393469,0.6941687779944864,0.4441480338200335,0.44807730318024236,0.5219499450590828,0.74791577433108,0.7270637961066725,0.5364616745527173,0.29289388553980805,0.40019471088158054,0.5879090767938236,0.6729523387524521,0.48072341565873167,0.48691374464965737,0.6280832337904414,0.6096090059408975,0.4462842791538568,0.4679904709188529,0.7682362683975025,0.47820491371214674,0.6152948570419176,0.6509424654679077,0.4529407194510958,0.7120862273423095,0.5026523715275317,0.36867643820552615,0.5465603398230591,0.6723021335938247,0.5652973435234574,0.259882506446728,0.24002457142987244,0.665138109387573,0.6962054846638477,0.407537311959943,0.7287082047644388,0.7346111628824393,0.4130406259439146,0.441957474930574,0.6012580649811662,0.6977821772470684,0.4536899692244873,0.7267691220977605,0.2694234737156346,0.39956621774187107,0.5128730489981745,0.3810099845435684
lh.inferiorparietal,0.5663486276685611,0.47804193084926205,0.7218665964282674,0.6270037418346973,0.4806731878305009,0.6225089374806809,1.0,0.5949542924312918,0.5828963773455881,0.7655055209830801,0.6070893530906352,0.47670223370485143,0.5309946596583904,0.7225826006840057,0.6190788625489102,0.71027387122239,0.5798233050746062,0.4989769299793197,0.5240367977468372,0.5861094681813899,0.7926216864420832,0.5677419849190265,0.7880581494153859,0.8275371830366537,0.4906781091140687,0.5863861583662496,0.6726953940473209,0.7625672473442808,0.7691721152378707,0.859080722146552,0.4090491786716495,0.4604766229358089,0.6062856143591824,0.5300625218366651,0.6722784467361955,0.49454566789056026,0.5370162486053256,0.6881833581634661,0.35873830597496936,0.6610662133550133,0.6834827562663943,0.5818609015392204,0.58531796836067,0.7762151247578676,0.5251497675248203,0.7340030958507286,0.5173903809280461,0.6141994999518865,0.5533307817416174,0.7449636702930406,0.6346184862563943,0.4386685832730447,0.5385431018112691,0.6935329482863366,0.7107297792008814,0.6129998520416475,0.7291338661372849,0.8068529113939612,0.46910362427506536,0.6018372344718229,0.6534312153820419,0.7375469853554334,0.6840337227871177,0.5649424898948029,0.3989436906451862,0.3368373932279298,0.5465007993285379,0.6509283878711787
lh.inferiortemporal,0.5760559512033907,0.4084096192441785,0.47045367517805997,0.4840518160441598,0.48504185291489155,0.7490368370587067,0.5949542924312918,1.0,0.6586301426119314,0.6699404693187424,0.5718237440240068,0.6438703402456947,0.5009207674206909,0.774365424167711,0.6060701086999118,0.5641537249516148,0.5773746396794047,0.3953141939611666,0.4951384342563745,0.5364765856974631,0.65264092188411,0.368682186976802,0.6439258363085616,0.6649286955533545,0.4142720894652754,0.42393611732477576,0.494508985476027,0.6483551521136118,0.6893771776642112,0.5630849152047532,0.2775879660684315,0.46873833932559755,0.5309662976743048,0.6256088224667312,0.43833657554053074,0.45396106195951513,0.5425256422030134,0.584126493079526,0.44741046162211817,0.5331123558552318,0.6693865501180777,0.5511899257737894,0.6752899270876496,0.6181010361766434,0.4725078060391873,0.6837623941252211,0.5069197774090258,0.4178035161689527,0.5137578924456335,0.6076420028807096,0.5241834731147386,0.2920780023390219,0.29552549159634395,0.6296647041507343,0.6371333189044355,0.4576931172973162,0.6718959700749871,0.689256551430138,0.4072166535545284,0.41298045014848817,0.5457097126377776,0.6550919073095178,0.5035687831824245,0.6100094621292673,0.2934814492316507,0.4212461441754747,0.4879016624345504,0.4400522263023769
lh.isthmuscingulate,0.6446292481214407,0.5167928831654681,0.5497204668914133,0.6034411851574916,0.5217275323219419,0.6631693403386217,0.5828963773455881,0.6586301426119314,1.0,0.6743956791316236,0.5820731627941523,0.7045286544984384,0.5854061813351953,0.6438190465569484,0.5567972718006863,0.6101839716770887,0.6669709453472379,0.35672883916883263,0.5329019922732595,0.7130380815579184,0.7091966553703984,0.49312993889881523,0.7181634254309786,0.7555386436924263,0.4803136177929473,0.581374533314954,0.6198820825134513,0.6322311979686184,0.7067388836089938,0.5983780778905835,0.4055221643598917,0.4532632694611021,0.5944341838008844,0.6751752520955696,0.3617449800352475,0.5039589211036989,0.6383532811098276,0.5709029619227337,0.5473474970208323,0.5958124149138815,0.6184276612086553,0.6070853638870747,0.7197696419397153,0.636199761750278,0.618943963362865,0.6468958958039006,0.564662360563974,0.5014993025653776,0.5433355090302543,0.6167399514497129,0.510019583952766,0.4780561785751736,0.37785645835637816,0.6654804450077765,0.6580254527658492,0.5158090035561536,0.7169256305129069,0.707702317026873,0.42685829722574037,0.5188669130808792,0.6606634809715761,0.7139739508428876,0.5711711027699645,0.5522445756868387,0.3510962691090004,0.5154228872671579,0.49737132967331754,0.4503539211107224
lh.lateraloccipital,0.6758800830297134,0.5143992688899237,0.636907592049283,0.6992264877809599,0.4947048102975198,0.7174103892185989,0.7655055209830802,0.6699404693187425,0.6743956791316236,1.0,0.5792684626094002,0.6973318172807282,0.5169784219883234,0.7515680216922886,0.5855761999120369,0.6056151719362424,0.613711147556436,0.4718287524855075,0.5397325680715568,0.7548935506201242,0.7797161127311427,0.5160820279122031,0.805975995510818,0.7651031926333541,0.4931543823328687,0.6175810867976866,0.6414994737695668,0.7293606087854493,0.7823135871234103,0.7131425395869461,0.390994723320352,0.4297566621635898,0.6942152104793249,0.6373275844834219,0.5143386284100133,0.5230280397584002,0.616204083943026,0.811984850366418,0.4819395795039872,0.7017051323076019,0.6952958076936562,0.6479847791845554,0.6777473845233977,0.8485467613524641,0.567356813245482,0.8343197467780278,0.5219644691187375,0.6341616329865192,0.59720150565219,0.7491662571261221,0.5517496835715752,0.46010883268172087,0.4377187215782916,0.803736634062272,0.7063701663359301,0.6108928338071309,0.7362879323187406,0.8219431801572933,0.4403131691763929,0.5655427769481204,0.6665623351310319,0.7357683584778208,0.64691451832829,0.5817196254117388,0.4041314975617534,0.39558548355137446,0.5645334096089283,0.5173343853123606
