region,thick
lh.bankssts,2.7343780454132016
lh.caudalanteriorcingulate,2.884909266989345
lh.caudalmiddlefrontal,2.7252364763351093
lh.cuneus,2.072750607052365
lh.entorhinal,3.21767547670868
lh.fusiform,2.871932253768191
lh.inferiorparietal,2.561738139130717
lh.inferiortemporal,2.918246897739085
lh.isthmuscingulate,2.641038922410993
lh.lateraloccipital,2.284914901003768
lh.lateralorbitofrontal,2.840931977650728
lh.lingual,2.202637733887734
lh.medialorbitofrontal,2.68552200412552
lh.middletemporal,2.9242278354827183
lh.parahippocampal,2.6792560664630978
lh.paracentral,2.5258979400825106
lh.parsopercularis,2.774852855785473
lh.parsorbitalis,2.733639786496232
lh.parstriangularis,2.607099314985057
lh.pericalcarine,1.987594509323025
lh.postcentral,2.2040797370387213
lh.posteriorcingulate,2.734727760362526
lh.precentral,2.6787660087220635
lh.precuneus,2.527176759842776
lh.rostralanteriorcingulate,3.1654793784920736
lh.rostralmiddlefrontal,2.547865013074974
lh.superiorfrontal,2.8331296290280665
lh.superiorparietal,2.270175608676585
lh.superiortemporal,2.8425483307075106
lh.supramarginal,2.644101085385265
lh.frontalpole,2.728125812110187
lh.temporalpole,3.429628875795868
lh.transversetemporal,2.6209128016989345
lh.insula,3.0922676451240902
rh.bankssts,2.810545859862266
rh.caudalanteriorcingulate,2.903714439725182
rh.caudalmiddlefrontal,2.733533958387474
rh.cuneus,2.0837859155730247
rh.entorhinal,3.442261249756367
rh.fusiform,2.896293275321596
rh.inferiorparietal,2.6262998838682434
rh.inferiortemporal,2.9665707530697767
rh.isthmuscingulate,2.636519275435291
rh.lateraloccipital,2.3335184267801456
rh.lateralorbitofrontal,2.8703133628670736
rh.lingual,2.2090640633121104
rh.medialorbitofrontal,2.726522655843945
rh.middletemporal,3.004064357702053
rh.parahippocampal,2.6780739385719854
rh.paracentral,2.5790502980444385
rh.parsopercularis,2.818953230574324
rh.parsorbitalis,2.8051222327345373
rh.parstriangularis,2.6697914298011955
rh.pericalcarine,2.0104268603414117
rh.postcentral,2.2097056303599274
rh.posteriorcingulate,2.773370754693997
rh.precentral,2.67586601400078
rh.precuneus,2.5623170214234667
rh.rostralanteriorcingulate,3.149587143483628
rh.rostralmiddlefrontal,2.567536098297817
rh.superiorfrontal,2.8678719566170736
rh.superiorparietal,2.306231778277677
rh.superiortemporal,2.913753898128898
rh.supramarginal,2.675957630181263
rh.frontalpole,2.755888306425416
rh.temporalpole,3.55654926260395
rh.transversetemporal,2.686034141112266
rh.insula,3.066391530502859
