,F1
V1_L,0.913558233124101
MST_L,-0.16830478686699202
V6_L,-0.3048314519666245
V2_L,0.7454552881844325
V3_L,0.3852022649757017
V4_L,0.22747131463911704
V8_L,0.409732341083616
4_L,1.4621205824516543
3b_L,0.7315243648816041
FEF_L,-0.15782965600264784
PEF_L,-0.5669883934176624
55b_L,-0.3547768236349424
V3A_L,0.04051952108787722
RSC_L,2.3464561448393453
POS2_L,-0.08634134725757392
V7_L,0.4014546610330092
IPS1_L,0.02315899047730561
FFC_L,0.1467407489211182
V3B_L,-0.697046310816558
LO1_L,-0.6923226734238672
LO2_L,-0.32008138034110734
PIT_L,-0.08717262826999064
MT_L,-0.14075258050489536
A1_L,1.6941445754401245
PSL_L,-1.132784585277652
SFL_L,-0.20737645136098
PCV_L,-0.5288056409801254
STV_L,-1.10120766788568
7Pm_L,-0.9007297070818989
7m_L,-0.4034445645703835
POS1_L,0.804321894850748
23d_L,0.46399239106107026
v23ab_L,0.5492441130192518
d23ab_L,0.5661215804988077
31pv_L,-0.26253214084838916
5m_L,0.9577415698711575
5mv_L,-0.2968817090987688
23c_L,-0.49167224829305567
5L_L,-0.2061574156571836
24dd_L,0.8299048114411766
24dv_L,0.15030178408957243
7AL_L,-0.4383818918680918
SCEF_L,0.23443234500294763
6ma_L,-0.1350073111517309
7Am_L,-0.9528464564089043
7Pl_L,-0.6082757627431385
7PC_L,-0.04834863377154033
LIPv_L,0.5003763182180603
VIP_L,-0.2615032539615074
MIP_L,-0.16617653772544597
1_L,0.6088799762948769
2_L,0.2385451134941775
3a_L,0.9227884839691265
6d_L,0.35258173862515074
6mp_L,0.43755256438730455
6v_L,-0.9472188170084346
p24pr_L,-0.11001842922485257
33pr_L,0.09963383006463898
a24pr_L,-0.4056577429860422
p32pr_L,-0.07356759347477625
a24_L,-0.11217169067634869
d32_L,-0.9254977474930893
8BM_L,-0.43181091009377903
p32_L,-0.342866114008798
10r_L,0.5978217617546564
47m_L,1.1502493960590827
8Av_L,-0.6056315638615972
8Ad_L,-0.6781757559321461
9m_L,-1.318922467541025
8BL_L,-0.852924739374185
9p_L,-1.1654663450313496
10d_L,-1.178952472409579
8C_L,-0.3631936747099173
44_L,-0.48998991857767593
45_L,-0.3533824560552942
47l_L,-0.4412335228740737
a47r_L,-0.9228903999543955
6r_L,-0.7976424217274127
IFJa_L,-0.12740100514388122
IFJp_L,-0.29113796118380814
IFSp_L,-0.38300488749579065
IFSa_L,-0.7848869527954246
p9-46v_L,-0.7827833304789374
46_L,-1.2162186492783817
a9-46v_L,-1.1222625758460414
9-46d_L,-1.162507852981375
9a_L,-1.3485669790998085
10v_L,1.819908191772073
a10p_L,-1.0023620733470404
10pp_L,0.8230654782793222
11l_L,0.7335259728774445
13l_L,2.737633075088578
OFC_L,4.034471743436206
47s_L,0.87019798872657
LIPd_L,0.033008546888659715
6a_L,0.06576595435009093
i6-8_L,-0.3002726973631809
s6-8_L,-0.3343053010359354
43_L,-0.38549613994420406
OP4_L,-0.5759971242557993
OP1_L,0.37855783538365445
OP2-3_L,0.9726242586959629
52_L,0.15430742672865522
RI_L,0.7951220670957508
PFcm_L,-0.27246524289984225
PoI2_L,0.2374924283385818
TA2_L,-0.29860272304674584
FOP4_L,0.0689422678575902
MI_L,-0.394670525840115
Pir_L,1.2020578276767038
AVI_L,0.29406069988252675
AAIC_L,0.2307226037468634
FOP1_L,-0.021757740841680136
FOP3_L,0.10944376009088756
FOP2_L,0.357246116313655
PFt_L,-1.1299736077051168
AIP_L,-0.3114551078654846
EC_L,3.303909717486257
PreS_L,3.0957764325825803
H_L,1.0809499295163834
ProS_L,1.0462407923385624
PeEc_L,1.979968818142759
STGa_L,-1.066725020600866
PBelt_L,0.007043092863451528
A5_L,-0.655775214822345
PHA1_L,1.2103225291946473
PHA3_L,0.6823847391752197
STSda_L,-0.48677080944387724
STSdp_L,-0.5978963482719927
STSvp_L,-1.403058903700464
TGd_L,0.46511778336987475
TE1a_L,-0.9220911839455652
TE1p_L,-1.2962335550968054
TE2a_L,0.36656175879712377
TF_L,1.789221366457213
TE2p_L,0.49206931226276407
PHT_L,-1.466465468472443
PH_L,-0.8143759472246326
TPOJ1_L,-0.720717346042444
TPOJ2_L,-0.9800071348027675
TPOJ3_L,-0.8502107709059674
DVT_L,-0.48744206290480574
PGp_L,-1.1735174904320964
IP2_L,-0.9143675319190971
IP1_L,-0.8405177511036357
IP0_L,-1.2198593007612963
PFop_L,-1.2311770697272177
PF_L,-1.193643022967208
PFm_L,-1.1199323499685963
PGi_L,-1.1316333504120004
PGs_L,-1.083947826773539
V6A_L,-0.5105049957375978
VMV1_L,1.4272442210467948
VMV3_L,0.49682736159170277
PHA2_L,0.6333495866401723
V4t_L,-0.44812306812379793
FST_L,-0.9846766687232634
V3CD_L,-0.7281046781095333
LO3_L,-0.8621801994893601
VMV2_L,0.8097104482773333
31pd_L,-0.4520328200493231
31a_L,-0.3244170599534382
VVC_L,1.005406525011644
25_L,2.766771607220976
s32_L,1.8892881747858938
pOFC_L,3.283283212313521
PoI1_L,0.09961349934817919
Ig_L,0.8152884776663375
FOP5_L,0.6362911898322715
p10p_L,-0.8650369429164984
p47r_L,-1.1215348518544173
TGv_L,1.804380407560846
MBelt_L,1.1706455482998828
LBelt_L,0.985238379498478
A4_L,-0.5339003290806847
STSva_L,-0.9839048249513466
TE1m_L,-1.04529859232142
PI_L,-0.12768558122043533
a32pr_L,-0.5615490209810059
p24_L,-0.8380719547120257
V1_R,0.7848941093260574
MST_R,-0.46302184379421635
V6_R,-0.2777365409338192
V2_R,0.6676526951370088
V3_R,0.11314069146654408
V4_R,-0.10214553509730631
V8_R,0.32055957847109967
4_R,1.3807337078252115
3b_R,1.3746228107022767
FEF_R,0.008258953787845283
PEF_R,-0.29470868347274376
55b_R,-0.3718765255194907
V3A_R,-0.3833433660403217
RSC_R,2.314152773890576
POS2_R,-0.23865183568840947
V7_R,-0.5222545648760112
IPS1_R,-0.8532775238871003
FFC_R,0.3452392666881821
V3B_R,-0.9892077834678696
LO1_R,-0.876112425048493
LO2_R,-0.532073698553786
PIT_R,-0.26617143318349634
MT_R,-0.5679782520414478
A1_R,1.5454411793306884
PSL_R,-1.6395318432988704
SFL_R,-0.1498395619260818
PCV_R,-0.4164457102075973
STV_R,-1.3190419706239316
7Pm_R,-0.8592244095637129
7m_R,-0.28876173706777536
POS1_R,0.5635322418254604
23d_R,0.598575364578068
v23ab_R,0.6994605882027607
d23ab_R,0.5309535652073085
31pv_R,-0.09036162010440994
5m_R,1.221508227557112
5mv_R,0.21210792279295484
23c_R,-0.37389465864649435
5L_R,-0.24656360752962367
24dd_R,1.0618770212938455
24dv_R,0.5766260235576252
7AL_R,-0.7998670940570439
SCEF_R,0.6001996928400841
6ma_R,-0.11389941099512899
7Am_R,-0.951693375842517
7Pl_R,-0.9078524810338415
7PC_R,-0.46056413487115266
LIPv_R,-0.27107243401778086
VIP_R,-0.7356549148444422
MIP_R,-0.7830039915567792
1_R,0.39288978780501976
2_R,-0.12960533806641436
3a_R,0.9707535324383073
6d_R,0.35736463645943123
6mp_R,0.3198650396778771
6v_R,-0.9447150427268133
p24pr_R,0.013401942349082173
33pr_R,0.644510496021443
a24pr_R,-0.13282242403404948
p32pr_R,0.4077728962420951
a24_R,0.06157507952469683
d32_R,-0.25109174011717805
8BM_R,0.1162091609261197
p32_R,0.08671114081352699
10r_R,0.9125946006096145
47m_R,1.7038827552360245
8Av_R,-0.30576419966055557
8Ad_R,-0.43685949702152527
9m_R,-0.706359433910226
8BL_R,-0.8370581938196313
9p_R,-1.056747687997481
10d_R,-0.8201922994325929
8C_R,-0.15300768288779412
44_R,-0.38275900918957584
45_R,-0.453929473509333
47l_R,-0.29311103128934823
a47r_R,-0.5556167782867948
6r_R,-0.5778284651603689
IFJa_R,0.15156051650236643
IFJp_R,-0.0069750602164927655
IFSp_R,-0.05407232185581948
IFSa_R,-0.599422685019834
p9-46v_R,-0.45652535338882044
46_R,-0.6610329252862052
a9-46v_R,-0.692951909085347
9-46d_R,-0.7389949312542988
9a_R,-1.2045995403541774
10v_R,1.6789415980054585
a10p_R,-0.45558879006859
10pp_R,1.2475508630575334
11l_R,1.0885502543398002
13l_R,3.193794254395306
OFC_R,3.458089115466849
47s_R,1.3068686518620576
LIPd_R,-0.7136571276486641
6a_R,-0.061350206377329825
i6-8_R,-0.027837143393134978
s6-8_R,-0.3113553168915389
43_R,-0.3108122147268536
OP4_R,-0.6587017171910337
OP1_R,0.2060581962712775
OP2-3_R,0.6627198131683467
52_R,0.2372177034718613
RI_R,0.24629482137427075
PFcm_R,-0.5764492243089941
PoI2_R,0.15186130010966234
TA2_R,-0.1730149816469287
FOP4_R,0.24951888454326215
MI_R,-0.36834608994196877
Pir_R,1.52551871863556
AVI_R,0.4524737400003165
AAIC_R,-0.026504673641599447
FOP1_R,0.21660568300330768
FOP3_R,0.06840953545788855
FOP2_R,0.30716963647199674
PFt_R,-1.0863852716551017
AIP_R,-0.6370042579344908
EC_R,3.1986441046272702
PreS_R,2.871507688906828
H_R,1.0847736451969903
ProS_R,0.9624040699832017
PeEc_R,2.0395218696009945
STGa_R,-0.9505180521594121
PBelt_R,-0.05552758263658137
A5_R,-0.7821746459436958
PHA1_R,1.2663489261979775
PHA3_R,0.7834967029015103
STSda_R,-0.5040590835805124
STSdp_R,-0.6577611381760932
STSvp_R,-1.4981136780925037
TGd_R,0.7404669119015381
TE1a_R,-0.9329763337845354
TE1p_R,-1.3366043515194677
TE2a_R,0.49420922513265475
TF_R,1.8744345991708717
TE2p_R,0.6624765899370654
PHT_R,-1.606460391081034
PH_R,-0.8972504794397318
TPOJ1_R,-1.0918878805095211
TPOJ2_R,-1.2312213604059699
TPOJ3_R,-1.2375302807145927
DVT_R,-0.38088336773672116
PGp_R,-1.52264214216338
IP2_R,-0.9691348072885402
IP1_R,-1.1210439131741357
IP0_R,-1.161373782849972
PFop_R,-1.2875735876379553
PF_R,-1.3836265963822167
PFm_R,-1.329393968057451
PGi_R,-1.5478560500923746
PGs_R,-1.4573749834504959
V6A_R,-0.6413858004797567
VMV1_R,1.2960309012105085
VMV3_R,0.5663530417382566
PHA2_R,0.7521219588464325
V4t_R,-0.6963491902419061
FST_R,-1.1540378864698042
V3CD_R,-1.1101566624592154
LO3_R,-1.063579081515957
VMV2_R,0.5828137721482911
31pd_R,-0.22973512317327632
31a_R,-0.11498947769867211
VVC_R,1.0562902242946497
25_R,2.277052218987733
s32_R,2.1164926324574984
pOFC_R,3.2574074203906314
PoI1_R,0.12597463611889556
Ig_R,0.5626648056348388
FOP5_R,0.7317293818077147
p10p_R,-0.6447375374778195
p47r_R,-1.0269343204771484
TGv_R,1.8847351059673485
MBelt_R,1.3062109718892496
LBelt_R,0.5516075111673056
A4_R,-0.9277025482578668
STSva_R,-0.8111359891621063
TE1m_R,-1.052657395018207
PI_R,-0.23109320493363367
a32pr_R,-0.037279863583168815
p24_R,-0.4401716775002622
