,F2
V1_L,-0.4460937599748251
MST_L,-0.5744694998790815
V6_L,-0.14701207280416098
V2_L,-0.8004969716309238
V3_L,-1.138548504314923
V4_L,-1.1284862458522513
V8_L,-1.8375381744524815
4_L,-0.7753780070625507
3b_L,1.384467517332553
FEF_L,0.12805760990239845
PEF_L,0.7333970115459522
55b_L,0.26565188287996666
V3A_L,0.024678146714477295
RSC_L,-2.5009051205511543
POS2_L,-0.5493395748017469
V7_L,1.0152029713168151
IPS1_L,1.4266842840477836
FFC_L,-1.0035937603717808
V3B_L,-0.268352125102566
LO1_L,-1.068206925915254
LO2_L,-1.380112862761537
PIT_L,-1.53899634651736
MT_L,-0.475940481744889
A1_L,0.117814144659323
PSL_L,0.5054129707610601
SFL_L,-0.689523959223092
PCV_L,-0.7949161451292028
STV_L,-0.2044125697287617
7Pm_L,-0.5474889973405174
7m_L,-0.8483250193577115
POS1_L,-1.8005979833353896
23d_L,-0.7762388165548935
v23ab_L,-1.3864915747402697
d23ab_L,-1.4233228233488304
31pv_L,-1.0624749989929125
5m_L,-1.8035374365070351
5mv_L,-1.0980021609379649
23c_L,0.3953301152271378
5L_L,-0.6871769291808122
24dd_L,-1.4310605299949792
24dv_L,-0.9706399949890604
7AL_L,0.07898603957788035
SCEF_L,-1.530159671233684
6ma_L,-0.1732054783527997
7Am_L,-0.7182658987764483
7Pl_L,-0.2704548904507923
7PC_L,0.17757688122640744
LIPv_L,0.5511680827473894
VIP_L,-0.28490749735508863
MIP_L,0.2744667571803835
1_L,-0.03583795774810153
2_L,0.5942367711990428
3a_L,2.226903081218395
6d_L,-0.617797502776303
6mp_L,-0.8231936207878456
6v_L,0.48982839929637106
p24pr_L,-0.2133831817816233
33pr_L,-1.8296107224421525
a24pr_L,-0.2677473898940139
p32pr_L,-1.283935399339245
a24_L,-0.08032345857654656
d32_L,-0.7582989231902292
8BM_L,-1.9228975780824231
p32_L,-0.1320666159985004
10r_L,-0.5060656495866441
47m_L,1.5648031203642059
8Av_L,0.7412246705870195
8Ad_L,1.086354649595033
9m_L,-0.6273210168733302
8BL_L,0.37367086678611655
9p_L,1.7357698959984005
10d_L,1.3645280953656382
8C_L,0.6080233445639314
44_L,0.9866086933378645
45_L,0.683046450481575
47l_L,1.4618532041296226
a47r_L,1.9322065473140084
6r_L,0.9720614211950723
IFJa_L,0.385859812760697
IFJp_L,0.36526692430896923
IFSp_L,0.8879204283274226
IFSa_L,1.4910453692527026
p9-46v_L,0.9370033065530833
46_L,1.3014969365229894
a9-46v_L,1.9972477688596182
9-46d_L,1.482277468216306
9a_L,2.0369741138766195
10v_L,-0.293979648851406
a10p_L,2.2036531169716373
10pp_L,1.924346943632926
11l_L,1.25441156557613
13l_L,0.5519764381950794
OFC_L,-1.2459814172681913
47s_L,1.2864840538663163
LIPd_L,1.1491303431636095
6a_L,0.8296858723776199
i6-8_L,0.3007668920713229
s6-8_L,1.009951302725942
43_L,0.5174492361101154
OP4_L,-0.33021469285679494
OP1_L,-1.1183489811855747
OP2-3_L,-1.142094837263108
52_L,1.1838726679992575
RI_L,-0.11562576342748429
PFcm_L,-0.3442310375997663
PoI2_L,2.2655960169632947
TA2_L,0.5656312653416721
FOP4_L,-0.14583699352794327
MI_L,2.407366723026062
Pir_L,0.9317279697468822
AVI_L,1.5996910517910734
AAIC_L,2.611602397998383
FOP1_L,-0.41281907997580275
FOP3_L,0.39767082235230844
FOP2_L,-1.1390493571398257
PFt_L,0.7698463771259111
AIP_L,0.7340233265879421
EC_L,0.31035795725803095
PreS_L,1.1451809777179258
H_L,0.9017253140401096
ProS_L,-1.102203160789799
PeEc_L,-0.02466484468253249
STGa_L,1.802525964844027
PBelt_L,0.4954140918222908
A5_L,0.7877082480499574
PHA1_L,-0.5893008091383958
PHA3_L,-1.1512209956977664
STSda_L,1.2372318491800998
STSdp_L,-0.09289251423546269
STSvp_L,0.4384906686126847
TGd_L,1.5626385142164732
TE1a_L,0.95975817646151
TE1p_L,-0.32493625652120306
TE2a_L,0.3003263741521697
TF_L,-0.8653982937610131
TE2p_L,-0.8710082944312808
PHT_L,-0.4455372218615072
PH_L,-1.0594990182999044
TPOJ1_L,-0.5171974765761204
TPOJ2_L,-0.4817166204516711
TPOJ3_L,-0.15490786097896136
DVT_L,-1.2567072189065194
PGp_L,-0.27994358578591066
IP2_L,0.24661543276447515
IP1_L,-0.21265586941222533
IP0_L,-1.1738857061601362
PFop_L,0.7136290873561144
PF_L,0.5453814717566163
PFm_L,0.09691201139509194
PGi_L,-0.23072345751845028
PGs_L,-0.07578890559198127
V6A_L,-0.33135164929564304
VMV1_L,-1.4907975864905103
VMV3_L,-1.5127301625721574
PHA2_L,-0.7726185484184828
V4t_L,-0.971670612750599
FST_L,-0.8792792672180195
V3CD_L,-0.6100973261287795
LO3_L,-0.7858612337252048
VMV2_L,-1.363445915161338
31pd_L,-1.0800783166092152
31a_L,-0.9086425515186426
VVC_L,-1.4710322039626158
25_L,-1.283106207714567
s32_L,-1.4803258410843558
pOFC_L,0.6139739240418679
PoI1_L,1.7262699118775862
Ig_L,0.146809547735
FOP5_L,-0.19120121440558155
p10p_L,2.524614926506529
p47r_L,2.264405752924708
TGv_L,-0.07906585234664547
MBelt_L,-0.3526465163990759
LBelt_L,0.27676979093368076
A4_L,0.7193175910873225
STSva_L,0.9932824007390465
TE1m_L,0.3946329042505279
PI_L,1.1433401732387578
a32pr_L,-0.9289803822527145
p24_L,0.1143004900987291
V1_R,-0.25365006729670087
MST_R,-0.8091939358236274
V6_R,0.7357928673906241
V2_R,-0.41232033675123003
V3_R,-0.8572677201307971
V4_R,-1.1232213689811192
V8_R,-1.2837010383939138
4_R,-1.4230047463707918
3b_R,2.6023768316411817
FEF_R,-0.64686540781051
PEF_R,0.05534846085757918
55b_R,-0.9310470640697249
V3A_R,-0.7265698945155611
RSC_R,-1.2237098105440192
POS2_R,-0.694412221903545
V7_R,-1.2608172103239823
IPS1_R,-0.9079090137985966
FFC_R,-1.9741702977852338
V3B_R,-0.21340919519357193
LO1_R,-0.551513873114072
LO2_R,-1.0291532528123608
PIT_R,-1.5346935957632077
MT_R,-0.7754953815972844
A1_R,0.5892276911373764
PSL_R,-0.04127836000509848
SFL_R,-0.2597430995359167
PCV_R,0.36886312525667664
STV_R,-0.6436670895303522
7Pm_R,0.6046781203647486
7m_R,0.5795897431653795
POS1_R,-1.5880968587653717
23d_R,0.7515291253229592
v23ab_R,-0.34337515931692264
d23ab_R,-0.23097387173609302
31pv_R,0.03631602587074437
5m_R,-0.4659620458551148
5mv_R,0.7905467328039241
23c_R,0.23709592887280556
5L_R,-0.08951524684506555
24dd_R,0.13073981252267244
24dv_R,0.7245889319002975
7AL_R,-0.6846867888915366
SCEF_R,0.49867162319339664
6ma_R,-1.0721276247062606
7Am_R,0.11247971034664296
7Pl_R,-0.4593682422992192
7PC_R,-0.9532636457121667
LIPv_R,-1.1077981904477159
VIP_R,-1.0149558262765415
MIP_R,-0.9919406466942495
1_R,-0.9156316283133246
2_R,-1.1017806096278373
3a_R,1.0228373024555717
6d_R,-1.0474685573443696
6mp_R,-1.0242746756136065
6v_R,-0.20601793403342614
p24pr_R,1.4015672178051743
33pr_R,1.065627411722963
a24pr_R,1.460539480900762
p32pr_R,0.9449487788767066
a24_R,1.0763120264702752
d32_R,1.3016684828866094
8BM_R,1.065575373055889
p32_R,1.1728360740803379
10r_R,0.9636894032538917
47m_R,0.6015613941251541
