region,ad
V1_L,0.0009194669640908
MST_L,0.0009085909597926
V6_L,0.0009281140685688
V2_L,0.0009042239530081
V3_L,0.0008922086058731
V4_L,0.0008943023119077
V8_L,0.0008770390741225
4_L,0.0009167865918028
3b_L,0.0009793477227304
FEF_L,0.0009433127632518
PEF_L,0.0009613485710645
55b_L,0.0009502702559011
V3A_L,0.0009299750932843
RSC_L,0.0008983009326764
POS2_L,0.0009208244344555
V7_L,0.0009553483604363
IPS1_L,0.0009613694372573
FFC_L,0.0009038353132211
V3B_L,0.0009224567215716
LO1_L,0.0008998447583235
LO2_L,0.0008878799967058
PIT_L,0.0008863220927699
MT_L,0.0009103296544072
A1_L,0.0009411292451678
PSL_L,0.0009437530172529
SFL_L,0.0009232766341176
PCV_L,0.0009086212926595
STV_L,0.0009284705294133
7Pm_L,0.0009193205569094
7m_L,0.0009042039160153
POS1_L,0.0008950487128171
23d_L,0.000911337757791
v23ab_L,0.0008957731421619
d23ab_L,0.0008924913882535
31pv_L,0.000900630814063
5m_L,0.0008795460438409
5mv_L,0.0008986990421984
23c_L,0.000940406609288
5L_L,0.0009140554990103
24dd_L,0.0008910664283373
24dv_L,0.0009086793927095
7AL_L,0.0009435115242492
SCEF_L,0.0008975816755343
6ma_L,0.0009481951792078
7Am_L,0.000922095221504
7Pl_L,0.0009360968336043
7PC_L,0.0009458879720438
LIPv_L,0.0009595410316249
VIP_L,0.0009351597917071
MIP_L,0.0009393482712006
1_L,0.00093740100553
2_L,0.0009583140428802
3a_L,0.0009946238330542
6d_L,0.0009215829629453
6mp_L,0.0009189448599871
6v_L,0.0009620993053479
p24pr_L,0.0009352479187703
33pr_L,0.0009227386870958
a24pr_L,0.0009317278289892
p32pr_L,0.0009012190045751
a24_L,0.0009557337155631
d32_L,0.0009295786293006
8BM_L,0.0008903720726569
p32_L,0.0009470770492214
10r_L,0.0009377040867829
47m_L,0.0010011969212566
8Av_L,0.0009619078505124
8Ad_L,0.0009675046665715
9m_L,0.0009388043304008
8BL_L,0.0009564838255047
9p_L,0.0009915346564714
10d_L,0.0009944708976197
8C_L,0.0009639170206953
44_L,0.0009832957581845
45_L,0.000979018251352
47l_L,0.0009985732418924
a47r_L,0.0010042270864744
6r_L,0.0009748308333003
IFJa_L,0.0009537820842971
IFJp_L,0.0009486134716912
IFSp_L,0.0009688829887336
IFSa_L,0.0009855754945761
p9-46v_L,0.0009749039309073
46_L,0.0009785138072739
a9-46v_L,0.001003706235895
9-46d_L,0.0009853397388657
9a_L,0.0010051236681666
10v_L,0.000951575707317
a10p_L,0.0010082998547249
10pp_L,0.0010045194356156
11l_L,0.000982076950811
13l_L,0.0009579980690599
OFC_L,0.0008972582904374
47s_L,0.001005228723682
LIPd_L,0.0009636239244884
6a_L,0.0009586918835133
i6-8_L,0.0009460168284317
s6-8_L,0.0009702764437426
43_L,0.0009705181482993
OP4_L,0.000940743955198
OP1_L,0.0009146640199434
OP2-3_L,0.0009219783010128
52_L,0.0009783407337689
RI_L,0.0009339148362114
PFcm_L,0.0009335657893367
PoI2_L,0.0010209455304274
TA2_L,0.0009653530259341
FOP4_L,0.0009512656645254
MI_L,0.0010168577039834
Pir_L,0.001063693824045
AVI_L,0.001004557630779
AAIC_L,0.001061644560566
FOP1_L,0.0009513917896891
FOP3_L,0.0009582037862701
FOP2_L,0.0009172073661907
PFt_L,0.0009527218405118
AIP_L,0.000956181448342
EC_L,0.0009909029724798
PreS_L,0.0010334985308773
H_L,0.0009727536456228
ProS_L,0.00092197779115
PeEc_L,0.0009602187282628
STGa_L,0.0010012186156395
PBelt_L,0.0009447055894364
A5_L,0.0009676317101625
PHA1_L,0.0009483565568748
PHA3_L,0.0009062351283096
STSda_L,0.0009753377226178
STSdp_L,0.0009313911565095
STSvp_L,0.0009370376854973
TGd_L,0.000995390728912
TE1a_L,0.0009650162244734
TE1p_L,0.0009186035118358
TE2a_L,0.0009452181848807
TF_L,0.0009201788533395
TE2p_L,0.000902854188044
PHT_L,0.0009150849239633
PH_L,0.0008962108095685
TPOJ1_L,0.0009180071129385
TPOJ2_L,0.0009129224434414
TPOJ3_L,0.0009282642159296
DVT_L,0.0009044735626119
PGp_L,0.0009281121601084
IP2_L,0.0009378839173864
IP1_L,0.000924213595087
IP0_L,0.0008963337380403
PFop_L,0.0009548274256562
PF_L,0.0009536410942034
PFm_L,0.000936954245624
PGi_L,0.0009251245335231
PGs_L,0.000931963438648
V6A_L,0.0009273833030418
VMV1_L,0.0009020257933852
VMV3_L,0.0008842995987714
PHA2_L,0.0009198283750987
V4t_L,0.0008977273359112
FST_L,0.0009032342168098
V3CD_L,0.00091569361446
LO3_L,0.0009089722749182
VMV2_L,0.0008940534642403
31pd_L,0.0009015010762431
31a_L,0.0009060416333624
VVC_L,0.0008927622157785
25_L,0.0009247484880276
