region,myl
V1_L,2.0816458783377727
MST_L,1.907879169170673
V6_L,2.0052846801504027
V2_L,2.023069385679249
V3_L,1.9720307982637084
V4_L,1.9141510707672815
V8_L,1.892900177446076
4_L,2.1824184742885917
3b_L,2.109735500787747
FEF_L,1.9491695158199065
PEF_L,1.9407080890235189
55b_L,1.91182247169796
V3A_L,1.9902299337724143
RSC_L,2.236860564741424
POS2_L,1.8982260975669176
V7_L,1.9547457942843685
IPS1_L,1.8620132160781573
FFC_L,1.79186389946888
V3B_L,1.8971187091914632
LO1_L,1.829649483091866
LO2_L,1.8173490591703485
PIT_L,1.8140555716849665
MT_L,1.9072304961587188
A1_L,2.3369186306198024
PSL_L,1.7698313500925806
SFL_L,1.7148554240839398
PCV_L,1.7822773193866943
STV_L,1.7712361738240645
7Pm_L,1.764868976172687
7m_L,1.8446978848590176
POS1_L,1.9263691416401376
23d_L,1.84360382016632
v23ab_L,1.9211260821368243
d23ab_L,1.9302096614718685
31pv_L,1.8446022081275988
5m_L,1.967701743397544
5mv_L,1.7827084991391633
23c_L,1.7502201579960368
5L_L,1.7637846821806782
24dd_L,1.9384194610024688
24dv_L,1.7920434519555613
7AL_L,1.7444701640868634
SCEF_L,1.7978355740806913
6ma_L,1.73488739077118
7Am_L,1.7150812922297298
7Pl_L,1.790768946530665
7PC_L,1.819473869339592
LIPv_L,1.892498309795673
VIP_L,1.8101961449129416
MIP_L,1.82771640706211
1_L,1.98155494737526
2_L,1.8852527642200492
3a_L,2.116380592393776
6d_L,1.9868627219091088
6mp_L,1.897969902181328
6v_L,1.9278740833306265
p24pr_L,1.6843567528992334
33pr_L,1.7226969824015723
a24pr_L,1.6589302174018972
p32pr_L,1.748072380335564
a24_L,1.6674125814140464
d32_L,1.724924702158589
8BM_L,1.7410670417262215
p32_L,1.7052749348281575
10r_L,1.7341811086928274
47m_L,1.9360666255197505
8Av_L,1.8192075225766635
8Ad_L,1.7807095660489216
9m_L,1.704268806441658
8BL_L,1.7087177744526378
9p_L,1.7336642766940618
10d_L,1.7507992940732198
8C_L,1.8849417513968296
44_L,1.8736997354551064
45_L,1.903643887652677
47l_L,1.8137306007179053
a47r_L,1.7683723433845504
6r_L,1.866502155137409
IFJa_L,1.956358086790216
IFJp_L,1.93423480947895
IFSp_L,1.9581758177949584
IFSa_L,1.890418927040021
p9-46v_L,1.8696809320588617
46_L,1.789138381545608
a9-46v_L,1.8373895276361096
9-46d_L,1.7970699064449065
9a_L,1.752019362737136
10v_L,1.6552116409904496
a10p_L,1.783223300862461
10pp_L,1.707329319817113
11l_L,1.7322910491245451
13l_L,1.7702792796176583
OFC_L,1.6964873950347583
47s_L,1.7667202067226482
LIPd_L,1.862034280186136
6a_L,1.846270840777677
i6-8_L,1.830994159912617
s6-8_L,1.7419258482490905
43_L,1.9099997918967648
OP4_L,1.8701635031591088
OP1_L,1.9533438890738692
OP2-3_L,1.9681854565277417
52_L,1.90660999321888
RI_L,2.034193138074974
PFcm_L,1.875882535367399
PoI2_L,1.7689750814140464
TA2_L,1.8442268609504937
FOP4_L,1.8008189369883705
MI_L,1.700485641891892
Pir_L,1.9828610489621232
AVI_L,1.8014707823057432
AAIC_L,1.7107354875909564
FOP1_L,1.8537021565586016
FOP3_L,1.7888886576630718
FOP2_L,1.8435128384469204
PFt_L,1.802993615798792
AIP_L,1.8345545017297944
EC_L,1.840458289005652
PreS_L,2.2798468258673337
H_L,1.843753299197635
ProS_L,1.916130208671713
PeEc_L,1.6293427592255718
STGa_L,1.6889233499951273
PBelt_L,2.069318933942957
A5_L,1.8592180343278977
PHA1_L,1.83892200493763
PHA3_L,1.7617146894490645
STSda_L,1.7979887329862916
STSdp_L,1.8285160818119803
STSvp_L,1.759664238118828
TGd_L,1.5812888036398778
TE1a_L,1.6987238703547298
TE1p_L,1.6627897710661383
TE2a_L,1.677699860317048
TF_L,1.69204109176033
TE2p_L,1.680798695141957
PHT_L,1.666193908564514
PH_L,1.7230710606565098
TPOJ1_L,1.8260638897235577
TPOJ2_L,1.7886787779365905
TPOJ3_L,1.7625143641989345
DVT_L,1.858589283393971
PGp_L,1.700605428144491
IP2_L,1.8106389987493503
IP1_L,1.7999766264536772
IP0_L,1.7884817143239995
PFop_L,1.800913979258706
PF_L,1.7332622821514423
PFm_L,1.7103340006172036
PGi_L,1.7187017809576404
PGs_L,1.6901037013952054
V6A_L,1.890871932253768
VMV1_L,1.952563121264293
VMV3_L,1.8886499226465048
PHA2_L,1.7221635275224143
V4t_L,1.8159537523551197
FST_L,1.748572589453937
V3CD_L,1.8112465586830824
LO3_L,1.788460523323805
VMV2_L,1.874020011410148
31pd_L,1.822862145310876
31a_L,1.767869850206276
VVC_L,1.871387886158394
25_L,1.703711749610187
s32_L,1.6615510492463617
pOFC_L,1.9156254314335368
PoI1_L,1.7810175334589398
Ig_L,1.928318459873636
FOP5_L,1.8938975502696205
p10p_L,1.805703525979405
p47r_L,1.8338059645432687
TGv_L,1.577592052689709
MBelt_L,2.1569986640787424
LBelt_L,2.197999315797168
A4_L,1.942482295997921
STSva_L,1.7606626260801066
TE1m_L,1.7359954136077185
PI_L,1.7328715810161122
a32pr_L,1.7258092678014554
p24_L,1.653668758527157
V1_R,2.2066787434219077
MST_R,2.051529152725442
V6_R,2.1485083058569385
V2_R,2.145233471527417
V3_R,2.0804322811769103
V4_R,2.036929188052235
V8_R,2.040861450956666
4_R,2.1648565914923337
3b_R,2.0987485382016637
FEF_R,1.8649106729551064
PEF_R,1.8246598273453745
55b_R,1.8104121154658264
V3A_R,2.09858421278099
RSC_R,2.3127314514033266
POS2_R,2.0028593892119284
V7_R,2.056332023128898
IPS1_R,1.97006790256302
FFC_R,1.923288452402222
V3B_R,2.0350642531428664
LO1_R,1.9545664955821205
LO2_R,1.933902224978885
PIT_R,1.9361862848801328
MT_R,2.0293316434673856
A1_R,2.285769393191268
PSL_R,1.7708790991261694
SFL_R,1.6798751735885524
PCV_R,1.8489991503297167
STV_R,1.8366845144799249
7Pm_R,1.8292977378670736
7m_R,1.909725831600832
POS1_R,2.0459174713325106
23d_R,1.869310787462643
v23ab_R,2.0219782395075363
d23ab_R,1.9615152402627989
31pv_R,1.9215976136142152
5m_R,2.009952537235252
5mv_R,1.848793458046388
23c_R,1.7961783617301197
5L_R,1.824355666701858
