region,rd
V1_L,0.0007428120178429
MST_L,0.0007390236795328
V6_L,0.0007606088479426
V2_L,0.0007317584806986
V3_L,0.000720773986942
V4_L,0.0007193144042384
V8_L,0.0006929950756612
4_L,0.000720463624348
3b_L,0.0008050906376482
FEF_L,0.0007494830594654
PEF_L,0.0007673713940174
55b_L,0.0007456229010167
V3A_L,0.0007523016855224
RSC_L,0.0006717310696105
POS2_L,0.0007269311072183
V7_L,0.0007740985265482
IPS1_L,0.0007848143147837
FFC_L,0.000723169113604
V3B_L,0.0007533048227846
LO1_L,0.0007261250325077
LO2_L,0.0007133857360285
PIT_L,0.0007076477458234
MT_L,0.0007370079328187
A1_L,0.0007702829096215
PSL_L,0.0007570443195747
SFL_L,0.0007256334989996
PCV_L,0.0007229166311446
STV_L,0.0007384156135459
7Pm_L,0.0007307433337702
7m_L,0.0007220226963078
POS1_L,0.000691039479685
23d_L,0.0007352720589276
v23ab_L,0.0007082126071175
d23ab_L,0.0007087946728565
31pv_L,0.0007266693409741
5m_L,0.0006928244092738
5mv_L,0.0007287784173769
23c_L,0.0007654406379757
5L_L,0.0007258195201056
24dd_L,0.0007023124310564
24dv_L,0.0007293597360081
7AL_L,0.0007480795541725
SCEF_L,0.0006991566703418
6ma_L,0.0007423891180725
7Am_L,0.0007284751801859
7Pl_L,0.000739488897491
7PC_L,0.0007501324132092
LIPv_L,0.0007573019885481
VIP_L,0.0007379397478484
MIP_L,0.0007505030305641
1_L,0.000744676456522
2_L,0.0007617966134261
3a_L,0.0008296704798918
6d_L,0.0007370853138611
6mp_L,0.0007341195035827
6v_L,0.000752137400323
p24pr_L,0.0007509251278468
33pr_L,0.0007057936112897
a24pr_L,0.0007562820565253
p32pr_L,0.0007226646429163
a24_L,0.000752247980279
d32_L,0.0007267290095429
8BM_L,0.0006894325457344
p32_L,0.0007512455856471
10r_L,0.0007534181493046
47m_L,0.0007935083601459
8Av_L,0.0007631353627132
8Ad_L,0.0007803957722403
9m_L,0.0007292257557415
8BL_L,0.0007559253118021
9p_L,0.000794761158082
10d_L,0.0007899725796328
8C_L,0.0007555336295334
44_L,0.0007610029956038
45_L,0.0007652103659738
47l_L,0.0007916539250245
a47r_L,0.0008044506966504
6r_L,0.0007680059128974
IFJa_L,0.0007614934874289
IFJp_L,0.0007593024879908
IFSp_L,0.0007775712411344
IFSa_L,0.0007941520540512
p9-46v_L,0.0007692666092923
46_L,0.0007830593930783
a9-46v_L,0.0008046083008323
9-46d_L,0.000793412766516
9a_L,0.000807142275186
10v_L,0.0007650378195112
a10p_L,0.0008231637477423
10pp_L,0.0008103018834545
11l_L,0.0007954932846798
13l_L,0.000788272019861
OFC_L,0.0007255345796925
47s_L,0.0007881109893597
LIPd_L,0.0007781859951098
6a_L,0.0007717743485054
i6-8_L,0.0007590720574957
s6-8_L,0.0007696244093828
43_L,0.0007575510096989
OP4_L,0.0007327624480982
OP1_L,0.0007082395313311
OP2-3_L,0.0007113445219542
52_L,0.00080251782845
RI_L,0.0007499988746317
PFcm_L,0.0007310485824065
PoI2_L,0.0007906988247891
TA2_L,0.0007648707800885
FOP4_L,0.0007395662387573
MI_L,0.0007985015577905
Pir_L,0.0007375496162606
AVI_L,0.0007832990833808
AAIC_L,0.0007859316344656
FOP1_L,0.0007302501635511
FOP3_L,0.0007541653760462
FOP2_L,0.000713727204531
PFt_L,0.0007681709267594
AIP_L,0.000766580112029
EC_L,0.000754974048224
PreS_L,0.0007710297658838
H_L,0.0007968514400201
ProS_L,0.0007139723264504
PeEc_L,0.00077041921648
STGa_L,0.0007866901989821
PBelt_L,0.000774169244451
A5_L,0.0007656157421017
PHA1_L,0.0007293398035634
PHA3_L,0.0007335944323004
STSda_L,0.0007823356328683
STSdp_L,0.0007481840454434
STSvp_L,0.0007647265613897
TGd_L,0.0007848501980936
TE1a_L,0.0007803145221636
TE1p_L,0.0007404021096234
TE2a_L,0.0007619670642332
TF_L,0.0007398250981574
TE2p_L,0.0007254398865531
PHT_L,0.0007367838242704
PH_L,0.000721868874987
TPOJ1_L,0.0007325778103793
TPOJ2_L,0.0007376771905062
TPOJ3_L,0.0007467872993786
DVT_L,0.0007173196029882
PGp_L,0.0007390695381132
IP2_L,0.0007611007086389
IP1_L,0.0007492818161982
IP0_L,0.0007228973592851
PFop_L,0.0007603767571556
PF_L,0.0007556724103552
PFm_L,0.0007501521358398
PGi_L,0.0007388259349556
PGs_L,0.0007464613628126
V6A_L,0.0007460467144364
VMV1_L,0.000714736988587
VMV3_L,0.0007082293679559
PHA2_L,0.0007336458623936
V4t_L,0.0007225836598242
FST_L,0.0007293755132845
V3CD_L,0.0007341673800863
LO3_L,0.0007303673023337
VMV2_L,0.0007158679064525
31pd_L,0.0007231011928734
31a_L,0.0007203299420385
VVC_L,0.0007081417175052
25_L,0.0007272924078168
s32_L,0.0007386534083788
pOFC_L,0.0007676123400014
PoI1_L,0.0007855515436911
Ig_L,0.0007537423951194
FOP5_L,0.0007374084422325
p10p_L,0.0008254130899331
p47r_L,0.0008128159319361
TGv_L,0.0007623264227365
MBelt_L,0.0007580351859716
LBelt_L,0.0007768951527459
A4_L,0.000767161373083
STSva_L,0.0007894211795039
TE1m_L,0.0007623935057544
PI_L,0.0007849297141774
a32pr_L,0.0007273182379517
p24_L,0.0007546932463584
V1_R,0.0007547346507259
MST_R,0.0007303554834096
V6_R,0.0007892239844367
V2_R,0.0007451021767647
V3_R,0.000728305148322
V4_R,0.0007173960700023
V8_R,0.00070895555474
4_R,0.0007031970070961
3b_R,0.0008388989106761
FEF_R,0.000734378162349
PEF_R,0.000751527451262
55b_R,0.0007224156396462
V3A_R,0.000730922989914
RSC_R,0.000710065640883
POS2_R,0.0007264392984857
V7_R,0.0007155195079293
IPS1_R,0.0007276620739323
FFC_R,0.0006962722669946
V3B_R,0.0007456821303375
LO1_R,0.0007318171923073
LO2_R,0.0007153073215822
PIT_R,0.0007031492263448
MT_R,0.0007275916087179
A1_R,0.0007772919231737
PSL_R,0.0007386254504224
SFL_R,0.0007381577156686
PCV_R,0.0007544934520553
STV_R,0.0007269097934093
7Pm_R,0.0007602069831157
7m_R,0.0007601897551807
POS1_R,0.0006975757611396
23d_R,0.0007770943749895
v23ab_R,0.0007376314555241
d23ab_R,0.0007424331627937
31pv_R,0.0007513044527208
5m_R,0.0007276173184936
5mv_R,0.0007686574862638
23c_R,0.0007630401341314
5L_R,0.0007457226433486
24dd_R,0.0007451810285488
24dv_R,0.0007687358417438
7AL_R,0.0007328772630541
SCEF_R,0.0007519452548191
6ma_R,0.0007208980271103
7Am_R,0.0007489251136142
7Pl_R,0.0007353474868823
7PC_R,0.0007230972429938
LIPv_R,0.0007229943086958
VIP_R,0.0007246847271322
MIP_R,0.000721336054488
1_R,0.0007276890139514
2_R,0.000721170820715
3a_R,0.0007993985665246
6d_R,0.0007299734054399
6mp_R,0.0007340760948622
6v_R,0.0007416043814913
p24pr_R,0.0007930759826719
33pr_R,0.0007574781000574
a24pr_R,0.0007984100505135
p32pr_R,0.0007779190979957
a24_R,0.0007860054101367
d32_R,0.0007831709717299
8BM_R,0.0007650046939861
p32_R,0.0007920700587508
10r_R,0.0008003674045645
47m_R,0.0007747964842084
8Av_R,0.0007381364479361
8Ad_R,0.0007494130582199
9m_R,0.0007933659620436
8BL_R,0.0007516257816721
9p_R,0.0007719980713769
10d_R,0.0008091118260601
8C_R,0.0007298935458897
44_R,0.000739216084136
45_R,0.000753884104309
47l_R,0.0007640889004682
a47r_R,0.0007914509034233
6r_R,0.0007542220326865
IFJa_R,0.0007568670306424
IFJp_R,0.0007481227707832
IFSp_R,0.0007711221975184
IFSa_R,0.0007940796559151
p9-46v_R,0.0007582145744195
46_R,0.0007844099481848
a9-46v_R,0.0007959474135363
9-46d_R,0.0007923802767627
9a_R,0.0007888881496443
10v_R,0.0008085084728597
a10p_R,0.0008074101317326
10pp_R,0.0008009880425853
11l_R,0.0007660737541728
13l_R,0.0007781603823928
OFC_R,0.000709325691126
47s_R,0.0007600219960404
LIPd_R,0.0007382010205233
6a_R,0.0007402677162211
i6-8_R,0.0007523081037578
s6-8_R,0.000724698815624
43_R,0.000727667959308
OP4_R,0.0007275043189585
OP1_R,0.0007208920663056
OP2-3_R,0.0007255477957692
52_R,0.0008041271459208
RI_R,0.00076476952338
PFcm_R,0.0007200264553596
PoI2_R,0.0007319045615386
TA2_R,0.0007973419670869
FOP4_R,0.0007614673708496
MI_R,0.0007564263657579
Pir_R,0.0007351169746271
AVI_R,0.0007473118508727
AAIC_R,0.0007482558319186
FOP1_R,0.0007374972111744
FOP3_R,0.0007541952078035
FOP2_R,0.0007463223121137
PFt_R,0.0007562248909271
AIP_R,0.000738026395484
EC_R,0.0007560932940353
PreS_R,0.0007951737406583
H_R,0.0007737763071725
ProS_R,0.0007368588782419
PeEc_R,0.0007377254873534
STGa_R,0.0007558176729725
PBelt_R,0.0007851047907598
A5_R,0.0007101937872944
PHA1_R,0.0007203559933708
PHA3_R,0.0007315660084347
STSda_R,0.0007142114381866
STSdp_R,0.0007250381387487
STSvp_R,0.0007593384700835
TGd_R,0.000774915280533
TE1a_R,0.0007555024992121
TE1p_R,0.0007364383748918
TE2a_R,0.0007654070720072
TF_R,0.0007230897241439
TE2p_R,0.0007305997302883
PHT_R,0.0007310913785245
PH_R,0.0007106488630792
TPOJ1_R,0.0007301646075794
TPOJ2_R,0.000731940018497
TPOJ3_R,0.0007291918770158
DVT_R,0.0007516599960481
