region,rtap
V1_L,3535.893441433748
MST_L,3429.8895805176357
V6_L,3370.3344288542157
V2_L,3558.592338738168
V3_L,3578.6036780586555
V4_L,3563.524621116619
V8_L,3708.5875806655868
4_L,3639.159986322754
3b_L,3269.2846086840173
FEF_L,3443.7803600604184
PEF_L,3315.6114400342976
55b_L,3437.8144364617447
V3A_L,3435.2698323917016
RSC_L,3973.3261440556244
POS2_L,3573.270523975855
V7_L,3347.3011996679224
IPS1_L,3253.3366315074027
FFC_L,3554.5457589449215
V3B_L,3349.567757492971
LO1_L,3483.2281882217085
LO2_L,3561.1102523059476
PIT_L,3597.9424032584616
MT_L,3438.549130247385
A1_L,3341.199978167464
PSL_L,3313.0815650632603
SFL_L,3520.9584942793117
PCV_L,3543.598987532152
STV_L,3414.4575611610976
7Pm_L,3490.1004590554053
7m_L,3552.570956767864
POS1_L,3778.8749345107353
23d_L,3545.113613993248
v23ab_L,3658.6991567899704
d23ab_L,3657.9537250377716
31pv_L,3510.7799533451966
5m_L,3818.4240671511275
5mv_L,3539.7121728551583
23c_L,3313.4344977127084
5L_L,3577.751315994741
24dd_L,3744.072140808556
24dv_L,3559.178206450358
7AL_L,3454.7367279099617
SCEF_L,3712.6276407706187
6ma_L,3445.899732061145
7Am_L,3514.5428625094537
7Pl_L,3484.3387182821943
7PC_L,3452.958451409982
LIPv_L,3446.6832559754657
VIP_L,3507.1887103259396
MIP_L,3424.700823188497
1_L,3511.9686724838734
2_L,3421.085618608333
3a_L,3123.820776142976
6d_L,3484.0322111664577
6mp_L,3506.723461219558
6v_L,3366.4202916495524
p24pr_L,3432.8264228720527
33pr_L,3726.8589286876168
a24pr_L,3377.6664609347968
p32pr_L,3579.8236640625432
a24_L,3456.8596733661975
d32_L,3504.9950637340203
8BM_L,3715.785337749371
p32_L,3441.231994682736
10r_L,3504.450553499868
47m_L,3381.28459336221
8Av_L,3339.306027574797
8Ad_L,3250.2150186956064
9m_L,3462.036262864641
8BL_L,3337.146155340947
9p_L,3171.5148936659107
10d_L,3214.6077787018266
8C_L,3397.5999183648782
44_L,3371.6505171504605
45_L,3391.447040198601
47l_L,3247.3546619856056
a47r_L,3181.4433032523148
6r_L,3306.6626324129406
IFJa_L,3378.7130433581483
IFJp_L,3363.856815169852
IFSp_L,3298.6996679689205
IFSa_L,3198.054607643745
p9-46v_L,3311.408487140075
46_L,3214.5730742706405
a9-46v_L,3148.844541740536
9-46d_L,3191.686865069793
9a_L,3126.565409515178
10v_L,3559.644996257285
a10p_L,3096.3565967708437
10pp_L,3287.216979236178
11l_L,3358.488172120344
13l_L,3587.657692664597
OFC_L,3958.153426552009
47s_L,3392.70727957439
LIPd_L,3302.0750077769635
6a_L,3321.2533940358403
i6-8_L,3378.850747917514
s6-8_L,3309.1978280027165
43_L,3408.0311047867976
OP4_L,3514.8524295230904
OP1_L,3695.827042275818
OP2-3_L,3715.814325934662
52_L,3223.0990607755602
RI_L,3466.450743846594
PFcm_L,3541.245195298078
PoI2_L,3255.4703462764874
TA2_L,3339.4376200343813
FOP4_L,3533.9476680842317
MI_L,3172.3658375286936
Pir_L,3638.349794353608
AVI_L,3336.344220291125
AAIC_L,3308.3283825270796
FOP1_L,3571.8646391139746
FOP3_L,3434.17410050847
FOP2_L,3664.634186879911
PFt_L,3286.08974218512
AIP_L,3368.2428829760443
EC_L,3762.9966598765836
PreS_L,3587.0562445722962
H_L,3356.320475216539
ProS_L,3703.376032409286
PeEc_L,3601.695683753008
STGa_L,3164.2959007267564
PBelt_L,3310.6087374042163
A5_L,3334.505188497895
PHA1_L,3662.400793521753
PHA3_L,3577.4497051102317
STSda_L,3249.0281157898307
STSdp_L,3393.385855649207
STSvp_L,3237.535211476376
TGd_L,3342.848108503931
TE1a_L,3211.5727225562864
TE1p_L,3355.1091901395334
TE2a_L,3434.0330193934988
TF_L,3694.845793809418
TE2p_L,3597.8902331479353
