region,rtop
V1_L,210302.43270195895
MST_L,200818.7803520497
V6_L,196521.22183919587
V2_L,211965.31161128398
V3_L,212889.72357110385
V4_L,211272.93410108943
V8_L,222905.2916626033
4_L,217615.98177694067
3b_L,189279.81839705358
FEF_L,201170.68823831467
PEF_L,190253.58438956464
55b_L,198913.0635263611
V3A_L,200304.3650245265
RSC_L,246890.66769514972
POS2_L,210799.78983200368
V7_L,194328.34609411322
IPS1_L,186816.53768661892
FFC_L,210967.23575845617
V3B_L,193972.64633061952
LO1_L,202979.94033229395
LO2_L,209345.27699104967
PIT_L,212909.127103246
MT_L,200873.67763834322
A1_L,195320.39874242773
PSL_L,186960.4566938731
SFL_L,207490.57247068017
PCV_L,208423.3361911802
STV_L,194728.2048155927
7Pm_L,202532.14085672543
7m_L,209581.60596423084
POS1_L,229580.98166996564
23d_L,212959.01909284506
v23ab_L,219501.70126040909
d23ab_L,220970.68700533107
31pv_L,208239.891119009
5m_L,233132.7586738941
5mv_L,211849.6456395783
23c_L,191815.44394474145
5L_L,212203.231730452
24dd_L,227864.6452425901
24dv_L,213991.7388292421
7AL_L,200902.59752536577
SCEF_L,223826.92695980243
6ma_L,202071.3092123613
7Am_L,204490.59723536702
7Pl_L,201828.25954369502
7PC_L,201356.7220213528
LIPv_L,201298.18220739943
VIP_L,204869.4365020331
MIP_L,199043.09761466816
1_L,206557.07751383208
2_L,199543.22750742562
3a_L,178771.54457097044
6d_L,205409.3591988262
6mp_L,208472.4823171925
6v_L,191472.27240226124
p24pr_L,202706.5779102754
33pr_L,226134.2858473803
a24pr_L,199009.97035698793
p32pr_L,215791.03341863514
a24_L,206606.3087407597
d32_L,205244.01121830984
8BM_L,222986.40557782774
p32_L,203876.02836193558
10r_L,211350.04873050435
47m_L,199768.8187057752
8Av_L,191516.01470812576
8Ad_L,186101.01784708383
9m_L,200581.27589776964
8BL_L,190872.62597799438
9p_L,177179.10949517673
10d_L,181576.50195572214
8C_L,196175.15108308333
44_L,192931.3682417092
45_L,196185.42176283136
47l_L,185949.39541479218
a47r_L,180030.3194240792
6r_L,187930.68702734087
IFJa_L,197150.2849654194
IFJp_L,195366.59561931863
IFSp_L,190270.90992135246
IFSa_L,181356.11281869258
p9-46v_L,189031.16568108514
46_L,180851.81130454713
a9-46v_L,176008.95987875672
9-46d_L,179677.19902913115
9a_L,173200.33204654788
10v_L,216689.36865519045
a10p_L,173590.3496900219
10pp_L,192316.4693581092
11l_L,199088.8105651487
13l_L,222681.7889368018
OFC_L,247024.68812950345
47s_L,201609.33912690202
LIPd_L,190115.96055103996
6a_L,193387.70146043258
i6-8_L,197148.32185494702
s6-8_L,190084.0812157014
43_L,196514.6192061305
OP4_L,204298.9098558439
OP1_L,221633.2244315943
OP2-3_L,226035.37450138442
52_L,188175.43381439734
RI_L,205978.3696235255
PFcm_L,207069.87538156283
PoI2_L,185424.33774229576
TA2_L,192900.44464110458
FOP4_L,209479.17980218222
MI_L,178662.0037157741
Pir_L,216277.60003167583
AVI_L,194171.6359348449
AAIC_L,187297.47215322047
FOP1_L,210643.66921773608
FOP3_L,203103.4931262432
FOP2_L,221558.16997441172
PFt_L,185716.45685760307
AIP_L,194208.342851852
EC_L,234665.04713867663
PreS_L,214935.01523659425
H_L,202948.02203335727
ProS_L,225434.5233771842
PeEc_L,223339.38677565687
STGa_L,177119.67526632405
PBelt_L,191627.3897562309
A5_L,189539.1874104199
PHA1_L,223616.06020770705
PHA3_L,217005.67580318017
STSda_L,184478.49876157645
STSdp_L,195952.92614936226
STSvp_L,182386.0827083261
TGd_L,196533.54882434747
TE1a_L,182346.91431288025
TE1p_L,190694.98862702024
TE2a_L,202369.43736229438
TF_L,227548.2757170131
TE2p_L,215465.69358778972
PHT_L,190107.5834739987
PH_L,200717.05442418522
TPOJ1_L,200087.40401577132
TPOJ2_L,194800.0269357049
TPOJ3_L,193017.64297566883
DVT_L,212328.6006646412
PGp_L,192215.1011693553
IP2_L,190858.4886039604
IP1_L,194845.00284564446
IP0_L,201683.08161797078
PFop_L,186223.62666603673
PF_L,187270.90286816852
PFm_L,189763.8702536282
PGi_L,192946.46822418508
PGs_L,190744.00701203867
V6A_L,200468.9274192439
VMV1_L,226943.7946041864
VMV3_L,219732.28594998326
PHA2_L,216827.59673503705
V4t_L,204130.0560105872
FST_L,197648.37089525297
V3CD_L,199259.93464106962
LO3_L,200092.89810453562
VMV2_L,220819.35986052762
31pd_L,209608.56628017826
31a_L,208928.66116562873
VVC_L,225867.65755390192
25_L,242548.30111591532
s32_L,234490.6462829446
pOFC_L,233451.15062193407
PoI1_L,188074.21149555457
Ig_L,207419.9849997231
FOP5_L,215728.3006312468
