region,dki-ad_intersubject_cov
V1_L,1.8753186295734945
MST_L,2.250967270841881
V6_L,2.3289330477120025
V2_L,1.7866128074536882
V3_L,1.7531872873884542
V4_L,1.8937384604272924
V8_L,2.2407847486980867
4_L,1.5863171617778753
3b_L,2.2172661089387247
FEF_L,2.0856125729972006
PEF_L,2.2681126139583974
55b_L,1.9548252594918307
V3A_L,1.87768820496748
RSC_L,1.868749993490196
POS2_L,2.110102317947866
V7_L,2.1945342250602304
IPS1_L,2.2793374211058657
FFC_L,2.077812991467915
V3B_L,2.5083488080113407
LO1_L,2.293155030405272
LO2_L,2.134207308367106
PIT_L,2.204591097278348
MT_L,2.215576952011862
A1_L,2.0530155634767397
PSL_L,2.024973877397348
SFL_L,2.229125648312406
PCV_L,2.173895400210576
STV_L,2.0403761529487543
7Pm_L,2.4191172762984623
7m_L,2.1901836340792595
POS1_L,2.130612492352367
23d_L,2.3743784802642693
v23ab_L,2.52326050487849
d23ab_L,2.138377782358857
31pv_L,2.368484999262187
5m_L,2.131703499782017
5mv_L,2.271830951341568
23c_L,2.263728205044995
5L_L,2.316522952592958
24dd_L,2.2020358007064
24dv_L,2.42177863848628
7AL_L,2.4921151124123164
SCEF_L,2.348395320192356
6ma_L,2.35860708670073
7Am_L,2.264139123544702
7Pl_L,2.42086072795101
7PC_L,2.3871279638686183
LIPv_L,2.3312867627430176
VIP_L,2.4404420048265
MIP_L,2.155829975874177
1_L,1.836834230268317
2_L,2.0805731671081085
3a_L,2.163629610093036
6d_L,2.2184601755718787
6mp_L,2.271707638543288
6v_L,1.9415620629496475
p24pr_L,2.3478790949932278
33pr_L,2.4839634870036247
a24pr_L,2.6091383954257963
p32pr_L,2.363273350139302
a24_L,2.061658695652604
d32_L,2.1259624135047317
8BM_L,2.1419122420023773
p32_L,2.110381662759879
10r_L,2.107434131905269
47m_L,2.0644164880729394
8Av_L,1.9523866611076877
8Ad_L,1.9077820321473629
9m_L,2.0335766586594635
8BL_L,2.1428972586453225
9p_L,2.1221033507397578
10d_L,2.1723459011775805
8C_L,1.7635015421366147
44_L,1.991569420935915
45_L,1.5826287181919287
47l_L,1.7000626385792152
a47r_L,1.5320005469722422
6r_L,1.9719828315951635
IFJa_L,2.0500172538450783
IFJp_L,2.214190048367398
IFSp_L,2.011617111665208
IFSa_L,1.8499364574701584
p9-46v_L,1.734758454185762
46_L,1.822659186533968
