region,fa_intersubject_cov
V1_L,4.732305450801846
MST_L,8.629194060634688
V6_L,8.056001711011847
V2_L,4.634104878444664
V3_L,4.452276003609508
V4_L,4.864453633450401
V8_L,7.335795455248391
4_L,4.446399150354078
3b_L,5.613602586197624
FEF_L,7.343897802837164
PEF_L,10.658732833368797
55b_L,7.984945663344613
V3A_L,6.490193427586304
RSC_L,6.165244472836672
POS2_L,5.53563676977863
V7_L,11.633866252806452
IPS1_L,9.07119280842709
FFC_L,6.941316574954981
V3B_L,7.248346017421925
LO1_L,9.025242688300576
LO2_L,7.879712212966353
PIT_L,7.592685991478278
MT_L,9.02405872971546
A1_L,7.415374554339
PSL_L,8.098329697418944
SFL_L,6.875153341679106
PCV_L,6.676380019075981
STV_L,8.703954876042538
7Pm_L,8.00068747583787
7m_L,6.3938046186590105
POS1_L,5.139468053358634
23d_L,8.158936586448236
v23ab_L,6.849503158922911
d23ab_L,6.817209946792432
31pv_L,7.437414119842423
5m_L,6.84749649773223
5mv_L,7.652387686029203
23c_L,6.698398515218658
5L_L,5.931323540523593
24dd_L,5.382715167509139
24dv_L,7.71232975319199
7AL_L,6.713230563721682
SCEF_L,5.601797073553215
6ma_L,6.109345727876663
7Am_L,6.030061863739402
7Pl_L,7.975522434725893
7PC_L,7.849863853277116
LIPv_L,8.13430845129896
VIP_L,7.9114465688008435
MIP_L,8.67904311362998
1_L,5.234674055587483
2_L,6.146471508157548
3a_L,5.868339911767441
6d_L,7.730402400038796
6mp_L,5.929252847761368
6v_L,7.35560169814975
p24pr_L,7.51275367949246
33pr_L,10.290072723598612
a24pr_L,10.756504346250464
p32pr_L,7.773721632608693
a24_L,5.7468111666245925
d32_L,6.380347904744936
8BM_L,5.694188318200907
p32_L,6.041261333230903
10r_L,6.197317352314167
47m_L,7.709740085912258
8Av_L,6.465000553775467
8Ad_L,6.040892074420119
9m_L,4.64806246684119
8BL_L,6.940696253208782
9p_L,6.220369993152927
10d_L,6.238922005921979
8C_L,5.767191771223866
44_L,5.702317243023212
45_L,5.383319394385472
47l_L,6.699914934133558
a47r_L,5.77097314659215
6r_L,5.959007404882394
IFJa_L,7.937418922857294
IFJp_L,8.358026208305597
IFSp_L,7.726961557788506
IFSa_L,5.940332103668496
p9-46v_L,6.758806769352592
46_L,5.381677175762721
a9-46v_L,5.899331828368876
9-46d_L,4.973258434438311
9a_L,6.0955853211885165
10v_L,5.913554632175706
a10p_L,6.326652357605979
10pp_L,6.524228608139661
11l_L,5.548241789021438
13l_L,6.448969578769496
OFC_L,8.872118319822912
47s_L,6.4849954553668265
LIPd_L,8.957929424902932
6a_L,5.454008885295283
i6-8_L,8.370753057962082
s6-8_L,9.333258584529984
43_L,6.822285791414899
OP4_L,5.132396147871506
OP1_L,5.956951176946544
OP2-3_L,5.50829006653044
52_L,8.10706560712133
RI_L,7.645562252420484
PFcm_L,6.498171417093667
PoI2_L,6.955773664606724
TA2_L,7.385365554830465
FOP4_L,4.660489655003797
MI_L,6.147221471549706
Pir_L,5.19867064810998
AVI_L,6.932662619232959
AAIC_L,5.710063832111175
FOP1_L,6.722792066535892
FOP3_L,6.9404829987006655
FOP2_L,6.005641715576174
PFt_L,6.873893599619615
AIP_L,6.820655875405566
EC_L,6.8966269949093775
PreS_L,6.61438737889193
H_L,5.911101052077761
ProS_L,7.953707231187135
PeEc_L,5.33183343381669
STGa_L,6.535234947567719
PBelt_L,7.2673920464293635
A5_L,6.204224241589288
PHA1_L,5.910106176593996
PHA3_L,6.457218760933654
STSda_L,7.338980834588309
STSdp_L,7.599644231877052
STSvp_L,7.200539808116544
TGd_L,4.607444014697438
TE1a_L,6.016536631716693
TE1p_L,5.809779645620812
TE2a_L,6.7111681539345645
TF_L,6.825065676184488
TE2p_L,6.723197134010249
PHT_L,6.284676767214002
PH_L,6.301047809903004
TPOJ1_L,7.482157552381079
TPOJ2_L,7.962136461101807
TPOJ3_L,8.69324690630393
DVT_L,6.199225103089746
PGp_L,5.64754606495074
IP2_L,7.649373741245135
IP1_L,7.094665114587699
IP0_L,7.081207204506415
PFop_L,6.656552922584198
PF_L,5.022553157789896
PFm_L,4.971801591667748
PGi_L,5.513305070268461
PGs_L,5.503687747720221
V6A_L,10.25484394027666
VMV1_L,8.983481678301699
VMV3_L,8.425799490909496
PHA2_L,7.358303326030417
V4t_L,9.321817593685388
FST_L,7.634870722187303
V3CD_L,7.253715930192814
LO3_L,8.905860678108477
VMV2_L,8.591103815233536
31pd_L,7.00969125337114
31a_L,8.657168398469475
VVC_L,5.997132134674211
25_L,7.386445943130447
s32_L,8.846152827319704
pOFC_L,7.014782967917142
PoI1_L,7.632924037536447
Ig_L,5.781015212207018
FOP5_L,5.796879942414459
p10p_L,6.531062961815678
p47r_L,5.7818090527884864
TGv_L,6.232931214201481
MBelt_L,6.4808124463458165
LBelt_L,7.895533967588706
A4_L,7.67389583523324
STSva_L,7.367028153626729
TE1m_L,7.926238588857973
PI_L,7.011216871136326
a32pr_L,7.590158426986643
p24_L,9.908930352144605
V1_R,4.76501352557194
MST_R,7.899019567922682
V6_R,7.507688904296366
V2_R,4.679187073940541
V3_R,4.549776628149714
V4_R,4.906291983503039
V8_R,6.842356196988033
4_R,4.381532496171311
3b_R,6.128597664591229
FEF_R,6.8285388232061095
PEF_R,9.241156050315851
55b_R,7.942206281513176
V3A_R,6.4641745916471445
RSC_R,5.829857340666575
POS2_R,6.341727575686759
V7_R,10.573648083548584
IPS1_R,8.243294940499913
FFC_R,6.041612031038112
V3B_R,8.002984729951528
LO1_R,8.491707129343947
LO2_R,8.408578967643347
PIT_R,7.237519475508401
MT_R,8.191701805389478
A1_R,8.103587723621942
PSL_R,6.727348451716924
SFL_R,6.09069757266933
PCV_R,6.284713029109292
STV_R,7.065587064452315
7Pm_R,8.837112133426302
7m_R,6.148422086037931
POS1_R,5.398497163845504
23d_R,6.258589108991345
v23ab_R,7.32969577993033
d23ab_R,7.018699108579762
31pv_R,7.116485210052148
5m_R,6.406188487610454
5mv_R,6.250378372900375
23c_R,5.392501125160645
5L_R,6.149490411843457
24dd_R,4.952083531065342
24dv_R,6.462221453109648
7AL_R,7.807305069568958
SCEF_R,5.518623159656144
6ma_R,5.70982176396571
7Am_R,6.807824823218595
7Pl_R,9.216244541278446
7PC_R,8.118788696273
LIPv_R,8.727685163558332
VIP_R,9.19549171313328
MIP_R,7.907857895767368
1_R,6.019004741642061
2_R,6.451030468911265
3a_R,6.77538141296989
