region,icvf_intersubject_cov
V1_L,4.764608635758118
MST_L,5.895505491843906
V6_L,4.980302252310325
V2_L,4.57163643155536
V3_L,4.313391514056862
V4_L,4.62644535288557
V8_L,5.12526172413894
4_L,5.080451959342335
3b_L,4.883649612061736
FEF_L,5.614331929934215
PEF_L,6.307221696619893
55b_L,5.713658907700957
V3A_L,6.009840202289532
RSC_L,5.3577660647077
POS2_L,4.765790815632543
V7_L,8.491257629922746
IPS1_L,8.076354791407372
FFC_L,5.331195092919138
V3B_L,6.169699526944847
LO1_L,5.865061361037538
LO2_L,5.998602592366584
PIT_L,5.66016684165529
MT_L,6.231065381945074
A1_L,6.016085736330285
PSL_L,5.179668686651413
SFL_L,5.215724592372408
PCV_L,4.392579153079701
STV_L,5.494903517339601
7Pm_L,5.188733937359375
7m_L,4.326685955195909
POS1_L,5.41397069964541
23d_L,5.6073635278566805
v23ab_L,6.367133711010123
d23ab_L,5.517495159239065
31pv_L,4.654579160595244
5m_L,5.76850787316329
5mv_L,4.692137813208901
23c_L,4.512515737929741
5L_L,5.456040026820977
24dd_L,4.791809296423042
24dv_L,5.040155274668239
7AL_L,6.292907467324385
SCEF_L,4.682794703691148
6ma_L,5.907582668089609
7Am_L,5.362767534566829
7Pl_L,6.921131374351051
7PC_L,7.167469573114131
LIPv_L,8.405673411291074
VIP_L,7.252281117545091
MIP_L,7.097134908986109
1_L,5.218536408785695
2_L,6.171987022960379
3a_L,5.9975004013426485
6d_L,6.04601434717333
6mp_L,5.643224638975608
6v_L,5.992480433874527
p24pr_L,5.427364885694529
33pr_L,6.007937995273647
a24pr_L,5.919534701458772
p32pr_L,5.043224833421698
a24_L,5.788648896505778
d32_L,5.624625004446817
8BM_L,5.339628557520848
p32_L,5.79689500033249
10r_L,7.059234903905268
47m_L,6.741255324444932
8Av_L,5.260143665789338
8Ad_L,5.645023993470466
9m_L,5.312070927492188
8BL_L,5.650426013464459
9p_L,6.046847290282676
10d_L,6.460183865471005
8C_L,5.361365302158481
44_L,5.375105496577189
45_L,6.179093008481366
47l_L,5.875731015664759
a47r_L,6.126482623550531
6r_L,4.786560788021359
IFJa_L,5.864159581976034
IFJp_L,5.830052539747888
IFSp_L,6.366334340367207
IFSa_L,6.214971007165545
p9-46v_L,6.034921665058022
46_L,5.452937813641263
a9-46v_L,6.183597222999154
9-46d_L,5.762996295403945
9a_L,6.184476630729592
10v_L,7.676172141450589
a10p_L,6.769132718589257
10pp_L,9.658736453403089
11l_L,7.682279282146077
13l_L,7.779892164538621
OFC_L,6.23191191454949
47s_L,6.403758751427785
LIPd_L,7.731682671033491
6a_L,6.166987833458735
i6-8_L,5.588888680605438
s6-8_L,6.211003020168468
43_L,5.592336840132915
OP4_L,5.142689116757062
OP1_L,5.107030575059144
OP2-3_L,5.522243241916306
52_L,6.452908358175022
RI_L,5.803097226932192
PFcm_L,4.972023394308468
PoI2_L,5.567955003440658
TA2_L,5.83679280197877
FOP4_L,4.772529947020555
MI_L,5.107321320660398
Pir_L,5.8122837949341015
AVI_L,5.792059690921832
AAIC_L,5.590100741934201
FOP1_L,5.132943791727785
FOP3_L,5.282666444555365
FOP2_L,4.917130717126953
PFt_L,4.931259659601253
AIP_L,6.422275537720647
EC_L,6.951323193920378
PreS_L,5.8774953957110565
H_L,6.859541398907861
ProS_L,5.807051521373319
PeEc_L,7.414015215818989
STGa_L,5.483130333395712
PBelt_L,5.522933677018405
A5_L,5.602610170232718
PHA1_L,6.074548048463116
PHA3_L,6.341374099196891
STSda_L,5.795061603810812
STSdp_L,5.691224224415081
STSvp_L,4.669366160868436
TGd_L,6.396747327765658
TE1a_L,5.61814662206236
TE1p_L,5.499250882332622
TE2a_L,7.314061264099658
TF_L,6.726556527237153
TE2p_L,6.5025397173091335
PHT_L,4.4488384627740265
PH_L,4.333580858957022
TPOJ1_L,5.46399228579785
TPOJ2_L,4.984225657782022
TPOJ3_L,5.937675067695105
DVT_L,4.454981004283074
PGp_L,4.770920161810165
IP2_L,5.0479118373088285
IP1_L,5.641996826140529
IP0_L,4.591822940489173
PFop_L,4.789459788209538
PF_L,4.632047842066655
PFm_L,4.648993558238624
PGi_L,4.555278130467016
PGs_L,4.957876779733343
V6A_L,6.941033030584926
VMV1_L,5.982559988046612
VMV3_L,5.443785408744556
PHA2_L,5.887254795326732
V4t_L,5.966074582772505
