region,isovf_intersubject_cov
V1_L,17.22872350686869
MST_L,32.62001042583743
V6_L,25.81772834798714
V2_L,19.64237231306978
V3_L,20.63671047755443
V4_L,22.448747129348888
V8_L,33.66372652468788
4_L,14.49434625303739
3b_L,13.84255921746315
FEF_L,20.997214261008697
PEF_L,25.162956346176944
55b_L,21.508474407114058
V3A_L,23.758464238085374
RSC_L,33.73233182008953
POS2_L,24.12135441884836
V7_L,31.973616291917185
IPS1_L,30.90849115884421
FFC_L,31.09782454898263
V3B_L,35.966665010513374
LO1_L,33.8154014604131
LO2_L,30.946688671356743
PIT_L,29.59226852951261
MT_L,32.20869151596892
A1_L,20.98845613146864
PSL_L,27.0744472186539
SFL_L,26.61374576377602
PCV_L,25.762564632971312
STV_L,26.024115732766276
7Pm_L,32.04135388412948
7m_L,23.7121585732612
POS1_L,30.34738214020829
23d_L,33.76115689123033
v23ab_L,34.10091265510335
d23ab_L,30.127120265773712
31pv_L,31.35501352220094
5m_L,26.161473186638844
5mv_L,24.927548999252863
23c_L,29.21173152650972
5L_L,26.00434368827197
24dd_L,22.76216417321009
24dv_L,30.11492289046871
7AL_L,26.020414062463416
SCEF_L,21.27398213127151
6ma_L,22.973957318743448
7Am_L,26.39472669432929
7Pl_L,33.533696764372
7PC_L,26.425087649778305
LIPv_L,24.564412618756464
VIP_L,29.06936728462045
MIP_L,30.928421722645812
1_L,17.363240987674562
2_L,18.790909460462547
3a_L,15.450571926539752
6d_L,20.799870784678838
6mp_L,21.13634589481563
6v_L,24.145636989858914
p24pr_L,31.730680904714863
33pr_L,42.087322163419536
a24pr_L,32.73071553868171
p32pr_L,28.44734304439075
a24_L,25.38097154215436
d32_L,24.744473488320647
8BM_L,24.48611478195744
p32_L,23.94313027451057
10r_L,23.07131604979322
47m_L,15.155265507218138
8Av_L,21.65309544918987
8Ad_L,24.162375709906307
9m_L,25.522227335196234
8BL_L,22.860446127803456
9p_L,22.959902738313207
10d_L,23.909686724871406
8C_L,20.192539806334747
44_L,19.557384808434023
45_L,17.33241236634263
47l_L,18.126318740225905
a47r_L,15.480839390012177
6r_L,19.505467098318626
IFJa_L,24.14381555562219
IFJp_L,26.383235917820866
IFSp_L,21.764166784976982
IFSa_L,21.47998744888826
p9-46v_L,19.575288436362417
46_L,21.485463451490283
a9-46v_L,21.04593301229241
9-46d_L,22.1600540337162
9a_L,22.78917620625175
10v_L,18.289531566612347
a10p_L,20.95384226959697
10pp_L,20.32375550441097
11l_L,17.502053463465415
13l_L,14.383231150178029
OFC_L,15.632286120119756
47s_L,17.08989144476391
LIPd_L,27.099899015211577
6a_L,21.929554440375306
i6-8_L,28.166507606647414
s6-8_L,27.734600154910883
43_L,20.822363217672372
OP4_L,21.10166691828722
OP1_L,30.03634046121624
OP2-3_L,28.667686787421104
52_L,21.34413340253548
RI_L,25.049970659256925
PFcm_L,26.911706685204635
PoI2_L,19.748513125909515
TA2_L,20.162960498366765
FOP4_L,21.113487236810105
MI_L,21.983969239063253
Pir_L,15.655598888076378
AVI_L,20.523354771303712
AAIC_L,16.41584258159567
FOP1_L,23.10587314398771
FOP3_L,29.585686778111707
FOP2_L,27.167650511770177
PFt_L,22.668893395197266
AIP_L,23.71917067974622
EC_L,20.76088510322177
PreS_L,17.670072604632434
H_L,21.99095729910461
ProS_L,35.85690310532731
PeEc_L,21.47013587890285
STGa_L,21.33279829450908
PBelt_L,21.953974769119338
A5_L,20.74226244410157
PHA1_L,26.937722576100864
PHA3_L,30.73253754252676
STSda_L,24.08317216756369
STSdp_L,25.982594075859915
STSvp_L,24.865716645921733
TGd_L,18.27173022267834
TE1a_L,23.29998374197344
TE1p_L,26.138743557104227
TE2a_L,23.957931293645093
TF_L,21.599037922437564
TE2p_L,29.94034657578801
PHT_L,26.718580839630658
PH_L,34.18871970409948
TPOJ1_L,26.71879736768338
TPOJ2_L,30.85702549274157
TPOJ3_L,35.88943510083538
DVT_L,24.41452500955127
PGp_L,30.030832654002403
IP2_L,26.95640805418076
IP1_L,32.64981858354831
IP0_L,39.50997565502384
PFop_L,24.749528156172836
PF_L,21.85320452168834
PFm_L,21.43461053737678
PGi_L,28.0972848617013
PGs_L,24.477630522571072
V6A_L,34.92552774041491
VMV1_L,37.10192385951143
VMV3_L,44.70257890412112
PHA2_L,31.791717427212184
V4t_L,34.64424651262134
FST_L,33.2029172225504
V3CD_L,35.5268757256381
LO3_L,35.192184231755355
VMV2_L,40.781942690508
31pd_L,26.287757995150468
31a_L,34.30861387482767
VVC_L,30.723391504234225
25_L,31.114986746511576
s32_L,30.75173706389716
pOFC_L,20.345334757931575
PoI1_L,21.21974959736528
Ig_L,28.274497537140466
FOP5_L,20.4519998952372
p10p_L,22.18375422789398
p47r_L,19.8320835232522
TGv_L,22.24770448753469
MBelt_L,19.837111271226124
LBelt_L,22.15746817937006
A4_L,20.15045312698815
STSva_L,27.44061832115976
TE1m_L,28.11384874235739
PI_L,18.90372474750002
a32pr_L,27.009501822796828
p24_L,31.451999219234533
V1_R,16.89601464687648
MST_R,31.93155891681116
V6_R,22.09905304423084
V2_R,19.4599199395389
V3_R,21.600012494816397
V4_R,24.65568144325002
V8_R,37.677205195733535
4_R,14.94624114276981
3b_R,14.054122550055409
FEF_R,21.990376582804156
PEF_R,26.883028588589035
55b_R,22.96370327522532
V3A_R,23.372129163768044
RSC_R,21.92121108733848
POS2_R,25.73806730597684
V7_R,30.219055588841435
IPS1_R,29.745736465411596
FFC_R,35.57135230771499
V3B_R,36.3343782521196
LO1_R,36.66019593112924
LO2_R,34.5204283844985
PIT_R,34.20565407612688
MT_R,31.54173255372247
A1_R,19.888519858781148
PSL_R,24.93723153058804
SFL_R,22.75503205735036
PCV_R,24.064615713989745
STV_R,29.1661369826786
7Pm_R,28.94953101988297
7m_R,24.23456758943804
POS1_R,28.48820797207095
23d_R,26.2771350132396
v23ab_R,28.166398019779603
d23ab_R,27.01966594857586
31pv_R,28.720204552772348
5m_R,24.247033021764
5mv_R,23.9142535619532
23c_R,26.20941399592361
5L_R,22.620390059536746
24dd_R,20.16432022607004
24dv_R,24.62383772475338
7AL_R,27.15934028727669
SCEF_R,20.50514251678862
6ma_R,21.89139317564779
7Am_R,24.44543362093529
7Pl_R,32.48675359598385
7PC_R,28.25481519215594
LIPv_R,29.111736849887198
VIP_R,30.259873303266936
MIP_R,28.148741836586872
1_R,20.22137848246096
2_R,23.36271583615138
3a_R,17.960293797203132
6d_R,22.353308687440183
6mp_R,20.692647772898933
6v_R,26.811632951099934
p24pr_R,27.287774916792245
33pr_R,27.74445534583223
a24pr_R,25.723348608663947
p32pr_R,25.37056616101975
a24_R,24.16682686539673
d32_R,22.898596382433567
8BM_R,22.161238242340755
p32_R,26.985335175015468
10r_R,22.09698661056941
47m_R,21.53993459662109
8Av_R,23.02422494795734
8Ad_R,27.372537202147456
