region,kfa_intersubject_cov
V1_L,4.108318885549123
MST_L,5.106270503938173
V6_L,5.674418537552999
V2_L,4.163398751726129
V3_L,3.8207388052395928
V4_L,3.7020009530080036
V8_L,4.514760065925625
4_L,3.3360849976842855
3b_L,4.0783668046368975
FEF_L,5.010774689549404
PEF_L,6.391931645687247
55b_L,4.818124121155351
V3A_L,4.388094398220739
RSC_L,5.282381905342494
POS2_L,4.54962030668561
V7_L,5.95129017803091
IPS1_L,5.231781220533364
FFC_L,4.404775589619687
V3B_L,5.398533310496387
LO1_L,5.2310540704422674
LO2_L,4.871596137998493
PIT_L,4.809821050712918
MT_L,5.017960907502241
A1_L,5.163183695638432
PSL_L,4.6406895702422375
SFL_L,4.345818447978562
PCV_L,4.746672908176873
STV_L,4.661306562818657
7Pm_L,4.855669154301451
7m_L,4.853200838077273
POS1_L,4.992437820514384
23d_L,5.8054294516181155
v23ab_L,5.7211519963270545
d23ab_L,5.278465359592061
31pv_L,5.5627159040734915
5m_L,4.693393907469366
5mv_L,5.226327595452413
23c_L,5.35950278629053
5L_L,4.229091684327184
24dd_L,4.828347743798514
24dv_L,5.7522430751886855
7AL_L,4.3280245170811895
SCEF_L,4.1272483191985465
6ma_L,4.560602778053566
7Am_L,4.089502777715331
7Pl_L,4.618220986340867
7PC_L,4.798909300831574
LIPv_L,4.983430395737215
VIP_L,4.693418055624746
MIP_L,4.966667641974355
1_L,3.841795577687009
2_L,4.372823709438591
3a_L,4.4356604778145
6d_L,4.666819320512015
6mp_L,4.149616093837361
6v_L,5.281544231483456
p24pr_L,5.476068738034369
33pr_L,6.889689084979624
a24pr_L,5.816157939543244
p32pr_L,5.279968377171709
a24_L,5.164296003521107
d32_L,4.609029790962607
8BM_L,4.323579155491525
p32_L,5.038717127413408
10r_L,4.808410907125787
47m_L,6.060835355445874
8Av_L,4.825634625297309
8Ad_L,5.040063519857217
9m_L,4.066079261810004
8BL_L,4.566616236816142
9p_L,5.109428334251712
10d_L,4.856110499682715
8C_L,4.592909835748593
44_L,4.429935986391995
45_L,4.601108427666419
47l_L,5.06680081068068
a47r_L,4.656094356682306
6r_L,4.195813236804704
IFJa_L,5.576102732478078
IFJp_L,5.301004240714629
IFSp_L,6.0400976007775915
IFSa_L,5.024778632357693
p9-46v_L,4.867213659395788
46_L,4.647670490266187
a9-46v_L,4.968979057328342
9-46d_L,4.649727182343889
9a_L,5.128822989741163
10v_L,4.718380309973511
a10p_L,5.3833764431337645
10pp_L,5.134634373376552
11l_L,5.333149050453422
13l_L,5.286839933417998
OFC_L,6.626726475794843
47s_L,5.767525295511418
LIPd_L,5.389062109483768
6a_L,5.089121295094361
i6-8_L,5.729535776093724
s6-8_L,5.798413277810782
43_L,4.6984487378051
OP4_L,3.878436347177558
OP1_L,4.3148381577099135
OP2-3_L,4.26862865221456
52_L,5.355027792320411
RI_L,4.974186811257146
PFcm_L,4.32075995024497
PoI2_L,4.6445520061911685
TA2_L,5.0162014430226085
FOP4_L,3.830813827500955
MI_L,4.576785763951951
Pir_L,4.571919037593586
AVI_L,4.6048016904405245
AAIC_L,4.828043683203696
FOP1_L,4.945806141635516
FOP3_L,5.032663726784898
FOP2_L,4.557443112792764
PFt_L,4.548991549124185
AIP_L,4.8997375263219265
EC_L,5.798533954182485
PreS_L,5.371000759741642
H_L,5.033143641026388
ProS_L,5.459487394531307
PeEc_L,4.898964863560186
STGa_L,4.654511377146785
PBelt_L,4.639415450856995
A5_L,4.4767090029143946
PHA1_L,5.292523967958262
PHA3_L,5.509113088691434
STSda_L,4.862058018516635
STSdp_L,4.454353211172009
STSvp_L,4.773328161688451
TGd_L,4.139538078487387
TE1a_L,5.024602654498437
TE1p_L,4.547931524725966
TE2a_L,4.860732100527351
TF_L,5.148745117179798
TE2p_L,5.715421894149281
PHT_L,4.7799111909625545
PH_L,4.251855469783728
TPOJ1_L,4.473864187147228
TPOJ2_L,4.736533899868046
TPOJ3_L,4.8510460823861
DVT_L,4.657942571943621
PGp_L,4.398216987951623
IP2_L,5.166815575337655
IP1_L,4.840922334087754
IP0_L,4.823883462144616
PFop_L,4.199177396357678
PF_L,4.0245995921173225
PFm_L,4.352281906873304
PGi_L,4.318174786844383
PGs_L,4.31762468697456
V6A_L,5.602390088839634
VMV1_L,5.54618807185453
VMV3_L,5.300589998090018
PHA2_L,5.553066697266681
V4t_L,5.421118494430506
FST_L,4.78516004428761
V3CD_L,4.458881662562251
LO3_L,4.995597435816711
VMV2_L,5.9468638654029435
31pd_L,5.029646893485612
31a_L,5.438905032544769
VVC_L,4.87391255468551
25_L,5.885310876276147
s32_L,6.190788077986352
pOFC_L,5.292058590998773
PoI1_L,4.898162439902169
Ig_L,4.658324204281331
FOP5_L,3.9605348596816485
p10p_L,5.509125075112959
p47r_L,4.435000216796705
TGv_L,5.153682830089414
MBelt_L,4.441348663713266
LBelt_L,5.269952296781668
A4_L,4.925606909388174
STSva_L,5.321327581146699
TE1m_L,5.233279393758223
PI_L,5.0715307391128075
a32pr_L,5.029245553008431
p24_L,5.882874248714576
V1_R,3.927455392007559
MST_R,4.877278224716167
V6_R,4.929357838367831
V2_R,4.048452042659472
V3_R,3.6670698715047974
V4_R,3.9723665213150094
V8_R,4.988090276763807
4_R,3.4868607243991887
3b_R,4.665062861006684
FEF_R,4.368486215005449
PEF_R,5.809448206391857
55b_R,4.8390509628645955
V3A_R,3.994881538528366
RSC_R,5.099195632730313
POS2_R,4.313483846114898
V7_R,5.066221322661253
IPS1_R,4.567545553444869
FFC_R,5.569547364865589
V3B_R,4.712581333216156
LO1_R,4.616377036355033
LO2_R,4.918665439351775
PIT_R,4.836671949897662
MT_R,4.448795252515077
A1_R,5.3148416806317735
PSL_R,4.3404638213998386
SFL_R,4.3688386068775795
PCV_R,4.6074292280115445
STV_R,4.374959482445099
7Pm_R,5.229722195315114
7m_R,4.682893936234562
POS1_R,4.539035583379865
23d_R,5.3519783988633325
v23ab_R,5.455374796737953
d23ab_R,5.481861780048844
31pv_R,5.464396359967465
5m_R,4.492531238157001
5mv_R,4.809400040484489
23c_R,5.301019166566456
5L_R,3.7872514776782578
24dd_R,4.372869526074389
24dv_R,5.072567317032684
7AL_R,4.117266182736776
SCEF_R,4.621432539767824
6ma_R,4.145454894621462
7Am_R,4.335930347826361
7Pl_R,4.679786314128057
7PC_R,4.24420660472488
LIPv_R,4.693507321091444
VIP_R,4.333511013988501
MIP_R,4.491975143883245
1_R,3.875834776195132
2_R,4.149143706467793
3a_R,4.722061139002315
6d_R,4.196279976167061
6mp_R,4.436061933440479
6v_R,4.818652835461391
p24pr_R,5.587461488453732
33pr_R,6.122962068606079
a24pr_R,5.962248196434592
p32pr_R,5.086137006706226
a24_R,5.130640856268888
d32_R,4.017979800590439
8BM_R,4.50024642835186
p32_R,4.941494127634513
10r_R,5.3137715533765295
47m_R,6.086220912674581
8Av_R,4.448977076076983
8Ad_R,4.969562816525497
9m_R,4.163830333185206
8BL_R,4.225133822606235
9p_R,5.122417314197825
10d_R,5.1866761761510976
8C_R,4.972850015915824
44_R,4.730182791461003
45_R,5.20877703306388
47l_R,4.9621646139488105
a47r_R,4.6839888464217205
6r_R,4.424185491353924
IFJa_R,6.188778663537356
IFJp_R,5.944313270895806
IFSp_R,5.878994381676515
IFSa_R,5.443735236226086
p9-46v_R,4.888266832964537
46_R,4.483731742462068
a9-46v_R,5.981708677518135
9-46d_R,4.692417118997956
9a_R,4.695237761160033
10v_R,5.005549006789997
a10p_R,5.737862387605444
10pp_R,4.840930420008197
11l_R,5.745330489717599
13l_R,5.11882604441101
OFC_R,6.295913730769098
47s_R,5.573175023122314
LIPd_R,5.092669181846179
6a_R,4.630589384112664
i6-8_R,4.835555819009238
s6-8_R,4.778974720198784
43_R,5.091534038912406
OP4_R,4.359361501870005
OP1_R,4.722512401961747
OP2-3_R,4.899947986822195
52_R,5.889939470290285
RI_R,4.933707867928779
PFcm_R,4.430795527076569
PoI2_R,4.4440339341301
TA2_R,5.082462753426227
FOP4_R,4.427049628665651
MI_R,4.87691951064877
Pir_R,5.098183125370492
AVI_R,4.781985376470937
AAIC_R,4.545858895108179
FOP1_R,4.955919360968183
FOP3_R,5.618545012445186
FOP2_R,4.9808244375567865
PFt_R,4.9658840942229885
AIP_R,4.309974541085075
EC_R,4.940297763712278
PreS_R,4.725502772109763
H_R,4.920437402604234
ProS_R,5.673089424519984
PeEc_R,4.915116342395467
STGa_R,4.97505249222759
PBelt_R,4.952319381549892
A5_R,4.442709716550102
PHA1_R,5.045685028442983
PHA3_R,6.549946534514195
STSda_R,5.392585921096506
STSdp_R,4.748838956185879
STSvp_R,4.889432986488538
TGd_R,4.0205853653482215
TE1a_R,5.375580779164624
TE1p_R,4.894192835903987
TE2a_R,5.147165829227614
TF_R,5.181417482335339
TE2p_R,5.8648478682905445
PHT_R,4.2897581370592475
PH_R,4.944344831601255
TPOJ1_R,4.200029556475212
TPOJ2_R,4.2875413361002686
TPOJ3_R,4.579708482948184
DVT_R,4.207726411324664
PGp_R,3.9439268904279996
IP2_R,4.453439288392302
IP1_R,4.328495927567954
IP0_R,4.491695063565084
PFop_R,4.734584886718884
PF_R,3.948144235308665
PFm_R,3.659286082127902
PGi_R,3.8561706522842814
PGs_R,3.7323449390109023
V6A_R,5.084425053275711
VMV1_R,6.443395248834608
VMV3_R,6.999880160792504
PHA2_R,6.5564177998482975
V4t_R,4.8455506103213235
FST_R,4.583301355893166
V3CD_R,4.066446602758568
LO3_R,4.525394388746055
VMV2_R,7.398167352606426
31pd_R,5.230168688324401
31a_R,5.344071953815472
VVC_R,5.771129748602691
25_R,6.001249570656375
s32_R,7.641440573056099
pOFC_R,5.1578909608338215
PoI1_R,4.848414289742555
Ig_R,4.872752178682636
FOP5_R,4.70559293192924
p10p_R,4.916055050424291
p47r_R,5.0823510513087555
TGv_R,5.175720788430811
