region,mk_intersubject_cov
V1_L,3.9812806896406614
MST_L,5.234673202946888
V6_L,4.716798678396063
V2_L,3.984823818045328
V3_L,4.0613233911633175
V4_L,4.268014656707419
V8_L,5.201813928670773
4_L,3.822813783620919
3b_L,3.598726516218518
FEF_L,4.33588743345082
PEF_L,5.096573471463597
55b_L,4.439255385334412
V3A_L,4.729456515112151
RSC_L,4.28741838618169
POS2_L,4.423542945325956
V7_L,6.215533739370446
IPS1_L,5.825618236060166
FFC_L,4.838897981108159
V3B_L,5.78057725222578
LO1_L,5.603498086617241
LO2_L,5.147708114097929
PIT_L,4.913732349939403
MT_L,5.5877806843852635
A1_L,3.929249933393744
PSL_L,4.920947204610317
SFL_L,4.769434843458699
PCV_L,4.624062799970688
STV_L,4.856779210455104
7Pm_L,5.197116873397191
7m_L,4.70730636394277
POS1_L,4.9690621393145245
23d_L,4.663352320557636
v23ab_L,5.7018599042012115
d23ab_L,5.153599866831234
31pv_L,5.0313927581448255
5m_L,4.755947663029554
5mv_L,4.6701686902388575
23c_L,4.321436051927777
5L_L,4.94296765291168
24dd_L,4.208793661486222
24dv_L,4.58475061927136
7AL_L,5.079550559603721
SCEF_L,4.274131228448262
6ma_L,4.882263720305965
7Am_L,4.675767998005497
7Pl_L,6.301614811133993
7PC_L,5.88751449043587
LIPv_L,6.335509313981174
VIP_L,6.1210368497450975
MIP_L,5.863837896060446
1_L,4.035714827701349
2_L,4.394814044720436
3a_L,3.945836832718827
6d_L,4.386969678719073
6mp_L,4.689370730109686
6v_L,4.816547161916379
p24pr_L,4.624216646008087
33pr_L,4.643017225323985
a24pr_L,4.562575448121503
p32pr_L,4.59259389873047
a24_L,4.070174006823582
d32_L,4.730663487986074
8BM_L,4.799661357277936
p32_L,4.417733240568659
10r_L,4.784722484355416
47m_L,4.309374563944112
8Av_L,4.2848701837183025
8Ad_L,4.381589198765878
9m_L,4.979877689876928
8BL_L,4.517940939263091
9p_L,4.547646572570372
10d_L,5.427782644839682
8C_L,4.488441726823689
44_L,4.423625715764358
45_L,4.9429028298683
47l_L,4.159153928574864
a47r_L,4.3758732063252825
6r_L,3.8208078627596556
IFJa_L,5.188619415694101
IFJp_L,4.842246213677794
IFSp_L,5.339294462576944
IFSa_L,5.051610409106563
p9-46v_L,4.8191289120589325
46_L,4.493080527635485
a9-46v_L,4.6785295940325495
9-46d_L,4.562782489862753
9a_L,4.868694895000067
10v_L,4.654170699411496
a10p_L,4.646000222090675
10pp_L,5.72051424033437
11l_L,4.495680793790336
13l_L,4.243310950489092
OFC_L,3.5261466634682312
47s_L,3.952665303720091
LIPd_L,5.787365891600016
6a_L,4.310287845864047
i6-8_L,4.7339420850078024
s6-8_L,4.988892744313185
43_L,4.446663412892773
OP4_L,4.22378423205108
OP1_L,4.19995286162078
OP2-3_L,4.112740277578897
52_L,4.717075577009331
RI_L,4.540572018921769
PFcm_L,4.218939479875613
PoI2_L,3.7803868508300127
TA2_L,4.526356711085002
FOP4_L,3.4884189444842604
MI_L,3.561162959843785
Pir_L,3.4147514004027975
AVI_L,3.6170610984162015
AAIC_L,3.3161641090426066
FOP1_L,3.874016959358182
FOP3_L,4.0325226623894395
FOP2_L,3.876535621609235
PFt_L,4.404152047223088
AIP_L,5.095954396976329
EC_L,4.122890459676733
PreS_L,4.084618284087748
H_L,4.509840473844325
ProS_L,4.80289936459208
PeEc_L,4.619228178734243
STGa_L,4.243461180753847
PBelt_L,4.694767779934218
A5_L,4.420047975621535
PHA1_L,4.916528366584943
PHA3_L,5.341322807667534
STSda_L,4.588378434425136
STSdp_L,5.069844725040365
STSvp_L,4.530886246752646
TGd_L,4.380046323885932
TE1a_L,4.816849831485121
TE1p_L,4.488079914171396
TE2a_L,5.539597742279646
TF_L,4.656233109335798
TE2p_L,5.527928100165751
PHT_L,4.197607600999462
PH_L,4.430588857576657
TPOJ1_L,4.964021804684314
TPOJ2_L,4.709374407747105
TPOJ3_L,5.751274704676236
DVT_L,4.616115755998886
PGp_L,4.342390527526889
IP2_L,4.994449107603298
IP1_L,5.351595328032921
IP0_L,5.056762082876548
PFop_L,4.059922280004309
PF_L,3.807983231639817
PFm_L,3.875131893444841
PGi_L,4.098036332488096
PGs_L,4.069370107367026
V6A_L,5.968749369420175
VMV1_L,5.1428974506389915
VMV3_L,5.410810720425137
PHA2_L,5.352141099668046
V4t_L,5.410337295272633
FST_L,4.7424660384443
V3CD_L,5.316741951860006
LO3_L,5.283615393855974
