region,myl_intersubject_cov
V1_L,4.645190374583861
MST_L,5.2724763945345945
V6_L,5.300962175752275
V2_L,4.624477093488959
V3_L,4.50619587821215
V4_L,4.330071686245738
V8_L,4.359904393293638
4_L,6.130715121213373
3b_L,5.92553338067356
FEF_L,6.452231909235643
PEF_L,6.861084837842234
55b_L,6.51879982538714
V3A_L,5.401866091562659
RSC_L,5.434420340597855
POS2_L,5.336527499536594
V7_L,5.592101260375981
IPS1_L,5.340501177553938
FFC_L,4.403253478722096
V3B_L,4.8314210237036495
LO1_L,4.904662105012434
LO2_L,4.647187149510029
PIT_L,4.5455815521825205
MT_L,5.391498809644483
A1_L,5.908781068050344
PSL_L,4.894128673614478
SFL_L,6.961025780731887
PCV_L,5.764441227460587
STV_L,4.867325701637194
7Pm_L,5.859974743974183
7m_L,5.3858620666983565
POS1_L,4.719600435393858
23d_L,5.37999135742463
v23ab_L,5.032165192209836
d23ab_L,5.261455924246719
31pv_L,4.963377958345354
5m_L,6.490528869219396
5mv_L,5.498217163768422
23c_L,5.20357755788738
5L_L,6.098399536555539
24dd_L,5.867925608380804
24dv_L,5.750801768549564
7AL_L,5.91228535193285
SCEF_L,6.459905149610632
6ma_L,6.71925309068767
7Am_L,5.853601605406943
7Pl_L,5.94625953703492
7PC_L,5.898846729965852
LIPv_L,6.070171236045616
VIP_L,6.147823423653567
MIP_L,5.560233754830869
1_L,5.870568517768353
2_L,5.63741766940109
3a_L,5.583014461969917
6d_L,6.616541684880432
6mp_L,6.453590623256282
6v_L,6.252897128808528
p24pr_L,5.483250101737033
33pr_L,6.0765462380492785
a24pr_L,6.11898044025969
p32pr_L,6.090145798063037
a24_L,7.191020078418467
d32_L,7.278632932051492
8BM_L,6.998328370115189
p32_L,7.598310519505897
10r_L,7.933860610026555
47m_L,7.539621834559626
8Av_L,6.549250206232901
8Ad_L,6.736945344057268
9m_L,7.965428026100321
8BL_L,7.065344761822061
9p_L,7.591250084493799
10d_L,9.268981173381324
8C_L,6.463944253517353
44_L,6.585678019578288
45_L,6.7655660488119995
47l_L,6.595416125019699
a47r_L,7.261016918260781
6r_L,5.781655237283708
IFJa_L,6.365877916765586
IFJp_L,6.181639127311334
IFSp_L,6.716772582457047
IFSa_L,6.9821785942216374
p9-46v_L,6.966762461713026
46_L,7.263697261104249
a9-46v_L,7.990616131721326
9-46d_L,7.579674998518464
9a_L,8.284837332830193
10v_L,8.07608164135857
a10p_L,8.0331159385928
10pp_L,8.250905639440036
11l_L,7.170934615249033
13l_L,6.464301572551848
OFC_L,7.456841990860455
47s_L,6.376527236298539
LIPd_L,5.613704644637925
6a_L,6.235062374181285
i6-8_L,6.635511734947411
s6-8_L,6.911181169161083
43_L,5.772455160534362
OP4_L,5.233255949071696
OP1_L,5.069159789162538
OP2-3_L,5.092721649952629
52_L,5.322917575100957
RI_L,4.886729779919401
PFcm_L,4.7867551405807856
PoI2_L,6.135209693950581
TA2_L,6.008516539438439
FOP4_L,5.769467602290989
MI_L,5.576599703554986
Pir_L,9.277001283724996
AVI_L,6.268929264797037
AAIC_L,6.52184996897793
FOP1_L,5.7599610567632995
FOP3_L,5.312172521315834
FOP2_L,5.176673823849901
PFt_L,5.109086159272384
AIP_L,5.333199641005708
EC_L,6.327780127931158
PreS_L,9.251870940532598
H_L,5.842427230830333
ProS_L,5.377597672308663
PeEc_L,5.639426868362985
STGa_L,5.8127377731108405
PBelt_L,5.527186266110407
A5_L,5.22050971875969
