region,qiv_intersubject_cov
V1_L,3.769576690802662
MST_L,4.850400597998939
V6_L,4.750108989977881
V2_L,3.7859476636561022
V3_L,3.703842650955999
V4_L,3.819190145800661
V8_L,4.423828651935949
4_L,3.7595317474729892
3b_L,3.890722137975088
FEF_L,4.790304981244668
PEF_L,5.035309721526857
55b_L,4.399261656082736
V3A_L,4.230710266506005
RSC_L,4.244962386334198
POS2_L,3.932792679138744
V7_L,6.4320970333807885
IPS1_L,5.125284402234291
FFC_L,4.631351833388345
V3B_L,4.550912327413764
LO1_L,5.137751208154282
LO2_L,5.419490991896681
PIT_L,5.100675921597113
MT_L,5.472885049885985
A1_L,4.6907253766656085
PSL_L,4.337981383320407
SFL_L,4.524135775778493
PCV_L,4.037917336089131
STV_L,4.9385446669631055
7Pm_L,4.511843608685635
7m_L,3.843209366770781
POS1_L,4.12300846041217
23d_L,4.3539869530056725
v23ab_L,4.57556166470471
d23ab_L,3.869320257495642
31pv_L,3.8867948677468123
5m_L,4.778128466187767
5mv_L,4.205905617624435
23c_L,3.739008839540335
5L_L,4.282261841305909
24dd_L,3.9815721039855707
24dv_L,4.325810396405968
7AL_L,4.590517601232121
SCEF_L,4.156724270006635
6ma_L,4.435456615120587
7Am_L,4.232649473673178
7Pl_L,4.603506947292632
7PC_L,4.970672991399689
LIPv_L,5.156508943963574
VIP_L,5.046374457043495
MIP_L,5.4936665166183305
1_L,4.0623199688001606
2_L,4.419593406722059
3a_L,3.8844348591408937
6d_L,4.437030364535284
6mp_L,4.16309140832845
6v_L,4.4439468532932445
p24pr_L,4.105866012614603
33pr_L,5.276121397467355
a24pr_L,4.417763992698305
p32pr_L,4.149594089185968
a24_L,3.885481644754533
d32_L,4.238599651820121
8BM_L,4.41964124119709
p32_L,4.011296266143964
10r_L,4.297523401635158
47m_L,5.061505408486747
8Av_L,4.062440214473825
8Ad_L,3.735472963529122
9m_L,4.205369572554715
8BL_L,4.787242296741468
9p_L,4.320315642906437
10d_L,4.283591808739732
8C_L,4.0147869629334085
44_L,4.135517763828643
45_L,4.563955398638924
47l_L,4.369876793658906
a47r_L,4.215311768350042
6r_L,3.7219155881203574
IFJa_L,4.529222466426232
IFJp_L,4.588541778329764
IFSp_L,4.393702067825102
IFSa_L,4.094806294387516
p9-46v_L,4.47454764357013
46_L,3.9550563831710606
a9-46v_L,4.284222236256328
9-46d_L,3.98088786307229
9a_L,4.339483251146692
10v_L,5.590881300137549
a10p_L,4.087701156007873
10pp_L,5.485458821196922
11l_L,5.02065095918043
13l_L,6.953856015432705
OFC_L,5.966324006865209
47s_L,4.75720367292812
LIPd_L,5.320192342748563
6a_L,4.075198730166727
i6-8_L,4.749465294772547
s6-8_L,5.524836357398749
43_L,4.341271889763236
OP4_L,4.220519258567019
OP1_L,4.186547405761622
OP2-3_L,4.0915873635404605
52_L,3.962827736543298
RI_L,4.752876728927511
PFcm_L,4.238004015751872
PoI2_L,3.9944311041454754
TA2_L,4.220362929005871
FOP4_L,3.8453515877142124
MI_L,3.771985044914297
Pir_L,5.093587670327128
AVI_L,3.946255151103897
AAIC_L,4.103057635988374
FOP1_L,4.590286823312424
FOP3_L,3.9806452361495714
FOP2_L,3.8334011564676613
PFt_L,3.8416507406938005
AIP_L,4.554048261494226
EC_L,6.011378428926819
PreS_L,5.947223893929597
H_L,4.374886450376055
ProS_L,4.699408729973694
PeEc_L,5.680651106341875
STGa_L,4.358635535370063
PBelt_L,3.7370821803449377
A5_L,4.6823411723572566
PHA1_L,4.2955110677785635
PHA3_L,4.3799082909871645
STSda_L,4.510303471539573
STSdp_L,4.368500808827369
STSvp_L,3.949902101861357
TGd_L,4.529182122934337
TE1a_L,4.261048234211163
TE1p_L,4.382785665116884
TE2a_L,5.043936281874579
TF_L,5.551908872776027
TE2p_L,4.800632647458384
PHT_L,4.05252267209686
PH_L,3.9385736283178256
TPOJ1_L,4.4433617147421804
TPOJ2_L,4.472860495379816
TPOJ3_L,4.686507052059471
DVT_L,4.043016979662485
PGp_L,4.192984254169929
IP2_L,4.494865638355059
IP1_L,4.469995845643383
IP0_L,4.513204338873695
PFop_L,3.9597192324498454
PF_L,3.815434980821522
PFm_L,3.850674393428051
PGi_L,3.822275701619583
PGs_L,3.9240700228122205
V6A_L,5.393844241643529
VMV1_L,4.45257410907905
VMV3_L,4.311392904939305
PHA2_L,4.110402077821694
V4t_L,5.639657554390183
FST_L,4.244175480586371
V3CD_L,4.68558733606039
LO3_L,5.147492671094496
VMV2_L,4.484326248362805
31pd_L,3.9633773735095397
31a_L,4.0637512692491695
VVC_L,4.258035853746255
25_L,7.433205479220939
s32_L,6.8957753733972975
pOFC_L,8.832889468840065
PoI1_L,3.7713852298285624
Ig_L,3.91480724116026
FOP5_L,4.293189650217147
p10p_L,4.4294390878457355
p47r_L,4.213815606454483
TGv_L,6.133853363637923
MBelt_L,4.291246846421588
LBelt_L,4.485089413738116
A4_L,4.097078802642482
STSva_L,4.156927897394193
TE1m_L,4.8556922453264075
PI_L,3.922637359550603
a32pr_L,4.151674113470481
p24_L,4.311951798871631
V1_R,3.726342026332383
MST_R,4.577816822545673
V6_R,4.23153133342453
V2_R,3.7326660761000037
V3_R,3.626380381933264
V4_R,3.89216830802121
V8_R,4.949256103135291
4_R,3.7439299810609947
3b_R,4.243996080087404
FEF_R,4.619613155036223
PEF_R,5.205697495025205
55b_R,4.778972935192654
V3A_R,4.116711315519331
RSC_R,4.186348467893197
POS2_R,4.292208353851858
V7_R,5.121005813080124
IPS1_R,4.34834204859726
FFC_R,5.248536466460529
V3B_R,4.604343721756167
LO1_R,4.791993032488584
LO2_R,5.024273813355482
PIT_R,4.7340302805570635
MT_R,4.449926499012543
A1_R,4.797686004167815
PSL_R,4.38299346063162
SFL_R,4.0857441827545
PCV_R,4.178464390739558
STV_R,4.250332570143559
7Pm_R,4.74487102600795
7m_R,3.8952914562943106
POS1_R,3.9462990603197854
23d_R,4.08128179625076
v23ab_R,4.4563808583521825
d23ab_R,4.113538739845792
31pv_R,4.159516073303527
5m_R,4.996494045537795
5mv_R,4.098376067667045
23c_R,3.7118721961965986
5L_R,4.30519404573455
24dd_R,3.942640355255199
24dv_R,4.139120972585424
7AL_R,4.638779837393946
SCEF_R,3.9607474000322247
6ma_R,4.177764615914955
7Am_R,4.256205569779822
7Pl_R,4.995756014320789
7PC_R,4.699096160399109
LIPv_R,5.024045666962469
VIP_R,5.052898017554545
MIP_R,4.648705577437634
1_R,4.132356070091616
2_R,4.445214218670405
3a_R,4.097249245175559
6d_R,4.761681853174017
6mp_R,4.022370508267908
6v_R,4.967668976225332
p24pr_R,4.153037098674265
33pr_R,5.05455716884655
a24pr_R,4.219023527378316
p32pr_R,4.291996188095008
a24_R,4.010877893856022
d32_R,4.160484310579598
8BM_R,4.064610058035003
p32_R,4.029852695984756
10r_R,4.4365174781076835
47m_R,5.1249803581570115
8Av_R,4.5318038142968025
8Ad_R,4.496617736406273
9m_R,3.9867790179758935
8BL_R,4.622045909198377
9p_R,4.63498798846328
10d_R,4.162558943744715
8C_R,4.65291303190948
44_R,4.206675235855392
45_R,4.41752563924106
47l_R,4.4600315953768925
a47r_R,4.340809578975762
6r_R,3.9983489449783187
IFJa_R,5.315787378401071
IFJp_R,5.2301068119987475
IFSp_R,4.797332436689621
IFSa_R,4.406312919200142
p9-46v_R,4.6450799271427385
46_R,4.158171098408875
a9-46v_R,4.859800670759692
9-46d_R,4.150069485414001
9a_R,4.181739755549994
10v_R,4.778360996888697
a10p_R,4.355671772448008
10pp_R,5.648536297628696
11l_R,4.843153046973717
13l_R,7.167064608427045
OFC_R,5.888237432050048
47s_R,5.102430809152267
LIPd_R,4.9722371023439536
6a_R,4.072487867234312
i6-8_R,4.801921058650434
s6-8_R,4.832480597336109
43_R,4.3340654473981095
OP4_R,4.246928632607345
OP1_R,4.536996158044068
OP2-3_R,4.272796529849611
52_R,4.3226587697505305
RI_R,4.445020001223083
PFcm_R,4.278602124322952
PoI2_R,4.473898545093867
TA2_R,4.461944146204728
FOP4_R,3.772768858317046
MI_R,3.9124192996936693
Pir_R,5.51944247584484
AVI_R,4.096890166766078
AAIC_R,4.450876249361195
FOP1_R,4.428130613510552
FOP3_R,3.9829314055107377
FOP2_R,3.8352360103574976
PFt_R,4.453734338069441
AIP_R,4.344413148649449
EC_R,5.448202475659403
PreS_R,5.250006206890577
H_R,4.455064839213863
ProS_R,4.661803339016743
PeEc_R,5.200762812945382
STGa_R,5.138386435363892
PBelt_R,4.358947378319593
A5_R,4.382707443828663
PHA1_R,4.2509727031602855
PHA3_R,5.506475564684115
STSda_R,4.92230183351273
STSdp_R,4.239285046724192
STSvp_R,4.0684995581874395
TGd_R,4.385683288766463
TE1a_R,5.134307779809609
TE1p_R,4.471378296613715
TE2a_R,4.754968318505883
TF_R,5.2786674913323575
TE2p_R,5.374106617391548
PHT_R,4.01771076948719
PH_R,4.807783875846556
TPOJ1_R,3.876034771107175
TPOJ2_R,4.057808379718851
TPOJ3_R,4.212041673430413
DVT_R,4.133749880156463
PGp_R,3.794313864570366
IP2_R,4.283504767381281
IP1_R,4.070405680332354
IP0_R,4.095624263911913
PFop_R,4.53136220331807
PF_R,4.076029926090798
PFm_R,3.7505596090739646
PGi_R,3.6947110537471177
PGs_R,3.9006769602977145
V6A_R,4.793223227717835
VMV1_R,4.803337322163563
VMV3_R,5.451842151727737
PHA2_R,5.214233944158914
V4t_R,4.807448576181732
FST_R,4.424577773845791
V3CD_R,4.1104713841450495
