region,rtap_intersubject_cov
V1_L,2.914243376631126
MST_L,4.19191260859187
V6_L,4.226306359816862
V2_L,2.7905290457018483
V3_L,2.6214814331390905
V4_L,2.796056771920217
V8_L,3.636980470348
4_L,2.733560869706861
3b_L,2.8830336380038504
FEF_L,3.406258565822865
PEF_L,3.904017961242671
55b_L,3.2230538943213016
V3A_L,3.3119783802859315
RSC_L,3.273302617595581
POS2_L,2.740298721460924
V7_L,5.993806889038241
IPS1_L,4.610595403405693
FFC_L,3.910052371798676
V3B_L,3.8199325807605393
LO1_L,3.960233391695197
LO2_L,4.1045448259904
PIT_L,3.8177672742706754
MT_L,4.639543862010454
A1_L,4.115754036166058
PSL_L,3.743159687569898
SFL_L,3.825940028117951
PCV_L,3.335059534221154
STV_L,4.348620448645545
7Pm_L,3.80815137788508
7m_L,2.916780476017516
POS1_L,3.4748354832860944
23d_L,4.311884152390607
v23ab_L,3.561202798240121
d23ab_L,3.50578765138931
31pv_L,3.318047112130545
5m_L,3.799366716171909
5mv_L,3.5064992073250374
23c_L,3.5585913003765244
5L_L,3.613633274246561
24dd_L,3.098329164304492
24dv_L,3.8364915638747865
7AL_L,3.678439855821853
SCEF_L,3.1788828198697794
6ma_L,3.178606194139059
7Am_L,3.535125973044637
7Pl_L,3.879357438733884
7PC_L,4.131936062810468
LIPv_L,4.516407278004873
VIP_L,4.098098438370772
MIP_L,4.578389265476511
1_L,3.235226993884207
2_L,3.4117860242697224
3a_L,3.2320231085523226
6d_L,3.615224405947292
6mp_L,3.243232255238558
6v_L,3.7791062464709286
p24pr_L,4.1174661599462
33pr_L,5.1604187815317095
a24pr_L,4.601647409619835
p32pr_L,3.811730166133801
a24_L,3.347215739236826
d32_L,3.686499872657951
8BM_L,3.3847730366769704
p32_L,3.08665876362568
10r_L,3.2603666890326912
47m_L,4.0646743860266445
8Av_L,3.101974498378816
8Ad_L,2.865946920996632
9m_L,3.541043643295421
8BL_L,3.744322170156674
9p_L,3.088086549225101
10d_L,3.9048244166129695
8C_L,3.0133787474130336
44_L,3.3867139778162
45_L,4.437312816717276
47l_L,3.4591792879141297
a47r_L,3.236667110627188
6r_L,2.836399656267916
IFJa_L,3.743570929435705
IFJp_L,3.7369488101918655
IFSp_L,3.826998185169308
IFSa_L,3.4782873365810825
p9-46v_L,3.485775720525766
46_L,2.9285094830313474
a9-46v_L,3.2020396388553056
9-46d_L,2.843906915026927
9a_L,3.177701845199008
10v_L,3.8273238242226655
a10p_L,3.064715709216604
10pp_L,4.1902873080812535
11l_L,3.40067099508494
13l_L,4.035166214385781
OFC_L,4.060729512829628
47s_L,3.409167315899425
LIPd_L,4.280440736672394
6a_L,2.778121078811544
i6-8_L,3.9831705328336695
s6-8_L,4.068638944378871
43_L,3.8353064940126393
OP4_L,3.671689174075496
OP1_L,3.831448974894511
OP2-3_L,3.764516980350259
52_L,3.702327389098912
RI_L,4.279321545897157
PFcm_L,3.765718616064772
PoI2_L,2.991522016033064
TA2_L,3.838936089899152
FOP4_L,3.282540373123034
MI_L,3.1719412234691395
Pir_L,3.632034023039808
AVI_L,3.41162467712408
AAIC_L,3.063426720116659
FOP1_L,4.010387878776682
FOP3_L,4.270942273032831
FOP2_L,3.7119319873894696
PFt_L,2.942420406731354
AIP_L,3.591163160275844
EC_L,3.989632430686044
PreS_L,4.831457327223411
H_L,3.114199608114393
ProS_L,5.148178741887223
PeEc_L,3.583348836149658
STGa_L,3.0300805626843643
PBelt_L,3.422498300198189
A5_L,3.6211046423687
PHA1_L,3.2989795061081817
PHA3_L,2.9933727701195787
STSda_L,3.153634698156406
STSdp_L,3.726008392736636
STSvp_L,3.059049142431887
TGd_L,3.0898174845222357
TE1a_L,3.1034637293581246
TE1p_L,3.3455772174361718
TE2a_L,4.202296579400276
TF_L,3.692111721311288
TE2p_L,3.715490904741689
PHT_L,3.085332824221512
PH_L,3.354913237108142
TPOJ1_L,3.940096632418874
TPOJ2_L,3.769500733311621
TPOJ3_L,3.932201688620288
DVT_L,3.106214322446805
PGp_L,2.88241477174002
IP2_L,3.5678104282319474
IP1_L,3.788447748820473
IP0_L,3.785415287938484
PFop_L,3.375130879427063
PF_L,2.7904834842939814
PFm_L,2.757835238900499
PGi_L,3.0794367444070456
PGs_L,2.7880611215348416
V6A_L,4.994486336461368
VMV1_L,5.032462602551504
VMV3_L,4.243251296980911
PHA2_L,3.5974055869166777
V4t_L,4.244109733619688
FST_L,3.637994487061151
V3CD_L,3.416995436328833
LO3_L,3.997203063307596
VMV2_L,4.710432982483469
31pd_L,3.0079756561727176
31a_L,4.17042532692603
VVC_L,3.769756538647263
25_L,4.612327051763616
s32_L,4.806856723109427
pOFC_L,4.857849862349986
PoI1_L,3.2114472056307317
Ig_L,3.818501440258791
FOP5_L,3.5121354724542977
p10p_L,3.2778248769498823
p47r_L,3.396067897465884
TGv_L,4.196431863145484
MBelt_L,3.581622877072558
LBelt_L,3.836506668460956
A4_L,3.3568814379809297
STSva_L,2.849805480059592
TE1m_L,4.143198653650218
PI_L,2.9446358183970696
a32pr_L,3.929354270290085
p24_L,4.711851617969376
V1_R,2.8118341511987586
MST_R,3.7078517508676394
V6_R,3.5378980824241264
V2_R,2.6742833009244222
V3_R,2.540068622976462
V4_R,2.743105786423869
V8_R,3.9479286366026782
4_R,2.725547513414776
3b_R,3.1102814423059577
FEF_R,3.585378766040296
PEF_R,4.315717225050731
55b_R,3.9695883149536817
V3A_R,3.286546983266763
RSC_R,3.642144666696708
POS2_R,3.392394957766074
V7_R,4.109860473398533
IPS1_R,3.8388790478984616
FFC_R,3.64425129491354
V3B_R,4.262814392799048
LO1_R,3.8976830668909246
LO2_R,3.903219580641869
PIT_R,3.4315226601730613
MT_R,3.690636183830247
A1_R,4.236305294567668
PSL_R,3.587728150452782
SFL_R,3.152425231294545
PCV_R,2.925959914628327
STV_R,3.6425942910469455
7Pm_R,4.344724950452142
7m_R,2.978304989669918
POS1_R,3.2013015686171222
23d_R,3.702159458579209
v23ab_R,4.177527683734531
d23ab_R,3.612466699906909
31pv_R,3.057765548093418
5m_R,4.491870731079965
5mv_R,2.9828359054936207
23c_R,2.392980971487168
5L_R,3.536632351758736
24dd_R,2.763388033401541
24dv_R,3.006331554613516
7AL_R,4.214492765115445
SCEF_R,2.7070345598255545
6ma_R,3.3117873997907434
7Am_R,3.327681514590336
7Pl_R,4.981364148449007
7PC_R,4.745322948568381
LIPv_R,4.851444603427777
VIP_R,4.955962346673701
MIP_R,3.84798161940947
