region,rtop_intersubject_cov
V1_L,4.42728162577029
MST_L,6.078994046726585
V6_L,5.964187772671792
V2_L,4.220760730221701
V3_L,4.023886392039473
V4_L,4.295422639735042
V8_L,5.406518374979137
4_L,4.064050478290269
3b_L,4.283774948852211
FEF_L,4.816589742301433
PEF_L,5.445044256325301
55b_L,4.687793040334494
V3A_L,4.751124333023657
RSC_L,4.772146562213913
POS2_L,4.074323066891824
V7_L,8.030856053321562
IPS1_L,6.195500318534232
FFC_L,5.782747040789031
V3B_L,5.550448572611581
LO1_L,5.737885105254528
LO2_L,5.996401149140258
PIT_L,5.64726383884521
MT_L,6.494323772265358
A1_L,5.786758824172083
PSL_L,5.488766113401699
SFL_L,5.49482081444153
PCV_L,4.941241986159006
STV_L,6.40463703968298
7Pm_L,5.503688552465711
7m_L,4.390170005739497
POS1_L,5.3548495808132905
23d_L,6.1116013063727035
v23ab_L,5.486399151472611
d23ab_L,5.31096681605839
31pv_L,5.003104781272245
5m_L,5.417455871151464
5mv_L,5.097568213427669
23c_L,5.399252308873074
5L_L,5.4466820314102105
24dd_L,4.658792790178977
24dv_L,5.594365435360039
7AL_L,5.450466732156031
SCEF_L,4.8090835698377665
6ma_L,4.65766034942115
7Am_L,5.43640890890154
7Pl_L,5.643666266845825
7PC_L,5.88068775512739
LIPv_L,6.382731134508796
VIP_L,5.841206736142947
MIP_L,6.315551733146489
1_L,4.600508897198714
2_L,4.851546745160561
3a_L,4.713641214268104
6d_L,4.952238560533749
6mp_L,4.603060359645615
6v_L,5.568521656416995
p24pr_L,5.974924626373329
33pr_L,7.108617671146167
a24pr_L,6.373036750223148
p32pr_L,5.591044764552728
a24_L,5.095064738680306
d32_L,5.759295233444669
8BM_L,5.172002202291365
p32_L,4.789139280391964
10r_L,4.96268284755566
47m_L,5.8931552021149285
8Av_L,4.760081511986691
8Ad_L,4.620044582435072
9m_L,5.483770812736891
8BL_L,5.552798199213827
9p_L,4.831123144018527
10d_L,5.777063331862371
8C_L,4.811791997003818
44_L,5.254035043511629
45_L,6.698328071394892
47l_L,5.105735747980195
a47r_L,4.920376591827393
6r_L,4.351272909518481
IFJa_L,5.386506826603654
IFJp_L,5.530549603261347
IFSp_L,5.739610453916942
IFSa_L,5.338725748455889
p9-46v_L,5.246080530341926
46_L,4.704594621495754
a9-46v_L,4.995593618261221
9-46d_L,4.617171606300638
9a_L,4.907836443044994
10v_L,5.249081816614892
a10p_L,4.769688997989884
10pp_L,6.2363942062382165
11l_L,5.14321390230253
13l_L,5.453142912944436
OFC_L,5.291089451186298
47s_L,5.003854656556409
LIPd_L,5.844460290652887
6a_L,4.1062695786845795
i6-8_L,5.690835864535995
s6-8_L,5.5718807178356595
43_L,5.738166485670915
OP4_L,5.703490122007377
OP1_L,5.993767774164212
OP2-3_L,5.68407936913741
52_L,5.420539262942549
RI_L,6.124093372815587
PFcm_L,5.838777768725812
PoI2_L,4.399576409141594
TA2_L,5.628456937785517
FOP4_L,5.2711571325343245
MI_L,4.767042428543004
Pir_L,5.2228156195416116
AVI_L,5.081718708603615
AAIC_L,4.456023868976441
FOP1_L,6.076826352578417
FOP3_L,6.461440958562221
FOP2_L,5.739321473160115
PFt_L,4.4266444108895735
AIP_L,5.206979247414431
EC_L,5.745526331788913
PreS_L,6.54058911072737
H_L,4.712105721411385
ProS_L,7.441110900887922
PeEc_L,5.199226903520911
STGa_L,4.54583370333848
PBelt_L,5.054267170324599
A5_L,5.464908684150513
PHA1_L,5.031519650183875
PHA3_L,4.565398882949029
STSda_L,4.690457087000426
STSdp_L,5.826034728589734
STSvp_L,4.716696271652012
TGd_L,4.743145200325291
TE1a_L,4.939781815885655
TE1p_L,5.308666461049547
TE2a_L,6.1986496381207585
