region,rtpp_intersubject_cov
V1_L,1.1006631203398505
MST_L,1.514940456611053
V6_L,1.4286834752084376
V2_L,1.0587853537680127
V3_L,1.024453329216655
V4_L,1.088866076780286
V8_L,1.2248271789055152
4_L,0.9256418747709546
3b_L,1.1031777723405107
FEF_L,1.198410379749183
PEF_L,1.5115515548043734
55b_L,1.2737882748292388
V3A_L,1.2565093542476824
RSC_L,1.2208870707565262
POS2_L,1.120308046659061
V7_L,1.7989883672087623
IPS1_L,1.7557454796928396
FFC_L,1.3354967940967135
V3B_L,1.5655007130406284
LO1_L,1.4307121531527676
LO2_L,1.4813540826173806
PIT_L,1.374591428084253
MT_L,1.5861714720180202
A1_L,1.4439389006761605
PSL_L,1.3373221978673315
SFL_L,1.348037215328612
PCV_L,1.1555854501798593
STV_L,1.413340311946409
7Pm_L,1.4652289374884826
7m_L,0.9964732925520924
POS1_L,1.2968465563237144
23d_L,1.4461135537059446
v23ab_L,1.293853644994173
d23ab_L,1.2006223607209332
31pv_L,1.2479993058169354
5m_L,1.3159306977546033
5mv_L,1.1499492243743172
23c_L,1.3441797308892036
5L_L,1.3824786487696816
24dd_L,1.0781433421774065
24dv_L,1.346639927684641
7AL_L,1.5337368311019697
SCEF_L,1.1495969367824297
6ma_L,1.3438756840653865
7Am_L,1.371927275065193
7Pl_L,1.604547497739147
7PC_L,1.5302509618354077
LIPv_L,1.65391962032274
VIP_L,1.57213362187036
MIP_L,1.567226957941251
1_L,1.16296011153389
2_L,1.288392652569215
3a_L,1.2865755115672717
6d_L,1.1789161680910625
6mp_L,1.1419589621900534
6v_L,1.396072286134604
p24pr_L,1.444362721049586
33pr_L,1.80360814765872
a24pr_L,1.4962491886315084
p32pr_L,1.297195604559939
a24_L,1.3747841597942665
d32_L,1.5403735823329672
8BM_L,1.2806401546986297
p32_L,1.298947899712729
10r_L,1.3042140172215264
47m_L,1.6008553722509204
8Av_L,1.3265089036227051
8Ad_L,1.423034983246592
9m_L,1.443247580028228
8BL_L,1.4341616584117791
9p_L,1.4574015610518698
10d_L,1.479698098288877
8C_L,1.323077705753027
44_L,1.3312009630483213
45_L,1.537316058170342
47l_L,1.2812001439335026
a47r_L,1.1760710073498253
6r_L,1.1730781871088956
IFJa_L,1.4673856355890311
IFJp_L,1.5019998430334094
IFSp_L,1.4969864577356649
IFSa_L,1.409739416666558
p9-46v_L,1.335389607530589
46_L,1.3408273352261426
a9-46v_L,1.4449535929258606
9-46d_L,1.3083872777943877
9a_L,1.4576070532470502
10v_L,1.2645848637411323
a10p_L,1.332646861394886
10pp_L,1.6048115661887952
11l_L,1.388081744906948
13l_L,1.525049536902352
OFC_L,1.5379548804892085
47s_L,1.3627490606458197
LIPd_L,1.5956877116540185
6a_L,1.2877876657485476
i6-8_L,1.473132468249025
s6-8_L,1.5276329534386652
43_L,1.379596606340313
OP4_L,1.3710862492603826
OP1_L,1.6700311177653218
OP2-3_L,1.5994966950603782
52_L,1.3755025572266577
RI_L,1.537655534705893
PFcm_L,1.5727100057696757
PoI2_L,1.182753265263475
TA2_L,1.3247774364816003
FOP4_L,1.433666966159494
MI_L,1.3079684512660017
Pir_L,1.2535076994186125
AVI_L,1.4037370977565065
AAIC_L,1.1557922338841533
FOP1_L,1.5816011820070486
FOP3_L,1.7649327212394748
FOP2_L,1.4959072220542582
PFt_L,1.1534888586656848
AIP_L,1.2932438092091825
EC_L,1.6246601362602486
PreS_L,1.549609366279335
H_L,1.2012578423024138
ProS_L,1.8017347952626652
PeEc_L,1.3459133773704983
STGa_L,1.2038811052268876
PBelt_L,1.4611039108747468
A5_L,1.33331034019459
PHA1_L,1.384164514874018
PHA3_L,1.1248477103528234
STSda_L,1.3404746330611983
STSdp_L,1.4307645369243067
STSvp_L,1.241227708848179
TGd_L,1.1985520156345413
TE1a_L,1.2786342040960856
TE1p_L,1.2431988888585337
TE2a_L,1.351328569542279
TF_L,1.2321976903752352
TE2p_L,1.309474303525872
PHT_L,1.1384469877025984
PH_L,1.2720345432982685
TPOJ1_L,1.3958853742108246
TPOJ2_L,1.4210618773659986
TPOJ3_L,1.5052790919506938
DVT_L,1.0899158711920944
PGp_L,1.2959977172418315
IP2_L,1.2106435636754522
IP1_L,1.4368853618722623
IP0_L,1.4233491442573172
PFop_L,1.3962827217517224
PF_L,1.142017863796739
PFm_L,1.1150608018807684
PGi_L,1.2332784621670445
PGs_L,1.1406788361950475
V6A_L,1.5854965555174672
VMV1_L,1.632244479844739
VMV3_L,1.529761130816294
PHA2_L,1.4574182529483006
V4t_L,1.5100721069318328
FST_L,1.3973123886342986
V3CD_L,1.4875080572250343
LO3_L,1.502193757451851
VMV2_L,1.705825986129491
31pd_L,1.1065229779762635
31a_L,1.4483743134480769
VVC_L,1.3115030684477411
25_L,1.635722735095184
s32_L,1.6962010745370923
pOFC_L,1.867011098709516
PoI1_L,1.236566072579347
Ig_L,1.584792620026877
FOP5_L,1.4761273101811037
p10p_L,1.4324871520090918
p47r_L,1.388604132122385
TGv_L,1.5916790372586784
MBelt_L,1.2816729668188012
LBelt_L,1.6076588289653744
A4_L,1.24555268073477
STSva_L,1.243080473909035
TE1m_L,1.5056965445507429
PI_L,1.1254073844778931
a32pr_L,1.4766601036944869
p24_L,1.829305729987192
V1_R,1.1134463000322703
