region,thick_intersubject_cov
V1_L,5.331930132496762
MST_L,6.708864582911836
V6_L,5.905526220504929
V2_L,5.392343837398674
V3_L,4.950711422379431
V4_L,4.8117935538447325
V8_L,7.743441913737758
4_L,4.837548154557987
3b_L,5.320698043614374
FEF_L,5.687180239458757
PEF_L,8.204522772409634
55b_L,6.338156420048902
V3A_L,6.453060395884651
RSC_L,9.17196843777512
POS2_L,6.076008118773902
V7_L,7.2370721763152925
IPS1_L,5.933466938454765
FFC_L,6.479396439393126
V3B_L,5.950132243677854
LO1_L,7.8429297722097
LO2_L,7.461534632695775
PIT_L,7.766648222479717
MT_L,7.635167171037664
A1_L,7.273209552255038
PSL_L,7.49338003924683
SFL_L,6.464888153048007
PCV_L,7.117458732341452
STV_L,7.602257498209941
7Pm_L,8.536527332218839
7m_L,6.214042485482451
POS1_L,5.43942188291909
23d_L,6.501847687276167
v23ab_L,6.912354140917566
d23ab_L,5.701556196699412
31pv_L,7.353342907593281
5m_L,7.147822432214333
5mv_L,6.265307589210914
23c_L,5.749592739224172
5L_L,7.329440685711669
24dd_L,6.198318655768148
24dv_L,6.775477674487464
7AL_L,6.401400234013837
SCEF_L,6.74628804698094
6ma_L,6.12230050972074
7Am_L,7.294042200688013
7Pl_L,7.972028216666516
7PC_L,6.644413737681995
LIPv_L,7.127579565949651
VIP_L,7.579809481338137
MIP_L,6.20595875661139
1_L,5.37881213754258
2_L,5.163953152010581
3a_L,5.602059436299201
6d_L,6.387111602185222
6mp_L,5.898614629796371
6v_L,6.410964168496999
p24pr_L,6.730947426863515
33pr_L,9.93408808172958
a24pr_L,9.01835953066237
p32pr_L,6.851223541738655
a24_L,7.160321795297375
d32_L,7.1116561009062895
8BM_L,6.71317249439446
p32_L,7.214462520619478
10r_L,8.557953120191993
47m_L,7.745203205264126
8Av_L,5.95216655195636
8Ad_L,5.191748550806398
9m_L,5.958735389269621
8BL_L,6.64695822443311
9p_L,6.236604649637408
10d_L,7.77898301178896
8C_L,5.225397652008229
44_L,6.321666894538406
45_L,5.490843140719528
47l_L,6.670388509856413
a47r_L,5.849581717960794
6r_L,5.225917584931208
IFJa_L,6.0219654582521525
IFJp_L,6.127667855500147
IFSp_L,6.071259499413944
IFSa_L,5.7874833681719045
p9-46v_L,5.969061801574084
46_L,5.677178310968895
a9-46v_L,6.102911244273497
9-46d_L,5.231135646466694
9a_L,6.556271821574232
10v_L,6.048684948414036
a10p_L,6.263263924499
10pp_L,6.979191651153335
11l_L,5.899401042426775
13l_L,5.933422897770764
OFC_L,5.728760617934806
47s_L,7.37468346031415
LIPd_L,6.284675008364854
6a_L,4.856011450073295
i6-8_L,6.674290981018394
s6-8_L,7.420751512693502
43_L,6.487513334501721
OP4_L,6.234321161724777
OP1_L,7.450537812651714
OP2-3_L,7.108958932260151
52_L,7.6682589980604625
RI_L,6.4678593786309735
PFcm_L,6.495516910849281
PoI2_L,8.851918685114834
TA2_L,6.944730682871363
FOP4_L,5.000245792955516
MI_L,6.4338305936107
Pir_L,10.16131780059688
AVI_L,5.94080508131074
AAIC_L,8.513219260108263
FOP1_L,6.612294403232442
FOP3_L,5.188722505655106
FOP2_L,6.413006076864327
PFt_L,5.930791604171341
AIP_L,5.932233696604351
EC_L,9.65897009146474
PreS_L,8.478965393756434
H_L,8.925959973347512
ProS_L,9.851247009324876
PeEc_L,7.326525930198549
STGa_L,7.628577464201382
PBelt_L,7.913648881294258
A5_L,6.66628337407688
PHA1_L,8.75230181055686
PHA3_L,7.482737419287801
STSda_L,6.7362646862012046
STSdp_L,6.053480546307685
STSvp_L,6.615159102841014
TGd_L,5.084665180538413
TE1a_L,6.133890718869624
TE1p_L,5.595521457444262
TE2a_L,6.191819124887827
TF_L,6.552109332198462
TE2p_L,6.308101451346239
PHT_L,5.73847306980926
PH_L,5.814611891091125
TPOJ1_L,6.136227236716486
TPOJ2_L,6.336116053097139
TPOJ3_L,6.920476548699045
DVT_L,5.521367820660236
PGp_L,5.784610663324735
IP2_L,5.797824757602634
IP1_L,5.388970632847383
IP0_L,5.456891851127901
PFop_L,6.668360485859657
PF_L,5.288704005982022
PFm_L,5.352819852712494
PGi_L,5.1533062167386
PGs_L,5.626998044996132
V6A_L,7.933484886417205
VMV1_L,10.119779450512628
VMV3_L,8.816987942075697
PHA2_L,12.826672649006218
V4t_L,7.887248077304767
FST_L,6.441971718040644
V3CD_L,6.890862420738903
LO3_L,7.277493239408353
VMV2_L,8.078255105271271
31pd_L,6.284459928344301
31a_L,10.471304284412374
VVC_L,6.216615791240359
25_L,8.266795809188327
s32_L,10.224649794564018
pOFC_L,7.316518719834102
PoI1_L,7.852189654415613
Ig_L,5.981061281381157
FOP5_L,5.199164410873206
p10p_L,6.449910560738388
p47r_L,6.167924821322145
TGv_L,6.85617034721225
MBelt_L,6.357366465519236
LBelt_L,7.812783324685061
A4_L,7.113713387539707
STSva_L,6.023742817111375
TE1m_L,7.151685076258431
PI_L,7.506032173259329
a32pr_L,6.83566865023825
p24_L,9.052078918051244
V1_R,5.417947046837305
MST_R,6.256280605636189
V6_R,5.790874856068899
V2_R,5.354762262927063
V3_R,4.940473140868796
V4_R,4.6680644907414965
V8_R,6.895149981991118
4_R,4.522784080902046
3b_R,5.168409024992117
FEF_R,5.6977503874601325
PEF_R,7.202066110705154
55b_R,6.78645965888444
V3A_R,6.183581625496988
RSC_R,8.528705895122403
POS2_R,5.597189948214494
V7_R,7.000228377588846
IPS1_R,5.66654011725417
FFC_R,5.941469743407763
V3B_R,5.403046807937076
LO1_R,7.363258015494845
LO2_R,8.053189122053563
PIT_R,8.143661864192037
MT_R,7.095213848935556
A1_R,7.373265092582596
PSL_R,6.958694824966148
SFL_R,6.954283658359417
PCV_R,7.208158721769217
STV_R,6.996290214982341
7Pm_R,8.45767865145903
7m_R,5.896436411505253
POS1_R,5.084651888112838
23d_R,6.045776490774004
v23ab_R,6.300063249154649
d23ab_R,6.264676672226709
31pv_R,7.422612906677448
5m_R,6.853933470897067
5mv_R,6.098624018551066
23c_R,5.410387717576483
5L_R,6.666166160264915
24dd_R,6.1333390364462925
24dv_R,6.562459012470685
7AL_R,6.714888261300034
SCEF_R,6.724795822821532
6ma_R,5.6025443370579495
7Am_R,6.953683936743871
7Pl_R,8.18074488751715
7PC_R,6.11663954955333
LIPv_R,6.555894571339676
VIP_R,7.678894038221864
MIP_R,5.791261061397241
1_R,5.458078414511593
2_R,5.078118293410401
3a_R,5.757961511280759
6d_R,6.430549654871176
6mp_R,5.526626466414217
6v_R,5.916814801751104
p24pr_R,6.39129843071881
33pr_R,10.470586248598982
a24pr_R,8.031425302620445
p32pr_R,6.318161085963875
a24_R,7.046157561221049
d32_R,6.371977828455239
8BM_R,6.253187377259168
p32_R,7.246883721954841
10r_R,8.682370048059584
47m_R,7.177739873728044
8Av_R,5.360929574511796
8Ad_R,5.208192935108881
9m_R,5.55529973382037
8BL_R,6.423978926514722
9p_R,6.475224975535997
10d_R,7.909261325287444
8C_R,5.217883839039982
44_R,6.316294417625976
45_R,6.230685927701034
47l_R,6.170576532871026
a47r_R,5.649429868253583
6r_R,4.818382832832794
IFJa_R,6.171188169026001
IFJp_R,6.091009724268698
IFSp_R,6.09329109361123
IFSa_R,5.98286338080472
p9-46v_R,5.42374711792362
46_R,5.414555357717156
a9-46v_R,6.251076773745141
9-46d_R,5.237232566161064
9a_R,7.282500456765541
10v_R,6.157820596216509
a10p_R,7.212830289023871
10pp_R,7.035901796134772
11l_R,6.192866174674694
13l_R,6.035100807608659
OFC_R,5.786769674236693
47s_R,7.881104207708835
LIPd_R,6.311046468627684
6a_R,4.727436462204734
i6-8_R,6.229348879538665
s6-8_R,6.655156221831329
43_R,6.290973460949477
OP4_R,6.331501407437239
OP1_R,7.741095373498258
OP2-3_R,6.876843902091774
52_R,8.461210166698246
RI_R,5.9740168129406594
PFcm_R,5.652532472541662
PoI2_R,8.531863079055247
TA2_R,6.886849305738332
FOP4_R,4.929444660190383
MI_R,6.43981485578828
Pir_R,11.8623364284565
AVI_R,5.796583734546511
AAIC_R,8.793396344609777
FOP1_R,6.669241756153889
FOP3_R,5.182215821008164
FOP2_R,6.107672464455975
PFt_R,6.362345740908052
AIP_R,5.353616290644102
EC_R,9.472621997150997
PreS_R,8.963358874642061
H_R,8.38471532285005
ProS_R,9.24885772551423
PeEc_R,6.837671703692022
STGa_R,8.4004832981802
PBelt_R,7.232888520569694
A5_R,5.871571436920689
PHA1_R,8.799118859495945
PHA3_R,7.859814236857621
STSda_R,6.287467061129109
STSdp_R,5.21742216712912
STSvp_R,6.529403921929921
TGd_R,5.3264314809874405
TE1a_R,6.128815364571112
TE1p_R,5.584361506107822
TE2a_R,5.514411093758973
TF_R,5.559073533600965
TE2p_R,6.3328144205189965
PHT_R,6.301558513433669
PH_R,6.463349910102149
TPOJ1_R,5.082251377016136
TPOJ2_R,6.182065474480937
TPOJ3_R,6.262391236415756
DVT_R,5.121312781363466
PGp_R,5.613505736468674
IP2_R,5.881344724108956
IP1_R,5.39356889579555
IP0_R,5.431835955502022
PFop_R,6.748328936810679
PF_R,5.322170956546271
PFm_R,5.117742741944191
PGi_R,4.868286838783796
PGs_R,5.4099910536777465
V6A_R,7.687902744445636
VMV1_R,9.259519769695569
VMV3_R,8.73671777403563
PHA2_R,11.81145541396356
V4t_R,8.074649151476793
FST_R,6.848051138302525
V3CD_R,6.080068798357505
LO3_R,6.846206260387444
VMV2_R,8.007567551657555
31pd_R,6.331059808389855
31a_R,10.429494301784263
VVC_R,6.232683527599972
25_R,9.28448690222148
s32_R,10.70516952984102
pOFC_R,7.48986193259685
PoI1_R,7.752251003894281
Ig_R,6.140103618679142
FOP5_R,5.292058343836543
p10p_R,6.084391424246281
p47r_R,6.687578635853083
TGv_R,6.270833205761887
MBelt_R,6.424015635802324
LBelt_R,7.628146892133793
A4_R,6.314691364103696
STSva_R,6.410428734281981
TE1m_R,6.89451014685547
PI_R,7.796129799897157
a32pr_R,6.486808196590729
p24_R,6.760403096711738
