region,ad_li
V1,-0.00537057989402793
MST,0.0061467413430331365
V6,-0.017310824547000676
V2,-0.006836466994214561
V3,-0.0037465653232391072
V4,0.0034441206550921977
V8,-0.006789732131151256
4,0.011477090903162098
3b,-0.014162621938574252
FEF,0.012863191801421254
PEF,0.01273611803836357
55b,0.01930324464045822
V3A,0.0110621979826307
RSC,-0.03327127259892867
POS2,0.0036723887720459766
V7,0.033619203825181715
IPS1,0.033248942185807796
FFC,0.01683884961954722
V3B,0.006499274895036529
LO1,-0.00025743626558759173
LO2,0.0003422339899438539
PIT,0.003659360203029065
MT,0.007445125187326036
A1,-0.002274337737589509
PSL,0.008215666435042604
SFL,-0.011468376023684853
PCV,-0.02124126081506746
STV,0.007878442111762163
7Pm,-0.01577435453681403
7m,-0.02147926405948652
POS1,-0.0036738844930800096
23d,-0.030887838006182125
v23ab,-0.018885558031959907
d23ab,-0.021325358612002517
31pv,-0.016167740273197822
5m,-0.02173401678527114
5mv,-0.03327081201295542
23c,-0.002054796271416934
5L,-0.012247115956358922
24dd,-0.03166478521637222
24dv,-0.029327155939463438
7AL,0.01496592765408516
SCEF,-0.037594442914580896
6ma,0.016979450970859088
7Am,-0.010861578277559538
7Pl,0.007444818328746458
7PC,0.022210347701075002
LIPv,0.028445476400594652
VIP,0.01418005730809554
MIP,0.019281410989643474
1,0.01428564330767508
2,0.03144975128843368
3a,0.0160169229110442
6d,0.007907174884895412
6mp,0.0003701786870473316
6v,0.008713379964908159
p24pr,-0.026866188708842872
33pr,-0.04239246421438185
a24pr,-0.028986763499301696
p32pr,-0.03507075883820242
a24,-0.017701382927373187
d32,-0.03302139420889172
8BM,-0.04896243852719882
p32,-0.022256822849502693
10r,-0.026162290353190433
47m,0.01372600365216484
8Av,0.018520645500476593
8Ad,0.019781020019699655
9m,-0.03580344413693192
8BL,0.003374980192967669
9p,0.015976664452135424
10d,-0.008815468988603458
8C,0.023316695089436623
44,0.014437738770157329
45,0.009763433964290604
47l,0.014626659201802531
a47r,0.010735531564979903
6r,0.007063104766895316
IFJa,0.006008172996061283
IFJp,0.0065022540432836
IFSp,0.0070162625031581745
IFSa,0.001523273551953782
p9-46v,0.014144579772762289
46,0.004830832300832999
a9-46v,0.008559442129181813
9-46d,0.004604309957776047
9a,0.012414359975599655
10v,-0.02319716246544498
a10p,0.009258846343288536
10pp,0.005777948237380824
11l,0.01798326083483951
13l,0.001696709751163777
OFC,0.008751770456963185
47s,0.012103282241135344
LIPd,0.02642113253883957
6a,0.02326050534475226
i6-8,0.006187883180068047
s6-8,0.029805614389810976
43,0.020869740149361594
OP4,0.005693864029612661
OP1,-0.004734404958728332
OP2-3,0.0010763397775832553
52,0.0015075071355450593
RI,-0.00544024129541297
PFcm,0.009790605146095649
PoI2,0.023710658733913013
TA2,-0.014927243453296362
FOP4,-0.008359331280762685
MI,0.018167480108346814
Pir,0.011664634837690266
AVI,0.021590416258332676
AAIC,0.02367742742125122
FOP1,-0.0045397325762092195
FOP3,0.005171281893227356
FOP2,-0.014163696617884716
PFt,0.010795006275602885
AIP,0.02266995773491031
EC,0.0035136634875560235
PreS,-0.004002597758820319
H,0.012740722855415517
ProS,-0.01448969360808077
PeEc,0.018333263930111858
STGa,0.02012544366734312
PBelt,-0.007102281668719132
A5,0.03751686175569368
PHA1,0.008787729420352398
PHA3,0.0037334778938821183
STSda,0.04474343578931687
STSdp,0.019681068950731687
STSvp,-0.00014408832525294798
TGd,0.007825342277445132
TE1a,0.011394710170250854
TE1p,0.003444717367322734
TE2a,-0.000699731506782851
TF,0.011346131535336108
TE2p,-0.0013815529070496874
PHT,0.004226301394851501
PH,0.0059460146370826535
TPOJ1,0.00517743633094885
TPOJ2,0.0030079902432381656
TPOJ3,0.012827026598101053
DVT,-0.02502052904258046
PGp,0.013109043722162978
IP2,-0.0016328929251883339
IP1,-0.00424384684425308
IP0,-0.02916244716084812
PFop,0.018472865892746992
PF,0.02312739714211061
PFm,0.010910285101070182
PGi,0.009542829370594232
PGs,0.014983328126117102
V6A,-0.0031453724914924284
VMV1,0.00558239309443039
VMV3,-0.012610781303812983
PHA2,0.02387193116594611
V4t,0.002520519957443422
FST,0.003769265603505883
V3CD,0.005569297465899004
LO3,0.0008918387458164903
VMV2,0.0023273411172657324
31pd,-0.026019759335035968
31a,-0.019091581151761537
VVC,0.003294513273107062
25,-0.0068228902809681965
s32,-0.01610301144023999
pOFC,-0.004884634939608204
PoI1,0.02116209451682662
Ig,0.017713646855394633
FOP5,-0.006415685473825207
p10p,0.02305213523994977
p47r,0.015880147748728254
TGv,0.0004947952196592824
MBelt,-0.015536008561217758
LBelt,-0.007052212110193302
A4,0.007384410798225057
STSva,0.010696354058955967
TE1m,0.0086245575494328
PI,-0.011589286770290901
a32pr,-0.03137004896003225
p24,-0.025400763059913387
