region,ak_li
V1,0.0025732247607222845
MST,0.012749245373959559
V6,-0.00652743858897763
V2,0.0023014089243647614
V3,0.010839763202076396
V4,0.015485344526407922
V8,0.004436191493880679
4,-0.002410402557319135
3b,-0.016086137676901716
FEF,-0.011509649335220477
PEF,-0.0166881869698225
55b,-0.00693504274102729
V3A,0.013323659170043247
RSC,-0.002492311874532141
POS2,0.003985671607276696
V7,0.03369332847416058
IPS1,0.031205614764756577
FFC,-0.00680236027218255
V3B,0.014268136160418905
LO1,0.011535659958807053
LO2,0.013413314074241426
PIT,0.0142004836984544
MT,0.02110315740037824
A1,0.00576984989238294
PSL,0.017050685203921702
SFL,-0.006704649646550059
PCV,-0.009951609430725988
STV,0.006483110022672149
7Pm,-0.006054684154130255
7m,-0.00824216236354663
POS1,0.005528421960469564
23d,-0.002399058968479321
v23ab,-0.010636918103301748
d23ab,0.0015753517722852913
31pv,-0.007566833641817531
5m,-0.005496119989648292
5mv,-0.019160460258943815
23c,-0.006609936536676261
5L,-0.008761352236763255
24dd,-0.010040678956882923
24dv,-0.016735415331588566
7AL,0.010661099947766668
SCEF,-0.01747159068572508
6ma,-0.0023182773961610992
7Am,-0.0035782907615036796
7Pl,0.012486483772538224
7PC,0.01763280652407734
LIPv,0.023655141255223458
VIP,0.015923491594432345
MIP,0.022512687306288696
1,0.0025405552994286697
2,0.010367621306633911
3a,-0.005135021020077604
6d,-0.005647718710993443
6mp,-0.0019148176525934796
6v,-0.010547105632177518
p24pr,-0.0037409322277677545
33pr,-0.0039542742419196334
a24pr,-0.01086538057221461
p32pr,-0.017158583039371064
a24,-0.0038528056825670445
d32,-0.024986147032459903
8BM,-0.026323740235250734
p32,-0.01209113598225255
10r,-0.00798750656995028
47m,-0.017630250314812756
8Av,-0.015130025703413966
8Ad,-0.010477605638190727
9m,-0.02330746040786564
8BL,-0.0034033375510706954
9p,-0.0021767819369566056
10d,-0.013729466563485986
8C,-0.010016660457598405
44,-0.010654841756704841
45,-0.004860917376140405
47l,-0.013837543148986556
a47r,-0.017445464312353248
6r,-0.015370356500543546
IFJa,-0.013590132808587311
IFJp,-0.013491913312205952
IFSp,-0.018357768597016058
IFSa,-0.016169647888484014
p9-46v,-0.016288611901237957
46,-0.026308954413279968
a9-46v,-0.021089655941331775
9-46d,-0.014746271789844776
9a,-0.002991290423662401
10v,0.005812251011143544
a10p,-0.018019565673922416
10pp,-0.0054254503084106235
11l,-0.011973958544584449
13l,-0.009905519578302812
OFC,0.004853146215621284
47s,-0.009581284162659598
LIPd,0.029726863466243147
6a,-0.002283303496734762
i6-8,-0.015892013357105002
s6-8,-0.0011448616123956035
43,-0.003214728155693511
OP4,0.0025097680943992388
OP1,0.0043999180408927875
OP2-3,0.009826231399768928
52,-0.004644031898161077
RI,0.021216358313177155
PFcm,0.013221766653196956
PoI2,-0.0027317387419420903
TA2,-0.012290220940723068
FOP4,-0.009570709975137719
MI,-0.003035713262817049
Pir,-0.0037451596503545966
AVI,-0.0038355307381176783
AAIC,-0.0001307545993891943
FOP1,-0.011686587281841286
FOP3,-0.0013652489376670368
FOP2,-0.003417102116011491
PFt,-0.0030634296651313292
AIP,0.013004403306655423
EC,0.0002562789720960492
PreS,0.0029453223547803507
H,0.0021460434037781765
ProS,-0.001715755941989805
PeEc,-0.0010264834970127059
STGa,-0.011403273921809306
PBelt,0.003836286915006803
A5,0.006453094908065574
PHA1,-0.0010360385392964003
PHA3,-0.0005760332413812713
STSda,0.00013160924406991113
STSdp,0.004377135321520222
STSvp,0.00547100746168706
TGd,-0.010032502717027254
TE1a,-0.00527352409098323
TE1p,0.003558693087396982
TE2a,-0.004742746104034917
TF,-0.0041200155271733895
TE2p,-0.007400385067704721
PHT,0.006237060352223862
PH,0.0026710552074794744
TPOJ1,0.015659908904443177
TPOJ2,0.009873963951845704
TPOJ3,0.013448888667333262
DVT,-0.009292072417741841
PGp,0.016743992675852595
IP2,0.00197268660654844
IP1,0.009497620976941757
IP0,-0.007418623877601181
PFop,0.002126035926494477
PF,0.010897955102557848
PFm,0.009622619833601749
PGi,0.014130484001236388
PGs,0.016478718224541507
V6A,0.0048568476115503365
VMV1,0.0014731494568222864
VMV3,-0.002591318227578063
PHA2,-0.0046865970203761095
V4t,0.013218493266136628
FST,0.007639936948160515
V3CD,0.01848397035447678
LO3,0.012611456381601232
VMV2,0.005733238067755006
31pd,-0.010553632065475257
31a,-0.013464638058849763
VVC,-0.003471868144983643
25,0.009806322270168413
s32,-0.0001456559472307691
pOFC,0.0008082019454029658
PoI1,-0.00432990282391945
Ig,0.009591185959857973
FOP5,-0.006619758435420668
p10p,-0.006502897089517733
p47r,-0.01565560606152482
TGv,-0.0018674271813418268
MBelt,-0.006946920533655628
LBelt,0.016086154841311755
A4,0.0069432288468165996
STSva,-0.008544667962791973
TE1m,0.00195174869317201
PI,-0.0030992302121625524
a32pr,-0.018897440775816968
p24,-0.013341595526370546
