region,dki-ad_li
V1,-0.0025599488308880006
MST,0.0028028598431495476
V6,0.0016989138830325492
V2,-0.0027782453824757095
V3,0.0009841372783455742
V4,0.002132709703784126
V8,-0.0006694007351657407
4,0.005958904133991146
3b,0.004540598268375566
FEF,0.005921139291727038
PEF,0.002153774837634412
55b,0.005345261189178753
V3A,0.0039809500194916535
RSC,-0.011739265184472785
POS2,0.005817641872708969
V7,0.006715153301455417
IPS1,0.010016815059759807
FFC,0.0021529072433573637
V3B,0.008744285734606875
LO1,0.0051374189352912415
LO2,0.0016203937668004455
PIT,0.002365213124741803
MT,0.0037562211480589034
A1,0.002195146498701259
PSL,0.007278518587809683
SFL,-0.007077623130134112
PCV,-0.0023773086061723452
STV,0.0054923805278368236
7Pm,0.0019853550568478865
7m,-0.001403790836713299
POS1,-0.0022676190052390408
23d,-0.006159681353847016
v23ab,-0.0035582014017725328
d23ab,-0.0033329710216745646
31pv,-0.002666720398680227
5m,-0.0014478345468198226
5mv,-0.004935435182603788
23c,-0.0002481909791173733
5L,0.0015950430186871336
24dd,-0.006252958883878974
24dv,-0.00456996355467292
7AL,0.009515306903702293
SCEF,-0.008368190006570835
6ma,0.0019077031527413224
7Am,0.003025779110853621
7Pl,0.0072162142508404685
7PC,0.00968769276045735
LIPv,0.00959417376695409
VIP,0.007190287942223073
MIP,0.008214180909567593
1,0.004314416766453796
2,0.010827885180275311
3a,0.004246218315758156
6d,0.002119936336384356
6mp,-0.0007334122772608712
6v,0.0023178082981604496
p24pr,-0.004499370611529379
33pr,-0.006109299287687656
a24pr,-0.007187224988097896
p32pr,-0.0040749540786665095
a24,-0.004343225055847673
d32,-0.008421670656586893
8BM,-0.013918443872930869
p32,-0.007377332764333429
10r,-0.008825862732166678
47m,0.0028428432033296117
8Av,0.0022318812053337667
8Ad,0.0036987995420257927
9m,-0.013967222412421853
8BL,-0.004647688008753069
9p,0.0008143067462124087
10d,-0.005960464180373312
8C,0.004622368010995074
44,0.0004804682144363551
45,0.0014743060950761092
47l,0.0035107857868283054
a47r,-0.0008901040203042717
6r,-0.0006144215967020283
IFJa,-1.7125567877416114e-05
IFJp,-7.78695596296255e-05
IFSp,-0.000694996475804306
IFSa,-0.006528104805887137
p9-46v,0.0003861707814768551
46,-0.0028827697375799623
a9-46v,-0.0011630980877604673
9-46d,-0.002281714568326449
9a,-0.002361230666559973
10v,-0.012280095789989717
a10p,-0.003029140790356931
10pp,0.003367572251690786
11l,0.000619537967149202
13l,-0.0033217922921397356
OFC,-0.007613783702046432
47s,0.0036157227170170356
LIPd,0.010611674952899195
6a,0.004814574456938587
i6-8,0.0017178304375541345
s6-8,0.005553258778995636
43,0.005753966759379906
OP4,0.0019404428210236353
OP1,-0.0012428987763912957
OP2-3,0.0015866111985685973
52,0.0027360029852702317
RI,-0.0001012027221630163
PFcm,0.005195347539733597
PoI2,0.002040854889958874
TA2,-0.0026354347707949976
FOP4,-0.00461657036133451
MI,0.0021704194427723676
Pir,0.005539867469500237
AVI,0.003193236167613226
AAIC,0.003055690190403973
FOP1,-0.0048208596782553055
FOP3,-0.0021839045700271526
FOP2,-0.005540558811101035
PFt,0.009543697219628753
AIP,0.01111566997562825
EC,0.005900843219285867
PreS,0.0012301352235299914
H,0.004402647612221953
ProS,-0.008466502713511338
PeEc,0.009466126357150969
STGa,0.0069923169690440734
PBelt,0.0018518684401507232
A5,0.013201836295221708
PHA1,0.004992357280893412
PHA3,0.0015676109246673463
STSda,0.007637651891600141
STSdp,0.001491059934054271
STSvp,-0.00019237120325537305
TGd,0.006112058760880131
TE1a,0.0030964444667586927
TE1p,0.00027450768791597826
TE2a,-0.0024688079760216094
TF,0.0051345877622418126
TE2p,-0.0021043399397890216
PHT,0.0012649134297702787
PH,-0.00023430240198944754
TPOJ1,0.002019017990786792
TPOJ2,0.003030231722106471
TPOJ3,0.006969057439811222
DVT,-0.003426874923914442
PGp,0.008789158363496601
IP2,0.008471966320368679
IP1,0.006198134470590857
IP0,0.0019358262093931166
PFop,0.007126657293771917
PF,0.010548842201422383
PFm,0.00755215235368794
PGi,0.006585370406361436
PGs,0.008960800621042259
V6A,0.001059731464389236
VMV1,-0.0034863926629831086
VMV3,-0.009171909947549885
PHA2,0.008675036729243144
V4t,0.002157728526469823
FST,0.000327175909660587
V3CD,0.007911833093390695
LO3,0.004075641419422249
VMV2,-0.005751817574575326
31pd,-0.0028026718901679446
31a,-0.0003340551963345413
VVC,-0.0025394926329218095
25,-0.013924532429995818
s32,-0.00947246125187411
pOFC,-0.009189636416928939
PoI1,0.003154256727831484
Ig,0.0012676230586967422
FOP5,-0.006067009576812489
p10p,0.004219942006146709
p47r,-0.0005224815691257987
TGv,0.005130358670727422
MBelt,0.00015322777132290052
LBelt,0.0026299405989582032
A4,0.005478048761289083
STSva,0.0006616483116858892
TE1m,-0.0004164304837847443
PI,0.0016802490613327349
a32pr,-0.0037436063047332673
p24,-0.007265810546396198
