region,dki-fa_li
V1,0.009978771047055543
MST,0.004065074053672081
V6,-0.0009254155126282079
V2,0.006714017669111338
V3,0.011819918730440153
V4,0.01637982828377802
V8,0.019655107515413103
4,-0.010879613334398262
3b,0.006399869594941418
FEF,-0.006613233106755768
PEF,-0.003960760853534085
55b,0.00382315627052972
V3A,-0.005039258769461492
RSC,-0.0008062028246529343
POS2,0.012057177010734233
V7,0.004247551682590534
IPS1,0.006474827043932747
FFC,0.006836192612071052
V3B,0.012340144431359956
LO1,0.010263432234823228
LO2,0.007349347990882578
PIT,0.0063327487129329766
MT,0.01064838989630053
A1,0.006172795245039619
PSL,-0.021488355895244463
SFL,-0.002744825673667144
PCV,0.00020950763082498413
STV,0.0027320792682070465
7Pm,0.008797461165598907
7m,0.0007894440275710982
POS1,0.005347720437114529
23d,-0.02205007031879764
v23ab,-0.003090016072153714
d23ab,-0.00588228846999609
31pv,0.005679182248389674
5m,0.0008362517459768405
5mv,-0.0248717638166696
23c,0.00120710263248285
5L,-0.003876681637776852
24dd,0.0014616206632047895
24dv,0.000932869185863143
7AL,0.014077605648698652
SCEF,0.003029283945254609
6ma,0.011614093802794495
7Am,0.004963643856821871
7Pl,0.018364653340833165
7PC,0.016562164109962644
LIPv,0.019085975451805324
VIP,0.017240229890050692
MIP,0.004996632821116246
1,0.017414310429240232
2,0.020731386611297024
3a,-0.009687009024597154
6d,0.00206004954192335
6mp,0.002107379751070696
6v,-0.00012776108337869379
p24pr,-0.010502137702834853
33pr,-0.01651240370133492
a24pr,-0.025805628695526453
p32pr,0.011632060382481903
a24,0.01381109494164547
d32,0.007154133903217038
8BM,0.006031097733609153
p32,0.018271537132707415
10r,0.01799805353306154
47m,0.008075627760097867
8Av,0.00726906090038719
8Ad,0.007972444965763412
9m,0.014350327719016875
8BL,0.011119427852638832
9p,0.01237218857515529
10d,0.009073568293667395
8C,0.011509422450854378
44,-0.003431364009555993
45,-0.005607874362885836
47l,-0.01855000762403503
a47r,0.01476086680390315
6r,-0.013141214434900015
IFJa,-0.0033413969593195686
IFJp,-0.011536774290273114
IFSp,-0.004761272465499535
IFSa,-0.008202326889000347
p9-46v,0.016076896851133452
46,0.01691673191514495
a9-46v,0.00517900878548737
9-46d,0.010658699443428942
9a,0.007759616555515824
10v,0.015792730130949645
a10p,-0.004504319642074741
10pp,0.00046395854371113915
11l,-4.144974320408614e-05
13l,-0.01660969608935777
OFC,0.02190352954489714
47s,-0.017881096782077534
LIPd,0.007412204328484403
6a,0.00436464288382389
i6-8,-0.0003516200000130746
s6-8,0.015529027075212644
43,0.009388173936944
OP4,0.003254063224979117
OP1,0.0032343157669712922
OP2-3,0.02139777772605055
52,0.005889822095481597
RI,0.018440948979803022
PFcm,0.006376718133470735
PoI2,-0.024258177464787666
TA2,-0.0006306429507368963
FOP4,0.016727366625407764
MI,-0.013619053386836886
Pir,0.015179652541899137
AVI,-0.0032734760463379764
AAIC,0.0017871125814778832
FOP1,0.0006308993298705281
FOP3,0.015121571631005292
FOP2,0.007215362889825799
PFt,-0.0013733656471711325
AIP,0.014628834855678036
EC,0.0024567694797656948
PreS,0.017970438424058433
H,-0.0025922134502650326
ProS,0.0071384661870830335
PeEc,-0.005615401025862305
STGa,-0.004419906750397927
PBelt,-0.03130484075010042
A5,0.011201228108028208
PHA1,0.0013548149903550198
PHA3,0.01794282134505278
STSda,0.008130874722616914
STSdp,0.014535484760776606
STSvp,-0.024644395098926682
TGd,-0.009161540796243995
TE1a,-0.026661864892767655
TE1p,0.004608618044082122
TE2a,0.00011623072739692793
TF,0.0020600587580254523
TE2p,0.005872915450112297
PHT,0.006712747309500681
PH,-0.0015908067831199946
TPOJ1,0.009492106261954517
TPOJ2,-0.004890878998786084
TPOJ3,-1.6490270367347572e-05
DVT,-0.00132247938068686
PGp,0.01387491343890189
IP2,-0.004800961842092704
IP1,-0.0022528337813093094
IP0,-0.0011126834261000486
PFop,-0.008961947406858897
PF,0.004513853882624259
PFm,0.003596105439373734
PGi,0.003087583837668781
PGs,0.0024030273754886964
V6A,0.0019019413495882146
VMV1,0.01589408702306583
VMV3,0.011832128670789668
PHA2,0.028786531781257847
V4t,0.009841959876172328
FST,0.0030389346438606667
V3CD,0.020059014952897507
LO3,0.003134480302800773
VMV2,0.022891789553497126
31pd,0.010230760744699956
31a,-0.002532664695112221
VVC,0.017124242835654963
25,-0.012461081149252387
s32,-0.010386157585055032
pOFC,-0.01745678187904625
PoI1,-0.017849890001208152
Ig,-0.00895940404253667
FOP5,-0.005294362905814724
p10p,0.018430355568628588
p47r,-0.01552427092419562
TGv,-0.01515769931939842
MBelt,0.0032139112223039633
LBelt,0.003946885325877369
A4,-0.023782350057818702
STSva,-0.01588545145764238
TE1m,-0.00013231231074569005
PI,0.000975009688969744
a32pr,0.018130590392988533
p24,-0.018135716087233803
