region,isovf_li
V1,-0.04180538723148669
MST,0.0986996358080975
V6,-0.14062547945767614
V2,-0.05483024657524201
V3,-0.012222572214487776
V4,0.07001442740057716
V8,-0.08817661906898257
4,0.05593838483533405
3b,-0.10471240677702323
FEF,0.053832690198921146
PEF,0.04915931530310779
55b,0.13136133440921327
V3A,0.13050738191001418
RSC,-0.2789801339099731
POS2,0.008644780483273095
V7,0.3540604967451428
IPS1,0.3454786881014613
FFC,0.16424667514641456
V3B,0.08765192451672196
LO1,0.014008581192860952
LO2,0.05731698035951863
PIT,0.08053658517688692
MT,0.1330738136329192
A1,-0.036018301539716406
PSL,0.13265032584826447
SFL,-0.08104074841400481
PCV,-0.21225203165387885
STV,0.09866625788133043
7Pm,-0.1742939568714644
7m,-0.24742735853125308
POS1,-0.025627602529115272
23d,-0.2804894319073217
v23ab,-0.2793030458833602
d23ab,-0.26120093890425894
31pv,-0.2005110839234045
5m,-0.20608994958132204
5mv,-0.29836853486846016
23c,-0.02559548672874688
5L,-0.13168700349197315
24dd,-0.30066848427626536
24dv,-0.28918193058411856
7AL,0.0907566541483567
SCEF,-0.354640771348822
6ma,0.13110919888048703
7Am,-0.12663616531887795
7Pl,0.05137677837564252
7PC,0.18384761288244003
LIPv,0.24452426195437874
VIP,0.11593591651674964
MIP,0.2094674716754194
1,0.12008537637638007
2,0.2462071361421284
3a,0.0826695094865499
6d,0.04753863314291864
6mp,0.001969866935325715
6v,0.04666018049313532
p24pr,-0.23509799059803466
33pr,-0.3796220836422627
a24pr,-0.26083982244349757
p32pr,-0.3544235785549703
a24,-0.1931212503856946
d32,-0.35594280213387297
8BM,-0.46771849457651815
p32,-0.23742748878243447
10r,-0.22349453336055297
47m,0.040616333893533585
8Av,0.0944318162650725
8Ad,0.11442766889262865
9m,-0.3291325981483504
8BL,0.03900488818600216
9p,0.11293728199010612
10d,-0.07755990973711001
8C,0.13943785160222394
44,0.10414200684227878
45,0.08339262042393411
47l,0.08231176382443063
a47r,0.03146781499957851
6r,0.04426216548726127
IFJa,0.0076318476715288635
IFJp,0.022016442246990547
IFSp,0.009296862511784482
IFSa,0.0044379254388972845
p9-46v,0.05428823599686949
46,-0.033844200809430895
a9-46v,0.020217859266880422
9-46d,-0.00480853961543446
9a,0.0939524948935539
10v,-0.09087568388143015
a10p,0.036447746332980334
10pp,0.019218032054977793
11l,0.10360099797533204
13l,-0.0037439978798962845
OFC,0.07881385773343588
47s,0.060683004689604414
LIPd,0.2658865798096447
6a,0.17441713577066653
i6-8,-0.005017322564786175
s6-8,0.22086850968989477
43,0.17408479731163962
OP4,0.05878760900407037
OP1,-0.039682030725233845
OP2-3,0.012638537572233478
52,-0.010984351879695237
RI,0.0019122062659523381
PFcm,0.10419707362548246
PoI2,0.20275358279634534
TA2,-0.15747506874651845
FOP4,-0.09043445917002012
MI,0.1588257015077001
Pir,0.033232659387239696
AVI,0.17006281025566047
AAIC,0.1710962634334062
FOP1,-0.06910348481602123
FOP3,0.05215590437190536
FOP2,-0.13469248041404966
PFt,0.03774360456036632
AIP,0.18721575850330188
EC,0.004647462061233295
PreS,-0.049147918810996304
H,0.08923072400570906
ProS,-0.11081825117726309
PeEc,0.09808431962267083
STGa,0.1377501558779455
PBelt,-0.08671235968262081
A5,0.333908501543404
PHA1,0.0527322609529307
PHA3,0.02843416419667199
STSda,0.38261558871481327
STSdp,0.20663475677730264
STSvp,0.024942702623687828
TGd,0.01571052047093641
TE1a,0.11477196499366568
TE1p,0.04072532181847527
TE2a,0.01750047904215399
TF,0.05935078841431592
TE2p,-0.02789332520310273
PHT,0.07158604457152484
PH,0.0999296301845565
TPOJ1,0.10120284509170077
TPOJ2,0.06766523213246219
TPOJ3,0.1622769295181438
DVT,-0.23203422982259136
PGp,0.16459500529187457
IP2,-0.028110519097629277
IP1,-0.012132965206425933
IP0,-0.29316762079210995
PFop,0.16036232375452572
PF,0.2045485939232927
PFm,0.11552850493065675
PGi,0.14433080125558864
PGs,0.1807331312009048
V6A,-0.004590525031167671
VMV1,0.079795044442292
VMV3,-0.15260187724540372
PHA2,0.1982898027229705
V4t,0.07552011802226838
FST,0.08435711242089686
V3CD,0.07779408579908144
LO3,0.043180670509122276
VMV2,0.05923458221935107
31pd,-0.2792457920163228
31a,-0.2344837953809063
VVC,0.033845148273088335
25,0.05078087875394208
s32,-0.08787057089651705
pOFC,0.02585525120808707
PoI1,0.18793943429792295
Ig,0.19232874965056831
FOP5,-0.05091808793546437
p10p,0.14312587006896005
p47r,0.11738108000201881
TGv,0.012570182390521446
MBelt,-0.16097086202950317
LBelt,-0.04236810948935047
A4,0.0756493323347407
STSva,0.07743607095447973
TE1m,0.0945545850372386
PI,-0.12050913765546122
a32pr,-0.3540578947198888
p24,-0.2531030830786779
