region,md_li
V1,-0.005606483447998357
MST,0.004519426659974585
V6,-0.01486644675707684
V2,-0.007629659548827784
V3,-0.004407527155336313
V4,0.001623212704848298
V8,-0.009231495563737075
4,0.010791705697594979
3b,-0.015250049527760932
FEF,0.012082087922400916
PEF,0.011438578483049905
55b,0.01742171487127637
V3A,0.012067570842245787
RSC,-0.02976640167394656
POS2,0.00242661193239013
V7,0.03520212022556075
IPS1,0.034987243504300825
FFC,0.018600329257987228
V3B,0.004196857618140788
LO1,-0.002892034104276717
LO2,-0.0010793876461850176
PIT,0.0031955675854092483
MT,0.00520761803162116
A1,-0.003795737000467672
PSL,0.010765601437707089
SFL,-0.0094155125707506
PCV,-0.02093188164954292
STV,0.007757143752545541
7Pm,-0.01766064634441287
7m,-0.024027467449590067
POS1,-0.0043211437606985835
23d,-0.030184074073772858
v23ab,-0.01985543479718222
d23ab,-0.02331045111668364
31pv,-0.016871458170634773
5m,-0.02222093416862496
5mv,-0.02807117238464442
23c,0.0002913666306115776
5L,-0.011502453196593801
24dd,-0.029466412974824798
24dv,-0.027959935757842277
7AL,0.012375079674772879
SCEF,-0.03633953367910691
6ma,0.015105016522638376
7Am,-0.011665031546223415
7Pl,0.004958718981226047
7PC,0.019656455790859107
LIPv,0.024835188781593937
VIP,0.011259274678216379
MIP,0.019424467972104485
1,0.01212862128683558
2,0.02800954255029179
3a,0.01763309330788006
6d,0.00603127584677312
6mp,0.0005581831970375682
6v,0.007845177261620904
p24pr,-0.02861705652489539
33pr,-0.04390591903967405
a24pr,-0.029013311624216255
p32pr,-0.037337922909575896
a24,-0.021667634186753448
d32,-0.0375972572975372
8BM,-0.05197707521922339
p32,-0.025965043204654467
10r,-0.029200803846422776
47m,0.013126100567939458
8Av,0.017439565702851177
8Ad,0.019954786522968664
9m,-0.041223646690279205
8BL,0.003035990127639152
9p,0.015136249472053175
10d,-0.011179986264825083
8C,0.01959724583039236
44,0.014921253723033299
45,0.008573302835855563
47l,0.016736563281718738
a47r,0.009487385934876372
6r,0.008378050743315504
IFJa,0.0035692321159129493
IFJp,0.00648268085003332
IFSp,0.004861380071288719
IFSa,0.0004291129556549896
p9-46v,0.010234646886695474
46,0.0013808886763622965
a9-46v,0.006867469274045993
9-46d,0.0020157861986121605
9a,0.012000556693951923
10v,-0.026206903306884435
a10p,0.00961766481057232
10pp,0.0061133674048130925
11l,0.0190521328195326
13l,0.00485110685921377
OFC,0.010527365713804087
47s,0.016379635516681337
LIPd,0.026259818931059935
6a,0.02235639837557079
i6-8,0.005909382854805859
s6-8,0.030291629110121013
43,0.020933323200640057
OP4,0.0046780361928982425
OP1,-0.007338598437685081
OP2-3,-0.00664336021950843
52,-0.00042885877887411186
RI,-0.009152055586994707
PFcm,0.008751036087445034
PoI2,0.034556202034527486
TA2,-0.0193049809944433
FOP4,-0.012568005463678842
MI,0.023991359758126687
Pir,0.00636809940774181
AVI,0.023187986786867842
AAIC,0.02647487206385924
FOP1,-0.004757194337622101
FOP3,0.0019813892103727896
FOP2,-0.019593235840289092
PFt,0.009315404114474742
AIP,0.020872569642970913
EC,0.0019413653921666238
PreS,-0.010554379311104633
H,0.013882044033477937
ProS,-0.015724781150057876
PeEc,0.020800753655642802
STGa,0.020560637469038127
PBelt,-0.007081253939416898
A5,0.038949970665186004
PHA1,0.007698381146180123
PHA3,0.002258210852484028
STSda,0.04686789854411567
STSdp,0.017806558221930033
STSvp,0.0018265556541929193
TGd,0.006807309409958717
TE1a,0.014997376001768323
TE1p,0.003489438221579203
TE2a,-0.0012182626039255351
TF,0.011805144824186702
TE2p,-0.002273334331098124
PHT,0.004253493104165894
PH,0.0071994830885180935
TPOJ1,0.002603088488735938
TPOJ2,0.002886286983582349
TPOJ3,0.011644340288970653
DVT,-0.0230781708733229
PGp,0.012690996545382572
IP2,-0.000614912565667591
IP1,-0.0029105465211036402
IP0,-0.031214676526219228
PFop,0.020573964653115583
PF,0.024366759957736853
PFm,0.012453932614212078
PGi,0.009707585975996484
PGs,0.01675896419365799
V6A,-0.0007297564765867786
VMV1,0.004681175408764697
VMV3,-0.014706152182284686
PHA2,0.022202870767687847
V4t,0.0010925533570330902
FST,0.0033270128698452543
V3CD,0.0019207179652372852
LO3,-0.0009246848073066966
VMV2,0.0016656296866412077
31pd,-0.026914931728818033
31a,-0.01955531903390467
VVC,0.0028244285191635103
25,-0.0020676127456351846
s32,-0.009228326217379238
pOFC,0.001839713665965528
PoI1,0.029031406147634563
Ig,0.0185225497081864
FOP5,-0.008328386565463971
p10p,0.02135573895289786
p47r,0.017613598421262623
TGv,0.0014804997806714532
MBelt,-0.019356278786077204
LBelt,-0.008741596806733884
A4,0.008492034977465953
STSva,0.012611651008170941
TE1m,0.009041014515842112
PI,-0.016525861624333688
a32pr,-0.036447536324209134
p24,-0.02625115345054329
