region,odi_li
V1,-0.0011727552095001752
MST,0.003379173339918446
V6,0.008936916363375918
V2,-0.0006064701761475175
V3,0.0014780130147039523
V4,0.0006201529074000033
V8,-0.003118141120290549
4,-0.0034277241426198314
3b,-0.0046951428970107845
FEF,-0.011896060891768265
PEF,-0.013878947712769362
55b,-0.023230887848107094
V3A,0.002186470804814648
RSC,0.012400587479377116
POS2,-0.007957355369501542
V7,0.002563851108856548
IPS1,-0.0018366496667309945
FFC,-0.013748734426428124
V3B,0.0019885303039196157
LO1,0.006609407106078409
LO2,0.007394384737777267
PIT,0.00651921838999453
MT,0.0014874005807155287
A1,0.0010152362892700407
PSL,0.02135528336825461
SFL,0.007798073808013626
PCV,0.005393670809077415
STV,-0.002524933054145952
7Pm,-0.0022436136847600666
7m,0.006589953874932858
POS1,0.001522179972403858
23d,0.025260747757589474
v23ab,0.004562542466616789
d23ab,0.013851579290329572
31pv,0.0007827399317670566
5m,0.011318328719953738
5mv,0.028489234122981547
23c,-0.003921031834078819
5L,0.004090942024024062
24dd,0.010613089949981188
24dv,0.005419547264360553
7AL,-0.01549235478534397
SCEF,0.007089098630835013
6ma,-0.017890615197179553
7Am,0.0005940706959461021
7Pl,-0.011476860062491292
7PC,-0.017810654063955416
LIPv,-0.019666670171250344
VIP,-0.016220856723745552
MIP,-0.006588233201793731
1,-0.02582356858626846
2,-0.02482779531807801
3a,-0.004212899318333408
6d,-0.012601357580526882
6mp,-0.0033263350427244457
6v,-0.022333358688810746
p24pr,0.014431932809810116
33pr,0.01788404451216085
a24pr,0.020928125766367572
p32pr,-0.002722259921755458
a24,-0.0023094719569496766
d32,-0.007329797505928004
8BM,0.0065742727734728786
p32,-0.010085312342764892
10r,-0.005114696746884342
47m,-0.02520335476763743
8Av,-0.029131055451741546
8Ad,-0.024121900643056363
9m,-0.003277060454810314
8BL,-0.007132475162915131
9p,-0.018355113467364664
10d,-0.00811615133359384
8C,-0.03442848939431857
44,-0.01980334900964019
45,-0.017831800441983004
47l,-0.015277985658372979
a47r,-0.03534692471849144
6r,-0.006482487726691537
IFJa,-0.012505688554258576
IFJp,-0.005426101622588862
IFSp,-0.015595587639479571
IFSa,-0.011688401981167624
p9-46v,-0.03870138443884267
46,-0.03602818628527396
a9-46v,-0.0290910931047162
9-46d,-0.02411484110080745
9a,-0.012954894441839997
10v,0.009262351532150936
a10p,-0.013770299200424763
10pp,-0.01608391457589173
11l,-0.020598740626889076
13l,-0.0027427649452630336
OFC,0.004157725426098431
47s,-0.004818611618155213
LIPd,-0.0041124231467173965
6a,-0.011901811369156388
i6-8,-0.015569286120873225
s6-8,-0.0290709220148209
43,-0.024595902951933687
OP4,-0.006834887476197556
OP1,-0.0003501937138625423
OP2-3,-0.011101823909635964
52,-0.011171047524030805
RI,-0.0026643646554617194
PFcm,-0.003092308615763051
PoI2,0.003827291518473302
TA2,-0.008980112758089298
FOP4,-0.02000702486515092
MI,-0.007012635198023602
Pir,-0.03197013352422197
AVI,-0.01563512410230737
AAIC,-0.01950657646156619
FOP1,-0.00968890552922425
FOP3,-0.013046323973220737
FOP2,-0.00014551759541590225
PFt,-0.00504391140429385
AIP,-0.013683695016579688
EC,-0.011903690707466438
PreS,-0.01557021223760536
H,0.00282356530644517
ProS,0.004979539281259471
PeEc,-0.009173679636938296
STGa,-0.02957737460492564
PBelt,0.032163373767825285
A5,-0.027295179155357452
PHA1,-0.012783678957545282
PHA3,-0.00801875685055472
STSda,-0.031072163829466135
STSdp,-0.01595542573147552
STSvp,0.028661403919236012
TGd,-0.016917846426224646
TE1a,-0.0006932408233707479
TE1p,-0.0024271619331945075
TE2a,-0.007331404260392263
TF,-0.014756704528914802
TE2p,-0.00945810404643613
PHT,0.0044890917415839416
PH,0.003467270053548244
TPOJ1,0.0007239958934760195
TPOJ2,0.0107016133863675
TPOJ3,0.0026026267974600314
DVT,0.00952838237260932
PGp,-0.0032145091390943896
IP2,0.005573235331498358
IP1,0.006147850025071193
IP0,0.01050687612997605
PFop,-0.0049344000111304475
PF,-0.008047755031305287
PFm,-0.0019176738597171483
PGi,-0.000496327718503613
PGs,-0.0016493943678284944
V6A,0.005224947970671167
VMV1,-0.00931036020902082
VMV3,0.0065587037777876545
PHA2,-0.03612045798820525
V4t,0.003832606458936736
FST,0.0075170955813721714
V3CD,-0.0008110868409677532
LO3,0.011723757248386271
VMV2,-0.0011643990492747646
31pd,0.004183286858869433
31a,0.002387526055388143
VVC,-0.01418093456170328
25,0.0368804697131112
s32,0.01574830240575138
pOFC,0.022744778019615594
PoI1,-0.0043681230079444825
Ig,0.0027881998797923795
FOP5,-0.0034147312443047213
p10p,-0.027261947879851946
p47r,-0.015197469008165588
TGv,-0.004261652537685163
MBelt,-0.004876369419871956
LBelt,0.011764400073557533
A4,0.0185950606313182
STSva,0.004535153757512677
TE1m,-0.006085472426400018
PI,-0.008770574032236935
a32pr,-0.01473732465268303
p24,0.013901464352867956
