region,rk_li
V1,0.00038988264291392374
MST,0.0009931707922002726
V6,-0.01315107637229431
V2,-0.00011060348715541978
V3,0.0033558678146926903
V4,0.008647828920829017
V8,0.0019480552421647975
4,0.0024170342243907666
3b,-0.021928861213742594
FEF,-0.001770261350699628
PEF,-0.007331763453097551
55b,0.007281307770644054
V3A,0.008186478483830773
RSC,-0.006032668794774574
POS2,0.004110246647759068
V7,0.029522534564670706
IPS1,0.025927414429507425
FFC,-0.004366958493845233
V3B,0.005727198090099423
LO1,-0.00020273072324903686
LO2,0.004462907762477768
PIT,0.007042076684701711
MT,0.008431428992721713
A1,0.008282816007915656
PSL,0.01655609456374126
SFL,-0.011666366967560429
PCV,-0.016322916963518758
STV,0.006252354037408366
7Pm,-0.010835242271073386
7m,-0.010752169943023901
POS1,0.006221468891636361
23d,-0.007199314026701349
v23ab,-0.01047256281642356
d23ab,0.0014308677414249654
31pv,-0.005838895520628378
5m,-0.012434465041427431
5mv,-0.03298287303430181
23c,-0.011003285188153219
5L,-0.015685646365545897
24dd,-0.01490907261744543
24dv,-0.019866890358513602
7AL,0.01843771472652329
SCEF,-0.022899321515826177
6ma,-0.0012150140051205472
7Am,-0.009165547665360766
7Pl,0.01546641956649267
7PC,0.02487377746840877
LIPv,0.02922906521444567
VIP,0.022724880030294606
MIP,0.0219083727021718
1,0.01358918568983086
2,0.02070375601516448
3a,-0.005569852585171731
6d,-0.0007704350660117341
6mp,-0.0035978707368514032
6v,0.0041079511036127715
p24pr,-0.008274589385634844
33pr,-0.00800684435379796
a24pr,-0.018199182795745034
p32pr,-0.020306282435007424
a24,-0.00812424580286521
d32,-0.031509540479452605
8BM,-0.03251946990296553
p32,-0.017732242472205374
10r,-0.012908503700827738
47m,-0.012167417849079496
8Av,-0.006238221339552171
8Ad,-0.007085684708814654
9m,-0.03600395408563777
8BL,-0.005862966815689845
9p,-0.0019578660097813827
10d,-0.018878596085400105
8C,0.004382080265348371
44,0.0025166392648057305
45,0.016321288138132887
47l,0.011138235226329367
a47r,-0.008374841456683772
6r,-0.0035416450924854108
IFJa,-0.007335104455941792
IFJp,-0.009325712475690978
IFSp,-0.009213023223695105
IFSa,-0.005805020242327304
p9-46v,0.0005820703960923272
46,-0.01756471019805761
a9-46v,-0.010189454871518674
9-46d,-0.007330747379184473
9a,-0.0026829176207219074
10v,0.0056316034616800134
a10p,-0.014956507727396979
10pp,-0.008403895657938308
11l,-0.0028266503041323547
13l,-0.012484548037075263
OFC,0.010340977494126918
47s,-0.0011283921742052203
LIPd,0.029439959262438357
6a,-0.000857364234409053
i6-8,-0.01042242182822576
s6-8,0.002886548012185418
43,0.013005814325128475
OP4,0.012351176732170049
OP1,0.008037348367983721
OP2-3,0.012326474753981017
52,-0.0008017889890567074
RI,0.02381468447519153
PFcm,0.022248595687399644
PoI2,0.002755440392044196
TA2,-0.003917726696254105
FOP4,-0.0048449747895574005
MI,-0.00042729651191374937
Pir,0.012389365889032443
AVI,0.0012674698534629314
AAIC,0.011461171073228549
FOP1,-0.003638611161416745
FOP3,-0.004424985974216554
FOP2,-0.0020816250821400623
PFt,0.0036169170685502725
AIP,0.01906614449971435
EC,0.0039019034466671997
PreS,0.003953686743480109
H,0.007373112866031256
ProS,-0.005650372342722296
PeEc,0.009663897844814334
STGa,0.009103688520540958
PBelt,0.004022254482046001
A5,0.0230903984906573
PHA1,0.005643520133521522
PHA3,0.006081688868892855
STSda,0.025131011450875058
STSdp,0.014354531060396965
STSvp,0.0033280477891710625
TGd,0.005728276902822828
TE1a,0.01539576921251467
TE1p,0.00741633020065212
TE2a,0.005326353962584985
TF,0.005139106957302948
TE2p,-0.0055908850257907925
PHT,0.0039981344976671475
PH,-0.003955782335756114
TPOJ1,0.016137394869160965
TPOJ2,-0.0001973174689865314
TPOJ3,0.0033541618630968275
DVT,-0.016339281254567066
PGp,0.011876887204260545
IP2,-0.0043322838598562775
IP1,0.002146651510319395
IP0,-0.021093380839668573
PFop,0.013303225357558835
PF,0.02090129860265579
PFm,0.003567289926982007
PGi,0.011214958544945286
PGs,0.013122520540112688
V6A,-0.003134905183846651
VMV1,0.0019453648522914306
VMV3,-0.007414824613912385
PHA2,0.008443550192726771
V4t,0.0029046860089936956
FST,-0.002059425563825773
V3CD,0.010367451166318285
LO3,-0.000553773924932203
VMV2,0.004748245466785861
31pd,-0.010332330760337205
31a,-0.017403029725227104
VVC,-0.0008195055531681758
25,0.012299329040296377
s32,-0.0011361172405503536
pOFC,-0.0017523300622093198
PoI1,0.004857936040761988
Ig,0.009817628437515595
FOP5,0.000597618871285646
p10p,-0.0022393035364486175
p47r,0.00026379922425547975
TGv,0.010360759514260704
MBelt,-0.0068004507004034214
LBelt,0.019716577128703842
A4,0.014728402676349346
STSva,0.0026715513636120193
TE1m,0.009646052522492031
PI,0.013990255782815729
a32pr,-0.022907791458121742
p24,-0.0211495747712881
