region,thick_li
V1,-0.004814591187262347
MST,-0.007799747399419865
V6,-0.007308818909319059
V2,-0.0023110454753687954
V3,-0.0018238445092498723
V4,-0.006067242798574516
V8,-0.000810537009596278
4,-0.001142275489743648
3b,-0.0004421993052667128
FEF,-0.00962794465664466
PEF,-0.007050698570982638
55b,-0.0037735149133527723
V3A,-0.011367626698734803
RSC,0.0035707295162404726
POS2,-0.007073848478812364
V7,-0.01111609389014063
IPS1,-0.010340546015717702
FFC,-0.012492046230061856
V3B,-0.005537940650830788
LO1,-0.012660295464114794
LO2,-0.018520849512624424
PIT,-0.01611767995675943
MT,-0.010477557686744174
A1,-0.014115603878418589
PSL,-0.03046933613963835
SFL,-0.008275598511539061
PCV,-0.005103478811153269
STV,0.005431409511263957
7Pm,-0.00476534089106292
7m,-0.012407485354314195
POS1,-0.005671243413622702
23d,-0.012547072586531429
v23ab,-0.008395977367594456
d23ab,-0.0061898093594922295
31pv,-0.01253020425440447
5m,-0.007052938190258785
5mv,-0.012301504641173322
23c,-0.012209942061490937
5L,-0.00923891702000262
24dd,-0.0027427506310318123
24dv,-0.009516001439903296
7AL,-0.007578514510765437
SCEF,-0.004032754570968958
6ma,-0.008464245533760182
7Am,-0.0075365603185793065
7Pl,-0.005488568213844796
7PC,-0.008698243653184841
LIPv,-0.006946609244744495
VIP,-0.008255431320624866
MIP,-0.008723002632771456
1,-0.0038036101246387275
2,-0.0074591067060754265
3a,-0.0006616715539224299
6d,-0.002789452838933185
6mp,-0.0021776033325324757
6v,-0.0007914064307690428
p24pr,-0.015242632558296894
33pr,0.015946798955417504
a24pr,-0.02049657418295057
p32pr,0.0030185351588916235
a24,0.0019765318399167496
d32,-0.0008667805440517215
8BM,-0.008845459237169876
p32,-0.009717494280370593
10r,-0.008574981369452853
47m,-0.0058062517500913
8Av,0.00014869829839710317
8Ad,-0.0024354144488856855
9m,-0.006313989813149724
8BL,0.0016013898535677663
9p,0.004915063260191244
10d,-0.01768676054419642
8C,0.0004637865586405288
44,-0.007499849992180621
45,-0.01828040383928607
47l,-0.009440512009758959
a47r,0.0031951338102213507
6r,-0.003697525470101725
IFJa,-0.00039930482675239794
IFJp,-0.0019332878750222846
IFSp,0.0012440318476937575
IFSa,-0.006468590995488548
p9-46v,-0.0014031660933503947
46,-0.004253219920619634
a9-46v,-0.007888756527722685
9-46d,0.0014250112818197508
9a,-0.0032658010022560973
10v,-0.008636294215331165
a10p,-0.012184716127055989
10pp,-0.014124009329622543
11l,-0.0056301251100839
13l,-0.0024464770225268327
OFC,-0.010333164617511515
47s,-0.014153290193137404
LIPd,-0.0073692108601232775
6a,-0.002382575655320873
i6-8,-0.006543476381741642
s6-8,-0.002994502689725354
43,-0.008884295839693426
OP4,-0.004653168233435472
OP1,-0.007406006650298864
OP2-3,-0.002140447833542779
52,0.003396488769294156
RI,-0.0015084804397409348
PFcm,-0.009369978591790996
PoI2,0.02027878516306411
TA2,0.00219919102759111
FOP4,-0.0071220480023231145
MI,-0.005582561424124915
Pir,0.0498178878660074
AVI,-0.0019805961119731433
AAIC,-0.0005829964021800141
FOP1,-0.006767955141401067
FOP3,-0.008455546506333707
FOP2,-0.002377396740008417
PFt,-0.00808595043527156
AIP,-0.006110252975597449
EC,-0.011006689119873757
PreS,0.0008119499783459714
H,-0.02424784183997499
ProS,-0.00019240350368545324
PeEc,-0.008817032927125906
STGa,0.0014789801238673562
PBelt,-0.029799645064299482
A5,-0.0076959962738246505
PHA1,-0.0032504969971442555
PHA3,0.026195371601236212
STSda,-0.007027703088039658
STSdp,-0.018283480246739533
STSvp,-0.03523159682615634
TGd,-0.007347691469797438
TE1a,-0.020954565564292947
TE1p,-0.010811403988216247
TE2a,-0.0093628976632004
TF,0.0050930445021437854
TE2p,0.00510382614106734
PHT,-0.014074451492334569
PH,-0.011178104765375275
TPOJ1,-0.013423319436039733
TPOJ2,-0.013755713319491743
TPOJ3,-0.017184306709389682
DVT,-0.008583381888931447
PGp,-0.013852903294125415
IP2,-0.006308046630552079
IP1,-0.009680056909952543
IP0,-0.009032065173406793
PFop,-0.008775792881690217
PF,-0.01287635310341022
PFm,-0.006405055161676299
PGi,-0.0128817035069228
PGs,-0.01786272654531781
V6A,-0.007783653929454023
VMV1,-0.01792154997567879
VMV3,-0.012981318061969801
PHA2,0.02911432725350916
V4t,-0.012196150579695841
FST,-0.012371424160894267
V3CD,-0.006065880610515546
LO3,-0.013331845235677348
VMV2,-0.0009748173885900169
31pd,-0.004485715316655849
31a,0.02303910340072295
VVC,0.0005365551379667858
25,0.002313854233654979
s32,-0.01767462209527332
pOFC,0.007370525724454361
PoI1,0.005871268770555345
Ig,-0.018190033604262513
FOP5,-0.0016707081703444717
p10p,-0.006854231216747178
p47r,-0.013725501524663383
TGv,-0.013250211969873563
MBelt,-0.000992425124019395
LBelt,-0.025218920177714297
A4,-0.022350074249555405
STSva,-0.012442859101783488
TE1m,-0.015861240367441867
PI,0.009851728138518112
a32pr,0.006564529939808822
p24,0.011975395924975209
