region,rtap
V1_L,3568.891837993008
MST_L,3477.7605551243078
V6_L,3374.5891366199053
V2_L,3604.9379656993865
V3_L,3609.6712084120786
V4_L,3589.930921805407
V8_L,3795.4971914643256
4_L,3637.643593180939
3b_L,3265.076304627828
FEF_L,3451.626947597124
PEF_L,3302.9415656440133
55b_L,3446.6624600475275
V3A_L,3493.6947883179637
RSC_L,3976.5693888872584
POS2_L,3574.6630544569257
V7_L,3363.692410921987
IPS1_L,3299.1778014020447
FFC_L,3590.460326101156
V3B_L,3348.2239078108864
LO1_L,3483.0927698765263
LO2_L,3573.64864072283
PIT_L,3612.160504027599
MT_L,3455.449831890155
A1_L,3385.650139863144
PSL_L,3294.065287265176
SFL_L,3537.968546856312
PCV_L,3566.3568057486923
STV_L,3410.79418824434
7Pm_L,3485.2116285660672
7m_L,3568.658015492783
POS1_L,3776.8699045539483
23d_L,3501.9168212181507
v23ab_L,3660.0484730029625
d23ab_L,3634.896085471403
31pv_L,3506.672443591422
5m_L,3833.017900680341
5mv_L,3557.378832368498
23c_L,3315.8409172069605
5L_L,3606.900182277043
24dd_L,3769.723269185819
24dv_L,3536.1852676682734
7AL_L,3477.813967041472
SCEF_L,3711.7748175060374
6ma_L,3456.3947122870854
7Am_L,3548.191552076492
7Pl_L,3531.9929287365453
7PC_L,3476.9526587108858
LIPv_L,3481.1505530735235
VIP_L,3534.100498048313
MIP_L,3472.2745354700514
1_L,3529.4631015530836
2_L,3458.65036828959
3a_L,3125.3079375805096
6d_L,3469.36209045035
6mp_L,3525.8268149420865
6v_L,3409.565839377733
p24pr_L,3406.0583205089188
33pr_L,3667.529699054706
a24pr_L,3360.527476286566
p32pr_L,3553.13335363721
a24_L,3443.1934442912307
d32_L,3511.778188975766
8BM_L,3706.9862690899363
p32_L,3429.5568816241507
10r_L,3461.8502111584285
47m_L,3402.5498906636335
8Av_L,3335.049874256774
8Ad_L,3216.424537333468
9m_L,3448.1031676724647
8BL_L,3352.6001895259815
9p_L,3163.014007011785
10d_L,3219.282425213599
8C_L,3371.5105373344245
44_L,3411.9189973251787
45_L,3439.8576102734537
47l_L,3262.5947251654156
a47r_L,3173.5050663404177
6r_L,3318.6221722656046
IFJa_L,3374.7429316678013
IFJp_L,3357.6171965243457
IFSp_L,3263.782279349784
IFSa_L,3193.4446138427866
p9-46v_L,3282.644960437526
46_L,3189.8596606735823
a9-46v_L,3160.2853983864993
9-46d_L,3179.6484721559195
9a_L,3128.181216804621
10v_L,3503.990547917794
a10p_L,3076.3133796022285
10pp_L,3270.4373479968067
11l_L,3345.793963366689
13l_L,3574.0174876111987
OFC_L,3919.3749254427876
47s_L,3371.5771564072334
LIPd_L,3355.199441550063
6a_L,3336.3193454746747
i6-8_L,3388.801031591757
s6-8_L,3265.3822948912957
43_L,3439.5324822626876
OP4_L,3534.5637882660217
OP1_L,3687.3180442034154
OP2-3_L,3687.9637111703014
52_L,3256.9994566316627
RI_L,3453.632563745459
PFcm_L,3530.393464828632
PoI2_L,3305.9201710216794
TA2_L,3376.9733454022876
FOP4_L,3518.871451183603
MI_L,3216.291593383234
Pir_L,3618.437626120061
AVI_L,3357.9816850805696
AAIC_L,3287.7055261478467
FOP1_L,3599.3903404567063
FOP3_L,3428.544943556564
FOP2_L,3630.160330735009
PFt_L,3322.6682781998634
AIP_L,3392.3000256930563
EC_L,3747.7562789589
PreS_L,3617.145198615362
H_L,3373.1761826640313
ProS_L,3766.6850145011626
PeEc_L,3587.2872016433516
STGa_L,3144.872962597845
PBelt_L,3344.945264658195
A5_L,3380.2619048991146
PHA1_L,3681.3924222432142
PHA3_L,3602.763493522018
STSda_L,3248.9054140458456
STSdp_L,3405.420751437168
STSvp_L,3269.9239654176404
TGd_L,3327.5581301229554
TE1a_L,3211.494866520922
TE1p_L,3375.3042046247447
TE2a_L,3404.820072224786
TF_L,3710.084645448773
TE2p_L,3638.2913401341243
PHT_L,3385.958282381038
PH_L,3511.0338746103575
TPOJ1_L,3464.939316346987
TPOJ2_L,3414.7329008643396
TPOJ3_L,3404.5394946066804
DVT_L,3578.471743724584
PGp_L,3429.2269057979784
IP2_L,3347.561402902615
IP1_L,3398.7312915878147
IP0_L,3459.8458749954243
PFop_L,3338.609329437327
PF_L,3379.8724079072226
PFm_L,3370.853850499368
PGi_L,3397.366877249945
PGs_L,3408.298240717977
V6A_L,3474.1361493583054
VMV1_L,3826.82025519175
VMV3_L,3723.13796101617
PHA2_L,3583.344653697266
V4t_L,3522.2201592218053
FST_L,3464.123153005648
V3CD_L,3478.668615011692
LO3_L,3469.88445688194
VMV2_L,3705.876766301488
31pd_L,3553.015848875498
31a_L,3520.9467452304225
VVC_L,3758.356677697959
25_L,3803.4240231349854
s32_L,3626.572173854971
pOFC_L,3710.3805161096175
PoI1_L,3321.50879411138
Ig_L,3479.902404668443
FOP5_L,3583.6416219207626
p10p_L,3083.620906382226
p47r_L,3122.7848832028767
TGv_L,3597.8380557889245
MBelt_L,3516.7976223616906
LBelt_L,3382.0876932215965
A4_L,3333.824759605179
STSva_L,3167.1573842033026
TE1m_L,3291.8873001007364
PI_L,3260.6280242819857
a32pr_L,3486.841959222534
p24_L,3364.0271765709804
V1_R,3495.289564329132
MST_R,3514.6453881782013
V6_R,3243.885240566603
V2_R,3522.5533262929584
V3_R,3559.9249104853625
