region,thick
V1_L,2.006021131578948
MST_L,2.5537720131578947
V6_L,2.2172719605263156
V2_L,2.1293635868421052
V3_L,2.2776195868421056
V4_L,2.37614995
V8_L,2.668189726315789
4_L,2.798564384210526
3b_L,1.7877999499999997
FEF_L,2.616209389473684
PEF_L,2.6397243105263155
55b_L,2.775626765789474
V3A_L,2.2540485605263156
RSC_L,2.306814318421053
POS2_L,2.4444700868421045
V7_L,2.3491007736842104
IPS1_L,2.3446455236842105
FFC_L,2.841393718421053
V3B_L,2.3541021184210527
LO1_L,2.379714963157894
LO2_L,2.627528757894737
PIT_L,2.66627822631579
MT_L,2.5764611526315786
A1_L,2.6193526473684208
PSL_L,2.7258735710526314
SFL_L,2.9938399184210525
PCV_L,2.6514619578947367
STV_L,2.8214919210526315
7Pm_L,2.427981771052632
7m_L,2.716906039473684
POS1_L,2.793566392105263
23d_L,3.0117262131578952
v23ab_L,2.997959984210526
d23ab_L,3.2381444394736842
31pv_L,2.7231980763157897
5m_L,2.341473247368421
5mv_L,2.292995444736842
23c_L,2.572464107894737
5L_L,2.215662628947369
24dd_L,2.817434852631579
24dv_L,2.8084530763157893
7AL_L,2.2914329157894735
SCEF_L,2.9536605131578946
6ma_L,2.755038118421053
7Am_L,2.357418789473684
7Pl_L,2.326235815789474
7PC_L,2.360893981578948
LIPv_L,2.260372055263158
VIP_L,2.3017602026315784
MIP_L,2.362095092105263
1_L,2.329458842105263
2_L,2.2603911526315783
3a_L,2.0213503105263158
6d_L,2.78632837631579
6mp_L,2.7006588210526314
6v_L,3.0125816157894736
p24pr_L,2.8686221657894735
33pr_L,2.3742167894736843
a24pr_L,2.938867713157895
p32pr_L,3.006947281578948
a24_L,3.2192856710526314
d32_L,3.114461863157895
8BM_L,3.104655010526316
p32_L,2.8132690973684205
10r_L,2.6455584473684213
47m_L,2.728714447368421
8Av_L,2.76615335
8Ad_L,2.6970517868421044
9m_L,2.9212691394736847
8BL_L,2.9454924736842103
9p_L,2.6042398315789477
10d_L,2.5644586947368415
8C_L,2.666232944736842
44_L,2.770494928947368
45_L,2.6045268026315793
47l_L,2.7619718605263164
a47r_L,2.736514105263158
6r_L,2.765718518421052
IFJa_L,2.6293728315789466
IFJp_L,2.7178923684210523
IFSp_L,2.5484538684210527
IFSa_L,2.5249832763157896
p9-46v_L,2.556409884210526
46_L,2.6092124184210532
a9-46v_L,2.5132587078947366
9-46d_L,2.542100255263158
9a_L,2.431214402631579
10v_L,2.790919194736842
a10p_L,2.5077625921052626
10pp_L,2.6402128421052633
11l_L,2.817172371052632
13l_L,2.864226705263158
OFC_L,2.3928792105263157
47s_L,3.061276407894736
LIPd_L,2.3862055473684207
6a_L,2.653363760526316
i6-8_L,2.7375395684210533
s6-8_L,2.7988920184210535
43_L,2.79684757631579
OP4_L,2.8324910684210525
OP1_L,2.880897302631579
OP2-3_L,2.5992487421052637
52_L,2.478098128947369
RI_L,2.4873932605263165
PFcm_L,2.7418093657894738
PoI2_L,3.375343492105263
TA2_L,2.951691521052632
FOP4_L,2.9257348736842106
MI_L,3.281815731578948
Pir_L,3.2109914868421057
AVI_L,3.0356686552631578
AAIC_L,3.593409936842106
FOP1_L,2.9104504947368417
FOP3_L,2.700094536842105
FOP2_L,2.731756489473684
PFt_L,2.594833976315789
AIP_L,2.4264089368421056
EC_L,2.9164357447368428
PreS_L,2.0706869921052635
H_L,2.627355965789474
ProS_L,2.3157743789473684
PeEc_L,3.351632210526316
STGa_L,3.2009273842105266
PBelt_L,2.6688924184210534
A5_L,3.038073478947369
PHA1_L,2.9693976842105267
PHA3_L,2.8682983684210526
STSda_L,2.8461672
STSdp_L,2.715068228947368
STSvp_L,2.7872459710526316
TGd_L,3.324783163157895
TE1a_L,3.1889447368421053
TE1p_L,2.969650510526316
TE2a_L,2.9468177
TF_L,2.991589281578948
TE2p_L,2.881844892105263
PHT_L,2.841583902631579
PH_L,2.7322379842105264
TPOJ1_L,2.761481463157895
TPOJ2_L,2.6533281578947365
TPOJ3_L,2.518213878947368
DVT_L,2.3889102578947368
PGp_L,2.6361897868421056
IP2_L,2.4855081052631576
IP1_L,2.4579469815789468
IP0_L,2.4768106447368416
PFop_L,2.8009854763157893
PF_L,2.7254090473684207
PFm_L,2.669384513157895
PGi_L,2.6927244289473684
PGs_L,2.6481510368421053
V6A_L,2.3261448500000004
VMV1_L,2.577516673684211
VMV3_L,2.6542979710526318
PHA2_L,2.568483657894737
V4t_L,2.615943394736842
FST_L,2.6002044052631583
V3CD_L,2.4716944710526314
LO3_L,2.481735144736842
VMV2_L,2.434656105263158
31pd_L,2.574233247368421
31a_L,2.923173471052632
VVC_L,3.067034394736843
25_L,3.054319228947368
s32_L,2.8968082578947367
pOFC_L,2.8461374236842105
PoI1_L,3.1373510289473683
Ig_L,2.7893574947368425
FOP5_L,2.718552126315789
p10p_L,2.3915485447368416
p47r_L,2.5339203210526318
TGv_L,3.2540557815789475
MBelt_L,2.585043071052632
LBelt_L,2.6199950736842106
A4_L,2.9175251842105268
STSva_L,2.801486463157895
TE1m_L,3.002054394736842
PI_L,2.624538394736842
a32pr_L,3.1278157210526314
p24_L,3.2486508394736844
V1_R,2.020328292105263
MST_R,2.5504606868421056
V6_R,2.2170119315789476
V2_R,2.1175408789473678
V3_R,2.2895319526315787
V4_R,2.3911151131578947
V8_R,2.664068755263158
4_R,2.782804244736843
3b_R,1.7908545105263158
FEF_R,2.6793298131578944
PEF_R,2.6561606263157893
55b_R,2.7800040368421057
V3A_R,2.2725879526315786
RSC_R,2.294478878947368
POS2_R,2.472740639473685
V7_R,2.404647031578947
IPS1_R,2.372382228947368
FFC_R,2.9127362815789475
V3B_R,2.401488305263158
LO1_R,2.4607062026315787
LO2_R,2.676433952631579
PIT_R,2.706767131578948
MT_R,2.568920902631579
A1_R,2.714642731578947
PSL_R,2.9556703078947373
SFL_R,3.039540481578947
PCV_R,2.6540257552631576
STV_R,2.832130392105263
7Pm_R,2.5082159263157893
7m_R,2.820030086842105
POS1_R,2.876832702631578
23d_R,3.0810865184210527
v23ab_R,3.0718791973684207
d23ab_R,3.1572124631578946
31pv_R,2.7682514789473687
5m_R,2.3825287394736847
5mv_R,2.360073971052631
23c_R,2.6363838394736843
5L_R,2.2837253026315794
24dd_R,2.865431839473685
24dv_R,2.80871062631579
7AL_R,2.3091379236842107
SCEF_R,2.9535648999999995
6ma_R,2.76773662368421
7Am_R,2.412385528947368
7Pl_R,2.3647541657894737
7PC_R,2.3974894210526316
LIPv_R,2.3141627710526316
VIP_R,2.403751513157894
MIP_R,2.4336366999999997
1_R,2.337023534210526
2_R,2.282399107894737
3a_R,2.017959468421053
6d_R,2.7992645763157897
6mp_R,2.712236352631579
6v_R,3.015181592105263
p24pr_R,2.9780848815789476
33pr_R,2.3312518421052633
a24pr_R,3.095836621052632
p32pr_R,2.918538831578947
a24_R,3.2536017289473684
d32_R,3.106672486842105
8BM_R,3.1543098578947366
p32_R,2.834782234210526
10r_R,2.630335452631579
47m_R,2.702209965789474
8Av_R,2.752985060526316
8Ad_R,2.6804413789473682
9m_R,2.954704457894737
8BL_R,2.9018140342105263
9p_R,2.548252868421052
10d_R,2.6266550000000004
8C_R,2.642508186842105
44_R,2.8158359868421052
45_R,2.737222363157895
47l_R,2.796505973684211
a47r_R,2.7118460894736844
6r_R,2.8149815026315794
IFJa_R,2.5968824526315792
IFJp_R,2.687774939473684
IFSp_R,2.50019537631579
IFSa_R,2.564888697368421
p9-46v_R,2.5423427105263157
46_R,2.6193129815789473
a9-46v_R,2.54847415
9-46d_R,2.5011663263157895
9a_R,2.4184022447368423
10v_R,2.8621482499999997
a10p_R,2.5713438263157893
10pp_R,2.740595481578947
11l_R,2.7818633131578943
13l_R,2.8644571394736844
OFC_R,2.442287621052632
47s_R,3.1652989236842104
LIPd_R,2.4302098763157898
6a_R,2.6464431552631584
i6-8_R,2.7602859657894743
s6-8_R,2.846992039473684
43_R,2.826480857894737
OP4_R,2.839851868421052
OP1_R,2.9302714421052634
OP2-3_R,2.617177910526316
52_R,2.4693128973684204
RI_R,2.480796860526316
PFcm_R,2.778217502631579
PoI2_R,3.201070194736842
TA2_R,2.973020778947369
FOP4_R,2.945104521052631
MI_R,3.3445646657894734
Pir_R,2.8351710210526315
AVI_R,3.0607210447368423
AAIC_R,3.539904386842105
FOP1_R,2.9181623210526313
FOP3_R,2.754314197368421
FOP2_R,2.730841036842105
PFt_R,2.582645871052632
AIP_R,2.4331052447368418
EC_R,2.8896600815789473
PreS_R,2.032059084210527
H_R,2.7344528473684213
ProS_R,2.2507571736842102
PeEc_R,3.356620378947368
STGa_R,3.2608102605263163
PBelt_R,2.787731568421053
A5_R,3.0833833105263158
PHA1_R,3.0091014789473682
PHA3_R,2.713512842105263
STSda_R,2.8782249263157893
STSdp_R,2.7819931578947377
STSvp_R,2.992892589473685
TGd_R,3.3646067763157896
TE1a_R,3.2387714052631584
TE1p_R,3.038016126315789
TE2a_R,3.0219818473684215
TF_R,2.9444288236842104
TE2p_R,2.8339239526315794
PHT_R,2.9242565289473683
PH_R,2.803100647368421
TPOJ1_R,2.7977567052631582
TPOJ2_R,2.6808484289473684
TPOJ3_R,2.579772844736842
DVT_R,2.371641589473684
PGp_R,2.7175067815789475
