region,myl_retest_cov
V1_L,1.304290867396188
MST_L,1.4717903652390796
V6_L,1.2884570465454972
V2_L,1.3114636493516059
V3_L,1.2754133323971981
V4_L,1.4774276000404132
V8_L,1.597135825175845
4_L,1.4739839102413457
3b_L,1.7435969254684256
FEF_L,1.7144042648754372
PEF_L,1.554321639758497
55b_L,1.603640028832478
V3A_L,1.3629928859060927
RSC_L,1.630841114652375
POS2_L,1.3743973074618407
V7_L,1.4713854032138867
IPS1_L,1.4347096551894374
FFC_L,1.5542531897665595
V3B_L,1.6392583798810603
LO1_L,1.373651895636962
LO2_L,1.372353243153498
PIT_L,1.3334935852058913
MT_L,1.5373813927163766
A1_L,1.9938387384848117
PSL_L,1.4798722244171374
SFL_L,2.041832475533748
PCV_L,1.4036018949192748
STV_L,1.3953002660108527
7Pm_L,1.4289166781609397
7m_L,1.4159543225881996
POS1_L,1.4495669334145873
23d_L,1.5821332840743212
v23ab_L,1.4997849086031287
d23ab_L,1.5015500763676075
31pv_L,1.4846656978988053
5m_L,1.7958914833542177
5mv_L,1.4292006710959642
23c_L,1.4975639644702083
5L_L,1.5216055525822645
24dd_L,1.5947470210820804
24dv_L,1.6366210849128333
7AL_L,1.6263382543114226
SCEF_L,1.729470268819407
6ma_L,1.9701488056525935
7Am_L,1.5484920041646377
7Pl_L,1.6088759809036797
7PC_L,1.6056713805668477
LIPv_L,1.6186818994848462
VIP_L,1.565157361793786
MIP_L,1.4662540332567535
1_L,1.4392866826016566
2_L,1.4211529969244925
3a_L,1.4583922768656945
6d_L,1.573041105708906
6mp_L,1.6680008936057418
6v_L,1.3963303199831834
p24pr_L,1.7443647044887434
33pr_L,1.7475643679681665
a24pr_L,1.8592352749221668
p32pr_L,1.8702050781474422
a24_L,2.4291312616945673
d32_L,2.179752917409625
8BM_L,2.029232874356227
p32_L,2.7320551382670812
10r_L,3.0494959801610264
47m_L,2.341828205327803
8Av_L,1.7960057240350749
8Ad_L,2.065070148919597
9m_L,2.593058936404503
8BL_L,2.237997309682093
9p_L,2.310367108296265
10d_L,3.001105631582059
8C_L,1.7285090205955742
44_L,1.5673041887687824
45_L,1.9250426401934682
47l_L,2.1732596090056058
a47r_L,2.4601178397315935
6r_L,1.629663965926763
IFJa_L,1.764927306244843
IFJp_L,1.565680858900081
IFSp_L,1.7043064423987124
IFSa_L,1.8364049244437526
p9-46v_L,1.8042954092391557
46_L,1.930345739489334
a9-46v_L,2.3090517747299186
9-46d_L,2.2720737259777675
9a_L,2.634168289616536
10v_L,3.274708508689786
a10p_L,2.847784226010772
10pp_L,3.435562251553945
11l_L,2.7287476437472846
13l_L,2.57680294990792
OFC_L,3.4147432274441334
47s_L,2.3267538271869013
LIPd_L,1.615457201644999
6a_L,1.687748734191808
i6-8_L,1.9166892633879815
s6-8_L,1.9566780557710244
43_L,1.4881728785251427
OP4_L,1.4184952607619221
OP1_L,1.5263953762281717
OP2-3_L,1.4603009430565197
52_L,1.8924295770123227
RI_L,1.509465707244807
PFcm_L,1.5128936491995775
PoI2_L,1.7217511047032201
TA2_L,2.13287681694393
FOP4_L,1.7297785841924054
MI_L,1.6923297048672594
Pir_L,2.4599274275939123
AVI_L,1.9661235349111381
AAIC_L,2.2208352539979015
FOP1_L,1.7343774027285732
FOP3_L,1.9251009575150086
FOP2_L,1.6727428995726261
PFt_L,1.3426981452301274
AIP_L,1.4054559394278565
EC_L,2.31268491161667
PreS_L,3.2590376809371686
H_L,2.9209218820669847
ProS_L,1.684988675457734
PeEc_L,1.8827447567109319
STGa_L,1.8153440159376546
PBelt_L,1.640980129847049
A5_L,1.5429947864330342
PHA1_L,2.1281942338113278
PHA3_L,2.058356723490639
STSda_L,1.4916061163798178
STSdp_L,1.377594728077545
STSvp_L,1.4555892609406995
TGd_L,2.2473291053452433
TE1a_L,1.5817127157378024
TE1p_L,1.5922045466216233
TE2a_L,1.82439357823145
TF_L,1.9617323825273494
TE2p_L,1.6116534533445377
PHT_L,1.3938950805669048
PH_L,1.496762071024973
TPOJ1_L,1.4245245420693824
TPOJ2_L,1.3395776994425073
TPOJ3_L,1.4376282315872309
DVT_L,1.4198524161147867
PGp_L,1.3320376736608026
IP2_L,1.4341856882112871
IP1_L,1.4500317799087103
IP0_L,1.5136552509796821
PFop_L,1.3779237362726695
PF_L,1.2502183813657932
PFm_L,1.3014070765276191
PGi_L,1.2750999522592694
PGs_L,1.3420758490231275
V6A_L,1.4006932298683807
VMV1_L,1.702300060048717
VMV3_L,1.7526917117530596
PHA2_L,1.951277892744193
V4t_L,1.4899824283039316
FST_L,1.4925779685293987
V3CD_L,1.4308424855545299
LO3_L,1.3230452359560025
VMV2_L,1.715917600305194
31pd_L,1.342443254791133
31a_L,1.429729601732336
VVC_L,1.8961562553697007
25_L,3.0204398995817967
s32_L,2.7706752370469245
pOFC_L,8.263455268506652
PoI1_L,1.5925260772340317
Ig_L,1.6950079134257452
