region,qiv_retest_cov
V1_L,1.2548022445435902
MST_L,1.304887775709198
V6_L,1.549101405645518
V2_L,1.2337701309135505
V3_L,1.1995590295056149
V4_L,1.189898325682493
V8_L,1.2344147236821228
4_L,1.2132327158246647
3b_L,1.6163869188411288
FEF_L,1.4805107761890934
PEF_L,1.2037003169174605
55b_L,1.5227831290521778
V3A_L,1.4544380787813762
RSC_L,1.7345038687175411
POS2_L,1.574423572206848
V7_L,1.8992461692169105
IPS1_L,1.818009618146891
FFC_L,1.7878753472344109
V3B_L,1.5456783117346415
LO1_L,1.3875808873985336
LO2_L,1.5034942849028012
PIT_L,1.6055622788629271
MT_L,1.6300745785850987
A1_L,1.3027541484896707
PSL_L,1.2403870257079803
SFL_L,1.566423818792985
PCV_L,1.7515908240659048
STV_L,1.319399482091565
7Pm_L,1.899385026981695
7m_L,1.7363348731675925
POS1_L,1.6005902014783358
23d_L,1.814355566698447
v23ab_L,1.6876389680814654
d23ab_L,1.7629539642136067
31pv_L,1.9163761838533384
5m_L,1.7398604379503282
5mv_L,2.1096643644495248
23c_L,1.855284797323504
5L_L,1.831121853139428
24dd_L,1.8568827403539367
24dv_L,1.6951229273254182
7AL_L,1.6212912034056135
SCEF_L,1.5275720397859338
6ma_L,1.6517636913620453
7Am_L,1.7709361222452664
7Pl_L,1.7666820311229603
7PC_L,2.1924937225457537
LIPv_L,2.019274508399245
VIP_L,1.6020722275617394
MIP_L,1.911525620136139
1_L,1.3593520090932063
2_L,1.3797028475607338
3a_L,1.5698426985409912
6d_L,1.5526633719645628
6mp_L,1.619716278664423
6v_L,1.5597697834724038
p24pr_L,1.6643091553661036
33pr_L,1.8328264276810489
a24pr_L,1.351273582190153
p32pr_L,1.4862326352620203
a24_L,1.689001650752113
d32_L,1.4260525013699024
8BM_L,1.5254804621029314
p32_L,1.6142737829469271
10r_L,1.7047536644638446
47m_L,1.8677721161337693
8Av_L,1.4517276207720908
8Ad_L,1.2605008809235625
9m_L,1.3449504765476528
8BL_L,1.1457813686602398
9p_L,1.209772475345884
10d_L,1.2220675465647832
8C_L,1.2776742256035245
44_L,1.266945967644978
45_L,1.1886449943429764
47l_L,1.438459306700541
a47r_L,1.522055331726203
6r_L,1.1005259302552235
IFJa_L,1.4589279594822873
IFJp_L,1.1914015913197809
IFSp_L,1.3388877786749689
IFSa_L,1.2894299485894507
p9-46v_L,1.1405370433884776
46_L,1.091673077954411
a9-46v_L,1.3560399774795444
9-46d_L,1.116000013388711
9a_L,1.0266929516275702
10v_L,1.7090010825738684
a10p_L,1.4512355143237292
10pp_L,1.6898914073077804
11l_L,1.6357443928490991
13l_L,1.967647358685725
OFC_L,1.6911054220907251
47s_L,1.80405368460746
LIPd_L,1.598841787073628
6a_L,1.7245964588179703
i6-8_L,1.6809144996722991
s6-8_L,1.3955489143594613
43_L,1.1972276884845237
OP4_L,1.0178117714632653
OP1_L,1.2505821114683804
OP2-3_L,1.3876219607852978
52_L,1.5292103721498216
RI_L,1.5799470737336
PFcm_L,1.2147643475961238
PoI2_L,1.1932385598001087
TA2_L,1.3585094700300293
FOP4_L,1.492384252862865
MI_L,1.344330924692347
Pir_L,2.1270046853832563
AVI_L,1.3446759972254698
AAIC_L,1.6809212397172184
FOP1_L,1.5437490875556823
FOP3_L,1.5569252795461672
FOP2_L,1.3847458152027563
PFt_L,1.5128263476575987
AIP_L,1.962879414510648
EC_L,2.2099320247727685
PreS_L,1.7831266057873345
H_L,1.3299058255098573
ProS_L,1.740655585013805
PeEc_L,1.974549161241633
STGa_L,1.636580557619548
PBelt_L,1.471898214884716
A5_L,1.3621707673764265
PHA1_L,1.7560108628316615
PHA3_L,1.7313016819668186
STSda_L,1.6116188528711477
STSdp_L,1.483894917908572
STSvp_L,1.2386846494720405
TGd_L,1.5947681786231294
TE1a_L,1.3927232883880172
TE1p_L,1.2629451846525743
TE2a_L,1.806258124816707
TF_L,1.7330640215530662
TE2p_L,1.3442026277184895
PHT_L,1.3959243055440798
PH_L,1.441247289961073
TPOJ1_L,1.2317604617979383
TPOJ2_L,1.2483292140964484
TPOJ3_L,1.4490595159384865
DVT_L,1.513781305017663
PGp_L,1.583686352111214
IP2_L,1.7974605925060865
IP1_L,1.895331064449836
IP0_L,1.9899945594164457
PFop_L,1.4310915831620552
PF_L,1.5402202401339775
PFm_L,1.9155889262322163
PGi_L,1.4570670398775756
PGs_L,1.7836477836972824
V6A_L,1.3835052789158269
VMV1_L,1.8602776250722648
VMV3_L,1.4390393978817866
PHA2_L,1.8171025568055337
V4t_L,1.5249645270508738
FST_L,1.3069575023908095
V3CD_L,1.311912448342868
LO3_L,1.5914070358438277
VMV2_L,1.3050476003656106
31pd_L,1.6932352984726775
31a_L,2.277945338207526
VVC_L,1.6074970422132022
25_L,1.8321127563263624
s32_L,2.019000096985678
pOFC_L,2.39090302883148
PoI1_L,1.664321912681175
Ig_L,1.2802134819322075
FOP5_L,1.3788626499333645
p10p_L,1.3980691356777577
p47r_L,1.2784152925594756
TGv_L,1.8781416432051263
MBelt_L,1.5857511779418667
LBelt_L,1.482556232838075
A4_L,1.311170093484589
STSva_L,1.5412341303113044
TE1m_L,1.6279773919435672
PI_L,1.4350015813747197
a32pr_L,1.464674842462817
p24_L,1.5657168434907072
V1_R,1.1868681968364534
MST_R,1.4891075986737528
V6_R,1.497804436123768
V2_R,1.2114699638448867
V3_R,1.253413425471394
V4_R,1.2627719030454672
V8_R,1.548576261186711
4_R,1.2823282663895186
3b_R,1.3032430963756263
FEF_R,1.3636086276617154
PEF_R,1.3688862183081465
55b_R,1.3532368132493255
V3A_R,1.4048599649981868
RSC_R,1.593968522996969
POS2_R,1.5317041135109537
V7_R,1.7418535877199623
IPS1_R,1.739996039094747
