region,rtop_retest_cov
V1_L,1.208813732061851
MST_L,1.538305373848715
V6_L,1.4702821274079882
V2_L,1.2028425591138048
V3_L,1.0825613776698004
V4_L,1.0906169235788747
V8_L,1.9241138032576484
4_L,1.4698977252944123
3b_L,1.789637649792594
FEF_L,1.2811797543956702
PEF_L,2.119622188993894
55b_L,1.5697730523610824
V3A_L,1.3612097325153312
RSC_L,2.0897006337739903
POS2_L,1.7447450524868444
V7_L,1.6840087752318784
IPS1_L,1.5976535988438345
FFC_L,2.070699750746158
V3B_L,1.291798301372664
LO1_L,1.603348614356407
LO2_L,1.7728795999248093
PIT_L,1.6506048061221228
MT_L,1.4704943574527414
A1_L,2.175652106925229
PSL_L,1.7602068196690075
SFL_L,1.5098338594549907
PCV_L,2.032331070696918
STV_L,1.8937453488612084
7Pm_L,1.9571217114445056
7m_L,1.7158362412071766
POS1_L,2.039461653093626
23d_L,2.6831286690387346
v23ab_L,1.945129090548467
d23ab_L,1.948912632954038
31pv_L,1.692129971201049
5m_L,1.9737535751593096
5mv_L,2.252642403216311
23c_L,1.7800570849679898
5L_L,1.9854698403063409
24dd_L,1.441501150142647
24dv_L,1.9693390106531845
7AL_L,1.899780187053504
SCEF_L,1.4019645931350389
6ma_L,1.8827467457091605
7Am_L,2.030969956736427
7Pl_L,1.6358248271530678
7PC_L,2.340998953054926
LIPv_L,2.041321441196679
VIP_L,1.9878116442067864
MIP_L,2.0095637079906226
1_L,1.6796007978059797
2_L,1.226059559722969
3a_L,1.6022698223399037
6d_L,2.0968837422971007
6mp_L,1.5607959935947062
6v_L,2.436966866291705
p24pr_L,2.27902437607048
33pr_L,2.990052078899359
a24pr_L,2.714737206564528
p32pr_L,2.140371391538911
a24_L,2.6304433688417173
d32_L,2.6252795657259225
8BM_L,1.6588389622563724
p32_L,2.853403358569753
10r_L,2.411503514734815
47m_L,2.1193164286446238
8Av_L,1.3743606643908353
8Ad_L,2.066720205300196
9m_L,2.390731947189409
8BL_L,1.8471496107813343
9p_L,2.428949552092524
10d_L,2.609832043472333
8C_L,1.9723484103784703
44_L,2.0294341441787056
45_L,1.741101654922016
47l_L,1.6799762742312163
a47r_L,1.9763395177276089
6r_L,1.635503314900633
IFJa_L,2.463568626928918
IFJp_L,2.6949807333057705
IFSp_L,2.0689149753099074
