,V1
V1_L,0.990985443174079
MST_L,0.145215084725591
V6_L,0.899594529571293
V2_L,0.0001918325762327
V3_L,0.928715343752249
V4_L,0.992273907011585
V8_L,0.841099081724221
_4_L,0.977566363776376
_3b_L,0.885768374971039
FEF_L,0.100216591152267
PEF_L,0.630884201957555
_55b_L,0.994452001355644
V3A_L,0.429116305437239
RSC_L,0.530778995822271
POS2_L,0.974013545210321
V7_L,0.996500470176772
IPS1_L,0.080751440185633
FFC_L,0.0257225383830432
V3B_L,0.0853674841988091
LO1_L,0.852075045472332
LO2_L,0.975823081799391
PIT_L,0.74924356111366
MT_L,0.824134099187349
A1_L,0.925425222053403
PSL_L,0.488191186303801
SFL_L,0.790863547897181
PCV_L,0.123505570436441
STV_L,0.0062788052560562
_7Pm_L,0.498280515747672
_7m_L,0.496557689092476
POS1_L,0.459786819840854
_23d_L,0.94559738052779
v23ab_L,0.998004398260911
d23ab_L,0.160360402689339
_31pv_L,0.417376972718034
_5m_L,0.194591561585545
_5mv_L,0.87618178031995
_23c_L,0.998060834662251
_5L_L,0.774813566282012
_24dd_L,0.936173805302355
_24dv_L,0.99997943380123
_7AL_L,0.785071922632588
SCEF_L,0.940770103106665
_6ma_L,0.419276962941966
_7Am_L,0.988197844224745
_7Pl_L,0.502898087482086
_7PC_L,0.0910348721373812
LIPv_L,0.0353080498384986
VIP_L,0.670704576867154
MIP_L,0.726582392487238
_1_L,0.368934496898294
_2_L,0.0054297720845359
_3a_L,0.998697009916484
_6d_L,0.441360552738414
_6mp_L,0.903309601680502
_6v_L,0.967785907773267
p24pr_L,0.95841753137512
_33pr_L,0.927988976693893
a24pr_L,0.949110725756497
p32pr_L,0.859382289796851
a24_L,0.848172138935489
d32_L,0.649910746448231
_8BM_L,0.0385133298593841
p32_L,0.132820637602917
_10r_L,0.811413240766408
_47m_L,0.0468266182793071
_8Av_L,0.110245973629845
_8Ad_L,0.502147720313389
_9m_L,0.520251079556474
_8BL_L,0.919017797404676
_9p_L,0.637888811596368
_10d_L,0.148553231327289
_8C_L,0.345492481166738
_44_L,0.994399991132818
_45_L,0.792952434235098
_47l_L,0.872966691643527
a47r_L,0.796168650108744
_6r_L,0.423396827207235
IFJa_L,0.870648247000852
IFJp_L,0.690069281194013
IFSp_L,0.878356714228179
IFSa_L,0.721109665786917
p9Y46v_L,0.520897645776565
_46_L,0.377582788363322
a9Y46v_L,0.6821064588459
_9Y46d_L,0.0368415357573237
_9a_L,0.960672037250737
_10v_L,0.800845704059674
a10p_L,0.911983674386092
_10pp_L,0.107220709571109
_11l_L,0.44700313004696
_13l_L,0.87090905752504
OFC_L,0.926051900930293
_47s_L,0.207021749372466
LIPd_L,0.995839872747198
_6a_L,0.762557860660166
i6Y8_L,0.667134245658605
s6Y8_L,0.912683337404016
_43_L,0.981468843282025
OP4_L,0.0289525143168278
OP1_L,0.998996845583952
OP2Y3_L,0.12132661947478
