,V1
V1_L,0.988522448195661
MST_L,0.284729913389212
V6_L,0.585223103346981
V2_L,0.991667704973948
V3_L,0.840759280323548
V4_L,0.987405457141666
V8_L,0.0686799754711841
_4_L,0.285227510823392
_3b_L,0.999693814583369
FEF_L,0.944733028265594
PEF_L,0.150941088844071
_55b_L,0.913852196373796
V3A_L,0.592558399753587
RSC_L,0.849878365276924
POS2_L,0.989609250164374
V7_L,0.828437852358043
IPS1_L,0.914359055000531
FFC_L,0.842238041125328
V3B_L,0.703639148505871
LO1_L,0.243816911256889
LO2_L,0.934247741270832
PIT_L,0.356258071009643
MT_L,0.518089122055093
A1_L,0.948070043573661
PSL_L,0.233106444644305
SFL_L,0.881714158592261
PCV_L,0.898763330551678
STV_L,0.961052396828464
_7Pm_L,0.948078487748304
_7m_L,0.748700153220333
POS1_L,0.758256831105757
_23d_L,0.377984275612716
v23ab_L,0.0063649829210022
d23ab_L,0.503922925702061
_31pv_L,0.955040199033222
_5m_L,0.968011789949822
_5mv_L,0.810377570063018
_23c_L,0.981059209207371
_5L_L,0.995438984486043
_24dd_L,0.905824425610163
_24dv_L,0.918019651551416
_7AL_L,0.879172255209788
SCEF_L,0.331732214185735
_6ma_L,0.951345169324576
_7Am_L,0.908110111996126
_7Pl_L,0.988225332881662
_7PC_L,0.911894721153583
LIPv_L,0.542807447580738
VIP_L,0.935167659879354
MIP_L,0.802552152417568
_1_L,0.984239698006123
_2_L,0.956966569198303
_3a_L,0.991116901682514
_6d_L,0.695110853466891
_6mp_L,0.905684810998178
_6v_L,0.104526182586816
p24pr_L,0.628919887432526
_33pr_L,0.905706713465793
a24pr_L,0.766102388778433
p32pr_L,0.585022866276356
a24_L,0.865377126744191
d32_L,0.0566511745229587
_8BM_L,0.483626823412954
p32_L,0.958721490802134
_10r_L,0.997743286577826
_47m_L,0.991675672337181
_8Av_L,0.997535539849749
_8Ad_L,0.926479138953477
_9m_L,0.946380810790718
_8BL_L,0.968281861028708
_9p_L,0.677406554790366
_10d_L,0.596783862560963
_8C_L,0.243702034977201
_44_L,0.613421164362886
_45_L,0.47885861332322
_47l_L,0.873853540133135
a47r_L,0.993755530586325
_6r_L,0.987932226042194
IFJa_L,0.548072525043776
IFJp_L,0.0613195294049092
IFSp_L,0.855977093823348
IFSa_L,0.944044503478912
p9Y46v_L,0.850502268201684
_46_L,0.616285596536378
a9Y46v_L,0.396600326378704
_9Y46d_L,0.437416838704609
_9a_L,0.894423265994177
_10v_L,0.0014099201411352
a10p_L,0.768888480706532
_10pp_L,0.964197294188638
_11l_L,0.608413528629946
_13l_L,0.209897574898335
OFC_L,0.394835699775294
_47s_L,0.83940066316234
LIPd_L,0.0446093602181473
_6a_L,0.229547746057192
i6Y8_L,0.489252572384991
