,V1
V1_L,0.0016464542189178
MST_L,0.997314523114457
V6_L,0.0142460287516105
V2_L,0.342359447399433
V3_L,0.267584422005993
V4_L,0.0033235466919864
V8_L,0.733753528382214
_4_L,0.993052378067441
_3b_L,0.0951914641722863
FEF_L,0.433494252583077
PEF_L,0.795263199260859
_55b_L,0.992231901109465
V3A_L,0.856531942649742
RSC_L,0.156847161187815
POS2_L,0.207741196683431
V7_L,0.971774766496511
IPS1_L,0.298931887179229
FFC_L,0.737451491219879
V3B_L,0.830684542469435
LO1_L,0.952575190593751
LO2_L,0.588284063675802
PIT_L,0.0289664916897129
MT_L,0.82906243738388
A1_L,0.161133202946091
PSL_L,0.0307521022268148
SFL_L,0.97899117007934
PCV_L,0.528125601172821
STV_L,0.806122327807399
_7Pm_L,0.0202504286505917
_7m_L,0.231925716859477
POS1_L,0.561507005659683
_23d_L,0.0158404652572593
v23ab_L,0.616784735414839
d23ab_L,0.0289328912439003
_31pv_L,0.283290473703243
_5m_L,0.120460269845309
_5mv_L,0.881725300681903
_23c_L,0.315541953622006
_5L_L,0.717931295642447
_24dd_L,0.680584773593773
_24dv_L,0.0513974301423547
_7AL_L,0.88423264701405
SCEF_L,0.0029220292672872
_6ma_L,0.0307257327192672
_7Am_L,0.0380399703218475
_7Pl_L,0.723678290693488
_7PC_L,0.96812841126754
LIPv_L,0.0962348720579669
VIP_L,0.351668772386521
MIP_L,0.881525065153804
_1_L,0.181007754450425
_2_L,0.0056947086444296
_3a_L,0.659541521592546
_6d_L,0.994886949214246
_6mp_L,0.764747629321195
_6v_L,0.192377491192193
p24pr_L,0.165401222061809
_33pr_L,0.983668704769177
a24pr_L,0.0757479755139487
p32pr_L,0.913484100809891
a24_L,0.389852847777835
d32_L,0.42463856310371
_8BM_L,0.654233390000089
p32_L,0.880428476365415
_10r_L,0.69672643661903
_47m_L,0.697391806317181
_8Av_L,0.787009659973284
_8Ad_L,0.963372988575632
_9m_L,0.0041289514027215
_8BL_L,0.249011988017018
_9p_L,0.931533927503947
_10d_L,0.821989797471675
_8C_L,0.411130748162814
_44_L,0.0265568412980354
_45_L,0.156436111254808
_47l_L,0.0090360348991601
a47r_L,0.951210052462944
_6r_L,0.500363886399637
IFJa_L,0.993916109008349
IFJp_L,0.71390959285263
IFSp_L,0.934611948993521
IFSa_L,0.117430258859479
p9Y46v_L,0.0727315273413904
_46_L,0.0051147151490725
a9Y46v_L,0.982056347168958
_9Y46d_L,0.0031460878181447
_9a_L,0.0064198809388694
_10v_L,0.484083963042067
a10p_L,0.96541963127626
_10pp_L,0.637924241314664
_11l_L,0.642766853391096
_13l_L,0.606308829709487
OFC_L,0.200111873649149
_47s_L,0.58133741349224
LIPd_L,0.921668591988085
_6a_L,0.982141094718057
i6Y8_L,0.989141987341021
s6Y8_L,0.843649159101248
_43_L,0.506795040135904
OP4_L,0.81347329632461
OP1_L,0.169946649710646
OP2Y3_L,0.976525096504447
_52_L,0.954424653411869
RI_L,0.712415030803294
PFcm_L,0.396163317157218
PoI2_L,0.975194808954244
TA2_L,0.071977687186469
FOP4_L,0.912343151115605
MI_L,0.8830531561264
Pir_L,0.0019200160239288
AVI_L,0.752934252792335
AAIC_L,0.916990712062443
FOP1_L,0.186223983546457
FOP3_L,0.876515263525659
FOP2_L,0.768956191970743
PFt_L,0.916204445450823
AIP_L,0.998891511061564
EC_L,0.22808412355509
PreS_L,0.256453737242702
H_L,0.895914217762485
ProS_L,0.552122345704762
PeEc_L,0.783650009622823
STGa_L,0.870789259522439
PBelt_L,0.14262353264461
A5_L,0.722202183403801
PHA1_L,0.37508793572553
PHA3_L,0.152176610671958
STSda_L,0.422160327995927
STSdp_L,0.991050170173903
STSvp_L,0.286996769113133
TGd_L,0.962347820412246
TE1a_L,0.937540726616345
TE1p_L,0.972043486464238
TE2a_L,0.747826829679786
TF_L,0.139214538718409
TE2p_L,0.269301665424444
PHT_L,0.929684046961405
PH_L,0.398037097265778
TPOJ1_L,0.985424721906084
TPOJ2_L,0.05214658898241
TPOJ3_L,0.899064570268054
DVT_L,0.391831644166458
PGp_L,0.0055473263757067
IP2_L,0.872064742752352
IP1_L,0.619681069362752
IP0_L,0.0796376580048501
PFop_L,0.945206653809705
PF_L,0.444429759417115
PFm_L,0.941072672593969
PGi_L,0.962148826953824
PGs_L,0.870274088835107
V6A_L,0.864160976000787
VMV1_L,0.60633650785588
VMV3_L,0.0383056455141424
PHA2_L,0.421723502860262
V4t_L,0.110931066173222
FST_L,0.0035328733442842
V3CD_L,0.145541844157886
LO3_L,0.983628274450632
VMV2_L,0.992353233952637
_31pd_L,0.108483832147584
_31a_L,0.553941837506131
VVC_L,0.54104375210023
_25_L,0.276624806102883
s32_L,0.249862858940022
pOFC_L,0.400858142156337
PoI1_L,0.972862990854634
Ig_L,0.956376553712694
FOP5_L,0.411532359304555
p10p_L,0.903320211401928
p47r_L,0.908925782228254
TGv_L,0.384781762321004
MBelt_L,0.925828401258678
LBelt_L,0.101550747168462
A4_L,0.642543387140899
STSva_L,0.986370524589667
TE1m_L,0.19047604748935
PI_L,0.960580846401735
a32pr_L,0.923224519019021
p24_L,0.0065327286403312
V1_R,0.938424505806135
MST_R,0.0046109816183126
V6_R,0.414099301265575
V2_R,0.237299600661828
V3_R,0.826203882506814
V4_R,0.0243132511806912
V8_R,0.941658864302879
_4_R,0.32545924825482
_3b_R,0.995834786794
FEF_R,0.833862942392619
PEF_R,0.495779066664301
_55b_R,0.982146347083926
V3A_R,0.0053432107780984
RSC_R,0.303594456307619
POS2_R,0.133659375815841
V7_R,0.572574400407547
IPS1_R,0.0019246799047175
FFC_R,0.688114913896719
V3B_R,0.11619033061513
LO1_R,0.0075886598427842
LO2_R,0.155704447634335
PIT_R,0.0758902702710797
MT_R,0.802155335422308
A1_R,0.14001261894128
PSL_R,0.993821383721456
SFL_R,0.935491329599347
PCV_R,0.8324126977769
STV_R,0.0950935445565868
_7Pm_R,0.910047353275565
_7m_R,0.236678277059599
POS1_R,0.373029134920272
_23d_R,0.915762560102178
v23ab_R,0.364934601557145
d23ab_R,0.47650868718098
_31pv_R,0.572299780010594
_5m_R,0.978910481088174
_5mv_R,0.300998563120183
_23c_R,0.334919837227342
_5L_R,0.18555019724091
_24dd_R,0.767914116800592
_24dv_R,0.587657839269484
_7AL_R,0.690629776607386
SCEF_R,0.0003132156483129
_6ma_R,0.881237797355245
_7Am_R,0.9621956751398
_7Pl_R,0.933302364640896
_7PC_R,0.956377986380381
LIPv_R,0.0164729503805558
VIP_R,0.881463672453009
MIP_R,0.0083913617633732
_1_R,0.662790501065437
_2_R,0.4947970317578
_3a_R,0.762685042946606
_6d_R,0.1717574227138
_6mp_R,0.714858991124105
_6v_R,0.834170383471448
p24pr_R,0.70800215369556
_33pr_R,0.0747240462272536
a24pr_R,0.0220090908248145
p32pr_R,0.180008160095577
a24_R,0.464240301569152
d32_R,0.279961676996156
_8BM_R,0.91128623246814
p32_R,0.132302032880701
_10r_R,0.344992367294703
_47m_R,0.915253759162282
_8Av_R,0.932807475460341
_8Ad_R,0.982026104775021
_9m_R,0.991900771931058
_8BL_R,0.708011599173498
_9p_R,0.0396626934114973
_10d_R,0.976610858153252
_8C_R,0.127004525054568
_44_R,0.761589585118414
_45_R,0.841315813696489
_47l_R,0.523534521948261
a47r_R,0.328851932495349
_6r_R,0.572892663047319
IFJa_R,0.655708350406108
IFJp_R,0.564771767334354
IFSp_R,0.138159434080519
IFSa_R,0.916085754136278
p9Y46v_R,0.912616537771275
_46_R,0.791074011983673
a9Y46v_R,0.207571073307773
_9Y46d_R,0.964374111232381
_9a_R,0.0406912111361781
_10v_R,0.295874919678848
a10p_R,0.836680373259304
_10pp_R,0.455929797906937
_11l_R,0.818004378212067
_13l_R,0.510684291933828
OFC_R,0.63272568554693
_47s_R,0.733340120426102
LIPd_R,0.90864808236739
_6a_R,0.648114404133826
i6Y8_R,0.997733014922857
s6Y8_R,0.987690174146271
_43_R,9.6549964572585e-07
OP4_R,0.95218346950731
OP1_R,0.441526483581265
OP2Y3_R,0.147850961200863
_52_R,0.244556052073238
RI_R,0.233877959642155
PFcm_R,0.212942699912512
PoI2_R,0.133940602081749
TA2_R,0.130582022180646
FOP4_R,0.434870087759436
MI_R,0.208382458807655
Pir_R,0.35400658735764
AVI_R,0.320305623736404
AAIC_R,0.451624594013279
FOP1_R,0.630963364493824
FOP3_R,0.178732527537002
FOP2_R,0.114613467237407
PFt_R,0.847554558234958
AIP_R,0.703858330986112
EC_R,0.458253069641322
PreS_R,0.449397507754386
H_R,0.403414808958227
ProS_R,0.570152763200666
PeEc_R,0.156624668750907
STGa_R,0.65789387431692
PBelt_R,0.937968789425538
A5_R,0.527198239295736
PHA1_R,0.329571188149743
PHA3_R,0.0201738002470099
STSda_R,0.980436095230723
STSdp_R,0.840972323933132
STSvp_R,0.614357589906208
TGd_R,0.52744668946949
TE1a_R,0.0316104859344924
TE1p_R,0.165317991658443
TE2a_R,0.140950275233474
TF_R,0.0155760931119156
TE2p_R,0.0325591837165772
PHT_R,0.576823164016983
PH_R,0.0190667217031035
TPOJ1_R,0.980844661146873
TPOJ2_R,0.970397241636463
TPOJ3_R,0.150810301502408
DVT_R,0.410916765405544
PGp_R,0.915446818807555
IP2_R,0.831351214783733
IP1_R,0.959048305757161
IP0_R,0.724412114048486
PFop_R,0.941368362618678
PF_R,0.862400951837794
PFm_R,0.987896434510915
PGi_R,0.981647082602335
PGs_R,0.716569756008744
V6A_R,0.954110814623641
VMV1_R,0.0123901850823338
VMV3_R,0.647178752960362
PHA2_R,0.171448723807906
V4t_R,0.0275479927667664
FST_R,0.112110011910679
V3CD_R,0.465298597133585
LO3_R,0.0331375926264846
VMV2_R,0.120806954123757
_31pd_R,0.181515317446847
_31a_R,0.654678260438193
VVC_R,0.359220403986908
_25_R,0.364753220046186
s32_R,0.272640805836558
pOFC_R,0.133342287976913
PoI1_R,0.199097518029636
Ig_R,0.0404307090236112
FOP5_R,0.534380717243972
p10p_R,0.778017735925041
p47r_R,0.716913096122827
TGv_R,0.502167481051679
MBelt_R,0.671438034501063
LBelt_R,0.751828435199
A4_R,0.093589825274524
STSva_R,0.0066030626694286
TE1m_R,0.0068026969753417
PI_R,0.933542063389457
a32pr_R,5.56606154425287e-07
p24_R,0.289314829171452
