,V1
V1_L,0.240825392284225
MST_L,0.733146253923775
V6_L,0.519726298594923
V2_L,0.000775799390188
V3_L,0.143531672352195
V4_L,0.0386020977717207
V8_L,0.996598222857255
_4_L,0.0045383779089193
_3b_L,0.837957147373591
FEF_L,0.0060693800430638
PEF_L,0.691433078461037
_55b_L,0.851913810413158
V3A_L,0.689265743323312
RSC_L,0.889324797063862
POS2_L,0.0590259341134473
V7_L,0.913245089096661
IPS1_L,0.234549646795426
FFC_L,0.207503758561839
V3B_L,0.647682666162805
LO1_L,0.0150202924396738
LO2_L,0.969755994945715
PIT_L,0.0359804199362798
MT_L,0.985928987381438
A1_L,0.709298556253782
PSL_L,0.573955076564072
SFL_L,0.066756689818799
PCV_L,0.006390241096065
STV_L,0.990460038219234
_7Pm_L,0.484340921040221
_7m_L,0.0182466562927316
POS1_L,0.961328386540046
_23d_L,0.41846626825524
v23ab_L,0.833972299830996
d23ab_L,0.661098820129723
_31pv_L,0.778463415968892
_5m_L,0.880979734299589
_5mv_L,0.950178176164181
_23c_L,0.810177377145256
_5L_L,0.980646446489549
_24dd_L,0.935359974905762
_24dv_L,0.966315279010153
_7AL_L,0.669550673326906
SCEF_L,0.944841205386461
_6ma_L,0.963803415497126
_7Am_L,0.688397866020651
_7Pl_L,0.891327001819641
_7PC_L,0.0980992358714209
LIPv_L,0.865525585963273
VIP_L,0.948141411079168
MIP_L,0.647488624711704
_1_L,0.849281920249302
_2_L,0.985440925819178
_3a_L,0.763039041930004
_6d_L,0.738222778463089
_6mp_L,0.687128221117328
_6v_L,0.945796714344232
p24pr_L,0.619431079977983
_33pr_L,0.365291926645235
a24pr_L,0.762974075906323
p32pr_L,0.955751872083786
a24_L,0.143662266504682
d32_L,0.542576337620066
_8BM_L,0.361885284498697
p32_L,0.165599882238028
_10r_L,0.983803428638641
_47m_L,0.259970305702956
_8Av_L,0.537584132396663
_8Ad_L,0.250092093180461
_9m_L,0.734952150367428
_8BL_L,0.997284671849407
_9p_L,0.428443445787009
_10d_L,0.0513777891605992
_8C_L,0.681061460418907
_44_L,0.931630595561182
_45_L,0.0025307633698863
_47l_L,0.970793471627981
a47r_L,0.467714016106712
_6r_L,0.176604839085235
IFJa_L,0.863198343445114
IFJp_L,0.605080279408516
IFSp_L,0.872332964603755
IFSa_L,0.115218912137185
p9Y46v_L,0.878240369917574
_46_L,0.163447572663113
a9Y46v_L,0.885457293377578
_9Y46d_L,0.92245514497513
_9a_L,0.850493071443672
_10v_L,0.521905168719946
a10p_L,0.0554682539987385
_10pp_L,0.720205193265499
_11l_L,0.740284348263553
_13l_L,0.555397981023727
OFC_L,0.109161051562333
_47s_L,0.975671802631659
LIPd_L,0.864815292612704
_6a_L,0.952506446377272
i6Y8_L,0.179255451280493
s6Y8_L,0.91149710020482
_43_L,0.0799786856973124
OP4_L,0.415342668364974
OP1_L,0.558672941524733
OP2Y3_L,0.158539433707849
_52_L,0.996117509306496
RI_L,0.972858216630643
PFcm_L,0.876656191462792
PoI2_L,0.414275634091346
TA2_L,0.527544371605085
FOP4_L,0.982131230551193
MI_L,0.923271954908604
Pir_L,0.20287513827384
AVI_L,0.285272214464595
AAIC_L,0.97811086431602
FOP1_L,0.0414334418254703
FOP3_L,0.329284296096295
FOP2_L,0.611604541575325
PFt_L,0.0135760338224063
AIP_L,0.281645650280002
EC_L,0.0022211407463343
PreS_L,0.689592695526224
H_L,0.112096735946972
ProS_L,0.0976941520491626
PeEc_L,0.50660250328842
STGa_L,0.155542672566441
PBelt_L,0.875966918479823
A5_L,0.243892073605915
PHA1_L,0.715166266110907
PHA3_L,0.0056559906728242
STSda_L,0.815243561728978
STSdp_L,0.918888101497463
STSvp_L,0.502570161293976
TGd_L,0.886928207933057
TE1a_L,0.616281609645976
TE1p_L,0.0697499039881907
TE2a_L,0.416869054750668
TF_L,0.698327172112244
TE2p_L,0.7630895010271
PHT_L,0.233508154294906
PH_L,0.0274107643526813
TPOJ1_L,0.967544506910924
TPOJ2_L,0.975090500288272
TPOJ3_L,0.997584780544001
DVT_L,0.9757750178315
PGp_L,0.371552218334202
IP2_L,0.907913336700152
IP1_L,0.259079242499273
IP0_L,0.0118061102280368
PFop_L,0.0164874035794119
PF_L,0.991498963398133
PFm_L,1.39789023004964e-07
PGi_L,0.38583231635689
PGs_L,0.0007075531471435
V6A_L,0.490435211309301
VMV1_L,0.310660961425025
VMV3_L,0.218548364637474
PHA2_L,0.264439447032335
V4t_L,0.106675117361285
FST_L,0.947770076731162
V3CD_L,0.131499557027413
LO3_L,0.949873019450873
VMV2_L,0.255331498609494
_31pd_L,0.707869958827843
_31a_L,0.608720008616636
VVC_L,0.371898696194205
_25_L,0.774143487875278
s32_L,0.537945928428291
pOFC_L,0.952120883933082
PoI1_L,0.15837907295986
Ig_L,0.679372821150427
FOP5_L,0.992681410799819
p10p_L,0.975458337532646
p47r_L,0.548579330485045
TGv_L,0.979545458018297
MBelt_L,0.694584522697343
LBelt_L,0.288116802558327
A4_L,0.206274781454365
STSva_L,0.758597722690398
TE1m_L,0.968279219478551
PI_L,0.0210692926594526
a32pr_L,0.399260379148279
p24_L,0.0112045690447512
V1_R,0.818707928320307
MST_R,0.0465093363470149
V6_R,0.989832616823583
V2_R,0.389323170461841
V3_R,0.347405048139877
V4_R,0.0626133896020184
V8_R,0.970465569360634
_4_R,0.637498972029036
_3b_R,0.983605798519329
FEF_R,0.0416773431387783
PEF_R,0.189360589907548
_55b_R,0.883258062247115
V3A_R,0.814027966539848
RSC_R,0.0121281420321581
POS2_R,0.0708728768232348
V7_R,0.878444036419219
IPS1_R,0.206109406170963
FFC_R,0.194252179749005
V3B_R,0.930366706508873
LO1_R,0.21610132917734
LO2_R,0.994569782905816
PIT_R,0.304494105639589
MT_R,0.891143319303618
A1_R,0.876888769967767
PSL_R,0.319587641368166
SFL_R,0.949346981598588
PCV_R,0.837272896058318
STV_R,0.992559562626901
_7Pm_R,0.552274996159843
_7m_R,0.0683924397329048
POS1_R,0.0235213765929702
_23d_R,0.475882945572636
v23ab_R,0.937063998810475
d23ab_R,0.887874161390821
_31pv_R,0.0844198013559382
_5m_R,0.910100802066423
_5mv_R,0.983888550158122
_23c_R,0.575257134329542
_5L_R,0.999452564231119
_24dd_R,0.988630435709489
_24dv_R,0.543837439280602
_7AL_R,0.804977788926024
SCEF_R,0.92415291260003
_6ma_R,0.0040698607603948
_7Am_R,0.0012761953095164
_7Pl_R,0.765396860101879
_7PC_R,0.004495777581739
LIPv_R,0.0351281056805244
