,V1
V1_L,0.0558579572049456
MST_L,0.852175831031001
V6_L,0.789592800244688
V2_L,0.934275445555884
V3_L,0.104465279637278
V4_L,0.100151381802224
V8_L,0.936059049373022
_4_L,0.654047352935078
_3b_L,0.985434778560946
FEF_L,0.66651999358636
PEF_L,0.708830209059084
_55b_L,0.889043528545239
V3A_L,0.999448082514823
RSC_L,0.957077055294309
POS2_L,0.952750170515565
V7_L,0.0195107761142957
IPS1_L,0.244969117890249
FFC_L,0.205248120564589
V3B_L,0.88210687062708
LO1_L,0.9957359345906
LO2_L,0.963523208800377
PIT_L,0.962649338605
MT_L,0.208120583619276
A1_L,0.387736635236602
PSL_L,0.92958642789992
SFL_L,0.806345322561876
PCV_L,0.941210404378057
STV_L,0.874111432284318
_7Pm_L,0.925373813023569
_7m_L,0.914679752822352
POS1_L,0.997314388999968
_23d_L,0.108693673831764
v23ab_L,0.989607371909085
d23ab_L,0.996102096698067
_31pv_L,0.985789616735862
_5m_L,0.198716925001641
_5mv_L,0.99204584378382
_23c_L,0.89174761115763
_5L_L,0.916610781634232
_24dd_L,0.989316237392592
_24dv_L,0.562969881047379
_7AL_L,0.635338482965769
SCEF_L,0.999759722444417
_6ma_L,0.696737242599154
_7Am_L,0.723149716388811
_7Pl_L,0.961086948612489
_7PC_L,0.638053058354093
LIPv_L,0.986755802416809
VIP_L,0.899397123038599
MIP_L,0.310974809525338
_1_L,0.977790936286657
_2_L,0.262832079652178
_3a_L,0.949126600573228
_6d_L,0.0140160875298386
_6mp_L,0.269331286811736
_6v_L,0.959232151747812
p24pr_L,0.0163881172244314
_33pr_L,0.520231956819448
a24pr_L,0.145987292860568
p32pr_L,0.0019858338837095
a24_L,0.999132763468098
d32_L,0.511957353196964
_8BM_L,0.987714074736636
p32_L,0.960960121550794
_10r_L,0.729297555298748
_47m_L,0.638786340023823
_8Av_L,0.6038753351334
_8Ad_L,0.96191508275287
_9m_L,0.962086264928579
_8BL_L,0.900503731160555
_9p_L,0.949637217662409
_10d_L,0.958352874333639
_8C_L,0.870790331322027
_44_L,0.881345295773847
_45_L,0.512285586613549
_47l_L,0.529507798779248
a47r_L,0.132376211979695
_6r_L,0.996045405555294
IFJa_L,0.65765601877294
IFJp_L,0.892238380488906
IFSp_L,0.0245719384952993
IFSa_L,0.95486833995629
p9Y46v_L,0.825324635047805
_46_L,0.774300480115549
a9Y46v_L,0.970718161576172
_9Y46d_L,0.754894187033307
_9a_L,0.986997518670248
_10v_L,0.694134786415823
a10p_L,0.260517164820256
_10pp_L,0.99828075541332
_11l_L,0.965744578585536
_13l_L,0.90146763805386
OFC_L,0.0424590081374435
_47s_L,0.999576237871511
LIPd_L,0.740883720625184
_6a_L,0.741406559020517
i6Y8_L,0.47913532802031
s6Y8_L,0.831635429034505
_43_L,0.989002057307796
OP4_L,0.996652402147443
OP1_L,0.975652269535106
OP2Y3_L,0.918879222724568
_52_L,0.473525715985193
RI_L,0.715027990806004
PFcm_L,0.320927819064686
PoI2_L,0.96497317210958
TA2_L,0.980294095071864
FOP4_L,0.993068823212177
MI_L,0.434305721953686
Pir_L,0.715849296767365
AVI_L,0.692034306797213
AAIC_L,0.997775977525903
FOP1_L,0.998340379897548
FOP3_L,0.67577838031303
FOP2_L,0.992960212772004
PFt_L,0.626858424416413
AIP_L,0.991987364768791
EC_L,0.999115951754184
PreS_L,0.977163473582032
H_L,0.998637667358247
ProS_L,0.829510028211156
PeEc_L,0.989850267728764
STGa_L,0.97026226955749
PBelt_L,0.976852977320489
A5_L,0.982969213385485
PHA1_L,0.979041072696459
PHA3_L,0.970652953309898
STSda_L,0.987650040893415
STSdp_L,0.0081241855337124
STSvp_L,0.564008838076284
TGd_L,0.0077319792297352
TE1a_L,0.98828923197614
TE1p_L,0.977198604600772
TE2a_L,0.912218097958099
TF_L,0.457705562776166
TE2p_L,0.82773851374936
PHT_L,0.98714864449972
PH_L,0.572754342011501
TPOJ1_L,0.90114642721173
TPOJ2_L,0.956184032715061
TPOJ3_L,0.934063300335797
DVT_L,0.950450705033898
PGp_L,0.995222134111968
IP2_L,0.7503516015625
IP1_L,0.88445552562842
IP0_L,0.920222205832073
PFop_L,0.91755482972973
PF_L,0.914952999678154
PFm_L,0.442937942932771
PGi_L,0.991566265255158
PGs_L,0.995106088454364
V6A_L,0.892915260760013
VMV1_L,0.987799922626866
VMV3_L,0.741792406213653
PHA2_L,0.994659796360525
V4t_L,0.738793789666744
FST_L,0.820470844629801
V3CD_L,0.958370201111514
LO3_L,0.998439813155431
VMV2_L,0.0013482947896056
_31pd_L,0.99869941023115
_31a_L,0.891428767180416
VVC_L,0.999921947403261
_25_L,0.153669332024463
s32_L,0.0773378957666358
pOFC_L,0.743478059039607
PoI1_L,0.994410565078393
Ig_L,0.215719680436914
FOP5_L,0.820777588974811
p10p_L,0.883263710731008
p47r_L,0.53716260849679
TGv_L,0.954438658266615
MBelt_L,0.943813119651361
LBelt_L,0.58350113665796
A4_L,0.884211635161424
STSva_L,0.969246493397773
TE1m_L,0.912982725673104
PI_L,0.139079941564613
a32pr_L,0.988602103439021
p24_L,0.961400630773495
V1_R,0.807191482897835
MST_R,0.983409388900041
V6_R,0.260994214461957
V2_R,0.826386468879588
V3_R,0.81525173036782
V4_R,0.995341612906944
V8_R,0.924594382255789
_4_R,0.823068344366907
_3b_R,0.995532018796167
FEF_R,0.844258151778907
PEF_R,0.937571963078149
_55b_R,0.999577772443633
V3A_R,0.316041322189707
RSC_R,0.721323726006577
POS2_R,0.528968581312938
V7_R,0.250255145719178
IPS1_R,0.967321536950108
FFC_R,0.946053213551417
V3B_R,0.936142518686985
LO1_R,0.238361646205782
LO2_R,0.81531614552083
PIT_R,0.51522465613729
MT_R,0.636348087075143
A1_R,0.598591021626167
PSL_R,0.30372157880201
SFL_R,0.931972500093528
