,V1
V1_L,0.878510403161159
MST_L,0.327230914472447
V6_L,0.978995468536943
V2_L,0.251784728877285
V3_L,0.0257402241751023
V4_L,0.0030033364661518
V8_L,0.986813257021586
_4_L,0.0563125021279859
_3b_L,0.373168523724541
FEF_L,0.380950546821319
PEF_L,0.635705026597057
_55b_L,0.993363432652321
V3A_L,0.0695135643735281
RSC_L,0.559908733806913
POS2_L,0.0385038237400893
V7_L,0.939791625574907
IPS1_L,0.264711455131229
FFC_L,0.0948121561698795
V3B_L,0.765953589105504
LO1_L,0.0691532890376265
LO2_L,0.949213984672587
PIT_L,0.0171017121771723
MT_L,0.339002820290733
A1_L,0.0728191002511126
PSL_L,0.654369653317988
SFL_L,0.841173924691448
PCV_L,0.780228195788762
STV_L,0.803408875548004
_7Pm_L,0.406996409621651
_7m_L,0.0019519728448046
POS1_L,0.480043027593689
_23d_L,0.417314174733149
v23ab_L,0.717031884322991
d23ab_L,0.331931495250724
_31pv_L,0.818714030591915
_5m_L,0.810089643081977
_5mv_L,0.978044759576931
_23c_L,0.998637991149992
_5L_L,0.948435100814717
_24dd_L,0.931087234150439
_24dv_L,0.0001494421385969
_7AL_L,0.467492833747629
SCEF_L,0.892258109832029
_6ma_L,0.989551232464057
_7Am_L,0.265537339395437
_7Pl_L,0.8823794452662
_7PC_L,0.154646155399243
LIPv_L,0.757088905168662
VIP_L,0.959407290859842
MIP_L,0.326671339646018
_1_L,0.662335991209138
_2_L,0.413579137843228
_3a_L,0.82830567301538
_6d_L,0.502306556873985
_6mp_L,0.427425932001253
_6v_L,0.809789214540467
p24pr_L,0.95441389160235
_33pr_L,0.866078748559107
a24pr_L,0.427848550101357
p32pr_L,0.926863479609576
a24_L,0.0048448816375299
d32_L,0.453831119939704
_8BM_L,0.0499021174225421
p32_L,0.0182757985838526
_10r_L,0.911995557874809
_47m_L,0.718541572183621
_8Av_L,0.0865099298021466
_8Ad_L,0.630832020520642
_9m_L,0.467766247807069
_8BL_L,0.983411073937079
_9p_L,0.237732069844724
_10d_L,0.192375331776814
_8C_L,0.133638765163859
_44_L,0.680055544773354
_45_L,0.0175489165244509
_47l_L,0.991133073692016
a47r_L,0.880692530990515
_6r_L,0.0315233441480699
IFJa_L,0.869618011449002
IFJp_L,0.363427600911835
IFSp_L,0.864374486673281
IFSa_L,0.481917405489157
p9Y46v_L,0.969862935695898
_46_L,0.189598340039891
a9Y46v_L,0.694444516341152
_9Y46d_L,0.0616268782728619
_9a_L,0.737785666402267
_10v_L,0.512899030992334
a10p_L,0.211220111430121
_10pp_L,0.0222942451406692
_11l_L,0.413028564331037
_13l_L,0.956165357695398
OFC_L,0.269402804707188
_47s_L,0.56648345460579
LIPd_L,0.864266814848701
_6a_L,0.986782869443007
i6Y8_L,0.408971395054137
s6Y8_L,0.973252667877152
_43_L,0.626933598536805
OP4_L,0.594044494468181
OP1_L,0.989085603416064
OP2Y3_L,0.322073172244409
_52_L,0.982193500415881
RI_L,0.966990227006501
PFcm_L,0.988035739184734
PoI2_L,0.481307153689403
TA2_L,0.554973979161523
FOP4_L,0.956623247570372
MI_L,0.940922070961202
Pir_L,0.0141640621436468
AVI_L,0.381173560401117
AAIC_L,0.878578074674612
FOP1_L,0.000241735778023
FOP3_L,0.175251141991806
FOP2_L,0.351792629891269
PFt_L,0.0181151626293137
AIP_L,0.436560475011139
EC_L,0.001986392427216
PreS_L,0.151931503601711
H_L,0.0621730280054598
ProS_L,0.0169407906073812
PeEc_L,0.927536278809088
STGa_L,0.418870163864397
PBelt_L,0.621265622358413
A5_L,0.422625072377017
