,V1
V1_L,0.8302035285755
MST_L,0.280502955582916
V6_L,0.606274615397478
V2_L,0.972142970116464
V3_L,0.0833979705115298
V4_L,0.639456330493919
V8_L,0.0084223836455212
_4_L,0.934572738499096
_3b_L,0.997503611944634
FEF_L,0.900967309708972
PEF_L,0.947605376667813
_55b_L,0.841439049718654
V3A_L,0.940246444686364
RSC_L,0.741853486610889
POS2_L,0.228948908802845
V7_L,0.764429069147881
IPS1_L,0.946159218495915
FFC_L,0.438934398177865
V3B_L,0.972163217305114
LO1_L,0.376595993741459
LO2_L,0.893003563843123
PIT_L,0.844885332974189
MT_L,0.286466622504651
A1_L,0.940788273118325
PSL_L,0.0625435479959958
SFL_L,0.937518995162278
PCV_L,0.945667392010579
STV_L,0.933570917735925
_7Pm_L,0.927548253505472
_7m_L,0.574452520573039
POS1_L,0.384173812959872
_23d_L,0.963349302341738
v23ab_L,0.592943583375819
d23ab_L,0.489626832411195
_31pv_L,0.997289892104168
_5m_L,0.914963281476741
_5mv_L,0.870593720062876
_23c_L,0.999690769323989
_5L_L,0.74942659305107
_24dd_L,0.0056937781102822
_24dv_L,0.785698316615901
_7AL_L,0.942942029933173
SCEF_L,0.999463305998269
_6ma_L,0.624261826195679
_7Am_L,0.958138204919379
_7Pl_L,0.989832537924238
_7PC_L,0.88609362079787
LIPv_L,0.531578698950389
VIP_L,0.546125817156087
MIP_L,0.699101655600852
_1_L,0.538127253920679
_2_L,0.97514890748727
_3a_L,0.995501359388519
_6d_L,0.879678216484235
_6mp_L,0.909834496542997
_6v_L,0.858825125860228
p24pr_L,0.0024234650076671
_33pr_L,0.927757485220571
a24pr_L,0.719396877243767
p32pr_L,0.252355460594402
a24_L,0.0138119662711123
d32_L,0.786166869062822
_8BM_L,0.773835365040293
p32_L,0.0259953211049469
_10r_L,0.267750972805444
_47m_L,0.0059480746241052
_8Av_L,0.795199522096027
_8Ad_L,0.977020134047514
_9m_L,0.937660433362902
_8BL_L,0.990645801881795
_9p_L,0.175217749681842
_10d_L,0.884760090159341
_8C_L,0.0975947419522917
_44_L,0.580694969794412
_45_L,0.205199884266976
_47l_L,0.143219891354225
a47r_L,0.710736194755674
_6r_L,0.981808118011697
IFJa_L,0.864611368431083
IFJp_L,0.14066297590495
IFSp_L,0.914616341040527
IFSa_L,0.965996475091876
p9Y46v_L,0.926365177326879
_46_L,0.930691269549067
a9Y46v_L,0.977329118002738
_9Y46d_L,0.0061959266885136
_9a_L,0.554304305038295
_10v_L,0.0458558352340176
a10p_L,0.0886165442281138
_10pp_L,0.914311332546632
_11l_L,0.929399616307861
_13l_L,0.944705176739047
OFC_L,0.0686882101614197
_47s_L,0.91132538261707
LIPd_L,0.332580666140179
_6a_L,0.99266012054268
i6Y8_L,7.12750041478893e-06
s6Y8_L,0.629096080464054
_43_L,0.127620443403127
OP4_L,0.981262535511047
OP1_L,0.320382455466379
OP2Y3_L,0.298441932566954
_52_L,0.0002576882475205
RI_L,0.854544667791466
PFcm_L,0.961637053869522
PoI2_L,0.536626106843105
TA2_L,0.943364600299328
FOP4_L,0.978149175246835
MI_L,0.948253818048322
Pir_L,0.893247272132286
AVI_L,0.968880978200209
AAIC_L,0.982319457313541
FOP1_L,0.775878637391817
FOP3_L,0.852425248236961
FOP2_L,0.993147909043025
PFt_L,0.275730082228051
AIP_L,0.702313464306742
EC_L,0.899094697383988
PreS_L,0.0292420582425957
H_L,0.73127961151265
ProS_L,0.904317643274725
PeEc_L,0.865847404133664
STGa_L,0.998390354185409
PBelt_L,0.504828446311951
A5_L,0.997491231027403
PHA1_L,0.954116826169135
PHA3_L,0.0806848902504591
STSda_L,0.880073419098552
STSdp_L,0.0750350434877278
STSvp_L,0.927414245149757
TGd_L,0.856285591593861
TE1a_L,0.815308832562874
TE1p_L,0.956127912683715
TE2a_L,0.362791533385672
TF_L,0.817566126620106
TE2p_L,0.873092239727089
PHT_L,0.886038966657145
PH_L,0.424905307203967
TPOJ1_L,0.877476804489128
TPOJ2_L,0.992186038359234
TPOJ3_L,0.934502280734957
DVT_L,0.688282641703217
PGp_L,0.960207221524403
IP2_L,0.951673062584714
IP1_L,0.718549035207787
IP0_L,0.996833571177818
PFop_L,0.935803249065972
PF_L,0.978618445209365
PFm_L,0.996187213129047
PGi_L,0.831662961705477
PGs_L,0.577895015468339
V6A_L,0.32273385030687
VMV1_L,0.014238643978929
VMV3_L,0.770862040971582
PHA2_L,0.173823423524649
V4t_L,0.566409153991645
FST_L,0.933332354508028
V3CD_L,0.942237042471601
LO3_L,0.887508152620705
VMV2_L,0.813463210457066
_31pd_L,0.713751147142619
_31a_L,0.770585382306335
VVC_L,0.0572119472162687
_25_L,0.874582495702189
s32_L,0.693840682640753
pOFC_L,0.893880342937308
PoI1_L,0.86916363272534
Ig_L,0.980133078807358
FOP5_L,0.977591600842419
p10p_L,0.278180621121277
p47r_L,0.563545850495199
TGv_L,0.707605072990895
MBelt_L,0.999779960038687
LBelt_L,0.0376689403379686
A4_L,0.715093958354543
STSva_L,0.595760695312408
TE1m_L,0.296158120380493
PI_L,0.229828837849526
a32pr_L,0.0336704502249673
p24_L,0.941569909385604
V1_R,0.279243993645925
MST_R,0.913271182308058
V6_R,0.793066874622082
V2_R,0.901683133032669
V3_R,0.0891307096485174
V4_R,0.998653956079841
V8_R,0.985600904396393
_4_R,0.976175453032944
_3b_R,0.969854174124774
FEF_R,0.928334516603507
PEF_R,0.641465531847478
_55b_R,0.978460743603531
V3A_R,0.488939470854961
RSC_R,0.187422298386354
POS2_R,0.407846111749595
V7_R,0.0648160915667884
IPS1_R,0.667010747678209
FFC_R,0.986778798586486
V3B_R,0.0083895868353232
LO1_R,0.318117032672526
LO2_R,0.803866620975392
PIT_R,0.58180227119321
MT_R,0.891031716514571
A1_R,0.0641108849677504
PSL_R,0.77653544443469
SFL_R,0.966737224323897
PCV_R,0.444547999965912
STV_R,0.796481504942279
_7Pm_R,0.0127863581204653
_7m_R,0.682438761167829
POS1_R,0.998868799309215
_23d_R,0.934718295700645
v23ab_R,0.947186724763011
d23ab_R,0.598913940336014
_31pv_R,0.148256859163049
_5m_R,0.792997714556732
_5mv_R,0.355923263081051
_23c_R,0.954090364957015
_5L_R,0.992796926796552
_24dd_R,0.525309162796463
_24dv_R,0.894241968646552
_7AL_R,0.996810730210657
SCEF_R,0.903204679874516
_6ma_R,0.691232946875629
_7Am_R,0.738201955114391
_7Pl_R,0.149463951813558
_7PC_R,0.996996886477372
LIPv_R,0.834511724127444
VIP_R,0.381705042947059
MIP_R,0.944954224006345
_1_R,0.884646288408646
_2_R,0.979202921842225
_3a_R,0.778734204214919
_6d_R,0.963975065367606
_6mp_R,0.97443829421811
_6v_R,0.580891680394812
p24pr_R,0.849475792336795
_33pr_R,0.265454449299658
a24pr_R,0.817615396362797
p32pr_R,0.943928337134558
a24_R,0.835862586465932
d32_R,0.48155850995448
_8BM_R,0.112428044550762
p32_R,0.733159087534925
_10r_R,0.922261589359827
_47m_R,0.772602725371542
_8Av_R,0.704981350239222
_8Ad_R,0.983325243659418
_9m_R,0.244424826586328
_8BL_R,0.983101027275083
_9p_R,0.993521241936998
_10d_R,0.530936227599417
_8C_R,0.129762922470273
_44_R,0.993813893431657
_45_R,0.998931319798293
_47l_R,0.596191234378829
a47r_R,0.668517949767009
_6r_R,0.0754365605701077
IFJa_R,0.441407573245261
IFJp_R,0.694396214585689
IFSp_R,0.0576505381400604
IFSa_R,0.181737241156601
p9Y46v_R,0.0064449150669125
_46_R,0.839658444461967
a9Y46v_R,0.970134178681822
_9Y46d_R,0.957158712374522
_9a_R,0.28916456004324
_10v_R,0.0704980415409501
a10p_R,0.663107841318367
