,V1
V1_L,0.980362482955016
MST_L,0.240038449251924
V6_L,0.86360227623866
V2_L,0.981818396547786
V3_L,0.440895250496896
V4_L,0.452353971325302
V8_L,0.962372320159248
_4_L,0.998371060231441
_3b_L,0.755696706054743
FEF_L,0.948825212715406
PEF_L,0.821629530940779
_55b_L,0.0958937567654309
V3A_L,0.997431659630418
RSC_L,0.752873867123836
POS2_L,0.977990062007149
V7_L,0.98431418156611
IPS1_L,0.0352120459187357
FFC_L,0.0179709926237668
V3B_L,0.373349037613372
LO1_L,0.183048996555356
LO2_L,0.915112030516972
PIT_L,0.393660871982909
MT_L,0.713224361813363
A1_L,0.922661632323565
PSL_L,0.933954502944475
SFL_L,0.920189957316933
PCV_L,0.949397859501135
STV_L,0.728424879375394
_7Pm_L,0.901623878698538
_7m_L,0.873061600661517
POS1_L,0.0297690812209937
_23d_L,0.378472709468202
v23ab_L,0.142141804083067
d23ab_L,0.192459834620415
_31pv_L,0.97909004908267
_5m_L,0.0003846657088585
_5mv_L,0.916107846327782
_23c_L,0.988029328959076
_5L_L,0.990202942298524
_24dd_L,0.568223473637204
_24dv_L,0.924996461589388
_7AL_L,0.976503686757681
SCEF_L,0.991766678469513
_6ma_L,0.979283268507646
_7Am_L,0.928451582290665
_7Pl_L,0.979731834780491
_7PC_L,0.0420161014915749
LIPv_L,0.924505675521539
VIP_L,0.941285176942188
MIP_L,0.20182944000961
_1_L,0.943285489096848
_2_L,0.532608072817854
_3a_L,0.986565315246891
_6d_L,0.832272889856427
_6mp_L,0.990113361059689
_6v_L,0.0004451357475731
p24pr_L,0.98635049385207
_33pr_L,0.976197043122555
a24pr_L,0.812232721122479
p32pr_L,0.359855210111169
a24_L,0.538738521852513
d32_L,0.37610814312208
_8BM_L,0.666096945407071
p32_L,0.935477977072852
_10r_L,0.822953531071835
_47m_L,0.551901002677597
_8Av_L,0.959658116736247
_8Ad_L,0.976771711200373
_9m_L,0.90777183265288
_8BL_L,0.966293286504916
_9p_L,0.995493210072643
_10d_L,0.976118611501717
_8C_L,0.760293755605296
_44_L,0.329207311939408
_45_L,0.209236025746188
_47l_L,0.0438185854578826
a47r_L,0.992571737716807
_6r_L,0.14516995928268
IFJa_L,0.179888783505885
IFJp_L,0.118071817892108
IFSp_L,0.870276164305891
IFSa_L,0.908073007596783
p9Y46v_L,0.642792574308392
_46_L,0.0070123983565595
a9Y46v_L,0.993713474781061
_9Y46d_L,0.83829489982105
_9a_L,0.640534141556299
_10v_L,0.0876995760125761
a10p_L,0.129258490389526
_10pp_L,0.988826922389095
_11l_L,0.248987148574295
_13l_L,0.952543966457616
OFC_L,0.930465296570908
_47s_L,0.552123050514832
LIPd_L,0.948308296605418
_6a_L,0.886850127202284
i6Y8_L,0.87223449884499
s6Y8_L,0.99921410759617
_43_L,0.998795595492422
OP4_L,0.180379978594047
OP1_L,0.921855573708571
OP2Y3_L,0.998507274716146
_52_L,0.078051578445693
RI_L,0.989737632723282
PFcm_L,0.937011079950591
PoI2_L,0.679002934463998
TA2_L,0.941748934187151
FOP4_L,0.962024001380078
MI_L,0.973641997696996
Pir_L,0.983238440577045
AVI_L,0.470234499190351
AAIC_L,0.999671580156005
FOP1_L,0.364576098317957
FOP3_L,0.912044599973606
FOP2_L,0.998209192258873
PFt_L,0.495974714144915
AIP_L,0.447897351991525
EC_L,0.0836123830414014
PreS_L,0.898834646024545
H_L,0.0553603486333903
ProS_L,0.647741747699196
PeEc_L,0.959566862972302
STGa_L,0.563584037135573
PBelt_L,0.0911466204681737
A5_L,0.596427041351283
PHA1_L,0.984363752057861
PHA3_L,0.974262172369083
STSda_L,0.995517059538823
STSdp_L,0.0343935639645813
STSvp_L,0.79532968554066
TGd_L,0.408412715340619
TE1a_L,0.0280786389400172
TE1p_L,0.99430362307975
TE2a_L,0.994243122562837
TF_L,0.845734186258604
TE2p_L,0.999632353238528
PHT_L,0.914888298269254
PH_L,0.591739908651937
TPOJ1_L,0.527983034065407
TPOJ2_L,0.998510951961101
TPOJ3_L,0.90016100291885
DVT_L,0.980197483947928
PGp_L,0.990873705920834
IP2_L,0.852890423380341
IP1_L,0.442917616053622
IP0_L,0.932858654932055
PFop_L,0.0545843659060378
PF_L,0.988396125360465
PFm_L,0.940328006742529
PGi_L,0.413529205699686
PGs_L,0.995757052173649
V6A_L,0.443407208227441
VMV1_L,0.976098425763389
VMV3_L,0.837547774958529
PHA2_L,0.9626047234054
V4t_L,0.119506646730028
FST_L,0.109183695224671
V3CD_L,0.991056020933112
LO3_L,0.865657006831529
VMV2_L,0.904451698944405
_31pd_L,0.0029460399287577
_31a_L,0.906470487832507
VVC_L,0.0013646609925749
_25_L,0.0591003021414971
s32_L,0.254416718023754
pOFC_L,0.993051533921902
PoI1_L,0.500831694016931
Ig_L,0.984182099957163
FOP5_L,0.879921981758
p10p_L,0.412276630750964
p47r_L,0.986421541683807
TGv_L,0.005334372089205
MBelt_L,0.873624971049039
LBelt_L,0.281443101513284
A4_L,0.921695885204776
STSva_L,0.333780851424228
TE1m_L,0.999139791159583
PI_L,0.473850960269725
a32pr_L,0.863866893449316
p24_L,0.901612818784044
V1_R,0.826039749968191
MST_R,0.997501524199761
V6_R,0.912067666981196
V2_R,0.957031523600397
V3_R,0.748058447575194
V4_R,0.980220677345943
V8_R,0.557298340040551
_4_R,0.919800580914657
_3b_R,0.994845662294833
FEF_R,0.653581119329179
PEF_R,0.401408999227088
_55b_R,0.987741275481338
V3A_R,0.913647215192853
RSC_R,0.0047576241424332
POS2_R,0.529781675407664
V7_R,0.336855631595525
IPS1_R,0.839200848930237
FFC_R,0.987775879102955
V3B_R,0.970457049389595
LO1_R,0.503402467128529
LO2_R,0.891576787119065
PIT_R,0.0120891335139929
MT_R,0.0551083829531569
A1_R,0.992729482405222
PSL_R,0.380027964533237
SFL_R,0.954120078174727
PCV_R,0.79367281690418
STV_R,0.0005277216876255
_7Pm_R,0.0337184952936347
_7m_R,0.551214592590833
POS1_R,0.999526451715983
_23d_R,0.0618607272939243
v23ab_R,0.898823329549656
d23ab_R,0.123314434953296
_31pv_R,0.139924007420097
_5m_R,0.910712830944055
_5mv_R,0.345056172155543
_23c_R,0.690364907637895
_5L_R,0.939879156953491
_24dd_R,0.975250314673985
_24dv_R,0.829645459473527
_7AL_R,0.960519691753785
SCEF_R,0.99175180946851
_6ma_R,0.664975067848589
_7Am_R,0.859770715810915
_7Pl_R,0.429907828161337
_7PC_R,0.996336861487412
LIPv_R,0.320554151634224
VIP_R,0.95071088976868
MIP_R,0.91589030623721
_1_R,0.999677436703061
_2_R,0.923843121202695
_3a_R,0.700759893118549
_6d_R,0.973102651660452
_6mp_R,0.995168235817528
_6v_R,0.005144216163702
p24pr_R,0.839176608992547
_33pr_R,0.186831445780246
a24pr_R,0.921026720793815
p32pr_R,0.994493282056297
a24_R,0.840792218815615
d32_R,0.96782141435349
_8BM_R,0.599610046095683
p32_R,0.985673208791029
_10r_R,0.963912829385869
_47m_R,0.943566094717265
_8Av_R,0.319237847090005
_8Ad_R,0.996613350102207
_9m_R,0.968369901250531
_8BL_R,0.980856173258508
_9p_R,0.986530469161557
_10d_R,0.997374819631721
_8C_R,0.102819837959848
_44_R,0.994302055836389
_45_R,0.996289112579635
_47l_R,0.967134725215202
a47r_R,0.688882627695882
_6r_R,0.473681258925728
IFJa_R,0.743356115751653
IFJp_R,0.951574001137772
IFSp_R,0.485522827566069
IFSa_R,0.54008751598386
p9Y46v_R,0.994110931053103
_46_R,0.945794019644497
a9Y46v_R,0.954746308978652
_9Y46d_R,0.455332805265281
_9a_R,0.0237314153316411
_10v_R,0.860716785859557
a10p_R,0.850893667887721
_10pp_R,0.982371070511685
_11l_R,0.116106986080906
_13l_R,0.999956682419123
OFC_R,0.18328236836693
_47s_R,0.97168066907729
LIPd_R,0.257163593744415
_6a_R,0.703062966709378
i6Y8_R,0.980984278073789
s6Y8_R,0.995774462071894
_43_R,0.987845636836952
OP4_R,0.953129617697778
OP1_R,0.947078482675533
OP2Y3_R,0.542577564550004
_52_R,0.993906333463587
RI_R,0.477938546782075
PFcm_R,0.905821888945579
PoI2_R,0.997393488784725
TA2_R,0.665163055684446
FOP4_R,0.997211098185529
MI_R,0.91314668260514
Pir_R,0.96523836226905
AVI_R,0.686628730400333
AAIC_R,0.957505340631586
FOP1_R,0.995959778733746
FOP3_R,0.994241841495261
FOP2_R,0.904580565952303
PFt_R,0.965066652836492
AIP_R,0.829993167541985
EC_R,0.633234490802523
PreS_R,0.859201607487314
H_R,0.953540329179172
ProS_R,0.990644169604628
PeEc_R,0.993517737631832
STGa_R,0.989463040658309
PBelt_R,0.968679608267465
A5_R,0.715531182887987
PHA1_R,0.285613504705679
PHA3_R,0.758514201725769
STSda_R,0.955532719551066
STSdp_R,0.991065881948749
STSvp_R,0.0229212819445688
TGd_R,0.96174066451949
TE1a_R,0.88278451345863
TE1p_R,0.243742188524243
TE2a_R,0.750106946279848
TF_R,0.965146148025832
TE2p_R,0.989968199161573
PHT_R,0.930967112783148
PH_R,0.988260715386302
TPOJ1_R,0.978234501617647
TPOJ2_R,0.990295434390063
TPOJ3_R,0.337841114540184
DVT_R,0.890995995066607
PGp_R,0.703558554947794
IP2_R,0.804693472775533
IP1_R,0.952667514024527
IP0_R,0.17878582775772
PFop_R,0.998806315434944
PF_R,0.693263071312968
PFm_R,0.960060828379974
PGi_R,0.90438816228697
PGs_R,0.943032450221503
V6A_R,0.138325170112279
VMV1_R,0.842654946570181
VMV3_R,0.998501266837106
PHA2_R,0.906973404764768
V4t_R,0.975498261362084
FST_R,0.977610994336703
V3CD_R,0.996897845218269
LO3_R,0.143953811935496
VMV2_R,0.996293508257941
_31pd_R,0.295700556924404
_31a_R,0.610075101496404
VVC_R,0.83285820367319
_25_R,0.893880041143415
s32_R,0.173724333697945
pOFC_R,0.904218590397402
PoI1_R,0.768843051713301
Ig_R,0.555221652599412
FOP5_R,0.968750154782118
p10p_R,0.622675618755968
p47r_R,0.912389423025295
TGv_R,0.0254107547676474
MBelt_R,0.989718127479083
LBelt_R,0.988015362275693
A4_R,0.311920714196775
STSva_R,0.292511112790973
TE1m_R,0.885646219519402
PI_R,0.926546885871974
a32pr_R,0.0685734313642495
p24_R,0.961904674847147
