,V1
V1_L,0.860992264366407
MST_L,0.998705791934817
V6_L,0.962677533785753
V2_L,0.521102500352719
V3_L,0.985735399466098
V4_L,0.810421027580697
V8_L,0.920047982290386
_4_L,0.979057362553238
_3b_L,0.838969200672028
FEF_L,0.749308302447884
PEF_L,0.394596821516078
_55b_L,0.688322279908437
V3A_L,0.894210688323957
RSC_L,0.980211211235536
POS2_L,0.12973601630122
V7_L,0.950207124058665
IPS1_L,0.99627843584671
FFC_L,0.970207709652625
V3B_L,0.0743620628141131
LO1_L,0.825867747372223
LO2_L,0.880321752677463
PIT_L,0.733138616946303
MT_L,0.859068472659391
A1_L,0.954112104500421
PSL_L,0.901766201016585
SFL_L,0.974373917530338
PCV_L,0.743041291043905
STV_L,0.566114180591528
_7Pm_L,0.579549162992395
_7m_L,0.248421879840767
POS1_L,0.811794234791917
_23d_L,0.285681679169927
v23ab_L,0.952267406834947
d23ab_L,0.006128538990104
_31pv_L,0.994720126058142
_5m_L,0.927685195255262
_5mv_L,0.785218074591606
_23c_L,0.997425138574777
_5L_L,0.937582838469614
_24dd_L,0.469233717868302
_24dv_L,0.59111948538697
_7AL_L,0.80112417551998
SCEF_L,0.757758999959463
_6ma_L,0.972561615293994
_7Am_L,0.458266249426714
_7Pl_L,0.987590827159216
_7PC_L,0.9045978748135
LIPv_L,0.961287196080869
VIP_L,0.88940074722879
MIP_L,0.706655485492783
_1_L,0.801891876007022
_2_L,0.869731192516533
_3a_L,0.9602469509796
_6d_L,0.857762033901214
_6mp_L,0.948891736375707
_6v_L,0.996767208360121
p24pr_L,0.978888307348627
_33pr_L,0.953850056462379
a24pr_L,0.997128979675254
p32pr_L,0.365979792106042
a24_L,0.996614270165783
d32_L,0.0443109315634503
_8BM_L,0.573362105094138
p32_L,0.709326882573708
_10r_L,0.936805565706118
_47m_L,0.951246623359854
_8Av_L,0.992201831091902
_8Ad_L,0.992951413494432
_9m_L,0.702530726544056
_8BL_L,0.972342030583697
_9p_L,0.901956978266162
_10d_L,0.912570960139309
_8C_L,0.239511836497315
_44_L,0.854004628679101
_45_L,0.79764381993407
_47l_L,0.946907773874934
a47r_L,0.85544224697713
_6r_L,0.998711428312432
IFJa_L,0.5713092052669
IFJp_L,0.995081831180737
IFSp_L,0.786938296095669
IFSa_L,0.993934544911136
p9Y46v_L,0.63922174394479
_46_L,0.907371046013457
a9Y46v_L,0.979540934022956
_9Y46d_L,0.906513194118046
_9a_L,0.656368846909264
_10v_L,0.163106825949452
a10p_L,0.957272111753569
_10pp_L,0.273864451770187
_11l_L,0.846692556137354
_13l_L,0.168127882395935
OFC_L,0.720200464951938
_47s_L,0.985374940802618
LIPd_L,0.502558804144051
_6a_L,0.957231032054604
i6Y8_L,0.997433457262565
s6Y8_L,0.44452730253388
_43_L,0.376281973281502
OP4_L,0.684915861112184
OP1_L,0.993509297110251
OP2Y3_L,0.814886547384945
_52_L,0.953206386399974
RI_L,0.790704702018184
PFcm_L,0.774333901773965
PoI2_L,0.532620345902714
TA2_L,0.828105458572606
FOP4_L,0.416981544893055
MI_L,0.522039811274105
Pir_L,0.978453632175438
AVI_L,0.635351263645241
AAIC_L,0.497238618309578
FOP1_L,0.106927860413384
FOP3_L,0.878903738360038
FOP2_L,0.999438275848247
PFt_L,0.850333186792523
AIP_L,0.112254134005189
EC_L,0.887835658734172
PreS_L,0.718900616560941
H_L,0.997037399569135
ProS_L,0.940861399913068
PeEc_L,0.920508728080274
STGa_L,0.987155112233828
PBelt_L,0.784928193279323
A5_L,0.611172274578842
PHA1_L,0.925690427418469
PHA3_L,0.647215462297944
STSda_L,0.423147748151488
STSdp_L,0.0856244411320441
STSvp_L,0.994933120818352
TGd_L,0.96795136564764
TE1a_L,0.980618684720647
TE1p_L,0.724644553718274
TE2a_L,0.902658918328793
TF_L,0.953172636054667
TE2p_L,0.95234836025868
PHT_L,0.702905699009669
PH_L,0.283331762920806
TPOJ1_L,0.621325575705585
TPOJ2_L,0.95833525372327
TPOJ3_L,0.554573732845054
DVT_L,0.0012971957971456
PGp_L,0.894096882702
IP2_L,0.0539401063156273
IP1_L,0.720271838289003
IP0_L,0.111632280152997
PFop_L,0.695421243097481
PF_L,0.217277831350656
PFm_L,0.0135389806384604
PGi_L,0.901165847033035
PGs_L,0.988757531128165
V6A_L,0.189815830993406
VMV1_L,0.937388970699626
VMV3_L,0.946092416201544
PHA2_L,0.896212280143864
V4t_L,0.0111753146487214
FST_L,0.983285395689807
V3CD_L,0.978176164449216
LO3_L,0.0272212343401586
VMV2_L,0.707417665605204
_31pd_L,0.699556744989452
_31a_L,0.354769999887098
VVC_L,0.457317910838558
_25_L,0.98591365295088
s32_L,0.577961265910679
pOFC_L,0.958528363579313
PoI1_L,0.573478325084717
Ig_L,0.989156843178457
FOP5_L,0.812186453441926
p10p_L,0.404193638912076
p47r_L,0.0569719484753394
TGv_L,0.922295843977758
MBelt_L,0.705119867305148
LBelt_L,0.705422763995451
A4_L,0.316958390823673
STSva_L,0.582448464368519
TE1m_L,0.66943355655955
PI_L,0.291379676490382
a32pr_L,0.94768449420324
p24_L,0.979677105646093
V1_R,0.254127611770233
MST_R,0.772476614659194
V6_R,0.971025990494686
V2_R,0.611305222147622
V3_R,0.0600743416447892
V4_R,0.798028957639692
V8_R,0.0342175012437417
_4_R,0.0398722455938572
_3b_R,0.890458839743994
FEF_R,0.159900066327562
PEF_R,0.746374340746863
_55b_R,0.960431605057802
V3A_R,0.946241396453323
RSC_R,0.929428542263072
POS2_R,0.873248648461688
V7_R,0.982281976497504
IPS1_R,0.291112221703623
FFC_R,0.766611554646879
V3B_R,0.591584584380547
LO1_R,0.961617981668956
LO2_R,0.0005395020106266
PIT_R,0.0963889446889758
MT_R,0.473525247532003
A1_R,0.65874858752622
PSL_R,0.990951719226
SFL_R,0.608338270293868
PCV_R,0.668388227102525
STV_R,0.982521148557517
_7Pm_R,0.36574242710558
_7m_R,0.632164986314985
POS1_R,0.959713908888484
_23d_R,0.274220074726568
v23ab_R,0.811295113475118
d23ab_R,0.0422944120279044
_31pv_R,0.136842316386116
_5m_R,0.286444595140665
_5mv_R,0.23178542368843
_23c_R,0.0096729844678306
_5L_R,0.903892540396576
_24dd_R,0.795757457511308
_24dv_R,0.234666971193227
_7AL_R,0.0851171084664626
SCEF_R,0.842014805104523
_6ma_R,0.96620526513006
_7Am_R,0.682952077209007
_7Pl_R,0.791453438825698
_7PC_R,0.248280073200187
LIPv_R,0.748841062737994
VIP_R,0.90504458253992
MIP_R,0.935862753306862
_1_R,0.231592080639465
_2_R,0.73017205174158
_3a_R,0.67123283333925
_6d_R,0.865058732161773
_6mp_R,0.961133374867183
_6v_R,0.967845392630193
p24pr_R,0.216834834724338
_33pr_R,0.752596436642369
a24pr_R,0.233419767416519
p32pr_R,0.704172799116979
a24_R,0.226914824973194
d32_R,0.641884956728428
_8BM_R,0.915354740347139
p32_R,0.131017966563872
_10r_R,0.0876368347511847
_47m_R,0.969306645636869
_8Av_R,0.98213319094996
_8Ad_R,0.69369232734619
_9m_R,0.973753970039862
_8BL_R,0.932438188605885
_9p_R,0.916334458376728
_10d_R,0.99549106063734
_8C_R,0.0852544164931676
_44_R,0.0819240518602342
_45_R,0.805947051560816
_47l_R,0.98285557739734
a47r_R,0.379235018094078
_6r_R,0.928954462142009
IFJa_R,0.474199192841108
IFJp_R,0.412675944865951
IFSp_R,0.230888930086593
IFSa_R,0.912565797158401
p9Y46v_R,0.963930971633386
_46_R,0.953407605369126
a9Y46v_R,0.517139192821445
_9Y46d_R,0.357785888458643
