,V1
V1_L,0.676871294894311
MST_L,0.943082249238576
V6_L,0.127376526589339
V2_L,0.888355793448971
V3_L,0.62608572356786
V4_L,0.71336934589018
V8_L,0.742090869431447
_4_L,0.964376698288369
_3b_L,0.806115658483252
FEF_L,0.856480505484421
PEF_L,0.909127565394845
_55b_L,0.923249431913712
V3A_L,0.935527596974719
RSC_L,0.775684502438429
POS2_L,0.707241248778852
V7_L,0.689633949736559
IPS1_L,0.380020435334507
FFC_L,0.218096168222073
V3B_L,0.130297132261367
LO1_L,0.967023181800264
LO2_L,0.802817059951912
PIT_L,0.902931773683121
MT_L,0.722139772821982
A1_L,0.700023762415142
PSL_L,0.924138226464707
SFL_L,0.965949297372132
PCV_L,0.743363033272795
STV_L,0.887729732622628
_7Pm_L,0.84662233919926
_7m_L,0.513196227262045
POS1_L,0.781993235046202
_23d_L,0.518227238320816
v23ab_L,0.131238841856021
d23ab_L,0.761885241738267
_31pv_L,0.875790200387536
_5m_L,0.722760111469319
_5mv_L,0.751741897458198
_23c_L,0.50562823766528
_5L_L,0.906632776465356
_24dd_L,0.837061932911932
_24dv_L,0.852477550083616
_7AL_L,0.477365122740183
SCEF_L,0.846725601124114
_6ma_L,0.932428058193605
_7Am_L,0.810965081399605
_7Pl_L,0.755379706035875
_7PC_L,0.88230760161785
LIPv_L,0.91056325970931
VIP_L,0.718684262855248
MIP_L,0.529629810732859
_1_L,0.873444904536686
_2_L,0.643061078356153
_3a_L,0.982633834089174
_6d_L,0.480028795675422
_6mp_L,0.773864272554648
_6v_L,0.954271944700539
p24pr_L,0.456418464083122
_33pr_L,0.458557480086304
a24pr_L,0.0145891520557613
p32pr_L,0.492527218592816
a24_L,0.896144721407386
d32_L,0.962803238924225
_8BM_L,0.98180779614859
p32_L,0.815048973487116
_10r_L,0.468788123445631
_47m_L,0.530658098221632
_8Av_L,0.803216626387427
_8Ad_L,0.960952216281107
_9m_L,0.969254588107252
_8BL_L,0.865473729532992
_9p_L,0.426487759245007
_10d_L,0.849751113453524
_8C_L,0.943652781920297
_44_L,0.935049425265743
_45_L,0.737043612409613
_47l_L,0.70120316986213
a47r_L,0.668934505853644
_6r_L,0.958242291972846
IFJa_L,0.829556432601757
IFJp_L,0.424968609609834
IFSp_L,0.779230344693096
IFSa_L,0.940357916606401
p9Y46v_L,0.826282703353171
_46_L,0.964088329444914
a9Y46v_L,0.665543689291435
_9Y46d_L,0.977074436522445
_9a_L,0.997556732590998
_10v_L,0.263897814482093
a10p_L,0.593207671158215
_10pp_L,0.660209572316151
_11l_L,0.4447094284055
_13l_L,0.826337169709605
OFC_L,0.81103777006374
_47s_L,0.872846309261986
LIPd_L,0.0609308251852389
_6a_L,0.455894790733671
i6Y8_L,0.818532881635004
s6Y8_L,0.659203115284541
_43_L,0.759722089416776
OP4_L,0.824808386347583
OP1_L,0.790277475565743
OP2Y3_L,0.814394854349489
_52_L,0.721560223946061
RI_L,0.761383000715622
PFcm_L,0.786525602985959
PoI2_L,0.802344668746102
TA2_L,0.951657502295503
FOP4_L,0.846183852206466
MI_L,0.716366152817771
Pir_L,0.726396507624957
AVI_L,0.774946826183257
AAIC_L,0.815874337123021
FOP1_L,0.798164427789742
