,V1
V1_L,0.765266930319329
MST_L,0.782363000120464
V6_L,0.0150089877206576
V2_L,0.600660945424493
V3_L,0.489402247862176
V4_L,0.334044191206864
V8_L,0.834611323448498
_4_L,0.786180342971792
_3b_L,0.872249304381167
FEF_L,0.567755590426714
PEF_L,0.825548444242537
_55b_L,0.978480321938327
V3A_L,0.971553673462165
RSC_L,0.881535122041278
POS2_L,0.75051859675974
V7_L,0.971347750794858
IPS1_L,0.512427764171159
FFC_L,0.509340626986537
V3B_L,0.208838997252886
LO1_L,0.595735106627425
LO2_L,0.935003080504195
PIT_L,0.989684423345364
MT_L,0.560377127102405
A1_L,0.642900274872116
PSL_L,0.860221204458975
SFL_L,0.900576013500262
PCV_L,0.811176775864055
STV_L,0.459474976711029
_7Pm_L,0.900599884072595
_7m_L,0.522020258626297
POS1_L,0.836653089365035
_23d_L,0.644575714466451
v23ab_L,0.368413324407507
d23ab_L,0.868932154219881
_31pv_L,0.474005334517193
_5m_L,0.27946268404086
_5mv_L,0.918537111859267
_23c_L,0.161829479943448
_5L_L,0.92469758962306
_24dd_L,0.844229333389111
_24dv_L,0.873343728823441
_7AL_L,0.347766306221541
SCEF_L,0.76269151218028
_6ma_L,0.755536985704879
_7Am_L,0.408845301978924
_7Pl_L,0.86496780811416
_7PC_L,0.373764374656581
LIPv_L,0.444325620716728
VIP_L,0.818836021604297
MIP_L,0.123619123869299
_1_L,0.996053014306853
_2_L,0.101772460183378
_3a_L,0.908729918604285
_6d_L,0.657012196145418
_6mp_L,0.252897555791129
_6v_L,0.951779078288289
p24pr_L,0.39978447548438
_33pr_L,0.190387737879543
a24pr_L,0.86886432457133
p32pr_L,0.960299292347983
a24_L,0.800279656500864
d32_L,0.817611858027833
_8BM_L,0.985972806130978
p32_L,0.863889756145247
_10r_L,0.258340465238006
_47m_L,0.520983833185805
_8Av_L,0.830074508671006
_8Ad_L,0.418914140226888
_9m_L,0.992157911593587
_8BL_L,0.923998611993075
_9p_L,0.871102792152284
_10d_L,0.870826531441008
_8C_L,0.897318334966728
_44_L,0.812746378913674
_45_L,0.396709845335832
_47l_L,0.854855175540597
a47r_L,0.775935402557238
_6r_L,0.993622357792928
IFJa_L,0.609184235216792
IFJp_L,0.973355720835391
IFSp_L,0.936073105753767
IFSa_L,0.78872857859713
p9Y46v_L,0.772166710527062
_46_L,0.900810905880865
a9Y46v_L,0.593637226682432
_9Y46d_L,0.953202863564288
_9a_L,0.998446161161437
_10v_L,0.461189922221974
a10p_L,0.509676338635066
_10pp_L,0.937265341758474
_11l_L,0.49035667342222
_13l_L,0.92133070630926
OFC_L,0.130392286314247
_47s_L,0.902213849719936
LIPd_L,0.961689974746284
_6a_L,0.126437104616787
i6Y8_L,0.88524239272981
s6Y8_L,0.722836133954477
_43_L,0.818943320896921
OP4_L,0.7739375313945
OP1_L,0.832029669336979
OP2Y3_L,0.810258583035536
_52_L,0.761761002161127
RI_L,0.955595434564113
PFcm_L,0.863630002334227
PoI2_L,0.790477717137584
TA2_L,0.968976187626923
FOP4_L,0.84621827394434
MI_L,0.774553158523032
Pir_L,0.801868349997661
AVI_L,0.671512600231367
AAIC_L,0.922478521859241
FOP1_L,0.826716070014442
FOP3_L,0.827988441851882
FOP2_L,0.852417198799408
PFt_L,0.500364496094957
AIP_L,0.95275621427479
EC_L,0.0005287818969329
PreS_L,0.315658647905828
H_L,0.412170630487896
ProS_L,0.8570987275483
PeEc_L,0.0047442770262669
STGa_L,0.320633060227488
PBelt_L,0.956790761969236
A5_L,0.834450638400594
PHA1_L,0.117043979843259
PHA3_L,0.842540962638563
STSda_L,0.854558866002371
STSdp_L,0.566238526582392
STSvp_L,0.346589419601013
TGd_L,0.0093910417134442
TE1a_L,0.956281768092043
TE1p_L,0.839318438593267
TE2a_L,0.944715258725425
TF_L,0.581884006231431
TE2p_L,0.61742051064193
PHT_L,0.828989354463978
PH_L,0.894563530026562
TPOJ1_L,0.86617733639432
TPOJ2_L,0.871824649657449
TPOJ3_L,0.991217818050424
DVT_L,0.260144449172686
PGp_L,0.825615977033422
IP2_L,0.626947654581209
IP1_L,0.948827256522813
IP0_L,0.0884301844168354
PFop_L,0.823909755778595
PF_L,0.841750910003852
PFm_L,0.183074368106196
PGi_L,0.886987288867529
PGs_L,0.74379114168394
V6A_L,0.935725977997357
VMV1_L,0.381572059008514
VMV3_L,0.505542777548625
PHA2_L,0.76559957735614
V4t_L,0.652323677890803
FST_L,0.753711916837271
V3CD_L,0.885683354781541
LO3_L,0.120980231335027
VMV2_L,0.220343761299403
_31pd_L,0.458390310404899
_31a_L,0.609033358069838
VVC_L,0.872834758252014
_25_L,0.367068637434823
s32_L,0.487011732542893
pOFC_L,0.648228180265338
PoI1_L,0.899339575420758
Ig_L,0.47738856378913
FOP5_L,0.639911007925687
p10p_L,0.657638855681135
p47r_L,0.955684138050935
TGv_L,0.890806279622703
MBelt_L,0.928455710860228
LBelt_L,0.589309038158279
A4_L,0.964935402038279
STSva_L,0.976180972888945
TE1m_L,0.108907662962056
PI_L,0.304813450871357
a32pr_L,0.940543444971159
p24_L,0.856831141924109
V1_R,0.0769557436797638
MST_R,0.786541840053643
V6_R,0.41936336686602
V2_R,0.607994680440396
V3_R,0.520533694651981
V4_R,0.849342466584652
V8_R,0.162258721289553
_4_R,0.748579694484289
_3b_R,0.364926818163768
FEF_R,0.841476666274814
PEF_R,0.317107192761049
_55b_R,0.903873007061188
V3A_R,0.590530839460749
RSC_R,0.432554548336255
POS2_R,0.558036496354098
V7_R,0.0716554651698658
IPS1_R,0.08056273622699
FFC_R,0.217954967750969
V3B_R,0.917553297931333
LO1_R,0.327533389770356
LO2_R,0.699635211829014
PIT_R,0.871069051417279
MT_R,0.434296759254892
A1_R,0.836326602932128
PSL_R,0.0111561355804834
SFL_R,0.901145224619436
PCV_R,0.516115717842776
STV_R,0.273298753939962
_7Pm_R,0.34363680801645
_7m_R,0.556485552319967
POS1_R,0.63512003988796
_23d_R,0.536237013570013
v23ab_R,0.774519908917527
d23ab_R,0.311958498623939
_31pv_R,0.226078687461692
_5m_R,0.629424987375917
_5mv_R,0.217745897626043
_23c_R,0.293540409209756
_5L_R,0.544531328560579
_24dd_R,0.260277587329072
_24dv_R,0.711852986229314
_7AL_R,0.992943709637113
SCEF_R,0.694088881686137
_6ma_R,0.930860260285622
_7Am_R,0.397874372840641
_7Pl_R,0.326343513218329
_7PC_R,0.854870237931455
LIPv_R,0.897206538626184
