,V1
V1_L,0.914403834204605
MST_L,0.787897841880558
V6_L,0.760970584553517
V2_L,0.585441537719521
V3_L,0.43455050458639
V4_L,0.186881836180846
V8_L,0.909324370592743
_4_L,0.405388160166406
_3b_L,0.796625056835973
FEF_L,0.421481948047025
PEF_L,0.967780584778692
_55b_L,0.2617484657968
V3A_L,0.678606297641601
RSC_L,0.0357420357684778
POS2_L,0.759192161264562
V7_L,0.985211382398679
IPS1_L,0.548413981076333
FFC_L,0.581332235431873
V3B_L,0.0403119944562063
LO1_L,0.98740320524984
LO2_L,0.981626974725292
PIT_L,0.995854702752837
MT_L,0.620643958454546
A1_L,0.742311300554281
PSL_L,0.949831212718603
SFL_L,0.989710240180948
PCV_L,0.998982627827736
STV_L,0.403513736955585
_7Pm_L,0.0812703264070764
_7m_L,0.361076136527651
POS1_L,0.885604611644075
_23d_L,0.735967406407812
v23ab_L,0.336548297528064
d23ab_L,0.896123617813285
_31pv_L,0.272327160703715
_5m_L,0.255872008612429
_5mv_L,0.933745976306129
_23c_L,0.302961017991828
_5L_L,0.960075973073769
_24dd_L,0.646434258140777
_24dv_L,0.892553739548966
_7AL_L,0.436023713564035
SCEF_L,0.393162769772007
_6ma_L,0.653571444521911
_7Am_L,0.337474883212419
_7Pl_L,0.442396631895822
_7PC_L,0.986497433748592
LIPv_L,0.400210062105191
VIP_L,0.849087004706371
MIP_L,0.0694155739310502
_1_L,0.9521665533929
_2_L,0.0666195731027708
_3a_L,0.918044914834275
_6d_L,0.723607887006092
_6mp_L,0.0634584918269752
_6v_L,0.631548970874281
p24pr_L,0.340751596638345
_33pr_L,0.961947715712519
a24pr_L,0.314567652383466
p32pr_L,0.920664931678192
a24_L,0.542923939725637
d32_L,0.588043653663489
_8BM_L,0.987950330841627
p32_L,0.891630002657262
_10r_L,0.328928595292264
_47m_L,0.835166716757783
_8Av_L,0.545161931330915
_8Ad_L,0.312765197735547
_9m_L,0.925518491282745
_8BL_L,0.992658581528505
_9p_L,0.175737013156065
_10d_L,0.953854854692285
_8C_L,0.220675131483104
_44_L,0.444159966574496
_45_L,0.27124792597063
_47l_L,0.979677925390379
a47r_L,0.710785340610587
_6r_L,0.982568204277212
IFJa_L,0.89402419229611
IFJp_L,0.695290445012795
IFSp_L,0.458752412004487
IFSa_L,0.557986872636337
p9Y46v_L,0.772299648369072
_46_L,0.888477478011081
a9Y46v_L,0.774126032660966
_9Y46d_L,0.99183280159502
_9a_L,0.968577502527799
_10v_L,0.641098841803063
a10p_L,0.549410043370774
_10pp_L,0.944615065425018
_11l_L,0.362034764254182
_13l_L,0.882081036681934
OFC_L,0.0012803598367594
_47s_L,0.0859867808660341
LIPd_L,0.934331763180405
_6a_L,0.973138144052102
i6Y8_L,0.947015228383627
s6Y8_L,0.953416004331048
_43_L,0.877239915672098
OP4_L,0.791042510658185
OP1_L,0.870122982048353
OP2Y3_L,0.828014587508919
_52_L,0.852537815810565
RI_L,0.992397866992568
PFcm_L,0.94217676282798
PoI2_L,0.627644792915002
TA2_L,0.971128231282579
FOP4_L,0.929365126433448
MI_L,0.727058396225987
Pir_L,0.962710424829106
AVI_L,0.0104121018169048
AAIC_L,0.983878114985522
FOP1_L,0.900410597331796
FOP3_L,0.967635800674809
FOP2_L,0.891282379694396
PFt_L,0.364972438768924
AIP_L,0.395867794879768
EC_L,0.246341094736496
PreS_L,0.198277186928731
H_L,0.401066242682984
ProS_L,0.56807592295771
PeEc_L,0.382906239018202
STGa_L,0.0429459109581295
PBelt_L,0.842251599658639
A5_L,0.886541919341798
PHA1_L,0.585784436820486
PHA3_L,0.827993400392541
STSda_L,0.878394907837643
STSdp_L,0.60635367708052
STSvp_L,0.326139412595815
TGd_L,0.0883235417678825
TE1a_L,0.983944014253389
TE1p_L,0.900920653054837
TE2a_L,0.971287300145079
TF_L,0.706464912572534
TE2p_L,0.875083554347939
PHT_L,0.847334242610098
PH_L,0.920613228140318
TPOJ1_L,0.958870712010329
TPOJ2_L,0.809640171650604
TPOJ3_L,0.978095341251142
DVT_L,0.98355710494176
PGp_L,0.815031760486076
IP2_L,0.593890629489351
IP1_L,0.977469973438304
IP0_L,0.238933250504105
PFop_L,0.74201756295695
PF_L,0.81182007246486
PFm_L,0.0260048075032931
PGi_L,0.794486542819162
PGs_L,0.504543308896595
V6A_L,0.929816942205507
VMV1_L,0.0013561791836469
VMV3_L,0.759717149593015
PHA2_L,0.749231110739471
V4t_L,0.674970751644869
FST_L,0.610630399423843
V3CD_L,0.666750761990586
LO3_L,0.972633604236491
VMV2_L,0.279033415426569
_31pd_L,0.817754372600369
_31a_L,0.349586607387547
VVC_L,0.851430872493059
_25_L,0.39055414486502
s32_L,0.651107568695152
pOFC_L,0.613225145586108
PoI1_L,0.860341975653884
Ig_L,0.503968566885366
FOP5_L,0.0945497994884653
p10p_L,0.753140593696225
p47r_L,0.878610024959537
TGv_L,0.915324515961787
MBelt_L,0.724322612262427
LBelt_L,0.249940380518089
A4_L,0.987998978698713
STSva_L,0.321300733012135
TE1m_L,0.974354652247261
PI_L,0.296690109194109
a32pr_L,0.386371219371628
p24_L,0.805606284991531
V1_R,0.0064848522776671
MST_R,0.926004511648276
V6_R,0.609904639255279
V2_R,0.581658586730383
V3_R,0.0221854442416204
V4_R,0.509071053595477
V8_R,0.466610197367305
_4_R,0.409292215691177
_3b_R,0.492219736123546
FEF_R,0.677005048417873
PEF_R,0.248482499917925
_55b_R,0.808298922116575
V3A_R,0.338089915885301
RSC_R,0.510376956790722
POS2_R,0.473032901809718
V7_R,0.13777253307042
IPS1_R,0.142005344778199
FFC_R,0.963844283968
V3B_R,0.615211807244133
LO1_R,0.529627840518788
LO2_R,0.812485245720393
PIT_R,0.791831838874658
MT_R,0.505452729394197
A1_R,0.0078515860604764
PSL_R,0.551888015192759
SFL_R,0.866632583734252
PCV_R,0.200177200791699
STV_R,0.0345559610990547
_7Pm_R,0.290985557364122
_7m_R,0.615624314561098
POS1_R,0.998390662178361
_23d_R,0.442714666924925
v23ab_R,0.931857750935554
d23ab_R,0.544295369717251
_31pv_R,0.157613335071098
_5m_R,0.302674952499121
_5mv_R,0.0603566355101383
_23c_R,0.201254277628326
_5L_R,0.456944681951228
_24dd_R,0.776947729869743
_24dv_R,0.689842573820785
_7AL_R,0.972622513879139
SCEF_R,0.616013388824155
_6ma_R,0.966591050774763
_7Am_R,0.359182113319372
_7Pl_R,0.253900160350222
_7PC_R,0.873005993554767
LIPv_R,0.667928276021098
VIP_R,0.935119466451197
MIP_R,0.694175557449417
_1_R,0.162961887768994
_2_R,0.65241040989071
_3a_R,0.906845001295065
_6d_R,0.375264424958355
_6mp_R,0.123364815480205
_6v_R,0.54907549639484
p24pr_R,0.424187561859897
_33pr_R,0.390378683423992
a24pr_R,0.411722679632129
p32pr_R,0.427804297388241
a24_R,0.552825805070517
d32_R,0.969451035283154
_8BM_R,0.963265308346487
