,V1
V1_L,0.689012491054061
MST_L,0.761008809176681
V6_L,0.923555625978945
V2_L,0.261264342666488
V3_L,0.658722097148693
V4_L,0.693831781309083
V8_L,0.003122071449383
_4_L,0.166624987600899
_3b_L,0.858696129110175
FEF_L,0.631906022744136
PEF_L,0.707728094356962
_55b_L,0.994839304221823
V3A_L,0.879849546049952
RSC_L,0.862875510792238
POS2_L,0.198144850396943
V7_L,0.989708930192375
IPS1_L,0.782226610106782
FFC_L,0.159186303088484
V3B_L,0.0002800023783551
LO1_L,0.389046350711253
LO2_L,0.924631625861502
PIT_L,0.521880102354207
MT_L,0.920444951032453
A1_L,0.26945174727997
PSL_L,0.358839784977951
SFL_L,0.949435416240841
PCV_L,0.756196778956557
STV_L,0.94752031745231
_7Pm_L,0.347564131462961
_7m_L,0.191897721806441
POS1_L,0.386819690634647
_23d_L,0.909758381468841
v23ab_L,0.0524842710145888
d23ab_L,0.473908984326813
_31pv_L,0.792628399059885
_5m_L,0.768349281300189
_5mv_L,0.963962335814518
_23c_L,0.91171500680194
_5L_L,0.453212841152097
_24dd_L,0.962005781168713
_24dv_L,0.991636217360422
_7AL_L,0.825115081671052
SCEF_L,0.87157671820267
_6ma_L,0.867271642427528
_7Am_L,0.898143982478164
_7Pl_L,0.88708063212131
_7PC_L,0.968967932389301
LIPv_L,0.875088128712627
VIP_L,0.24404716292228
MIP_L,0.357661399973576
_1_L,0.937361387853816
_2_L,0.42963096441404
_3a_L,0.757163687772914
_6d_L,0.336709998710913
_6mp_L,0.494157988784305
_6v_L,0.965317546988383
p24pr_L,0.792825589938981
_33pr_L,0.730965594990687
a24pr_L,0.683420912878111
p32pr_L,0.853585194393165
a24_L,0.332408091227001
d32_L,0.0096947023932504
_8BM_L,0.219316862222821
p32_L,0.178260686290181
_10r_L,0.90839721814718
_47m_L,0.952369848383387
_8Av_L,0.357656878194881
_8Ad_L,0.399294964227361
_9m_L,0.79106986276581
_8BL_L,0.914426469136078
_9p_L,0.154228473282763
_10d_L,0.962132800139196
_8C_L,0.80389176332412
_44_L,0.920843894434736
_45_L,0.999786688218912
_47l_L,0.747861663316177
a47r_L,0.55722456343736
_6r_L,0.0003179722744388
IFJa_L,0.91124796930248
IFJp_L,0.754769652481755
IFSp_L,0.908607411757759
IFSa_L,0.947172298683226
p9Y46v_L,0.335391460428804
_46_L,0.0452588300728486
a9Y46v_L,0.218165015455787
_9Y46d_L,0.575995263197841
_9a_L,0.487951805125739
_10v_L,0.960945311400501
a10p_L,0.623366725393323
_10pp_L,0.171810787374293
_11l_L,0.505451515037414
_13l_L,0.717251100289178
OFC_L,0.066379183764521
_47s_L,0.975120489915587
LIPd_L,0.708070899960894
_6a_L,0.923177899281125
i6Y8_L,0.93475551379581
s6Y8_L,0.980306720577183
_43_L,0.0841511404275376
OP4_L,0.432270875537818
OP1_L,0.993624200155724
OP2Y3_L,0.0969672598893971
_52_L,0.363782793795466
RI_L,0.922830093093142
PFcm_L,0.832482050338996
PoI2_L,0.041201077759109
TA2_L,0.520719745569771
FOP4_L,0.930820497074075
MI_L,0.957165745340835
Pir_L,0.709324349733165
AVI_L,0.379282692952453
AAIC_L,0.697332989023814
FOP1_L,0.694359653409196
FOP3_L,0.337320805920273
FOP2_L,0.489507062896014
PFt_L,0.55609231793189
AIP_L,0.890439192040716
EC_L,0.480100985646249
PreS_L,0.0345540799723735
H_L,0.112409564569024
ProS_L,0.374362628458228
PeEc_L,0.954269964070576
STGa_L,0.667752629404393
PBelt_L,0.912309154758247
A5_L,0.990185567264003
PHA1_L,0.657181659157669
PHA3_L,0.476645006749868
STSda_L,0.921279100893901
STSdp_L,0.852277178829967
STSvp_L,0.26359674686717
TGd_L,0.702740222853664
TE1a_L,0.173476708967044
TE1p_L,0.990901095784736
TE2a_L,0.534899686571359
TF_L,0.998624063666985
TE2p_L,0.997556199385105
PHT_L,0.989403591723604
PH_L,0.907880248396976
TPOJ1_L,0.0034969199734876
TPOJ2_L,0.750275275657687
TPOJ3_L,0.769990206589964
DVT_L,0.51816736695165
PGp_L,0.697233742343146
IP2_L,0.0029929570704742
IP1_L,0.992714897419119
IP0_L,0.959194738027624
PFop_L,0.554018928226047
PF_L,0.977824804495368
PFm_L,0.864486368302543
PGi_L,0.998844384714276
PGs_L,0.1215383514709
V6A_L,0.952906588800319
VMV1_L,0.59120204679492
VMV3_L,0.982884838420707
PHA2_L,0.474744952393967
V4t_L,0.670338865570956
FST_L,0.876287565192321
V3CD_L,0.0705782220362792
LO3_L,0.938696837607635
VMV2_L,0.661138337097838
_31pd_L,0.0068735695326224
_31a_L,0.647834880080549
VVC_L,0.285322971427732
_25_L,0.965766423916882
s32_L,0.960789975321671
pOFC_L,0.70714999131843
PoI1_L,0.217945953251008
Ig_L,0.935433750544531
FOP5_L,0.927131478772179
p10p_L,0.985194489946553
p47r_L,0.540548125298949
TGv_L,0.998361755708084
MBelt_L,0.970713531061376
LBelt_L,0.954967819692494
A4_L,0.760544613448134
STSva_L,0.627096173505084
TE1m_L,0.906078834927154
PI_L,0.0199420011314495
a32pr_L,0.903100943891014
p24_L,0.589043224100199
V1_R,0.587607992050497
MST_R,0.864235854975562
V6_R,0.947301461253593
V2_R,0.697081969653211
V3_R,0.672799562049803
V4_R,0.935686571566843
V8_R,0.912749128040816
_4_R,0.0002866324236164
_3b_R,0.320970255929803
FEF_R,0.018599837745274
PEF_R,0.286133026240788
_55b_R,0.750827880957023
V3A_R,0.642500778483606
RSC_R,0.253354649194112
POS2_R,6.04849419943253e-05
V7_R,0.65711404347266
IPS1_R,0.784297046627053
FFC_R,0.535685379978701
V3B_R,0.888396505393517
LO1_R,0.338156899470893
LO2_R,0.895350059442018
PIT_R,0.0401168903530742
MT_R,0.985472479566386
A1_R,0.906123656398194
PSL_R,0.581214206866246
