,V1
V1_L,0.354777990994351
MST_L,0.880994125182549
V6_L,0.611360403805856
V2_L,0.810784817844923
V3_L,0.140930450874912
V4_L,0.687483922343006
V8_L,0.944325569183759
_4_L,0.692661695832065
_3b_L,0.568929288818038
FEF_L,0.0206285224216379
PEF_L,0.993702211672855
_55b_L,0.241638971503004
V3A_L,0.926193481448122
RSC_L,0.650826445876365
POS2_L,0.976845137602342
V7_L,0.00092063737314
IPS1_L,0.968916932779758
FFC_L,0.939434960160385
V3B_L,0.979255171670416
LO1_L,0.205031758048119
LO2_L,0.94574910790643
PIT_L,0.635147557598057
MT_L,0.729911796741398
A1_L,0.991032466906057
PSL_L,0.965679044728284
SFL_L,0.734212156654618
PCV_L,0.920264520345151
STV_L,0.987321684917648
_7Pm_L,0.956021827986513
_7m_L,0.468367794817196
POS1_L,0.950428538877878
_23d_L,0.940252844286174
v23ab_L,0.352967738463324
d23ab_L,0.0364553447774272
_31pv_L,0.101218873612554
_5m_L,0.844608378773367
_5mv_L,0.977753214913837
_23c_L,0.736338843999532
_5L_L,0.0814174248113899
_24dd_L,0.941262822329673
_24dv_L,0.460989349177868
_7AL_L,0.921203320147786
SCEF_L,0.750433800312858
_6ma_L,0.39038050187624
_7Am_L,0.970895521074734
_7Pl_L,0.945945836330599
_7PC_L,0.917264189969657
LIPv_L,0.827998667367483
VIP_L,0.996399544730705
MIP_L,0.620475901223857
_1_L,0.585240041939971
_2_L,0.0854588369699991
_3a_L,0.860860783312119
_6d_L,0.455462937855949
_6mp_L,0.0559066188040754
_6v_L,0.981876452613059
p24pr_L,0.115041337495204
_33pr_L,0.915340181714413
a24pr_L,0.0893637963204064
p32pr_L,0.980848373385451
a24_L,0.14512442203053
d32_L,0.702116304941506
_8BM_L,0.703071241903161
p32_L,0.0097753996764702
_10r_L,0.799548468351929
_47m_L,0.708070267035971
_8Av_L,0.675202474539866
_8Ad_L,0.517163154407598
_9m_L,0.815927405950091
_8BL_L,0.663034361059932
_9p_L,0.170142775469103
_10d_L,0.989672657150913
_8C_L,0.348559319203806
_44_L,0.0951139361830693
_45_L,0.29113529373405
_47l_L,0.963027994454404
a47r_L,0.529536907556527
_6r_L,0.99847491483675
IFJa_L,0.937514324141565
IFJp_L,0.972711696526716
IFSp_L,0.989091747621031
IFSa_L,0.286373865780026
p9Y46v_L,0.442207139401057
_46_L,0.572041988839331
a9Y46v_L,0.390375067245594
_9Y46d_L,0.821341772134245
_9a_L,0.146197101949934
_10v_L,0.412770848249315
a10p_L,0.824228885318408
_10pp_L,0.53051006593487
_11l_L,0.702502966031902
_13l_L,0.573284204601699
OFC_L,0.0542266307822286
_47s_L,0.9157397982764
LIPd_L,0.94502402512169
_6a_L,0.679464239305538
i6Y8_L,0.40640192632437
s6Y8_L,0.110433184205395
_43_L,0.922824136909917
OP4_L,0.972885747212427
OP1_L,0.990207681489576
OP2Y3_L,0.951053081655775
_52_L,0.611504047124324
RI_L,0.767379148303012
PFcm_L,0.380572244953223
PoI2_L,0.65875739211381
TA2_L,0.557492929643342
FOP4_L,0.982305538946437
MI_L,0.389900240053964
Pir_L,0.826859349977015
AVI_L,0.5649352158589
AAIC_L,0.977113142927044
FOP1_L,0.957398828048389
FOP3_L,0.704339648251665
FOP2_L,0.950812560348267
PFt_L,0.927456134916305
AIP_L,0.59184668711666
EC_L,0.268149371317751
PreS_L,0.354436044920542
H_L,0.877141886158118
ProS_L,0.201783593215688
PeEc_L,0.791651231121045
STGa_L,0.812648314431149
PBelt_L,0.996836198960419
A5_L,0.812589594556342
PHA1_L,0.984605335224205
PHA3_L,0.0245699065082237
STSda_L,0.196066832781838
STSdp_L,0.170846145176976
STSvp_L,0.0015364128749166
TGd_L,0.924162135268915
TE1a_L,0.405443644566546
TE1p_L,0.499484864213382
TE2a_L,0.87108787342352
TF_L,0.0002964658758528
TE2p_L,0.160826014610208
PHT_L,0.929472871672753
PH_L,0.351241011920874
TPOJ1_L,0.730850367905439
TPOJ2_L,0.954103414545922
TPOJ3_L,0.725783766601105
DVT_L,0.212637264504811
PGp_L,0.982603877958599
IP2_L,0.196711685528972
IP1_L,0.812700122312322
IP0_L,0.909741735377732
PFop_L,0.954991493779244
PF_L,0.819468709192418
PFm_L,0.694451696638908
PGi_L,0.309605870709258
PGs_L,0.993259566552631
V6A_L,0.990167372482905
VMV1_L,0.0340624280939709
VMV3_L,0.779612656605084
PHA2_L,0.573167967879646
V4t_L,0.954150099225729
FST_L,0.12795489313997
V3CD_L,0.796168065032863
LO3_L,0.957678317938416
VMV2_L,0.619973348263643
_31pd_L,0.709469406153979
_31a_L,0.860926360879532
VVC_L,0.84875728838209
_25_L,0.983125749204459
s32_L,0.982213027641655
pOFC_L,0.0201819280290407
PoI1_L,0.294696172200719
Ig_L,0.845822131178628
FOP5_L,0.975300213142727
p10p_L,0.925846419774646
p47r_L,0.470206644684858
TGv_L,0.0520539788737783
